date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,100.6105,,,,
2000-02-01,100.45,-0.1605,,,
2000-03-01,100.2381,-0.2119,,,
2000-04-01,100.0034,-0.2347,-0.6071,,
2000-05-01,99.7763,-0.2271,-0.6737,,
2000-06-01,99.5821,-0.1942,-0.656,,
2000-07-01,99.4195,-0.1626,-0.5839,-1.191,
2000-08-01,99.2692,-0.1503,-0.5071,-1.1808,
2000-09-01,99.1215,-0.1477,-0.4606,-1.1166,
2000-10-01,98.99,-0.1315,-0.4295,-1.0134,
2000-11-01,98.9064,-0.0836,-0.3629,-0.87,
2000-12-01,98.8947,-0.0117,-0.2268,-0.6874,
2001-01-01,98.9704,0.0757,-0.0196,-0.4492,-1.6401
2001-02-01,99.1379,0.1675,0.2315,-0.1313,-1.3121
2001-03-01,99.3774,0.2395,0.4827,0.2559,-0.8607
2001-04-01,99.6543,0.2769,0.684,0.6644,-0.3491
2001-05-01,99.9244,0.27,0.7865,1.018,0.148
2001-06-01,100.1419,0.2176,0.7645,1.2472,0.5598
2001-07-01,100.3042,0.1623,0.6499,1.3338,0.8847
2001-08-01,100.4288,0.1246,0.5044,1.2909,1.1596
2001-09-01,100.5391,0.1103,0.3972,1.1617,1.4176
2001-10-01,100.649,0.1099,0.3448,0.9947,1.659
2001-11-01,100.7593,0.1103,0.3305,0.8349,1.8529
2001-12-01,100.855,0.0957,0.3159,0.7131,1.9603
2002-01-01,100.9243,0.0693,0.2753,0.6201,1.9539
2002-02-01,100.9518,0.0275,0.1925,0.523,1.8139
2002-03-01,100.9296,-0.0222,0.0746,0.3905,1.5522
2002-04-01,100.8444,-0.0852,-0.0799,0.1954,1.1901
2002-05-01,100.692,-0.1524,-0.2598,-0.0673,0.7676
2002-06-01,100.4928,-0.1992,-0.4368,-0.3622,0.3509
2002-07-01,100.2894,-0.2034,-0.555,-0.6349,-0.0148
2002-08-01,100.1307,-0.1587,-0.5613,-0.8211,-0.2981
2002-09-01,100.0451,-0.0856,-0.4477,-0.8845,-0.494
2002-10-01,100.0222,-0.0229,-0.2672,-0.8222,-0.6268
2002-11-01,100.0321,0.0099,-0.0986,-0.6599,-0.7272
2002-12-01,100.0445,0.0124,-0.0006,-0.4483,-0.8105
2003-01-01,100.0429,-0.0016,0.0207,-0.2465,-0.8814
2003-02-01,100.0059,-0.037,-0.0262,-0.1248,-0.9459
2003-03-01,99.9398,-0.0661,-0.1047,-0.1053,-0.9898
2003-04-01,99.8663,-0.0735,-0.1766,-0.1559,-0.9781
2003-05-01,99.8145,-0.0519,-0.1914,-0.2176,-0.8775
2003-06-01,99.792,-0.0224,-0.1477,-0.2525,-0.7008
2003-07-01,99.7914,-0.0007,-0.0749,-0.2515,-0.498
2003-08-01,99.8001,0.0087,-0.0144,-0.2058,-0.3306
2003-09-01,99.8117,0.0116,0.0197,-0.1281,-0.2334
2003-10-01,99.8138,0.002,0.0224,-0.0525,-0.2084
2003-11-01,99.804,-0.0098,0.0039,-0.0105,-0.2281
2003-12-01,99.7901,-0.0139,-0.0216,-0.0019,-0.2544
2004-01-01,99.7875,-0.0026,-0.0263,-0.0039,-0.2554
2004-02-01,99.801,0.0135,-0.003,0.0009,-0.2049
2004-03-01,99.8267,0.0257,0.0366,0.015,-0.1131
2004-04-01,99.8557,0.029,0.0682,0.0419,-0.0106
2004-05-01,99.884,0.0283,0.0829,0.08,0.0695
2004-06-01,99.9089,0.025,0.0822,0.1188,0.1169
2004-07-01,99.9389,0.0299,0.0832,0.1513,0.1475
2004-08-01,99.9864,0.0476,0.1025,0.1854,0.1864
2004-09-01,100.0472,0.0608,0.1383,0.2205,0.2355
2004-10-01,100.1052,0.058,0.1663,0.2495,0.2914
2004-11-01,100.1342,0.029,0.1478,0.2502,0.3302
2004-12-01,100.1178,-0.0164,0.0706,0.2089,0.3277
2005-01-01,100.0623,-0.0555,-0.0429,0.1234,0.2748
2005-02-01,99.9892,-0.0731,-0.145,0.0028,0.1882
2005-03-01,99.9301,-0.0591,-0.1877,-0.1171,0.1034
2005-04-01,99.8984,-0.0317,-0.1639,-0.2068,0.0428
2005-05-01,99.8777,-0.0208,-0.1116,-0.2565,-0.0063
2005-06-01,99.8518,-0.0259,-0.0784,-0.2661,-0.0572
2005-07-01,99.8228,-0.029,-0.0756,-0.2395,-0.1161
2005-08-01,99.8058,-0.017,-0.0719,-0.1834,-0.1806
2005-09-01,99.8128,0.0071,-0.0389,-0.1173,-0.2344
2005-10-01,99.8371,0.0243,0.0143,-0.0613,-0.2681
2005-11-01,99.8623,0.0252,0.0565,-0.0154,-0.2719
2005-12-01,99.8773,0.015,0.0644,0.0255,-0.2405
2006-01-01,99.8729,-0.0044,0.0358,0.0501,-0.1894
2006-02-01,99.8595,-0.0134,-0.0028,0.0537,-0.1298
2006-03-01,99.842,-0.0174,-0.0353,0.0292,-0.0881
2006-04-01,99.8421,0.0,-0.0308,0.005,-0.0564
2006-05-01,99.8957,0.0536,0.0362,0.0334,0.018
2006-06-01,100.0158,0.1201,0.1738,0.1385,0.1641
2006-07-01,100.1786,0.1628,0.3365,0.3057,0.3558
2006-08-01,100.3487,0.1701,0.453,0.4892,0.5429
2006-09-01,100.5034,0.1547,0.4876,0.6614,0.6906
2006-10-01,100.6305,0.1271,0.4519,0.7884,0.7934
