date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,100.5268,,,,
2000-02-01,100.633,0.1062,,,
2000-03-01,100.7535,0.1205,,,
2000-04-01,100.8782,0.1247,0.3514,,
2000-05-01,101.0023,0.1241,0.3693,,
2000-06-01,101.1084,0.1061,0.3549,,
2000-07-01,101.17,0.0616,0.2918,0.6432,
2000-08-01,101.1666,-0.0034,0.1643,0.5336,
2000-09-01,101.1102,-0.0564,0.0018,0.3567,
2000-10-01,101.0236,-0.0866,-0.1464,0.1454,
2000-11-01,100.9298,-0.0938,-0.2368,-0.0725,
2000-12-01,100.8403,-0.0895,-0.2699,-0.2681,
2001-01-01,100.7376,-0.1027,-0.286,-0.4324,0.2108
2001-02-01,100.5701,-0.1675,-0.3597,-0.5965,-0.0629
2001-03-01,100.2849,-0.2852,-0.5554,-0.8253,-0.4686
2001-04-01,99.8863,-0.3986,-0.8513,-1.1373,-0.9919
2001-05-01,99.397,-0.4892,-1.1731,-1.5328,-1.6053
2001-06-01,98.8766,-0.5204,-1.4082,-1.9637,-2.2318
2001-07-01,98.4063,-0.4703,-1.4799,-2.3313,-2.7637
2001-08-01,98.0809,-0.3254,-1.3162,-2.4892,-3.0857
2001-09-01,97.9589,-0.122,-0.9177,-2.326,-3.1513
2001-10-01,98.0558,0.0969,-0.3505,-1.8304,-2.9678
2001-11-01,98.3267,0.2709,0.2458,-1.0703,-2.6031
2001-12-01,98.6831,0.3564,0.7242,-0.1935,-2.1572
2002-01-01,99.0314,0.3483,0.9756,0.6251,-1.7062
2002-02-01,99.2973,0.2658,0.9706,1.2164,-1.2728
2002-03-01,99.4344,0.1372,0.7513,1.4755,-0.8505
2002-04-01,99.4529,0.0185,0.4215,1.397,-0.4334
2002-05-01,99.3778,-0.075,0.0806,1.0511,-0.0192
2002-06-01,99.2583,-0.1196,-0.1762,0.5751,0.3816
2002-07-01,99.1454,-0.1129,-0.3075,0.1139,0.739
2002-08-01,99.0837,-0.0616,-0.2941,-0.2135,1.0028
2002-09-01,99.095,0.0113,-0.1633,-0.3394,1.1361
2002-10-01,99.1607,0.0656,0.0153,-0.2922,1.1048
2002-11-01,99.2282,0.0675,0.1445,-0.1497,0.9015
2002-12-01,99.2214,-0.0068,0.1264,-0.0369,0.5383
2003-01-01,99.0955,-0.1259,-0.0651,-0.0498,0.0641
2003-02-01,98.8723,-0.2232,-0.3559,-0.2114,-0.425
2003-03-01,98.6096,-0.2627,-0.6118,-0.4854,-0.8248
2003-04-01,98.3688,-0.2408,-0.7268,-0.7919,-1.0841
2003-05-01,98.1941,-0.1747,-0.6782,-1.0341,-1.1838
2003-06-01,98.1491,-0.045,-0.4605,-1.0723,-1.1092
2003-07-01,98.292,0.1429,-0.0768,-0.8035,-0.8534
2003-08-01,98.6493,0.3573,0.4552,-0.223,-0.4344
2003-09-01,99.173,0.5237,1.0239,0.5634,0.078
2003-10-01,99.7583,0.5853,1.4663,1.3896,0.5977
2003-11-01,100.2823,0.524,1.633,2.0882,1.0541
2003-12-01,100.6549,0.3726,1.4819,2.5058,1.4335
2004-01-01,100.8509,0.196,1.0926,2.5589,1.7554
2004-02-01,100.8971,0.0462,0.6148,2.2478,2.0248
2004-03-01,100.846,-0.0511,0.1911,1.673,2.2364
2004-04-01,100.7724,-0.0736,-0.0785,1.0141,2.4036
2004-05-01,100.726,-0.0464,-0.1711,0.4437,2.5319
2004-06-01,100.7199,-0.0061,-0.1261,0.065,2.5708
2004-07-01,100.7344,0.0145,-0.038,-0.1165,2.4424
2004-08-01,100.7458,0.0114,0.0198,-0.1513,2.0965
2004-09-01,100.7568,0.011,0.0369,-0.0892,1.5838
2004-10-01,100.7562,-0.0006,0.0218,-0.0162,0.9979
2004-11-01,100.7102,-0.046,-0.0356,-0.0158,0.4279
2004-12-01,100.5848,-0.1254,-0.172,-0.1351,-0.0701
2005-01-01,100.3592,-0.2256,-0.397,-0.3752,-0.4917
2005-02-01,100.0592,-0.3,-0.651,-0.6866,-0.8379
2005-03-01,99.7136,-0.3456,-0.8712,-1.0432,-1.1324
2005-04-01,99.349,-0.3645,-1.0102,-1.4072,-1.4234
2005-05-01,98.99,-0.3591,-1.0692,-1.7202,-1.736
2005-06-01,98.6714,-0.3186,-1.0422,-1.9134,-2.0485
2005-07-01,98.4258,-0.2456,-0.9233,-1.9334,-2.3086
2005-08-01,98.279,-0.1468,-0.711,-1.7802,-2.4668
2005-09-01,98.2552,-0.0238,-0.4162,-1.4584,-2.5016
2005-10-01,98.3523,0.0971,-0.0735,-0.9968,-2.4039
2005-11-01,98.5528,0.2005,0.2738,-0.4372,-2.1574
2005-12-01,98.8324,0.2796,0.5771,0.161,-1.7524
2006-01-01,99.1304,0.2981,0.7781,0.7047,-1.2288
2006-02-01,99.397,0.2665,0.8442,1.118,-0.6622
2006-03-01,99.598,0.201,0.7656,1.3428,-0.1156
2006-04-01,99.7203,0.1223,0.5898,1.368,0.3712
2006-05-01,99.7767,0.0564,0.3797,1.2239,0.7867
2006-06-01,99.8048,0.0281,0.2068,0.9725,1.1334
2006-07-01,99.8511,0.0463,0.1308,0.7207,1.4253
2006-08-01,99.9414,0.0903,0.1647,0.5444,1.6624
2006-09-01,100.1035,0.1621,0.2987,0.5055,1.8483
2006-10-01,100.3406,0.2371,0.4895,0.6203,1.9883
2006-11-01,100.6285,0.2879,0.6871,0.8518,2.0757
2006-12-01,100.927,0.2985,0.8235,1.1222,2.0946
2007-01-01,101.2142,0.2872,0.8736,1.3631,2.0838
2007-02-01,101.4954,0.2812,0.8669,1.554,2.0984
2007-03-01,101.7613,0.2659,0.8343,1.6578,2.1633
2007-04-01,102.0122,0.2509,0.798,1.6716,2.2919
2007-05-01,102.2334,0.2212,0.738,1.6049,2.4567
2007-06-01,102.4248,0.1914,0.6635,1.4978,2.62
2007-07-01,102.5925,0.1677,0.5803,1.3783,2.7414
2007-08-01,102.7376,0.1451,0.5042,1.2422,2.7962
2007-09-01,102.8725,0.1349,0.4477,1.1112,2.769
2007-10-01,102.9789,0.1064,0.3864,0.9667,2.6383
2007-11-01,103.0329,0.054,0.2953,0.7995,2.4044
