date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,100.9145,,,,
2000-02-01,101.0541,0.1396,,,
2000-03-01,101.1574,0.1033,,,
2000-04-01,101.2121,0.0547,0.2976,,
2000-05-01,101.2253,0.0132,0.1712,,
2000-06-01,101.1938,-0.0315,0.0364,,
2000-07-01,101.0979,-0.0959,-0.1142,0.1834,
2000-08-01,100.9133,-0.1846,-0.312,-0.1408,
2000-09-01,100.6281,-0.2852,-0.5657,-0.5293,
2000-10-01,100.2599,-0.3682,-0.838,-0.9522,
2000-11-01,99.8491,-0.4108,-1.0642,-1.3762,
2000-12-01,99.4478,-0.4013,-1.1804,-1.746,
2001-01-01,99.0911,-0.3566,-1.1688,-2.0068,-1.8234
2001-02-01,98.8051,-0.2861,-1.044,-2.1082,-2.249
2001-03-01,98.6042,-0.2009,-0.8435,-2.0239,-2.5532
2001-04-01,98.4742,-0.13,-0.6169,-1.7857,-2.7379
2001-05-01,98.3869,-0.0873,-0.4182,-1.4622,-2.8384
2001-06-01,98.323,-0.0639,-0.2812,-1.1247,-2.8708
2001-07-01,98.2957,-0.0273,-0.1785,-0.7955,-2.8022
2001-08-01,98.3306,0.0349,-0.0563,-0.4745,-2.5827
2001-09-01,98.4467,0.1161,0.1237,-0.1575,-2.1814
2001-10-01,98.6737,0.227,0.378,0.1995,-1.5862
2001-11-01,99.0326,0.3589,0.702,0.6457,-0.8165
2001-12-01,99.4735,0.4409,1.0268,1.1505,0.0258
2002-01-01,99.9342,0.4607,1.2605,1.6385,0.843
2002-02-01,100.3417,0.4075,1.3091,2.0111,1.5366
2002-03-01,100.6303,0.2886,1.1568,2.1836,2.0261
2002-04-01,100.7611,0.1308,0.8269,2.0874,2.2869
2002-05-01,100.7358,-0.0253,0.3941,1.7032,2.3489
2002-06-01,100.574,-0.1618,-0.0563,1.1005,2.251
2002-07-01,100.3131,-0.2609,-0.448,0.3789,2.0174
2002-08-01,100.0192,-0.2939,-0.7166,-0.3225,1.6886
2002-09-01,99.7313,-0.2879,-0.8427,-0.899,1.2846
2002-10-01,99.4644,-0.2669,-0.8487,-1.2967,0.7907
2002-11-01,99.2365,-0.2279,-0.7827,-1.4993,0.204
2002-12-01,99.0456,-0.191,-0.6857,-1.5284,-0.428
