date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,99.8217,,,,
2000-02-01,99.7686,-0.053,,,
2000-03-01,99.7423,-0.0263,,,
2000-04-01,99.7217,-0.0206,-0.0999,,
2000-05-01,99.6818,-0.0399,-0.0868,,
2000-06-01,99.6049,-0.0769,-0.1375,,
2000-07-01,99.4784,-0.1265,-0.2433,-0.3432,
2000-08-01,99.3176,-0.1608,-0.3642,-0.451,
2000-09-01,99.1394,-0.1782,-0.4654,-0.6029,
2000-10-01,98.9768,-0.1626,-0.5016,-0.7449,
2000-11-01,98.8527,-0.1242,-0.4649,-0.8291,
2000-12-01,98.7701,-0.0826,-0.3693,-0.8348,
2001-01-01,98.7164,-0.0537,-0.2604,-0.762,-1.1052
2001-02-01,98.6796,-0.0369,-0.1731,-0.638,-1.089
2001-03-01,98.6511,-0.0285,-0.119,-0.4884,-1.0913
2001-04-01,98.6102,-0.0409,-0.1062,-0.3666,-1.1115
2001-05-01,98.5297,-0.0806,-0.1499,-0.323,-1.1521
2001-06-01,98.4001,-0.1296,-0.251,-0.37,-1.2048
2001-07-01,98.2174,-0.1826,-0.3928,-0.499,-1.261
2001-08-01,98.0133,-0.2041,-0.5164,-0.6663,-1.3043
2001-09-01,97.8357,-0.1776,-0.5644,-0.8154,-1.3038
2001-10-01,97.7187,-0.117,-0.4988,-0.8915,-1.2581
2001-11-01,97.6858,-0.0329,-0.3276,-0.8439,-1.1669
2001-12-01,97.7444,0.0587,-0.0912,-0.6556,-1.0256
2002-01-01,97.8792,0.1347,0.1605,-0.3383,-0.8373
2002-02-01,98.0984,0.2193,0.4127,0.0851,-0.5812
2002-03-01,98.3858,0.2874,0.6414,0.5502,-0.2652
2002-04-01,98.7089,0.323,0.8297,0.9902,0.0987
2002-05-01,99.0409,0.332,0.9425,1.3551,0.5112
2002-06-01,99.366,0.3251,0.9801,1.6215,0.9659
2002-07-01,99.6721,0.3062,0.9632,1.793,1.4547
2002-08-01,99.9299,0.2578,0.889,1.8315,1.9166
2002-09-01,100.1316,0.2017,0.7657,1.7458,2.2959
2002-10-01,100.2828,0.1512,0.6107,1.5739,2.5641
2002-11-01,100.3997,0.1169,0.4698,1.3588,2.7139
2002-12-01,100.4965,0.0968,0.3649,1.1305,2.752
2003-01-01,100.5899,0.0934,0.3071,0.9178,2.7108
2003-02-01,100.6843,0.0944,0.2846,0.7544,2.5859
2003-03-01,100.7658,0.0815,0.2693,0.6342,2.38
2003-04-01,100.8254,0.0596,0.2355,0.5426,2.1165
2003-05-01,100.8611,0.0357,0.1768,0.4614,1.8202
2003-06-01,100.8713,0.0102,0.1055,0.3748,1.5054
2003-07-01,100.8676,-0.0037,0.0422,0.2777,1.1955
2003-08-01,100.8684,0.0008,0.0073,0.1841,0.9385
2003-09-01,100.8922,0.0238,0.0209,0.1264,0.7606
2003-10-01,100.9481,0.0559,0.0805,0.1227,0.6653
2003-11-01,101.0394,0.0913,0.171,0.1783,0.6397
2003-12-01,101.1502,0.1108,0.258,0.2789,0.6537
2004-01-01,101.2465,0.0963,0.2984,0.3789,0.6566
2004-02-01,101.2705,0.024,0.2311,0.4021,0.5862
2004-03-01,101.1823,-0.0882,0.0321,0.2901,0.4165
2004-04-01,100.9887,-0.1936,-0.2578,0.0406,0.1633
2004-05-01,100.7332,-0.2555,-0.5373,-0.3062,-0.1279
2004-06-01,100.4781,-0.2551,-0.7042,-0.6721,-0.3932
2004-07-01,100.2721,-0.206,-0.7166,-0.9744,-0.5955
2004-08-01,100.1246,-0.1475,-0.6086,-1.1459,-0.7438
2004-09-01,100.0188,-0.1058,-0.4593,-1.1635,-0.8734
2004-10-01,99.9338,-0.085,-0.3383,-1.0549,-1.0143
2004-11-01,99.8599,-0.074,-0.2647,-0.8733,-1.1795
2004-12-01,99.7882,-0.0717,-0.2306,-0.6899,-1.362
2005-01-01,99.7211,-0.0671,-0.2127,-0.551,-1.5254
2005-02-01,99.6677,-0.0534,-0.1922,-0.4569,-1.6028
2005-03-01,99.6398,-0.0279,-0.1484,-0.379,-1.5425
2005-04-01,99.6462,0.0064,-0.0749,-0.2876,-1.3425
2005-05-01,99.6772,0.031,0.0095,-0.1827,-1.056
2005-06-01,99.7271,0.05,0.0873,-0.061,-0.751
2005-07-01,99.7802,0.0531,0.134,0.0591,-0.4919
2005-08-01,99.8189,0.0387,0.1417,0.1512,-0.3057
2005-09-01,99.8356,0.0168,0.1085,0.1958,-0.1832
2005-10-01,99.8436,0.0079,0.0634,0.1974,-0.0903
2005-11-01,99.857,0.0135,0.0382,0.1799,-0.0028
2005-12-01,99.8908,0.0338,0.0552,0.1637,0.1027
2006-01-01,99.9468,0.056,0.1033,0.1666,0.2257
2006-02-01,100.0184,0.0716,0.1614,0.1995,0.3507
2006-03-01,100.0948,0.0764,0.204,0.2592,0.455
2006-04-01,100.1815,0.0867,0.2347,0.3379,0.5353
2006-05-01,100.277,0.0955,0.2586,0.42,0.5999
2006-06-01,100.3758,0.0988,0.281,0.485,0.6487
2006-07-01,100.4784,0.1026,0.2969,0.5316,0.6982
2006-08-01,100.6184,0.14,0.3414,0.6,0.7995
2006-09-01,100.8349,0.2165,0.4591,0.7401,0.9993
2006-10-01,101.1471,0.3122,0.6687,0.9656,1.3035
2006-11-01,101.5496,0.4025,0.9312,1.2726,1.6926
2006-12-01,102.023,0.4734,1.1881,1.6472,2.1322
2007-01-01,102.5474,0.5244,1.4003,2.069,2.6006
2007-02-01,103.0993,0.5519,1.5497,2.4809,3.0809
2007-03-01,103.6661,0.5668,1.6431,2.8312,3.5713
2007-04-01,104.2389,0.5728,1.6915,3.0918,4.0574
2007-05-01,104.7877,0.5488,1.6884,3.2381,4.5107
2007-06-01,105.2882,0.5005,1.6221,3.2652,4.9124
2007-07-01,105.7368,0.4486,1.4979,3.1894,5.2584
2007-08-01,106.1163,0.3795,1.3286,3.017,5.4979
2007-09-01,106.3327,0.2164,1.0445,2.6666,5.4978
2007-10-01,106.2714,-0.0613,0.5346,2.0325,5.1243
2007-11-01,105.88,-0.3914,-0.2363,1.0923,4.3304
2007-12-01,105.1869,-0.6931,-1.1458,-0.1013,3.1639
2008-01-01,104.2432,-0.9437,-2.0282,-1.4936,1.6958
2008-02-01,103.1203,-1.1229,-2.7597,-2.996,0.021
2008-03-01,101.8979,-1.2224,-3.289,-4.4348,-1.7682
2008-04-01,100.6288,-1.2691,-3.6144,-5.6426,-3.6101
2008-05-01,99.3523,-1.2765,-3.768,-6.5277,-5.4354
2008-06-01,98.0893,-1.2629,-3.8086,-7.0976,-7.1989
2008-07-01,96.8604,-1.2289,-3.7684,-7.3828,-8.8764
2008-08-01,95.7097,-1.1507,-3.6426,-7.4106,-10.4066
2008-09-01,94.7088,-1.0009,-3.3805,-7.1891,-11.6239
2008-10-01,93.9441,-0.7647,-2.9163,-6.6847,-12.3273
2008-11-01,93.499,-0.4451,-2.2107,-5.8533,-12.381
2008-12-01,93.413,-0.086,-1.2958,-4.6763,-11.7739
2009-01-01,93.6747,0.2616,-0.2695,-3.1857,-10.5685
2009-02-01,94.2319,0.5573,0.7329,-1.4778,-8.8884
2009-03-01,95.0136,0.7817,1.6006,0.3048,-6.8843
2009-04-01,95.9585,0.9449,2.2838,2.0144,-4.6703
2009-05-01,97.009,1.0505,2.7771,3.51,-2.3433
2009-06-01,98.0962,1.0872,3.0826,4.6832,0.0069
2009-07-01,99.1391,1.0429,3.1806,5.4644,2.2787
2009-08-01,100.0566,0.9175,3.0476,5.8247,4.3469
2009-09-01,100.8178,0.7612,2.7216,5.8042,6.109
2009-10-01,101.4209,0.6031,2.2818,5.4624,7.4768
2009-11-01,101.8592,0.4383,1.8026,4.8502,8.3602
2009-12-01,102.1154,0.2562,1.2976,4.0192,8.7024
2010-01-01,102.1829,0.0675,0.762,3.0438,8.5082
2010-02-01,102.0863,-0.0966,0.2271,2.0297,7.8544
2010-03-01,101.8628,-0.2235,-0.2526,1.045,6.8492
2010-04-01,101.5445,-0.3183,-0.6384,0.1236,5.586
2010-05-01,101.1755,-0.369,-0.9108,-0.6837,4.1665
2010-06-01,100.8232,-0.3523,-1.0396,-1.2922,2.727
2010-07-01,100.5524,-0.2708,-0.9921,-1.6305,1.4133
2010-08-01,100.4025,-0.1499,-0.773,-1.6838,0.3459
2010-09-01,100.3802,-0.0223,-0.443,-1.4826,-0.4376
2010-10-01,100.4643,0.0841,-0.0881,-1.0802,-0.9566
2010-11-01,100.6097,0.1454,0.2072,-0.5658,-1.2495
2010-12-01,100.7758,0.1661,0.3956,-0.0474,-1.3396
2011-01-01,100.9392,0.1634,0.4749,0.3868,-1.2437
2011-02-01,101.0825,0.1433,0.4728,0.68,-1.0038
2011-03-01,101.188,0.1055,0.4122,0.8078,-0.6748
2011-04-01,101.2366,0.0486,0.2974,0.7723,-0.3079
2011-05-01,101.218,-0.0186,0.1355,0.6083,0.0425
2011-06-01,101.1244,-0.0936,-0.0636,0.3486,0.3012
2011-07-01,100.9628,-0.1616,-0.2738,0.0236,0.4104
2011-08-01,100.7461,-0.2167,-0.4719,-0.3364,0.3436
2011-09-01,100.505,-0.2411,-0.6194,-0.683,0.1248
2011-10-01,100.2615,-0.2435,-0.7013,-0.9751,-0.2028
2011-11-01,100.045,-0.2165,-0.7011,-1.173,-0.5647
2011-12-01,99.8766,-0.1684,-0.6284,-1.2478,-0.8992
2012-01-01,99.7683,-0.1083,-0.4932,-1.1945,-1.1709
2012-02-01,99.7013,-0.067,-0.3437,-1.0448,-1.3812
2012-03-01,99.6461,-0.0552,-0.2304,-0.8589,-1.5419
2012-04-01,99.6027,-0.0434,-0.1656,-0.6588,-1.6339
2012-05-01,99.5834,-0.0194,-0.118,-0.4617,-1.6347
2012-06-01,99.5886,0.0053,-0.0575,-0.2879,-1.5357
2012-07-01,99.6176,0.029,0.0149,-0.1506,-1.3452
2012-08-01,99.6722,0.0546,0.0889,-0.0291,-1.0739
2012-09-01,99.7576,0.0854,0.169,0.1115,-0.7474
2012-10-01,99.887,0.1294,0.2694,0.2843,-0.3744
2012-11-01,100.0587,0.1716,0.3865,0.4754,0.0137
2012-12-01,100.2645,0.2058,0.5069,0.6758,0.3879
2013-01-01,100.4831,0.2186,0.596,0.8654,0.7148
2013-02-01,100.6701,0.187,0.6114,0.9979,0.9688
2013-03-01,100.8081,0.138,0.5436,1.0505,1.162
2013-04-01,100.8973,0.0892,0.4142,1.0102,1.2946
2013-05-01,100.9545,0.0572,0.2844,0.8958,1.3712
2013-06-01,101.0013,0.0468,0.1932,0.7368,1.4126
2013-07-01,101.0474,0.0461,0.1501,0.5643,1.4297
2013-08-01,101.0919,0.0445,0.1374,0.4218,1.4197
2013-09-01,101.1216,0.0297,0.1203,0.3135,1.364
2013-10-01,101.1206,-0.001,0.0732,0.2233,1.2335
2013-11-01,101.0734,-0.0472,-0.0185,0.1189,1.0147
2013-12-01,100.976,-0.0974,-0.1456,-0.0253,0.7115
2014-01-01,100.8313,-0.1447,-0.2893,-0.2161,0.3482
2014-02-01,100.662,-0.1693,-0.4114,-0.4299,-0.0081
2014-03-01,100.4865,-0.1755,-0.4895,-0.6351,-0.3216
2014-04-01,100.3231,-0.1634,-0.5082,-0.7975,-0.5742
2014-05-01,100.1812,-0.1419,-0.4808,-0.8922,-0.7733
2014-06-01,100.0645,-0.1167,-0.422,-0.9115,-0.9368
2014-07-01,99.9794,-0.0851,-0.3438,-0.852,-1.068
2014-08-01,99.9297,-0.0497,-0.2515,-0.7323,-1.1622
2014-09-01,99.907,-0.0227,-0.1575,-0.5795,-1.2146
2014-10-01,99.919,0.0121,-0.0603,-0.4041,-1.2016
2014-11-01,99.9698,0.0508,0.0401,-0.2114,-1.1036
2014-12-01,100.0605,0.0907,0.1535,-0.004,-0.9155
2015-01-01,100.1706,0.1101,0.2516,0.1912,-0.6607
2015-02-01,100.2923,0.1217,0.3225,0.3626,-0.3697
2015-03-01,100.4196,0.1273,0.3591,0.5126,-0.0669
2015-04-01,100.5208,0.1012,0.3502,0.6018,0.1977
2015-05-01,100.5437,0.0229,0.2514,0.5739,0.3625
2015-06-01,100.4682,-0.0755,0.0486,0.4077,0.4037
2015-07-01,100.3227,-0.1455,-0.1981,0.1521,0.3434
2015-08-01,100.1579,-0.1648,-0.3858,-0.1344,0.2282
2015-09-01,100.0086,-0.1493,-0.4596,-0.411,0.1016
2015-10-01,99.8879,-0.1207,-0.4348,-0.6329,-0.0311
2015-11-01,99.7844,-0.1036,-0.3735,-0.7593,-0.1854
2015-12-01,99.6819,-0.1024,-0.3267,-0.7863,-0.3786
2016-01-01,99.5865,-0.0954,-0.3014,-0.7362,-0.5841
2016-02-01,99.5198,-0.0666,-0.2645,-0.6381,-0.7725
2016-03-01,99.4901,-0.0297,-0.1918,-0.5185,-0.9295
2016-04-01,99.4924,0.0023,-0.0941,-0.3955,-1.0284
2016-05-01,99.5236,0.0312,0.0038,-0.2607,-1.0201
2016-06-01,99.5907,0.0671,0.1006,-0.0912,-0.8775
2016-07-01,99.6947,0.104,0.2023,0.1083,-0.628
2016-08-01,99.8236,0.1289,0.3,0.3038,-0.3343
2016-09-01,99.9735,0.1498,0.3828,0.4834,-0.0351
2016-10-01,100.1246,0.1511,0.4299,0.6322,0.2367
2016-11-01,100.2618,0.1372,0.4382,0.7382,0.4774
2016-12-01,100.3698,0.108,0.3963,0.7791,0.6879
2017-01-01,100.4492,0.0794,0.3246,0.7545,0.8627
2017-02-01,100.5041,0.0549,0.2423,0.6805,0.9843
2017-03-01,100.5407,0.0366,0.1709,0.5672,1.0506
2017-04-01,100.5716,0.0309,0.1224,0.447,1.0792
2017-05-01,100.607,0.0354,0.1029,0.3452,1.0834
2017-06-01,100.6488,0.0418,0.1081,0.279,1.0581
2017-07-01,100.6848,0.036,0.1132,0.2356,0.9901
2017-08-01,100.7009,0.0161,0.0939,0.1968,0.8773
2017-09-01,100.6845,-0.0164,0.0357,0.1438,0.711
2017-10-01,100.631,-0.0535,-0.0538,0.0594,0.5064
2017-11-01,100.541,-0.09,-0.1599,-0.066,0.2792
2017-12-01,100.4203,-0.1207,-0.2642,-0.2285,0.0505
