date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,101.3138,,,,
2000-02-01,101.4775,0.1637,,,
2000-03-01,101.6503,0.1728,,,
2000-04-01,101.8321,0.1818,0.5183,,
2000-05-01,101.9998,0.1677,0.5223,,
2000-06-01,102.1262,0.1264,0.4759,,
2000-07-01,102.2066,0.0804,0.3745,0.8928,
2000-08-01,102.2128,0.0062,0.213,0.7353,
2000-09-01,102.1298,-0.083,0.0036,0.4795,
2000-10-01,101.9476,-0.1822,-0.259,0.1155,
2000-11-01,101.6709,-0.2767,-0.5419,-0.3289,
2000-12-01,101.316,-0.3549,-0.8138,-0.8102,
2001-01-01,100.9166,-0.3994,-1.031,-1.29,-0.3972
2001-02-01,100.4993,-0.4173,-1.1716,-1.7135,-0.9782
2001-03-01,100.0906,-0.4087,-1.2254,-2.0392,-1.5597
2001-04-01,99.7035,-0.3871,-1.2131,-2.2441,-2.1286
2001-05-01,99.3409,-0.3626,-1.1584,-2.33,-2.6589
2001-06-01,98.9948,-0.3461,-1.0957,-2.3212,-3.1313
2001-07-01,98.6787,-0.3161,-1.0247,-2.2379,-3.5279
2001-08-01,98.4048,-0.274,-0.9361,-2.0945,-3.808
2001-09-01,98.1851,-0.2197,-0.8097,-1.9055,-3.9447
2001-10-01,98.0616,-0.1235,-0.6171,-1.6419,-3.886
2001-11-01,98.0656,0.004,-0.3392,-1.2753,-3.6053
2001-12-01,98.2024,0.1368,0.0173,-0.7924,-3.1136
2002-01-01,98.4379,0.2355,0.3763,-0.2408,-2.4787
2002-02-01,98.7259,0.288,0.6603,0.3211,-1.7734
2002-03-01,98.9934,0.2675,0.7909,0.8083,-1.0972
2002-04-01,99.1849,0.1915,0.747,1.1233,-0.5186
2002-05-01,99.2803,0.0954,0.5545,1.2147,-0.0606
2002-06-01,99.2787,-0.0016,0.2853,1.0763,0.2839
2002-07-01,99.2032,-0.0755,0.0183,0.7653,0.5244
2002-08-01,99.0831,-0.1201,-0.1972,0.3572,0.6783
2002-09-01,98.9453,-0.1378,-0.3334,-0.0481,0.7602
2002-10-01,98.8106,-0.1348,-0.3926,-0.3743,0.7489
2002-11-01,98.6996,-0.1109,-0.3835,-0.5807,0.634
2002-12-01,98.6252,-0.0744,-0.3201,-0.6535,0.4227
2003-01-01,98.5917,-0.0335,-0.2188,-0.6115,0.1538
2003-02-01,98.592,0.0002,-0.1077,-0.4912,-0.1339
2003-03-01,98.6284,0.0364,0.0032,-0.317,-0.365
2003-04-01,98.7124,0.0841,0.1207,-0.0981,-0.4725
2003-05-01,98.8588,0.1463,0.2668,0.1591,-0.4216
2003-06-01,99.0819,0.2232,0.4536,0.4567,-0.1968
2003-07-01,99.3562,0.2742,0.6438,0.7644,0.153
2003-08-01,99.6515,0.2953,0.7927,1.0595,0.5684
2003-09-01,99.9326,0.2811,0.8507,1.3042,0.9873
2003-10-01,100.1788,0.2462,0.8226,1.4664,1.3682
2003-11-01,100.3617,0.1829,0.7102,1.5029,1.6621
2003-12-01,100.4665,0.1048,0.5339,1.3846,1.8413
2004-01-01,100.511,0.0445,0.3322,1.1548,1.9193
2004-02-01,100.5231,0.0121,0.1614,0.8716,1.9311
2004-03-01,100.5203,-0.0028,0.0538,0.5877,1.8919
2004-04-01,100.5139,-0.0064,0.0029,0.3351,1.8015
2004-05-01,100.4958,-0.0181,-0.0273,0.1341,1.637
2004-06-01,100.4638,-0.032,-0.0565,-0.0027,1.3819
2004-07-01,100.4257,-0.0381,-0.0882,-0.0853,1.0695
2004-08-01,100.3787,-0.047,-0.1171,-0.1444,0.7272
2004-09-01,100.3188,-0.0599,-0.145,-0.2015,0.3862
2004-10-01,100.2393,-0.0795,-0.1864,-0.2746,0.0605
2004-11-01,100.1451,-0.0942,-0.2336,-0.3507,-0.2166
2004-12-01,100.0404,-0.1047,-0.2784,-0.4234,-0.4261
2005-01-01,99.9197,-0.1207,-0.3196,-0.506,-0.5913
2005-02-01,99.7895,-0.1303,-0.3556,-0.5892,-0.7336
2005-03-01,99.6686,-0.1209,-0.3718,-0.6502,-0.8517
2005-04-01,99.5855,-0.0831,-0.3342,-0.6538,-0.9284
2005-05-01,99.559,-0.0265,-0.2305,-0.5861,-0.9368
2005-06-01,99.5995,0.0405,-0.0691,-0.4409,-0.8643
2005-07-01,99.705,0.1056,0.1195,-0.2147,-0.7207
2005-08-01,99.8569,0.1518,0.2979,0.0674,-0.5218
2005-09-01,100.0507,0.1938,0.4512,0.3821,-0.2681
2005-10-01,100.2691,0.2184,0.5641,0.6836,0.0298
2005-11-01,100.4947,0.2256,0.6378,0.9357,0.3496
2005-12-01,100.7268,0.2321,0.6761,1.1273,0.6864
2006-01-01,100.9506,0.2238,0.6815,1.2456,1.0309
2006-02-01,101.1456,0.195,0.6509,1.2887,1.3561
2006-03-01,101.2966,0.151,0.5698,1.2459,1.628
2006-04-01,101.3965,0.0999,0.4459,1.1274,1.811
2006-05-01,101.4443,0.0478,0.2987,0.9496,1.8853
2006-06-01,101.4558,0.0115,0.1592,0.729,1.8563
2006-07-01,101.4473,-0.0085,0.0508,0.4967,1.7423
2006-08-01,101.4438,-0.0035,-0.0005,0.2982,1.5869
2006-09-01,101.4632,0.0194,0.0074,0.1666,1.4125
2006-10-01,101.5125,0.0493,0.0652,0.116,1.2434
2006-11-01,101.59,0.0775,0.1462,0.1457,1.0953
2006-12-01,101.6749,0.0849,0.2117,0.2191,0.9481
