date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,103.5345,,,,
2000-02-01,103.5606,0.0261,,,
2000-03-01,103.5062,-0.0544,,,
2000-04-01,103.3652,-0.141,-0.1693,,
2000-05-01,103.1542,-0.211,-0.4064,,
2000-06-01,102.8985,-0.2557,-0.6077,,
2000-07-01,102.6203,-0.2782,-0.7449,-0.9142,
2000-08-01,102.3406,-0.2797,-0.8136,-1.22,
2000-09-01,102.0789,-0.2617,-0.8196,-1.4273,
2000-10-01,101.848,-0.2309,-0.7723,-1.5172,
2000-11-01,101.6442,-0.2038,-0.6964,-1.51,
2000-12-01,101.453,-0.1912,-0.6259,-1.4455,
2001-01-01,101.2636,-0.1894,-0.5844,-1.3567,-2.2709
2001-02-01,101.0604,-0.2032,-0.5838,-1.2802,-2.5002
2001-03-01,100.8301,-0.2303,-0.6229,-1.2488,-2.6761
2001-04-01,100.5647,-0.2654,-0.6989,-1.2833,-2.8005
2001-05-01,100.273,-0.2917,-0.7874,-1.3712,-2.8812
2001-06-01,99.964,-0.309,-0.8661,-1.489,-2.9345
2001-07-01,99.6592,-0.3048,-0.9055,-1.6044,-2.9611
2001-08-01,99.3801,-0.2791,-0.8929,-1.6803,-2.9605
2001-09-01,99.128,-0.2521,-0.836,-1.7022,-2.951
2001-10-01,98.8985,-0.2294,-0.7606,-1.6662,-2.9495
2001-11-01,98.6726,-0.226,-0.7075,-1.6004,-2.9716
2001-12-01,98.4389,-0.2337,-0.6891,-1.5251,-3.0141
2002-01-01,98.1964,-0.2425,-0.7022,-1.4628,-3.0672
2002-02-01,97.955,-0.2414,-0.7176,-1.4251,-3.1054
2002-03-01,97.7232,-0.2318,-0.7157,-1.4048,-3.1069
2002-04-01,97.5131,-0.2101,-0.6833,-1.3855,-3.0516
2002-05-01,97.3298,-0.1832,-0.6251,-1.3427,-2.9432
2002-06-01,97.1719,-0.158,-0.5513,-1.267,-2.7921
2002-07-01,97.0505,-0.1213,-0.4625,-1.1459,-2.6086
2002-08-01,96.9737,-0.0768,-0.3561,-0.9813,-2.4064
2002-09-01,96.9379,-0.0358,-0.234,-0.7853,-2.1901
2002-10-01,96.9142,-0.0237,-0.1364,-0.5989,-1.9844
2002-11-01,96.8875,-0.0267,-0.0862,-0.4424,-1.7851
2002-12-01,96.8554,-0.0321,-0.0825,-0.3165,-1.5835
2003-01-01,96.8463,-0.0091,-0.0679,-0.2042,-1.3501
2003-02-01,96.8815,0.0352,-0.006,-0.0922,-1.0735
2003-03-01,96.9756,0.0941,0.1202,0.0377,-0.7476
2003-04-01,97.1348,0.1592,0.2885,0.2206,-0.3783
2003-05-01,97.3445,0.2097,0.463,0.457,0.0146
2003-06-01,97.5845,0.2401,0.609,0.7292,0.4127
2003-07-01,97.8388,0.2542,0.704,0.9925,0.7882
2003-08-01,98.1028,0.264,0.7583,1.2213,1.1291
2003-09-01,98.368,0.2653,0.7835,1.3925,1.4302
2003-10-01,98.6204,0.2524,0.7816,1.4856,1.7062
2003-11-01,98.8535,0.2331,0.7508,1.5091,1.966
2003-12-01,99.0511,0.1976,0.6831,1.4666,2.1957
2004-01-01,99.2095,0.1584,0.5891,1.3707,2.3632
2004-02-01,99.3363,0.1268,0.4827,1.2335,2.4548
2004-03-01,99.4362,0.1,0.3851,1.0682,2.4607
2004-04-01,99.52,0.0837,0.3105,0.8995,2.3852
2004-05-01,99.594,0.074,0.2577,0.7405,2.2495
2004-06-01,99.6697,0.0757,0.2335,0.6186,2.0852
2004-07-01,99.7635,0.0938,0.2436,0.554,1.9248
2004-08-01,99.8833,0.1198,0.2893,0.547,1.7805
2004-09-01,100.0323,0.149,0.3626,0.5961,1.6643
2004-10-01,100.1927,0.1604,0.4292,0.6728,1.5723
2004-11-01,100.3366,0.1439,0.4533,0.7426,1.4831
2004-12-01,100.4497,0.1131,0.4174,0.78,1.3986
2005-01-01,100.5278,0.0781,0.3351,0.7643,1.3183
2005-02-01,100.5831,0.0553,0.2465,0.6998,1.2468
2005-03-01,100.6342,0.0511,0.1845,0.6019,1.198
2005-04-01,100.7011,0.0669,0.1733,0.5084,1.1812
2005-05-01,100.7905,0.0894,0.2074,0.4539,1.1965
2005-06-01,100.905,0.1145,0.2708,0.4553,1.2353
2005-07-01,101.0408,0.1358,0.3397,0.513,1.2773
2005-08-01,101.1902,0.1494,0.3997,0.6071,1.3069
2005-09-01,101.3426,0.1524,0.4376,0.7084,1.3103
2005-10-01,101.4865,0.1439,0.4457,0.7854,1.2938
2005-11-01,101.6189,0.1324,0.4287,0.8284,1.2823
2005-12-01,101.7426,0.1237,0.4,0.8376,1.2929
2006-01-01,101.8537,0.1111,0.3672,0.8129,1.3259
2006-02-01,101.9631,0.1094,0.3442,0.7729,1.38
2006-03-01,102.0821,0.119,0.3395,0.7395,1.4479
2006-04-01,102.2182,0.1361,0.3645,0.7317,1.5171
2006-05-01,102.3819,0.1637,0.4188,0.763,1.5914
2006-06-01,102.5883,0.2064,0.5062,0.8457,1.6833
2006-07-01,102.8514,0.2631,0.6332,0.9977,1.8106
2006-08-01,103.1713,0.3199,0.7894,1.2082,1.9811
2006-09-01,103.5285,0.3572,0.9402,1.4464,2.1859
2006-10-01,103.8927,0.3642,1.0413,1.6745,2.4062
2006-11-01,104.2222,0.3295,1.0509,1.8403,2.6033
2006-12-01,104.4889,0.2667,0.9604,1.9006,2.7463
2007-01-01,104.6946,0.2057,0.8019,1.8432,2.8409
2007-02-01,104.8577,0.1631,0.6355,1.6864,2.8946
2007-03-01,104.9924,0.1347,0.5035,1.4639,2.9103
2007-04-01,105.1077,0.1153,0.4131,1.215,2.8895
2007-05-01,105.2077,0.1,0.35,0.9855,2.8258
2007-06-01,105.2786,0.0709,0.2862,0.7897,2.6903
2007-07-01,105.2997,0.0211,0.192,0.6051,2.4483
2007-08-01,105.2512,-0.0485,0.0435,0.3935,2.0799
2007-09-01,105.1215,-0.1297,-0.1571,0.1291,1.593
2007-10-01,104.894,-0.2275,-0.4057,-0.2137,1.0013
2007-11-01,104.5491,-0.3449,-0.7021,-0.6586,0.3269
2007-12-01,104.0798,-0.4693,-1.0417,-1.1988,-0.4091
2008-01-01,103.4951,-0.5847,-1.3989,-1.8046,-1.1995
2008-02-01,102.8019,-0.6932,-1.7472,-2.4493,-2.0558
2008-03-01,102.0024,-0.7995,-2.0774,-3.1191,-2.99
