date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,102.0166,,,,
2000-02-01,102.2221,0.2055,,,
2000-03-01,102.4189,0.1968,,,
2000-04-01,102.5924,0.1735,0.5758,,
2000-05-01,102.7402,0.1478,0.5181,,
2000-06-01,102.8637,0.1235,0.4448,,
2000-07-01,102.9508,0.0871,0.3584,0.9342,
2000-08-01,103.0012,0.0504,0.261,0.7791,
2000-09-01,103.0202,0.019,0.1565,0.6013,
2000-10-01,102.9968,-0.0234,0.046,0.4044,
2000-11-01,102.92,-0.0768,-0.0812,0.1798,
2000-12-01,102.7842,-0.1358,-0.236,-0.0795,
2001-01-01,102.5894,-0.1948,-0.4074,-0.3614,0.5728
2001-02-01,102.3351,-0.2543,-0.5849,-0.6661,0.113
2001-03-01,102.0265,-0.3086,-0.7577,-0.9937,-0.3924
2001-04-01,101.6797,-0.3468,-0.9097,-1.3171,-0.9127
2001-05-01,101.2958,-0.3839,-1.0393,-1.6242,-1.4444
2001-06-01,100.876,-0.4198,-1.1505,-1.9082,-1.9877
2001-07-01,100.4356,-0.4404,-1.2441,-2.1538,-2.5152
2001-08-01,100.0154,-0.4202,-1.2804,-2.3197,-2.9858
2001-09-01,99.6633,-0.3521,-1.2127,-2.3632,-3.3569
2001-10-01,99.4307,-0.2326,-1.0049,-2.249,-3.5661
2001-11-01,99.3323,-0.0983,-0.6831,-1.9635,-3.5877
2001-12-01,99.3512,0.0188,-0.3121,-1.5248,-3.433
2002-01-01,99.4285,0.0773,-0.0022,-1.0071,-3.1609
2002-02-01,99.5116,0.0831,0.1793,-0.5038,-2.8235
2002-03-01,99.5692,0.0576,0.218,-0.0941,-2.4573
2002-04-01,99.5669,-0.0023,0.1384,0.1363,-2.1128
2002-05-01,99.4857,-0.0812,-0.0259,0.1534,-1.8101
2002-06-01,99.3243,-0.1614,-0.2449,-0.0269,-1.5517
2002-07-01,99.1221,-0.2022,-0.4449,-0.3064,-1.3135
