date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,101.5274,,,,
2000-02-01,101.5685,0.0411,,,
2000-03-01,101.5755,0.007,,,
2000-04-01,101.5495,-0.026,0.0221,,
2000-05-01,101.4874,-0.0621,-0.0811,,
2000-06-01,101.3916,-0.0958,-0.1839,,
2000-07-01,101.2588,-0.1328,-0.2907,-0.2686,
2000-08-01,101.0877,-0.1711,-0.3997,-0.4808,
2000-09-01,100.8768,-0.2109,-0.5148,-0.6987,
2000-10-01,100.625,-0.2518,-0.6338,-0.9245,
2000-11-01,100.3409,-0.2841,-0.7468,-1.1465,
2000-12-01,100.0365,-0.3044,-0.8403,-1.3551,
2001-01-01,99.7386,-0.2979,-0.8864,-1.5202,-1.7888
2001-02-01,99.4769,-0.2617,-0.864,-1.6108,-2.0916
2001-03-01,99.2643,-0.2126,-0.7722,-1.6125,-2.3112
2001-04-01,99.0997,-0.1647,-0.6389,-1.5253,-2.4498
2001-05-01,98.9756,-0.1241,-0.5013,-1.3653,-2.5118
2001-06-01,98.8552,-0.1204,-0.4091,-1.1813,-2.5364
2001-07-01,98.7327,-0.1225,-0.367,-1.0059,-2.5261
2001-08-01,98.6153,-0.1174,-0.3603,-0.8616,-2.4724
2001-09-01,98.5278,-0.0875,-0.3274,-0.7365,-2.349
2001-10-01,98.5159,-0.0119,-0.2168,-0.5838,-2.1091
2001-11-01,98.6001,0.0842,-0.0152,-0.3756,-1.7408
2001-12-01,98.767,0.1669,0.2391,-0.0883,-1.2696
2002-01-01,98.9815,0.2146,0.4656,0.2488,-0.7571
2002-02-01,99.2082,0.2266,0.6081,0.5929,-0.2687
2002-03-01,99.4058,0.1976,0.6388,0.878,0.1414
2002-04-01,99.5307,0.1249,0.5492,1.0148,0.431
2002-05-01,99.5621,0.0314,0.354,0.9621,0.5865
2002-06-01,99.5087,-0.0535,0.1029,0.7417,0.6534
2002-07-01,99.4009,-0.1078,-0.1298,0.4193,0.6682
2002-08-01,99.2693,-0.1316,-0.2929,0.0611,0.654
2002-09-01,99.1322,-0.1371,-0.3765,-0.2736,0.6043
2002-10-01,99.007,-0.1251,-0.3939,-0.5237,0.4911
2002-11-01,98.9018,-0.1052,-0.3675,-0.6604,0.3017
2002-12-01,98.8053,-0.0964,-0.3268,-0.7033,0.0384
2003-01-01,98.7127,-0.0927,-0.2943,-0.6882,-0.2689
2003-02-01,98.6399,-0.0728,-0.2619,-0.6294,-0.5683
2003-03-01,98.6139,-0.026,-0.1914,-0.5182,-0.7918
2003-04-01,98.6581,0.0442,-0.0546,-0.3489,-0.8726
2003-05-01,98.7691,0.1109,0.1291,-0.1327,-0.7931
2003-06-01,98.9381,0.1691,0.3242,0.1328,-0.5705
2003-07-01,99.1519,0.2137,0.4938,0.4392,-0.249
2003-08-01,99.4001,0.2482,0.631,0.7602,0.1308
2003-09-01,99.6721,0.272,0.734,1.0582,0.54
2003-10-01,99.9466,0.2745,0.7947,1.2884,0.9396
2003-11-01,100.1972,0.2506,0.7971,1.4281,1.2954
2003-12-01,100.4038,0.2066,0.7317,1.4657,1.5985
2004-01-01,100.5551,0.1513,0.6085,1.4032,1.8424
2004-02-01,100.6429,0.0878,0.4457,1.2428,2.003
2004-03-01,100.6738,0.0309,0.27,1.0017,2.0599
2004-04-01,100.6599,-0.0139,0.1048,0.7133,2.0018
2004-05-01,100.6192,-0.0407,-0.0237,0.422,1.8501
2004-06-01,100.5698,-0.0494,-0.104,0.166,1.6317
2004-07-01,100.5215,-0.0483,-0.1384,-0.0336,1.3696
2004-08-01,100.4818,-0.0397,-0.1374,-0.1611,1.0817
2004-09-01,100.4583,-0.0235,-0.1115,-0.2155,0.7862
2004-10-01,100.4462,-0.0121,-0.0753,-0.2137,0.4996
2004-11-01,100.4359,-0.0103,-0.0459,-0.1833,0.2387
2004-12-01,100.4091,-0.0268,-0.0492,-0.1607,0.0053
2005-01-01,100.3512,-0.0579,-0.095,-0.1703,-0.2039
2005-02-01,100.264,-0.0872,-0.1719,-0.2178,-0.3789
2005-03-01,100.1618,-0.1022,-0.2473,-0.2965,-0.512
2005-04-01,100.0706,-0.0912,-0.2806,-0.3756,-0.5893
2005-05-01,100.0116,-0.059,-0.2524,-0.4243,-0.6076
2005-06-01,99.9995,-0.0121,-0.1623,-0.4096,-0.5703
2005-07-01,100.0268,0.0273,-0.0438,-0.3244,-0.4947
2005-08-01,100.0838,0.057,0.0722,-0.1802,-0.398
2005-09-01,100.1678,0.084,0.1683,0.006,-0.2905
2005-10-01,100.2788,0.111,0.252,0.2082,-0.1674
2005-11-01,100.4116,0.1328,0.3278,0.4,-0.0243
2005-12-01,100.5497,0.1381,0.3819,0.5502,0.1406
2006-01-01,100.6755,0.1258,0.3967,0.6487,0.3243
2006-02-01,100.7787,0.1032,0.3671,0.6949,0.5147
2006-03-01,100.854,0.0753,0.3043,0.6862,0.6922
2006-04-01,100.8997,0.0457,0.2242,0.6209,0.8291
2006-05-01,100.9218,0.0221,0.1431,0.5102,0.9102
2006-06-01,100.938,0.0162,0.084,0.3883,0.9385
2006-07-01,100.9668,0.0288,0.0671,0.2913,0.94
2006-08-01,101.0293,0.0625,0.1075,0.2506,0.9455
2006-09-01,101.1354,0.1061,0.1974,0.2814,0.9676
2006-10-01,101.2782,0.1428,0.3114,0.3785,0.9994
2006-11-01,101.4467,0.1685,0.4174,0.5249,1.0351
2006-12-01,101.6262,0.1795,0.4908,0.6882,1.0765
2007-01-01,101.8036,0.1774,0.5254,0.8368,1.1281
2007-02-01,101.9859,0.1823,0.5392,0.9566,1.2072
2007-03-01,102.1667,0.1808,0.5405,1.0313,1.3127
2007-04-01,102.3407,0.174,0.5371,1.0625,1.441
2007-05-01,102.4927,0.152,0.5068,1.046,1.5709
2007-06-01,102.6117,0.119,0.445,0.9855,1.6737
2007-07-01,102.6916,0.0799,0.3509,0.888,1.7248
2007-08-01,102.7279,0.0363,0.2352,0.742,1.6986
2007-09-01,102.718,-0.0099,0.1063,0.5513,1.5826
2007-10-01,102.6497,-0.0683,-0.0419,0.309,1.3715
2007-11-01,102.5086,-0.1411,-0.2193,0.0159,1.0619
2007-12-01,102.3017,-0.2069,-0.4163,-0.31,0.6755
2008-01-01,102.0301,-0.2716,-0.6196,-0.6615,0.2265
2008-02-01,101.6879,-0.3422,-0.8207,-1.04,-0.298
2008-03-01,101.2927,-0.3952,-1.009,-1.4253,-0.874
2008-04-01,100.8453,-0.4474,-1.1848,-1.8044,-1.4954
2008-05-01,100.3335,-0.5118,-1.3544,-2.1751,-2.1592
2008-06-01,99.7453,-0.5882,-1.5474,-2.5564,-2.8664
2008-07-01,99.0666,-0.6788,-1.7787,-2.9635,-3.625
2008-08-01,98.3131,-0.7534,-2.0204,-3.3748,-4.4148
2008-09-01,97.5118,-0.8014,-2.2336,-3.7809,-5.2062
2008-10-01,96.7267,-0.7851,-2.3399,-4.1186,-5.923
2008-11-01,96.0617,-0.665,-2.2515,-4.2718,-6.4469
2008-12-01,95.6001,-0.4616,-1.9117,-4.1453,-6.7016
2009-01-01,95.3826,-0.2175,-1.3441,-3.684,-6.6475
2009-02-01,95.4333,0.0507,-0.6284,-2.8799,-6.2546
2009-03-01,95.7213,0.288,0.1212,-1.7905,-5.5714
2009-04-01,96.2084,0.4871,0.8258,-0.5183,-4.6369
2009-05-01,96.8258,0.6175,1.3926,0.7642,-3.5076
2009-06-01,97.5082,0.6823,1.7869,1.9081,-2.2371
2009-07-01,98.1938,0.6856,1.9855,2.8112,-0.8727
2009-08-01,98.8357,0.6419,2.0099,3.4024,0.5226
2009-09-01,99.4044,0.5687,1.8962,3.6831,1.8926
2009-10-01,99.8826,0.4783,1.6888,3.6743,3.156
2009-11-01,100.2681,0.3855,1.4324,3.4423,4.2064
2009-12-01,100.5633,0.2952,1.1589,3.0551,4.9632
2010-01-01,100.7696,0.2063,0.887,2.5758,5.387
2010-02-01,100.8875,0.1179,0.6194,2.0518,5.4542
2010-03-01,100.9343,0.0468,0.371,1.5299,5.213
2010-04-01,100.9131,-0.0212,0.1435,1.0305,4.7047
2010-05-01,100.8422,-0.0709,-0.0453,0.5741,4.0164
2010-06-01,100.7587,-0.0835,-0.1756,0.1954,3.2505
2010-07-01,100.7035,-0.0552,-0.2096,-0.0661,2.5097
2010-08-01,100.7028,-0.0007,-0.1394,-0.1847,1.8671
2010-09-01,100.7579,0.0551,-0.0008,-0.1764,1.3535
2010-10-01,100.8548,0.0969,0.1513,-0.0583,0.9722
