date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,101.244,,,,
2000-02-01,101.3608,0.1168,,,
2000-03-01,101.4908,0.13,,,
2000-04-01,101.6216,0.1308,0.3776,,
2000-05-01,101.7342,0.1126,0.3734,,
2000-06-01,101.8185,0.0843,0.3277,,
2000-07-01,101.8738,0.0553,0.2522,0.6298,
2000-08-01,101.8903,0.0165,0.1561,0.5295,
2000-09-01,101.859,-0.0313,0.0405,0.3682,
2000-10-01,101.7811,-0.0779,-0.0927,0.1595,
2000-11-01,101.6542,-0.1269,-0.2361,-0.08,
2000-12-01,101.4794,-0.1748,-0.3796,-0.3391,
2001-01-01,101.2589,-0.2205,-0.5222,-0.6149,0.0149
2001-02-01,101.0137,-0.2452,-0.6405,-0.8766,-0.3471
2001-03-01,100.7609,-0.2528,-0.7185,-1.0981,-0.7299
2001-04-01,100.5096,-0.2513,-0.7493,-1.2715,-1.112
2001-05-01,100.2629,-0.2467,-0.7508,-1.3913,-1.4713
2001-06-01,100.0058,-0.2571,-0.7551,-1.4736,-1.8127
2001-07-01,99.7374,-0.2684,-0.7722,-1.5215,-2.1364
2001-08-01,99.4723,-0.2651,-0.7906,-1.5414,-2.418
2001-09-01,99.2399,-0.2325,-0.7659,-1.521,-2.6191
2001-10-01,99.0898,-0.1501,-0.6476,-1.4198,-2.6913
2001-11-01,99.0561,-0.0337,-0.4163,-1.2068,-2.5981
2001-12-01,99.1352,0.0792,-0.1046,-0.8705,-2.3441
2002-01-01,99.2897,0.1545,0.2,-0.4477,-1.9692
2002-02-01,99.4741,0.1844,0.4181,0.0018,-1.5396
2002-03-01,99.6395,0.1654,0.5043,0.3997,-1.1214
2002-04-01,99.745,0.1055,0.4553,0.6552,-0.7646
2002-05-01,99.771,0.026,0.2969,0.7149,-0.4919
2002-06-01,99.7206,-0.0504,0.0811,0.5854,-0.2852
2002-07-01,99.6179,-0.1027,-0.1271,0.3282,-0.1195
2002-08-01,99.4791,-0.1388,-0.292,0.0049,0.0067
2002-09-01,99.3178,-0.1613,-0.4028,-0.3217,0.0779
2002-10-01,99.1479,-0.1699,-0.47,-0.5971,0.0581
2002-11-01,98.9791,-0.1688,-0.5,-0.7919,-0.077
2002-12-01,98.8113,-0.1678,-0.5065,-0.9093,-0.3239
2003-01-01,98.6557,-0.1556,-0.4922,-0.9621,-0.634
2003-02-01,98.5278,-0.1279,-0.4513,-0.9513,-0.9464
2003-03-01,98.4502,-0.0776,-0.3612,-0.8676,-1.1894
2003-04-01,98.4421,-0.0081,-0.2137,-0.7058,-1.3029
2003-05-01,98.4985,0.0564,-0.0293,-0.4806,-1.2725
2003-06-01,98.6161,0.1176,0.1659,-0.1953,-1.1045
2003-07-01,98.7768,0.1607,0.3347,0.1211,-0.8411
2003-08-01,98.9662,0.1894,0.4677,0.4384,-0.5129
2003-09-01,99.172,0.2058,0.5559,0.7219,-0.1458
2003-10-01,99.3778,0.2058,0.601,0.9357,0.2299
2003-11-01,99.5618,0.1841,0.5957,1.0633,0.5827
2003-12-01,99.7057,0.1438,0.5337,1.0896,0.8943
2004-01-01,99.802,0.0963,0.4242,1.0252,1.1462
2004-02-01,99.8606,0.0587,0.2988,0.8945,1.3328
