date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,100.2507,,,,
2000-02-01,100.1993,-0.0514,,,
2000-03-01,100.2273,0.028,,,
2000-04-01,100.2993,0.072,0.0486,,
2000-05-01,100.375,0.0757,0.1757,,
2000-06-01,100.4256,0.0506,0.1983,,
2000-07-01,100.4523,0.0267,0.153,0.2016,
2000-08-01,100.4699,0.0176,0.0949,0.2706,
2000-09-01,100.4863,0.0164,0.0607,0.259,
2000-10-01,100.5133,0.027,0.061,0.214,
2000-11-01,100.5615,0.0482,0.0916,0.1865,
2000-12-01,100.6087,0.0472,0.1224,0.1831,
2001-01-01,100.6355,0.0268,0.1222,0.1832,0.3848
2001-02-01,100.6534,0.0179,0.0919,0.1835,0.4541
2001-03-01,100.6745,0.0211,0.0658,0.1882,0.4472
2001-04-01,100.6906,0.0161,0.0551,0.1773,0.3913
2001-05-01,100.6969,0.0063,0.0435,0.1354,0.3219
2001-06-01,100.6672,-0.0297,-0.0073,0.0585,0.2416
2001-07-01,100.5801,-0.0871,-0.1105,-0.0554,0.1278
2001-08-01,100.4396,-0.1405,-0.2573,-0.2138,-0.0303
2001-09-01,100.2817,-0.1579,-0.3855,-0.3928,-0.2046
2001-10-01,100.1482,-0.1335,-0.4319,-0.5424,-0.3651
2001-11-01,100.0955,-0.0527,-0.3441,-0.6014,-0.466
2001-12-01,100.128,0.0325,-0.1537,-0.5392,-0.4807
2002-01-01,100.2376,0.1096,0.0894,-0.3425,-0.3979
2002-02-01,100.3916,0.154,0.2961,-0.048,-0.2618
2002-03-01,100.5466,0.155,0.4186,0.2649,-0.1279
2002-04-01,100.6619,0.1153,0.4243,0.5137,-0.0287
2002-05-01,100.6857,0.0238,0.2941,0.5902,-0.0112
2002-06-01,100.6261,-0.0596,0.0795,0.4981,-0.0411
2002-07-01,100.5197,-0.1064,-0.1422,0.2821,-0.0604
2002-08-01,100.3747,-0.145,-0.311,-0.0169,-0.0649
2002-09-01,100.1913,-0.1834,-0.4348,-0.3553,-0.0904
2002-10-01,99.9624,-0.2289,-0.5573,-0.6995,-0.1858
2002-11-01,99.6894,-0.2729,-0.6853,-0.9963,-0.4061
2002-12-01,99.3908,-0.2986,-0.8005,-1.2353,-0.7372
2003-01-01,99.1158,-0.275,-0.8465,-1.4039,-1.1218
2003-02-01,98.9355,-0.1803,-0.7539,-1.4392,-1.4561
2003-03-01,98.8743,-0.0612,-0.5164,-1.317,-1.6723
2003-04-01,98.9225,0.0481,-0.1933,-1.0399,-1.7394
2003-05-01,99.0339,0.1114,0.0984,-0.6555,-1.6518
2003-06-01,99.178,0.1441,0.3037,-0.2128,-1.4481
2003-07-01,99.3247,0.1467,0.4023,0.2089,-1.195
2003-08-01,99.4674,0.1427,0.4335,0.5319,-0.9073
2003-09-01,99.6117,0.1442,0.4337,0.7373,-0.5796
2003-10-01,99.7571,0.1454,0.4324,0.8346,-0.2053
2003-11-01,99.9062,0.1491,0.4388,0.8723,0.2168
2003-12-01,100.0531,0.1469,0.4414,0.8751,0.6623
2004-01-01,100.1684,0.1153,0.4113,0.8437,1.0526
2004-02-01,100.2346,0.0662,0.3284,0.7672,1.2991
2004-03-01,100.2515,0.0169,0.1984,0.6398,1.3772
2004-04-01,100.2241,-0.0274,0.0557,0.467,1.3016
2004-05-01,100.1734,-0.0507,-0.0612,0.2672,1.1395
2004-06-01,100.1207,-0.0527,-0.1308,0.0676,0.9427
2004-07-01,100.0877,-0.033,-0.1364,-0.0807,0.763
2004-08-01,100.0962,0.0085,-0.0772,-0.1384,0.6287
2004-09-01,100.1473,0.0511,0.0266,-0.1042,0.5356
2004-10-01,100.2281,0.0808,0.1404,0.004,0.471
2004-11-01,100.3065,0.0784,0.2103,0.1331,0.4003
2004-12-01,100.3599,0.0534,0.2126,0.2392,0.3068
2005-01-01,100.3806,0.0207,0.1525,0.2929,0.2122
2005-02-01,100.363,-0.0176,0.0565,0.2668,0.1284
2005-03-01,100.3132,-0.0498,-0.0467,0.1659,0.0617
2005-04-01,100.2394,-0.0738,-0.1412,0.0113,0.0153
2005-05-01,100.1554,-0.084,-0.2076,-0.1511,-0.018
2005-06-01,100.0869,-0.0685,-0.2263,-0.273,-0.0338
2005-07-01,100.0459,-0.041,-0.1935,-0.3347,-0.0418
2005-08-01,100.0322,-0.0137,-0.1232,-0.3308,-0.064
2005-09-01,100.0602,0.028,-0.0267,-0.253,-0.0871
2005-10-01,100.1284,0.0682,0.0825,-0.111,-0.0997
2005-11-01,100.2453,0.1169,0.2131,0.0899,-0.0612
2005-12-01,100.3949,0.1496,0.3347,0.308,0.035
2006-01-01,100.5466,0.1517,0.4182,0.5007,0.166
2006-02-01,100.7165,0.1699,0.4712,0.6843,0.3535
2006-03-01,100.8851,0.1686,0.4902,0.8249,0.5719
2006-04-01,101.0468,0.1617,0.5002,0.9184,0.8074
2006-05-01,101.1944,0.1476,0.4779,0.9491,1.039
2006-06-01,101.3356,0.1412,0.4505,0.9407,1.2487
2006-07-01,101.4871,0.1515,0.4403,0.9405,1.4412
2006-08-01,101.6658,0.1787,0.4714,0.9493,1.6336
2006-09-01,101.8785,0.2127,0.5429,0.9934,1.8183
2006-10-01,102.1078,0.2293,0.6207,1.061,1.9794
2006-11-01,102.3367,0.2289,0.6709,1.1423,2.0914
2006-12-01,102.5587,0.222,0.6802,1.2231,2.1638
2007-01-01,102.764,0.2053,0.6562,1.2769,2.2174
2007-02-01,102.9594,0.1954,0.6227,1.2936,2.2429
2007-03-01,103.1272,0.1678,0.5685,1.2487,2.2421
2007-04-01,103.2489,0.1217,0.4849,1.1411,2.2021
2007-05-01,103.3062,0.0573,0.3468,0.9695,2.1118
2007-06-01,103.2786,-0.0276,0.1514,0.7199,1.943
2007-07-01,103.1669,-0.1117,-0.082,0.4029,1.6798
2007-08-01,102.999,-0.1679,-0.3072,0.0396,1.3332
2007-09-01,102.7914,-0.2076,-0.4872,-0.3358,0.9129
2007-10-01,102.5359,-0.2555,-0.631,-0.713,0.4281
2007-11-01,102.2144,-0.3215,-0.7846,-1.0918,-0.1223
2007-12-01,101.8391,-0.3753,-0.9523,-1.4395,-0.7196
2008-01-01,101.4048,-0.4343,-1.1311,-1.7621,-1.3592
2008-02-01,100.9099,-0.4949,-1.3045,-2.0891,-2.0495
2008-03-01,100.3517,-0.5582,-1.4874,-2.4397,-2.7755
2008-04-01,99.6907,-0.661,-1.7141,-2.8452,-3.5582
2008-05-01,98.9223,-0.7684,-1.9876,-3.2921,-4.3839
2008-06-01,98.0678,-0.8546,-2.2839,-3.7713,-5.2108
2008-07-01,97.1821,-0.8857,-2.5087,-4.2227,-5.9848
2008-08-01,96.3315,-0.8506,-2.5909,-4.5784,-6.6675
2008-09-01,95.5382,-0.7933,-2.5296,-4.8135,-7.2532
2008-10-01,94.849,-0.6892,-2.3331,-4.8418,-7.6869
2008-11-01,94.3317,-0.5173,-1.9998,-4.5907,-7.8827
2008-12-01,94.0287,-0.303,-1.5095,-4.0391,-7.8104
2009-01-01,93.9394,-0.0893,-0.9096,-3.2427,-7.4654
2009-02-01,94.1041,0.1647,-0.2276,-2.2274,-6.8058
