date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,101.9894,,,,
2000-02-01,102.1832,0.1938,,,
2000-03-01,102.1799,-0.0033,,,
2000-04-01,101.9936,-0.1863,0.0042,,
2000-05-01,101.6725,-0.3211,-0.5107,,
2000-06-01,101.2825,-0.39,-0.8974,,
2000-07-01,100.8771,-0.4054,-1.1165,-1.1123,
2000-08-01,100.4885,-0.3886,-1.184,-1.6947,
2000-09-01,100.1263,-0.3622,-1.1562,-2.0536,
2000-10-01,99.7742,-0.3521,-1.1029,-2.2194,
2000-11-01,99.4272,-0.347,-1.0613,-2.2453,
2000-12-01,99.0845,-0.3427,-1.0418,-2.198,
2001-01-01,98.753,-0.3315,-1.0211,-2.1241,-3.2364
2001-02-01,98.4487,-0.3043,-0.9785,-2.0398,-3.7345
2001-03-01,98.2142,-0.2345,-0.8703,-1.9121,-3.9657
2001-04-01,98.1047,-0.1095,-0.6483,-1.6695,-3.8889
2001-05-01,98.2526,0.148,-0.1961,-1.1745,-3.4198
2001-06-01,98.5041,0.2514,0.2898,-0.5804,-2.7784
2001-07-01,98.8135,0.3094,0.7088,0.0604,-2.0636
2001-08-01,99.1171,0.3037,0.8645,0.6684,-1.3714
2001-09-01,99.349,0.2319,0.845,1.1348,-0.7773
2001-10-01,99.4948,0.1458,0.6813,1.3901,-0.2793
2001-11-01,99.5851,0.0903,0.468,1.3325,0.158
2001-12-01,99.6833,0.0982,0.3343,1.1793,0.5988
2002-01-01,99.8612,0.1778,0.3664,1.0477,1.1081
2002-02-01,100.1566,0.2954,0.5715,1.0395,1.7079
2002-03-01,100.5586,0.402,0.8753,1.2096,2.3444
2002-04-01,100.9649,0.4063,1.1037,1.4701,2.8602
2002-05-01,101.2745,0.3096,1.1179,1.6894,3.0219
2002-06-01,101.4097,0.1352,0.8511,1.7264,2.9056
2002-07-01,101.3369,-0.0728,0.372,1.4757,2.5234
2002-08-01,101.0767,-0.2602,-0.1978,0.9201,1.9596
2002-09-01,100.6703,-0.4064,-0.7394,0.1117,1.3213
2002-10-01,100.189,-0.4813,-1.1479,-0.7759,0.6942
2002-11-01,99.7282,-0.4608,-1.3485,-1.5463,0.1431
2002-12-01,99.3512,-0.377,-1.3191,-2.0585,-0.3321
2003-01-01,99.0913,-0.2599,-1.0977,-2.2456,-0.7699
2003-02-01,98.9741,-0.1172,-0.7541,-2.1026,-1.1825
2003-03-01,99.0078,0.0337,-0.3434,-1.6625,-1.5508
2003-04-01,99.1847,0.1768,0.0934,-1.0043,-1.7802
2003-05-01,99.4742,0.2895,0.5001,-0.254,-1.8003
2003-06-01,99.8176,0.3434,0.8098,0.4664,-1.5921
2003-07-01,100.1568,0.3392,0.9721,1.0655,-1.1801
2003-08-01,100.4572,0.3004,0.983,1.4831,-0.6195
2003-09-01,100.7265,0.2693,0.9089,1.7187,0.0562
2003-10-01,100.96,0.2335,0.8032,1.7753,0.771
2003-11-01,101.1531,0.1931,0.6959,1.6789,1.4249
2003-12-01,101.3276,0.1745,0.6011,1.51,1.9764
2004-01-01,101.4609,0.1333,0.5009,1.3041,2.3696
2004-02-01,101.5326,0.0717,0.3795,1.0754,2.5585
2004-03-01,101.5667,0.0341,0.2391,0.8402,2.5589
2004-04-01,101.5838,0.0171,0.1229,0.6238,2.3991
2004-05-01,101.6199,0.0361,0.0873,0.4668,2.1457
2004-06-01,101.7211,0.1012,0.1544,0.3935,1.9035
2004-07-01,101.9094,0.1883,0.3256,0.4485,1.7526
2004-08-01,102.1721,0.2627,0.5522,0.6395,1.7149
2004-09-01,102.4988,0.3267,0.7777,0.9321,1.7723
2004-10-01,102.8259,0.3271,0.9165,1.2421,1.8659
2004-11-01,103.0592,0.2333,0.8871,1.4393,1.9061
2004-12-01,103.1273,0.0681,0.6285,1.4062,1.7997
2005-01-01,102.9981,-0.1292,0.1722,1.0887,1.5372
2005-02-01,102.716,-0.2821,-0.3432,0.5439,1.1834
2005-03-01,102.3326,-0.3834,-0.7947,-0.1662,0.7659
2005-04-01,101.9359,-0.3967,-1.0622,-0.89,0.3521
2005-05-01,101.5586,-0.3773,-1.1574,-1.5006,-0.0613
2005-06-01,101.1589,-0.3997,-1.1737,-1.9684,-0.5622
2005-07-01,100.6935,-0.4654,-1.2424,-2.3046,-1.2159
2005-08-01,100.143,-0.5505,-1.4156,-2.573,-2.0291
2005-09-01,99.5428,-0.6002,-1.6161,-2.7898,-2.956
2005-10-01,98.9848,-0.558,-1.7087,-2.9511,-3.8411
2005-11-01,98.5859,-0.3989,-1.5571,-2.9727,-4.4733
2005-12-01,98.3845,-0.2013,-1.1582,-2.7744,-4.7428
2006-01-01,98.3268,-0.0577,-0.658,-2.3667,-4.6713
2006-02-01,98.3552,0.0284,-0.2306,-1.7878,-4.3608
2006-03-01,98.4364,0.0812,0.0519,-1.1063,-3.8962
2006-04-01,98.5267,0.0902,0.1998,-0.4581,-3.4092
2006-05-01,98.609,0.0823,0.2537,0.0231,-2.9496
2006-06-01,98.7148,0.1058,0.2783,0.3302,-2.4441
2006-07-01,98.8814,0.1667,0.3548,0.5546,-1.8121
2006-08-01,99.125,0.2436,0.516,0.7698,-1.018
2006-09-01,99.4439,0.3189,0.7292,1.0075,-0.0988
2006-10-01,99.8061,0.3622,0.9247,1.2795,0.8213
2006-11-01,100.1633,0.3572,1.0383,1.5543,1.5774
2006-12-01,100.4418,0.2785,0.9979,1.727,2.0573
2007-01-01,100.6347,0.1929,0.8286,1.7533,2.3079
2007-02-01,100.7823,0.1476,0.619,1.6573,2.4271
2007-03-01,100.9291,0.1468,0.4873,1.4852,2.4927
2007-04-01,101.0987,0.1696,0.464,1.2926,2.572
2007-05-01,101.2628,0.1641,0.4805,1.0995,2.6538
2007-06-01,101.384,0.1212,0.4549,0.9422,2.6692
2007-07-01,101.4421,0.0581,0.3434,0.8074,2.5607
2007-08-01,101.4328,-0.0093,0.17,0.6505,2.3078
2007-09-01,101.3761,-0.0567,-0.0079,0.447,1.9322
2007-10-01,101.2642,-0.1119,-0.1779,0.1655,1.4581
2007-11-01,101.0832,-0.181,-0.3496,-0.1796,0.9199
2007-12-01,100.821,-0.2622,-0.5551,-0.563,0.3792
2008-01-01,100.4662,-0.3548,-0.798,-0.9759,-0.1685
2008-02-01,100.0105,-0.4557,-1.0727,-1.4223,-0.7718
2008-03-01,99.4471,-0.5633,-1.3739,-1.929,-1.482
2008-04-01,98.8262,-0.6209,-1.64,-2.438,-2.2725
2008-05-01,98.2046,-0.6216,-1.8059,-2.8786,-3.0582
2008-06-01,97.6324,-0.5722,-1.8147,-3.1886,-3.7516
2008-07-01,97.1625,-0.4699,-1.6637,-3.3037,-4.2796
2008-08-01,96.8097,-0.3528,-1.3949,-3.2008,-4.6231
2008-09-01,96.5563,-0.2534,-1.0762,-2.8909,-4.8198
2008-10-01,96.4298,-0.1265,-0.7328,-2.3964,-4.8344
2008-11-01,96.4644,0.0346,-0.3453,-1.7402,-4.6188
2008-12-01,96.631,0.1666,0.0747,-1.0014,-4.19
2009-01-01,96.8975,0.2664,0.4677,-0.2651,-3.5687
2009-02-01,97.2552,0.3577,0.7908,0.4455,-2.7553
2009-03-01,97.7094,0.4542,1.0784,1.1531,-1.7378
2009-04-01,98.2309,0.5216,1.3335,1.8012,-0.5953
2009-05-01,98.7673,0.5364,1.5122,2.303,0.5627
2009-06-01,99.2722,0.5048,1.5628,2.6411,1.6397
2009-07-01,99.7078,0.4356,1.4769,2.8103,2.5453
2009-08-01,100.0306,0.3228,1.2633,2.7754,3.2209
2009-09-01,100.2295,0.1989,0.9573,2.5201,3.6732
2009-10-01,100.3226,0.0931,0.6148,2.0917,3.8928
2009-11-01,100.333,0.0104,0.3024,1.5657,3.8686
2009-12-01,100.3075,-0.0255,0.078,1.0353,3.6765
2010-01-01,100.2788,-0.0287,-0.0438,0.571,3.3813
2010-02-01,100.2677,-0.0111,-0.0653,0.2371,3.0125
2010-03-01,100.2649,-0.0028,-0.0426,0.0354,2.5555
2010-04-01,100.2496,-0.0153,-0.0292,-0.073,2.0187
2010-05-01,100.2312,-0.0184,-0.0365,-0.1018,1.4639
2010-06-01,100.2441,0.0129,-0.0208,-0.0634,0.9719
2010-07-01,100.2971,0.053,0.0475,0.0183,0.5893
2010-08-01,100.376,0.0789,0.1448,0.1083,0.3454
2010-09-01,100.4723,0.0963,0.2282,0.2074,0.2428
2010-10-01,100.5757,0.1034,0.2786,0.3261,0.2531
2010-11-01,100.6575,0.0818,0.2815,0.4263,0.3245
2010-12-01,100.7073,0.0498,0.235,0.4632,0.3998
2011-01-01,100.729,0.0217,0.1533,0.4319,0.4502
2011-02-01,100.7295,0.0005,0.072,0.3535,0.4618
2011-03-01,100.7339,0.0044,0.0266,0.2616,0.469
2011-04-01,100.7683,0.0344,0.0393,0.1926,0.5187
2011-05-01,100.8312,0.0629,0.1017,0.1737,0.6
2011-06-01,100.9126,0.0814,0.1787,0.2053,0.6685
2011-07-01,100.9944,0.0818,0.2261,0.2654,0.6973
2011-08-01,101.0616,0.0672,0.2304,0.3321,0.6856
2011-09-01,101.1268,0.0652,0.2142,0.3929,0.6545
2011-10-01,101.1726,0.0458,0.1782,0.4043,0.5969
2011-11-01,101.179,0.0064,0.1174,0.3478,0.5215
2011-12-01,101.1363,-0.0427,0.0095,0.2237,0.429
2012-01-01,101.0381,-0.0982,-0.1345,0.0437,0.3091
2012-02-01,100.8881,-0.15,-0.2909,-0.1735,0.1586
2012-03-01,100.7454,-0.1427,-0.3909,-0.3814,0.0115
2012-04-01,100.6586,-0.0868,-0.3795,-0.514,-0.1097
2012-05-01,100.6505,-0.0081,-0.2376,-0.5285,-0.1807
2012-06-01,100.7089,0.0584,-0.0365,-0.4274,-0.2037
2012-07-01,100.8119,0.103,0.1533,-0.2262,-0.1825
2012-08-01,100.9465,0.1346,0.296,0.0584,-0.1151
2012-09-01,101.1122,0.1657,0.4033,0.3668,-0.0146
2012-10-01,101.2894,0.1772,0.4775,0.6308,0.1168
2012-11-01,101.4542,0.1648,0.5077,0.8037,0.2752
2012-12-01,101.5804,0.1262,0.4682,0.8715,0.4441
2013-01-01,101.675,0.0946,0.3856,0.8631,0.6369
2013-02-01,101.7375,0.0625,0.2833,0.791,0.8494
2013-03-01,101.739,0.0015,0.1586,0.6268,0.9936
2013-04-01,101.6371,-0.1019,-0.0379,0.3477,0.9785
2013-05-01,101.4018,-0.2353,-0.3357,-0.0524,0.7513
2013-06-01,101.0343,-0.3675,-0.7047,-0.5461,0.3254
2013-07-01,100.5668,-0.4675,-1.0703,-1.1082,-0.2451
2013-08-01,100.0832,-0.4836,-1.3186,-1.6543,-0.8633
2013-09-01,99.6592,-0.4241,-1.3752,-2.0799,-1.4531
2013-10-01,99.343,-0.3161,-1.2238,-2.2941,-1.9464
2013-11-01,99.1498,-0.1932,-0.9334,-2.252,-2.3044
2013-12-01,99.0734,-0.0764,-0.5858,-1.9609,-2.507
2014-01-01,99.108,0.0346,-0.235,-1.4588,-2.567
2014-02-01,99.2242,0.1162,0.0744,-0.859,-2.5133
2014-03-01,99.3771,0.1529,0.3037,-0.282,-2.3619
2014-04-01,99.527,0.1499,0.419,0.184,-2.1101
2014-05-01,99.6642,0.1372,0.44,0.5144,-1.7376
2014-06-01,99.7762,0.112,0.3991,0.7028,-1.2581
2014-07-01,99.8615,0.0853,0.3345,0.7535,-0.7053
2014-08-01,99.919,0.0575,0.2548,0.6948,-0.1642
2014-09-01,99.9548,0.0358,0.1786,0.5777,0.2956
2014-10-01,99.978,0.0233,0.1165,0.4511,0.635
2014-11-01,99.9906,0.0126,0.0716,0.3265,0.8408
2014-12-01,99.9936,0.0029,0.0388,0.2173,0.9202
2015-01-01,99.9821,-0.0115,0.004,0.1206,0.8741
2015-02-01,99.9207,-0.0614,-0.07,0.0017,0.6965
2015-03-01,99.7743,-0.1464,-0.2192,-0.1804,0.3972
2015-04-01,99.5365,-0.2378,-0.4455,-0.4415,0.0096
2015-05-01,99.2431,-0.2934,-0.6776,-0.7475,-0.421
2015-06-01,98.9319,-0.3112,-0.8424,-1.0616,-0.8443
2015-07-01,98.6392,-0.2928,-0.8974,-1.3429,-1.2223
2015-08-01,98.3978,-0.2414,-0.8453,-1.5229,-1.5212
2015-09-01,98.236,-0.1618,-0.6959,-1.5383,-1.7187
2015-10-01,98.1816,-0.0544,-0.4575,-1.3549,-1.7964
2015-11-01,98.2122,0.0306,-0.1855,-1.0309,-1.7784
2015-12-01,98.3084,0.0962,0.0724,-0.6235,-1.6851
2016-01-01,98.4557,0.1473,0.2741,-0.1834,-1.5263
2016-02-01,98.6063,0.1506,0.3941,0.2085,-1.3144
2016-03-01,98.7274,0.1211,0.419,0.4914,-1.0469
2016-04-01,98.8292,0.1018,0.3734,0.6475,-0.7074
2016-05-01,98.924,0.0948,0.3176,0.7117,-0.3192
2016-06-01,99.0296,0.1056,0.3021,0.7212,0.0976
2016-07-01,99.1544,0.1249,0.3253,0.6987,0.5153
2016-08-01,99.2849,0.1304,0.3609,0.6786,0.8871
2016-09-01,99.4107,0.1258,0.3811,0.6833,1.1747
2016-10-01,99.5376,0.1269,0.3832,0.7084,1.356
2016-11-01,99.6569,0.1193,0.372,0.7329,1.4446
2016-12-01,99.7818,0.125,0.3711,0.7523,1.4734
2017-01-01,99.9272,0.1453,0.3896,0.7727,1.4714
2017-02-01,100.0869,0.1597,0.43,0.802,1.4806
2017-03-01,100.2642,0.1773,0.4823,0.8535,1.5368
2017-04-01,100.4523,0.1881,0.5251,0.9147,1.6231
2017-05-01,100.6282,0.1759,0.5413,0.9713,1.7042
2017-06-01,100.7738,0.1456,0.5096,0.9919,1.7442
2017-07-01,100.8841,0.1103,0.4318,0.9569,1.7297
2017-08-01,100.926,0.0419,0.2978,0.8391,1.6411
2017-09-01,100.8901,-0.0359,0.1163,0.6259,1.4794
2017-10-01,100.7978,-0.0923,-0.0863,0.3455,1.2602
2017-11-01,100.6763,-0.1215,-0.2497,0.0481,1.0194
2017-12-01,100.5302,-0.1461,-0.3599,-0.2436,0.7483
2018-01-01,100.3595,-0.1707,-0.4383,-0.5246,0.4323
2018-02-01,100.158,-0.2015,-0.5183,-0.768,0.0711
2018-03-01,99.943,-0.215,-0.5872,-0.9471,-0.3212
2018-04-01,99.7357,-0.2073,-0.6238,-1.0621,-0.7166
2018-05-01,99.5464,-0.1893,-0.6116,-1.1299,-1.0818
2018-06-01,99.3861,-0.1603,-0.5569,-1.1441,-1.3877
2018-07-01,99.2635,-0.1226,-0.4722,-1.096,-1.6206
2018-08-01,99.1721,-0.0914,-0.3743,-0.9859,-1.7539
2018-09-01,99.1349,-0.0373,-0.2512,-0.8082,-1.7552
2018-10-01,99.1806,0.0457,-0.0829,-0.5551,-1.6172
2018-11-01,99.315,0.1344,0.1429,-0.2313,-1.3613
2018-12-01,99.492,0.177,0.3571,0.1059,-1.0382
2019-01-01,99.6596,0.1676,0.479,0.396,-0.6999
2019-02-01,99.7935,0.134,0.4785,0.6214,-0.3645
2019-03-01,99.905,0.1115,0.413,0.7701,-0.038
2019-04-01,100.002,0.097,0.3424,0.8214,0.2663
2019-05-01,100.1039,0.1019,0.3104,0.7889,0.5575
2019-06-01,100.2302,0.1263,0.3252,0.7382,0.8441
2019-07-01,100.3585,0.1283,0.3565,0.6989,1.095
