date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,104.9019,,,,
2000-02-01,104.9443,0.0424,,,
2000-03-01,104.8666,-0.0777,,,
2000-04-01,104.6799,-0.1867,-0.222,,
2000-05-01,104.4032,-0.2767,-0.5411,,
2000-06-01,104.0589,-0.3443,-0.8077,,
2000-07-01,103.6701,-0.3888,-1.0098,-1.2318,
2000-08-01,103.26,-0.4101,-1.1432,-1.6843,
2000-09-01,102.8474,-0.4126,-1.2115,-2.0192,
2000-10-01,102.447,-0.4004,-1.2231,-2.2329,
2000-11-01,102.0638,-0.3832,-1.1962,-2.3394,
2000-12-01,101.6985,-0.3653,-1.1489,-2.3604,
2001-01-01,101.3522,-0.3463,-1.0948,-2.3179,-3.5497
2001-02-01,101.0237,-0.3285,-1.0401,-2.2363,-3.9206
2001-03-01,100.7069,-0.3168,-0.9916,-2.1405,-4.1597
2001-04-01,100.3996,-0.3073,-0.9526,-2.0474,-4.2803
2001-05-01,100.0986,-0.301,-0.9251,-1.9652,-4.3046
2001-06-01,99.7835,-0.3151,-0.9234,-1.915,-4.2754
2001-07-01,99.4744,-0.3091,-0.9252,-1.8778,-4.1957
2001-08-01,99.1751,-0.2993,-0.9235,-1.8486,-4.0849
2001-09-01,98.8911,-0.284,-0.8925,-1.8158,-3.9563
2001-10-01,98.6298,-0.2612,-0.8446,-1.7698,-3.8172
2001-11-01,98.3965,-0.2333,-0.7786,-1.7021,-3.6673
2001-12-01,98.1909,-0.2056,-0.7002,-1.5927,-3.5076
2002-01-01,98.0094,-0.1815,-0.6205,-1.465,-3.3428
2002-02-01,97.8464,-0.163,-0.5501,-1.3288,-3.1773
2002-03-01,97.6976,-0.1488,-0.4933,-1.1935,-3.0093
2002-04-01,97.5596,-0.138,-0.4498,-1.0703,-2.84
2002-05-01,97.4303,-0.1293,-0.4161,-0.9662,-2.6683
2002-06-01,97.3084,-0.1219,-0.3891,-0.8825,-2.4751
2002-07-01,97.193,-0.1154,-0.3666,-0.8164,-2.2814
2002-08-01,97.087,-0.106,-0.3433,-0.7594,-2.0881
