date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,101.4531,,,,
2000-02-01,101.5742,0.1211,,,
2000-03-01,101.6728,0.0986,,,
2000-04-01,101.7427,0.0699,0.2896,,
2000-05-01,101.7756,0.0329,0.2014,,
2000-06-01,101.7915,0.0159,0.1187,,
2000-07-01,101.8055,0.014,0.0628,0.3524,
2000-08-01,101.802,-0.0035,0.0264,0.2278,
2000-09-01,101.7494,-0.0526,-0.0421,0.0766,
2000-10-01,101.6677,-0.0817,-0.1378,-0.075,
2000-11-01,101.5402,-0.1275,-0.2618,-0.2354,
2000-12-01,101.375,-0.1652,-0.3744,-0.4165,
2001-01-01,101.151,-0.224,-0.5167,-0.6545,-0.3021
2001-02-01,100.9048,-0.2462,-0.6354,-0.8972,-0.6694
2001-03-01,100.664,-0.2408,-0.711,-1.0854,-1.0088
2001-04-01,100.442,-0.222,-0.709,-1.2257,-1.3007
2001-05-01,100.2514,-0.1906,-0.6534,-1.2888,-1.5242
2001-06-01,100.0626,-0.1888,-0.6014,-1.3124,-1.7289
2001-07-01,99.8573,-0.2053,-0.5847,-1.2937,-1.9482
2001-08-01,99.6381,-0.2191,-0.6133,-1.2667,-2.1639
2001-09-01,99.4338,-0.2043,-0.6288,-1.2302,-2.3156
2001-10-01,99.3116,-0.1222,-0.5456,-1.1304,-2.3561
2001-11-01,99.307,-0.0046,-0.3311,-0.9444,-2.2332
2001-12-01,99.4094,0.1023,-0.0244,-0.6532,-1.9656
2002-01-01,99.5686,0.1592,0.257,-0.2887,-1.5824
2002-02-01,99.734,0.1654,0.4269,0.0958,-1.1708
2002-03-01,99.8696,0.1356,0.4602,0.4358,-0.7944
2002-04-01,99.9491,0.0795,0.3805,0.6375,-0.4929
2002-05-01,99.9841,0.035,0.2502,0.6771,-0.2673
2002-06-01,99.9832,-0.0009,0.1136,0.5739,-0.0794
2002-07-01,99.9445,-0.0388,-0.0046,0.3759,0.0872
2002-08-01,99.8632,-0.0813,-0.121,0.1292,0.2251
2002-09-01,99.7425,-0.1207,-0.2407,-0.1271,0.3087
2002-10-01,99.5934,-0.1491,-0.3511,-0.3557,0.2818
2002-11-01,99.4394,-0.1541,-0.4238,-0.5448,0.1323
2002-12-01,99.2786,-0.1607,-0.4639,-0.7046,-0.1307
2003-01-01,99.1241,-0.1546,-0.4694,-0.8204,-0.4445
2003-02-01,98.9689,-0.1551,-0.4704,-0.8942,-0.765
2003-03-01,98.8296,-0.1393,-0.449,-0.9129,-1.04
2003-04-01,98.734,-0.0956,-0.3901,-0.8594,-1.2151
2003-05-01,98.6768,-0.0572,-0.2921,-0.7626,-1.3073
2003-06-01,98.6613,-0.0155,-0.1684,-0.6174,-1.322
2003-07-01,98.6894,0.0282,-0.0445,-0.4346,-1.255
2003-08-01,98.7756,0.0862,0.0988,-0.1933,-1.0875
2003-09-01,98.9227,0.147,0.2614,0.0931,-0.8198
2003-10-01,99.0941,0.1714,0.4046,0.3601,-0.4993
2003-11-01,99.2461,0.152,0.4705,0.5693,-0.1932
2003-12-01,99.3563,0.1102,0.4337,0.6951,0.0777
2004-01-01,99.4084,0.052,0.3143,0.7189,0.2843
2004-02-01,99.4214,0.013,0.1753,0.6457,0.4524
2004-03-01,99.4132,-0.0081,0.0569,0.4905,0.5836
2004-04-01,99.4134,0.0002,0.005,0.3193,0.6794
2004-05-01,99.4403,0.0269,0.0189,0.1941,0.7635
2004-06-01,99.5083,0.068,0.0951,0.1519,0.847
2004-07-01,99.6,0.0918,0.1867,0.1917,0.9106
2004-08-01,99.7184,0.1183,0.2781,0.297,0.9427
2004-09-01,99.8472,0.1289,0.339,0.434,0.9246
2004-10-01,99.9594,0.1122,0.3594,0.546,0.8653
2004-11-01,100.0161,0.0567,0.2977,0.5758,0.77
2004-12-01,100.0015,-0.0146,0.1542,0.4932,0.6452
2005-01-01,99.9098,-0.0916,-0.0496,0.3098,0.5015
2005-02-01,99.7599,-0.15,-0.2562,0.0415,0.3385
2005-03-01,99.5757,-0.1842,-0.4258,-0.2715,0.1625
2005-04-01,99.3667,-0.2091,-0.5432,-0.5927,-0.0467
2005-05-01,99.1841,-0.1826,-0.5758,-0.832,-0.2562
2005-06-01,99.0835,-0.1006,-0.4923,-0.918,-0.4248
2005-07-01,99.0904,0.0069,-0.2763,-0.8195,-0.5097
2005-08-01,99.1854,0.095,0.0012,-0.5746,-0.533
2005-09-01,99.3439,0.1585,0.2604,-0.2319,-0.5034
2005-10-01,99.5398,0.196,0.4495,0.1731,-0.4196
2005-11-01,99.7669,0.227,0.5815,0.5828,-0.2492
2005-12-01,100.0201,0.2532,0.6762,0.9366,0.0186
2006-01-01,100.2827,0.2626,0.7429,1.1923,0.3728
2006-02-01,100.5305,0.2478,0.7636,1.3452,0.7706
2006-03-01,100.7643,0.2338,0.7442,1.4204,1.1886
2006-04-01,100.9919,0.2276,0.7092,1.4521,1.6252
2006-05-01,101.196,0.2041,0.6655,1.4291,2.0119
2006-06-01,101.3716,0.1756,0.6073,1.3515,2.2881
2006-07-01,101.5425,0.1709,0.5506,1.2598,2.4521
2006-08-01,101.7207,0.1782,0.5247,1.1902,2.5353
2006-09-01,101.8914,0.1707,0.5198,1.1271,2.5475
2006-10-01,102.0536,0.1622,0.5111,1.0617,2.5138
2006-11-01,102.2157,0.1621,0.495,1.0197,2.4488
2006-12-01,102.3773,0.1616,0.4859,1.0057,2.3572
2007-01-01,102.5071,0.1298,0.4535,0.9646,2.2244
2007-02-01,102.6277,0.1206,0.412,0.907,2.0972
2007-03-01,102.7254,0.0977,0.3481,0.834,1.9611
2007-04-01,102.77,0.0446,0.2629,0.7164,1.7781
2007-05-01,102.7578,-0.0122,0.1301,0.5421,1.5618
2007-06-01,102.6969,-0.0609,-0.0285,0.3196,1.3253
2007-07-01,102.6049,-0.092,-0.1651,0.0978,1.0624
2007-08-01,102.5095,-0.0954,-0.2483,-0.1182,0.7888
2007-09-01,102.424,-0.0855,-0.2729,-0.3014,0.5326
2007-10-01,102.3379,-0.0861,-0.267,-0.4321,0.2843
2007-11-01,102.2307,-0.1072,-0.2788,-0.5271,0.015
2007-12-01,102.1201,-0.1106,-0.3039,-0.5768,-0.2572
2008-01-01,102.0474,-0.0727,-0.2905,-0.5575,-0.4597
2008-02-01,101.982,-0.0654,-0.2487,-0.5275,-0.6457
2008-03-01,101.8886,-0.0934,-0.2315,-0.5354,-0.8368
2008-04-01,101.7327,-0.1559,-0.3147,-0.6052,-1.0373
2008-05-01,101.4572,-0.2755,-0.5248,-0.7735,-1.3006
2008-06-01,101.0495,-0.4077,-0.8391,-1.0706,-1.6474
2008-07-01,100.5171,-0.5324,-1.2156,-1.5303,-2.0878
2008-08-01,99.8638,-0.6533,-1.5934,-2.1182,-2.6457
2008-09-01,99.0984,-0.7654,-1.9511,-2.7902,-3.3256
2008-10-01,98.2398,-0.8586,-2.2773,-3.4929,-4.0982
2008-11-01,97.3853,-0.8544,-2.4785,-4.0719,-4.8454
2008-12-01,96.6811,-0.7042,-2.4173,-4.3684,-5.439
2009-01-01,96.2062,-0.4749,-2.0335,-4.3109,-5.8412
2009-02-01,95.9698,-0.2364,-1.4155,-3.8941,-6.0122
2009-03-01,95.9805,0.0107,-0.7006,-3.1179,-5.9081
2009-04-01,96.229,0.2485,0.0228,-2.0108,-5.5037
2009-05-01,96.6694,0.4404,0.6996,-0.7159,-4.7878
2009-06-01,97.2343,0.565,1.2538,0.5532,-3.8152
2009-07-01,97.8382,0.6039,1.6092,1.632,-2.6789
2009-08-01,98.4282,0.59,1.7588,2.4584,-1.4356
2009-09-01,98.9943,0.5661,1.7599,3.0138,-0.1041
2009-10-01,99.4882,0.4939,1.65,3.2592,1.2484
2009-11-01,99.881,0.3928,1.4528,3.2116,2.4956
2009-12-01,100.1643,0.2833,1.17,2.93,3.4832
2010-01-01,100.3517,0.1874,0.8635,2.5135,4.1455
2010-02-01,100.4712,0.1195,0.5902,2.043,4.5014
2010-03-01,100.5548,0.0836,0.3905,1.5605,4.5743
2010-04-01,100.638,0.0832,0.2863,1.1498,4.409
2010-05-01,100.7329,0.0949,0.2617,0.8519,4.0635
2010-06-01,100.8669,0.134,0.3121,0.7026,3.6326
2010-07-01,101.0612,0.1943,0.4232,0.7095,3.223
2010-08-01,101.3248,0.2636,0.5919,0.8536,2.8966
2010-09-01,101.6254,0.3006,0.7585,1.0706,2.6311
2010-10-01,101.9151,0.2897,0.8539,1.2771,2.4269
2010-11-01,102.163,0.2479,0.8382,1.4301,2.282
2010-12-01,102.3593,0.1963,0.7339,1.4924,2.195
2011-01-01,102.475,0.1157,0.5599,1.4138,2.1233
2011-02-01,102.5153,0.0403,0.3523,1.1905,2.0441
2011-03-01,102.4846,-0.0307,0.1253,0.8592,1.9298
2011-04-01,102.3798,-0.1048,-0.0952,0.4647,1.7418
2011-05-01,102.2079,-0.1719,-0.3074,0.0449,1.475
2011-06-01,101.9637,-0.2442,-0.5209,-0.3956,1.0968
2011-07-01,101.6456,-0.3181,-0.7342,-0.8294,0.5844
2011-08-01,101.2607,-0.3849,-0.9472,-1.2546,-0.0641
2011-09-01,100.8272,-0.4335,-1.1365,-1.6574,-0.7982
2011-10-01,100.3966,-0.4306,-1.249,-1.9832,-1.5185
2011-11-01,99.9942,-0.4024,-1.2665,-2.2137,-2.1688
2011-12-01,99.5996,-0.3946,-1.2276,-2.3641,-2.7597
2012-01-01,99.2117,-0.3879,-1.185,-2.4339,-3.2633
2012-02-01,98.8574,-0.3542,-1.1367,-2.4032,-3.6578
2012-03-01,98.5218,-0.3357,-1.0778,-2.3054,-3.9628
2012-04-01,98.1938,-0.3279,-1.0178,-2.2028,-4.186
2012-05-01,97.916,-0.2778,-0.9414,-2.0782,-4.2919
2012-06-01,97.7104,-0.2056,-0.8113,-1.8891,-4.2533
2012-07-01,97.5776,-0.1329,-0.6163,-1.6341,-4.068
2012-08-01,97.497,-0.0805,-0.419,-1.3604,-3.7637
2012-09-01,97.4447,-0.0524,-0.2657,-1.0771,-3.3825
