date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,101.0709,,,,
2000-02-01,101.172,0.1011,,,
2000-03-01,101.2247,0.0527,,,
2000-04-01,101.2307,0.006,0.1598,,
2000-05-01,101.1926,-0.0381,0.0206,,
2000-06-01,101.1272,-0.0654,-0.0975,,
2000-07-01,101.0343,-0.0929,-0.1964,-0.0366,
2000-08-01,100.9283,-0.106,-0.2643,-0.2437,
2000-09-01,100.8141,-0.1142,-0.3131,-0.4106,
2000-10-01,100.6881,-0.126,-0.3462,-0.5426,
2000-11-01,100.5447,-0.1434,-0.3836,-0.6479,
2000-12-01,100.38,-0.1647,-0.4341,-0.7472,
2001-01-01,100.1815,-0.1985,-0.5066,-0.8528,-0.8894
2001-02-01,99.9774,-0.2041,-0.5674,-0.9509,-1.1946
2001-03-01,99.7752,-0.2021,-0.6048,-1.0389,-1.4495
2001-04-01,99.569,-0.2062,-0.6125,-1.1191,-1.6617
2001-05-01,99.3627,-0.2063,-0.6147,-1.182,-1.8299
2001-06-01,99.1475,-0.2152,-0.6277,-1.2325,-1.9797
2001-07-01,98.9402,-0.2073,-0.6288,-1.2413,-2.0941
2001-08-01,98.7461,-0.1941,-0.6166,-1.2313,-2.1822
2001-09-01,98.5807,-0.1654,-0.5668,-1.1946,-2.2334
2001-10-01,98.4692,-0.1115,-0.471,-1.0999,-2.2189
2001-11-01,98.422,-0.0472,-0.3241,-0.9407,-2.1227
2001-12-01,98.4448,0.0228,-0.1359,-0.7027,-1.9352
2002-01-01,98.539,0.0942,0.0699,-0.4012,-1.6425
2002-02-01,98.6903,0.1513,0.2683,-0.0558,-1.287
2002-03-01,98.859,0.1687,0.4142,0.2783,-0.9162
2002-04-01,99.0196,0.1606,0.4806,0.5505,-0.5494
2002-05-01,99.1431,0.1234,0.4528,0.7211,-0.2196
2002-06-01,99.2061,0.063,0.3471,0.7613,0.0586
2002-07-01,99.2218,0.0157,0.2022,0.6828,0.2817
2002-08-01,99.2036,-0.0183,0.0605,0.5133,0.4575
2002-09-01,99.1642,-0.0394,-0.0419,0.3052,0.5835
2002-10-01,99.1242,-0.04,-0.0976,0.1046,0.6551
2002-11-01,99.1004,-0.0238,-0.1032,-0.0427,0.6784
2002-12-01,99.1032,0.0028,-0.061,-0.1029,0.6584
2003-01-01,99.1324,0.0292,0.0082,-0.0895,0.5934
2003-02-01,99.1823,0.0499,0.0819,-0.0213,0.492
2003-03-01,99.2481,0.0658,0.1449,0.0839,0.3891
2003-04-01,99.3384,0.0904,0.206,0.2142,0.3188
2003-05-01,99.4557,0.1173,0.2734,0.3553,0.3126
