date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,104.3136,,,,
2000-02-01,103.841,-0.4726,,,
2000-03-01,103.4125,-0.4285,,,
2000-04-01,103.0505,-0.362,-1.2631,,
2000-05-01,102.7176,-0.3329,-1.1234,,
2000-06-01,102.3676,-0.35,-1.0449,,
2000-07-01,101.9373,-0.4303,-1.1132,-2.3763,
2000-08-01,101.3854,-0.5519,-1.3322,-2.4556,
2000-09-01,100.6935,-0.6919,-1.6741,-2.719,
2000-10-01,99.895,-0.7985,-2.0423,-3.1555,
2000-11-01,99.0664,-0.8286,-2.3191,-3.6513,
2000-12-01,98.3,-0.7664,-2.3935,-4.0676,
2001-01-01,97.6716,-0.6283,-2.2233,-4.2657,-6.642
2001-02-01,97.2709,-0.4007,-1.7954,-4.1145,-6.5701
2001-03-01,97.1109,-0.1601,-1.1891,-3.5826,-6.3016
2001-04-01,97.1192,0.0083,-0.5524,-2.7758,-5.9313
2001-05-01,97.2259,0.1067,-0.045,-1.8404,-5.4917
2001-06-01,97.4011,0.1752,0.2903,-0.8989,-4.9665
2001-07-01,97.6522,0.251,0.533,-0.0195,-4.2851
2001-08-01,97.9759,0.3237,0.7499,0.7049,-3.4095
2001-09-01,98.3781,0.4022,0.977,1.2673,-2.3154
2001-10-01,98.8856,0.5075,1.2334,1.7664,-1.0094
2001-11-01,99.4952,0.6097,1.5194,2.2693,0.4289
2001-12-01,100.163,0.6678,1.7849,2.7619,1.863
2002-01-01,100.8271,0.6641,1.9415,3.1749,3.1555
2002-02-01,101.4271,0.6,1.9319,3.4512,4.1562
2002-03-01,101.9046,0.4775,1.7416,3.5265,4.7937
2002-04-01,102.1901,0.2855,1.363,3.3045,5.0709
2002-05-01,102.2762,0.0861,0.8491,2.781,5.0503
2002-06-01,102.2017,-0.0745,0.2971,2.0387,4.8006
2002-07-01,102.0179,-0.1838,-0.1722,1.1908,4.3657
2002-08-01,101.7465,-0.2714,-0.5297,0.3194,3.7706
2002-09-01,101.4139,-0.3326,-0.7878,-0.4907,3.0358
2002-10-01,101.0177,-0.3962,-1.0002,-1.1724,2.1321
2002-11-01,100.5561,-0.4616,-1.1904,-1.7201,1.0609
2002-12-01,100.021,-0.5351,-1.3929,-2.1807,-0.142
2003-01-01,99.436,-0.585,-1.5817,-2.5819,-1.3911
2003-02-01,98.9016,-0.5345,-1.6545,-2.8449,-2.5255
2003-03-01,98.5094,-0.3922,-1.5117,-2.9046,-3.3953
2003-04-01,98.2995,-0.2099,-1.1365,-2.7182,-3.8906
2003-05-01,98.279,-0.0205,-0.6226,-2.2771,-3.9972
2003-06-01,98.4309,0.1519,-0.0785,-1.5901,-3.7708
