date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,102.7799,,,,
2000-02-01,102.9121,0.1322,,,
2000-03-01,102.9644,0.0523,,,
2000-04-01,103.0033,0.0389,0.2234,,
2000-05-01,103.037,0.0337,0.1249,,
2000-06-01,103.0058,-0.0312,0.0414,,
2000-07-01,102.8301,-0.1757,-0.1732,0.0502,
2000-08-01,102.5936,-0.2365,-0.4434,-0.3185,
2000-09-01,102.294,-0.2996,-0.7118,-0.6704,
2000-10-01,101.9344,-0.3596,-0.8957,-1.0689,
2000-11-01,101.5207,-0.4137,-1.0729,-1.5163,
2000-12-01,101.0471,-0.4736,-1.2469,-1.9587,
2001-01-01,100.5972,-0.4499,-1.3372,-2.2329,-2.1827
2001-02-01,100.2061,-0.3911,-1.3146,-2.3875,-2.706
2001-03-01,99.8904,-0.3157,-1.1567,-2.4036,-3.074
2001-04-01,99.5903,-0.3001,-1.0069,-2.3441,-3.413
2001-05-01,99.4049,-0.1854,-0.8012,-2.1158,-3.6321
2001-06-01,99.2752,-0.1297,-0.6152,-1.7719,-3.7306
2001-07-01,99.2376,-0.0376,-0.3527,-1.3596,-3.5925
2001-08-01,99.207,-0.0306,-0.1978,-0.9991,-3.3866
2001-09-01,99.1094,-0.0976,-0.1658,-0.781,-3.1846
2001-10-01,99.0217,-0.0878,-0.216,-0.5687,-2.9127
2001-11-01,98.9771,-0.0445,-0.2299,-0.4278,-2.5436
2001-12-01,98.9942,0.017,-0.1153,-0.2811,-2.0529
2002-01-01,99.0722,0.0781,0.0506,-0.1654,-1.525
2002-02-01,99.2535,0.1813,0.2764,0.0465,-0.9526
2002-03-01,99.4783,0.2247,0.4841,0.3688,-0.4122
2002-04-01,99.6025,0.1242,0.5303,0.5808,0.0122
2002-05-01,99.5466,-0.0559,0.2931,0.5695,0.1417
2002-06-01,99.4661,-0.0805,-0.0122,0.4719,0.1909
2002-07-01,99.4015,-0.0646,-0.201,0.3293,0.1639
2002-08-01,99.3722,-0.0293,-0.1744,0.1187,0.1652
2002-09-01,99.3175,-0.0547,-0.1486,-0.1608,0.2081
2002-10-01,99.2209,-0.0966,-0.1806,-0.3816,0.1993
2002-11-01,99.1038,-0.1171,-0.2684,-0.4428,0.1267
2002-12-01,98.9563,-0.1476,-0.3612,-0.5099,-0.0379
2003-01-01,98.7118,-0.2445,-0.5091,-0.6897,-0.3605
2003-02-01,98.3981,-0.3137,-0.7058,-0.9741,-0.8555
2003-03-01,98.1322,-0.2659,-0.8241,-1.1853,-1.3461
2003-04-01,97.9879,-0.1443,-0.7239,-1.2331,-1.6146
2003-05-01,97.9065,-0.0813,-0.4915,-1.1973,-1.6401
2003-06-01,97.9653,0.0588,-0.1669,-0.991,-1.5008
2003-07-01,98.1114,0.1461,0.1236,-0.6004,-1.2901
2003-08-01,98.2898,0.1783,0.3832,-0.1083,-1.0825
2003-09-01,98.5149,0.2252,0.5497,0.3828,-0.8026
2003-10-01,98.7672,0.2523,0.6558,0.7794,-0.4537
2003-11-01,98.9903,0.2231,0.7006,1.0838,-0.1135
2003-12-01,99.2124,0.2221,0.6975,1.2472,0.2562
2004-01-01,99.4559,0.2434,0.6886,1.3444,0.7441
2004-02-01,99.705,0.2491,0.7147,1.4152,1.3069
2004-03-01,99.8991,0.1941,0.6866,1.3841,1.7669
2004-04-01,100.0185,0.1194,0.5626,1.2513,2.0306
2004-05-01,100.0403,0.0218,0.3353,1.05,2.1338
2004-06-01,99.9956,-0.0447,0.0965,0.7832,2.0303
2004-07-01,99.9284,-0.0672,-0.0901,0.4725,1.817
2004-08-01,99.9151,-0.0133,-0.1252,0.2101,1.6253
2004-09-01,100.0042,0.0891,0.0086,0.1051,1.4893
2004-10-01,100.1746,0.1704,0.2462,0.1561,1.4074
2004-11-01,100.3556,0.181,0.4405,0.3153,1.3653
2004-12-01,100.4556,0.1,0.4514,0.46,1.2432
2005-01-01,100.4638,0.0082,0.2892,0.5354,1.0079
2005-02-01,100.3487,-0.1151,-0.0069,0.4336,0.6437
2005-03-01,100.1213,-0.2274,-0.3343,0.1171,0.2222
2005-04-01,99.8627,-0.2586,-0.6011,-0.3119,-0.1558
2005-05-01,99.6438,-0.2189,-0.7049,-0.7118,-0.3965
2005-06-01,99.668,0.0243,-0.4533,-0.7876,-0.3276
2005-07-01,99.9247,0.2566,0.062,-0.5391,-0.0037
2005-08-01,100.3234,0.3987,0.6796,-0.0253,0.4083
2005-09-01,100.7551,0.4317,1.0871,0.6338,0.7509
2005-10-01,101.178,0.4229,1.2533,1.3153,1.0034
2005-11-01,101.5907,0.4127,1.2673,1.9469,1.2351
2005-12-01,101.9228,0.3321,1.1677,2.2548,1.4672
2006-01-01,102.1866,0.2638,1.0086,2.2619,1.7228
2006-02-01,102.4185,0.2319,0.8278,2.0951,2.0698
2006-03-01,102.6262,0.2077,0.7034,1.8711,2.5049
2006-04-01,102.7823,0.1561,0.5957,1.6043,2.9196
2006-05-01,102.9163,0.134,0.4978,1.3256,3.2725
2006-06-01,102.9717,0.0554,0.3455,1.0489,3.3037
2006-07-01,102.9801,0.0084,0.1978,0.7935,3.0554
2006-08-01,102.9662,-0.0139,0.0499,0.5477,2.6428
2006-09-01,102.9381,-0.0281,-0.0336,0.3119,2.183
2006-10-01,102.8912,-0.0469,-0.0889,0.1089,1.7132
2006-11-01,102.8307,-0.0605,-0.1355,-0.0856,1.24
2006-12-01,102.7643,-0.0664,-0.1738,-0.2074,0.8415
2007-01-01,102.7204,-0.0439,-0.1708,-0.2597,0.5338
2007-02-01,102.8332,0.1128,0.0025,-0.133,0.4147
2007-03-01,103.0799,0.2467,0.3156,0.1418,0.4537
2007-04-01,103.3822,0.3023,0.6618,0.491,0.5999
2007-05-01,103.6788,0.2966,0.8456,0.8481,0.7625
2007-06-01,103.9345,0.2557,0.8546,1.1702,0.9628
2007-07-01,104.151,0.2165,0.7688,1.4306,1.1709
2007-08-01,104.2771,0.1261,0.5983,1.4439,1.3109
2007-09-01,104.2935,0.0164,0.359,1.2136,1.3554
2007-10-01,104.2844,-0.0091,0.1334,0.9022,1.3932
2007-11-01,104.245,-0.0394,-0.0321,0.5662,1.4143
2007-12-01,104.2447,-0.0003,-0.0488,0.3102,1.4804
2008-01-01,104.1842,-0.0605,-0.1002,0.0332,1.4638
2008-02-01,103.9424,-0.2418,-0.3026,-0.3347,1.1092
2008-03-01,103.5543,-0.3881,-0.6904,-0.7392,0.4744
2008-04-01,103.0571,-0.4972,-1.1271,-1.2273,-0.3251
2008-05-01,102.4117,-0.6454,-1.5307,-1.8333,-1.2671
2008-06-01,101.6655,-0.7462,-1.8888,-2.5792,-2.269
2008-07-01,100.7227,-0.9428,-2.3344,-3.4615,-3.4283
2008-08-01,99.4973,-1.2254,-2.9144,-4.4451,-4.7798
2008-09-01,98.0559,-1.4414,-3.6096,-5.4984,-6.2376
2008-10-01,96.5123,-1.5436,-4.2104,-6.5448,-7.7721
2008-11-01,95.0578,-1.4545,-4.4395,-7.3539,-9.1872
2008-12-01,93.8707,-1.1871,-4.1852,-7.7948,-10.374
2009-01-01,93.051,-0.8197,-3.4613,-7.6717,-11.1332
2009-02-01,92.6892,-0.3618,-2.3686,-6.8081,-11.2532
2009-03-01,92.8289,0.1397,-1.0418,-5.227,-10.7254
2009-04-01,93.4084,0.5795,0.3574,-3.1039,-9.6487
2009-05-01,94.2756,0.8672,1.5864,-0.7822,-8.1361
2009-06-01,95.362,1.0864,2.5331,1.4913,-6.3035
2009-07-01,96.5109,1.1489,3.1025,3.4599,-4.2118
2009-08-01,97.6262,1.1153,3.3506,4.937,-1.8711
2009-09-01,98.5712,0.945,3.2092,5.7423,0.5152
2009-10-01,99.2964,0.7252,2.7855,5.8879,2.7841
2009-11-01,99.8286,0.5323,2.2024,5.553,4.7709
2009-12-01,100.2053,0.3767,1.6341,4.8433,6.3346
2010-01-01,100.481,0.2757,1.1846,3.9701,7.43
2010-02-01,100.749,0.268,0.9204,3.1228,8.0598
2010-03-01,100.9603,0.2113,0.755,2.3891,8.1314
2010-04-01,101.052,0.0917,0.571,1.7556,7.6436
2010-05-01,101.0552,0.0032,0.3062,1.2266,6.7796
2010-06-01,100.9862,-0.069,0.0259,0.7809,5.6242
2010-07-01,100.9194,-0.0668,-0.1326,0.4384,4.4085
2010-08-01,100.9152,-0.0042,-0.14,0.1662,3.289
2010-09-01,101.0257,0.1105,0.0395,0.0654,2.4545
2010-10-01,101.2061,0.1804,0.2867,0.1541,1.9097
