date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,101.485,,,,
2000-02-01,101.456,-0.029,,,
2000-03-01,101.3904,-0.0656,,,
2000-04-01,101.3018,-0.0886,-0.1832,,
2000-05-01,101.1871,-0.1147,-0.2689,,
2000-06-01,101.0469,-0.1402,-0.3435,,
2000-07-01,100.8718,-0.1751,-0.43,-0.6132,
2000-08-01,100.6572,-0.2146,-0.5299,-0.7988,
2000-09-01,100.3995,-0.2577,-0.6474,-0.9909,
2000-10-01,100.0869,-0.3126,-0.7849,-1.2149,
2000-11-01,99.7312,-0.3558,-0.9261,-1.456,
2000-12-01,99.3482,-0.383,-1.0513,-1.6987,
2001-01-01,98.9976,-0.3506,-1.0893,-1.8742,-2.4874
2001-02-01,98.723,-0.2746,-1.0082,-1.9342,-2.733
2001-03-01,98.5376,-0.1854,-0.8106,-1.8619,-2.8528
2001-04-01,98.4271,-0.1105,-0.5705,-1.6598,-2.8747
2001-05-01,98.3792,-0.0478,-0.3437,-1.3519,-2.8079
2001-06-01,98.3416,-0.0376,-0.196,-1.0066,-2.7053
2001-07-01,98.2989,-0.0427,-0.1282,-0.6987,-2.5729
2001-08-01,98.2465,-0.0524,-0.1327,-0.4764,-2.4107
2001-09-01,98.2111,-0.0354,-0.1305,-0.3264,-2.1884
2001-10-01,98.26,0.0489,-0.0389,-0.1671,-1.8269
2001-11-01,98.4194,0.1594,0.1729,0.0401,-1.3118
2001-12-01,98.6703,0.2509,0.4592,0.3287,-0.6778
2002-01-01,98.9636,0.2932,0.7036,0.6647,-0.034
2002-02-01,99.251,0.2874,0.8316,1.0044,0.528
2002-03-01,99.4749,0.224,0.8046,1.2638,0.9373
2002-04-01,99.5718,0.0969,0.6082,1.3118,1.1447
2002-05-01,99.5172,-0.0546,0.2663,1.0978,1.138
2002-06-01,99.3362,-0.181,-0.1387,0.6659,0.9946
2002-07-01,99.079,-0.2572,-0.4927,0.1155,0.7801
2002-08-01,98.8074,-0.2716,-0.7098,-0.4436,0.5609
2002-09-01,98.5512,-0.2562,-0.785,-0.9237,0.3401
2002-10-01,98.3408,-0.2104,-0.7382,-1.2309,0.0808
2002-11-01,98.1922,-0.1486,-0.6152,-1.325,-0.2272
2002-12-01,98.0822,-0.11,-0.469,-1.254,-0.5881
2003-01-01,97.9854,-0.0968,-0.3555,-1.0936,-0.9782
2003-02-01,97.913,-0.0724,-0.2793,-0.8944,-1.338
2003-03-01,97.9062,-0.0067,-0.176,-0.645,-1.5687
2003-04-01,97.9982,0.092,0.0128,-0.3427,-1.5736
2003-05-01,98.1785,0.1803,0.2655,-0.0137,-1.3387
2003-06-01,98.4328,0.2543,0.5266,0.3506,-0.9034
2003-07-01,98.7434,0.3107,0.7452,0.758,-0.3356
2003-08-01,99.093,0.3495,0.9145,1.18,0.2856
2003-09-01,99.4715,0.3785,1.0387,1.5652,0.9202
