date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,105.0024,,,,
2000-02-01,105.9694,0.967,,,
2000-03-01,106.5151,0.5457,,,
2000-04-01,106.6012,0.0861,1.5988,,
2000-05-01,106.3438,-0.2574,0.3744,,
2000-06-01,105.8669,-0.4769,-0.6482,,
2000-07-01,105.234,-0.6329,-1.3672,0.2316,
2000-08-01,104.4145,-0.8195,-1.9293,-1.5549,
2000-09-01,103.3072,-1.1073,-2.5597,-3.2079,
2000-10-01,101.8005,-1.5067,-3.4335,-4.8007,
2000-11-01,99.8516,-1.9489,-4.5629,-6.4922,
2000-12-01,97.5949,-2.2567,-5.7123,-8.272,
2001-01-01,95.3207,-2.2741,-6.4798,-9.9133,-9.6817
2001-02-01,93.3224,-1.9983,-6.5292,-11.0921,-12.647
2001-03-01,91.981,-1.3414,-5.6139,-11.3262,-14.5341
2001-04-01,91.5685,-0.4125,-3.7523,-10.232,-15.0327
2001-05-01,91.914,0.3455,-1.4084,-7.9376,-14.4298
2001-06-01,92.6028,0.6888,0.6218,-4.9921,-13.2641
2001-07-01,93.3774,0.7746,1.8089,-1.9433,-11.8566
2001-08-01,94.1566,0.7792,2.2426,0.8342,-10.2579
2001-09-01,94.9312,0.7746,2.3284,2.9502,-8.376
2001-10-01,95.8014,0.8701,2.4239,4.2329,-5.9992
2001-11-01,96.8176,1.0163,2.6611,4.9036,-3.0339
2001-12-01,97.8316,1.014,2.9004,5.2289,0.2368
2002-01-01,98.7329,0.9013,2.9316,5.3555,3.4122
2002-02-01,99.4202,0.6873,2.6025,5.2636,6.0977
2002-03-01,99.8793,0.4591,2.0476,4.9481,7.8983
2002-04-01,100.0796,0.2003,1.3467,4.2782,8.5111
2002-05-01,100.0403,-0.0393,0.6201,3.2227,8.1263
2002-06-01,99.838,-0.2023,-0.0413,2.0064,7.2352
2002-07-01,99.6504,-0.1876,-0.4292,0.9175,6.273
2002-08-01,99.5833,-0.0671,-0.457,0.1631,5.4267
2002-09-01,99.6506,0.0673,-0.1874,-0.2287,4.7194
2002-10-01,99.8234,0.1729,0.1731,-0.2562,4.0221
2002-11-01,99.9177,0.0942,0.3344,-0.1226,3.1
2002-12-01,99.7669,-0.1508,0.1163,-0.0711,1.9353
2003-01-01,99.3887,-0.3782,-0.4348,-0.2617,0.6558
2003-02-01,98.9462,-0.4425,-0.9715,-0.6371,-0.474
2003-03-01,98.668,-0.2782,-1.0988,-0.9825,-1.2112
2003-04-01,98.7206,0.0526,-0.6681,-1.1028,-1.359
2003-05-01,99.0813,0.3607,0.1351,-0.8364,-0.959
2003-06-01,99.6158,0.5345,0.9477,-0.1511,-0.2222
2003-07-01,100.2147,0.5989,1.4941,0.826,0.5643
2003-08-01,100.844,0.6293,1.7627,1.8978,1.2607
2003-09-01,101.4698,0.6258,1.8541,2.8018,1.8192
2003-10-01,102.0469,0.5771,1.8322,3.3263,2.2234
2003-11-01,102.4601,0.4132,1.6161,3.3788,2.5424
2003-12-01,102.6311,0.171,1.1613,3.0153,2.8642
2004-01-01,102.5466,-0.0845,0.4997,2.3319,3.1579
2004-02-01,102.286,-0.2606,-0.1741,1.442,3.3398
2004-03-01,101.919,-0.367,-0.7121,0.4492,3.251
2004-04-01,101.5507,-0.3683,-0.9959,-0.4962,2.8301
2004-05-01,101.2572,-0.2935,-1.0288,-1.2029,2.1759
2004-06-01,101.1055,-0.1517,-0.8135,-1.5256,1.4898
2004-07-01,101.1176,0.0121,-0.4331,-1.429,0.9029
2004-08-01,101.2719,0.1543,0.0147,-1.0141,0.4279
2004-09-01,101.5335,0.2616,0.428,-0.3855,0.0637
2004-10-01,101.8077,0.2742,0.6901,0.257,-0.2392
2004-11-01,102.0058,0.1981,0.7339,0.7486,-0.4543
2004-12-01,102.0868,0.081,0.5533,0.9813,-0.5443
2005-01-01,101.9717,-0.1151,0.164,0.8541,-0.5749
2005-02-01,101.6656,-0.3061,-0.3402,0.3937,-0.6204
