date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,101.3746,,,,
2000-02-01,101.3093,-0.0653,,,
2000-03-01,101.2131,-0.0962,,,
2000-04-01,101.095,-0.1181,-0.2796,,
2000-05-01,100.9493,-0.1457,-0.36,,
2000-06-01,100.7852,-0.1641,-0.4279,,
2000-07-01,100.603,-0.1822,-0.492,-0.7716,
2000-08-01,100.3886,-0.2144,-0.5607,-0.9207,
2000-09-01,100.1389,-0.2497,-0.6463,-1.0742,
2000-10-01,99.8373,-0.3016,-0.7657,-1.2577,
2000-11-01,99.4941,-0.3432,-0.8945,-1.4552,
2000-12-01,99.1246,-0.3695,-1.0143,-1.6606,
2001-01-01,98.7875,-0.3371,-1.0498,-1.8155,-2.5871
2001-02-01,98.5291,-0.2585,-0.965,-1.8595,-2.7802
2001-03-01,98.3619,-0.1672,-0.7627,-1.777,-2.8512
2001-04-01,98.2777,-0.0842,-0.5098,-1.5595,-2.8173
2001-05-01,98.2512,-0.0265,-0.2778,-1.2428,-2.6981
2001-06-01,98.2278,-0.0234,-0.1341,-0.8967,-2.5574
2001-07-01,98.1831,-0.0447,-0.0946,-0.6044,-2.4199
2001-08-01,98.1202,-0.063,-0.1311,-0.4089,-2.2684
2001-09-01,98.0793,-0.0409,-0.1486,-0.2826,-2.0596
2001-10-01,98.13,0.0507,-0.0532,-0.1478,-1.7073
2001-11-01,98.298,0.168,0.1778,0.0468,-1.1961
2001-12-01,98.5623,0.2643,0.483,0.3345,-0.5623
2002-01-01,98.8685,0.3062,0.7385,0.6854,0.081
2002-02-01,99.1587,0.2903,0.8607,1.0386,0.6297
2002-03-01,99.3768,0.2181,0.8145,1.2976,1.0149
2002-04-01,99.4671,0.0903,0.5986,1.3372,1.1894
2002-05-01,99.4101,-0.057,0.2513,1.1121,1.1588
2002-06-01,99.2144,-0.1957,-0.1624,0.6521,0.9866
2002-07-01,98.9327,-0.2817,-0.5344,0.0643,0.7496
2002-08-01,98.6319,-0.3009,-0.7782,-0.5269,0.5117
2002-09-01,98.3526,-0.2793,-0.8618,-1.0242,0.2733
2002-10-01,98.1326,-0.22,-0.8001,-1.3345,0.0027
2002-11-01,97.987,-0.1456,-0.6448,-1.423,-0.311
2002-12-01,97.8892,-0.0979,-0.4634,-1.3253,-0.6731
2003-01-01,97.8177,-0.0714,-0.3149,-1.115,-1.0508
2003-02-01,97.7833,-0.0344,-0.2037,-0.8485,-1.3754
2003-03-01,97.8183,0.035,-0.0708,-0.5343,-1.5585
2003-04-01,97.9501,0.1318,0.1324,-0.1825,-1.517
2003-05-01,98.173,0.2229,0.3897,0.186,-1.2371
2003-06-01,98.4604,0.2874,0.6421,0.5713,-0.754
2003-07-01,98.7977,0.3373,0.8476,0.98,-0.135
2003-08-01,99.1737,0.376,1.0007,1.3903,0.5418
2003-09-01,99.5763,0.4026,1.1159,1.7579,1.2237
2003-10-01,99.9838,0.4075,1.1861,2.0337,1.8511
2003-11-01,100.3629,0.3791,1.1892,2.1899,2.3758
2003-12-01,100.6806,0.3177,1.1043,2.2202,2.7914
2004-01-01,100.9198,0.2392,0.936,2.1221,3.1021
2004-02-01,101.0635,0.1437,0.7006,1.8898,3.2802
2004-03-01,101.1303,0.0668,0.4497,1.554,3.312
2004-04-01,101.1324,0.0021,0.2126,1.1486,3.1823
2004-05-01,101.0897,-0.0427,0.0262,0.7268,2.9167
2004-06-01,101.0117,-0.078,-0.1186,0.3311,2.5513
2004-07-01,100.9049,-0.1068,-0.2275,-0.0149,2.1072
2004-08-01,100.786,-0.1189,-0.3037,-0.2775,1.6123
2004-09-01,100.6823,-0.1037,-0.3294,-0.448,1.106
2004-10-01,100.6123,-0.07,-0.2926,-0.5201,0.6285
