date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,100.604,,,,
2000-02-01,100.6888,0.0848,,,
2000-03-01,100.7235,0.0347,,,
2000-04-01,100.7184,-0.0051,0.1144,,
2000-05-01,100.6885,-0.0299,-0.0003,,
2000-06-01,100.6395,-0.049,-0.084,,
2000-07-01,100.57,-0.0695,-0.1484,-0.034,
2000-08-01,100.4793,-0.0907,-0.2092,-0.2095,
2000-09-01,100.3668,-0.1125,-0.2727,-0.3567,
2000-10-01,100.2399,-0.1269,-0.3301,-0.4785,
2000-11-01,100.1231,-0.1168,-0.3562,-0.5654,
2000-12-01,100.0411,-0.082,-0.3257,-0.5984,
2001-01-01,99.9909,-0.0502,-0.249,-0.5791,-0.6131
2001-02-01,99.944,-0.0468,-0.1791,-0.5353,-0.7448
2001-03-01,99.8645,-0.0795,-0.1766,-0.5023,-0.859
2001-04-01,99.7574,-0.1072,-0.2335,-0.4825,-0.961
2001-05-01,99.639,-0.1184,-0.3051,-0.4841,-1.0495
2001-06-01,99.5281,-0.1109,-0.3364,-0.513,-1.1114
2001-07-01,99.4406,-0.0875,-0.3168,-0.5503,-1.1294
2001-08-01,99.412,-0.0286,-0.227,-0.532,-1.0673
2001-09-01,99.4789,0.0668,-0.0492,-0.3857,-0.8879
2001-10-01,99.6569,0.178,0.2163,-0.1004,-0.583
2001-11-01,99.9288,0.2719,0.5168,0.2898,-0.1943
2001-12-01,100.2526,0.3238,0.7737,0.7245,0.2115
2002-01-01,100.552,0.2994,0.8951,1.1114,0.5611
2002-02-01,100.7777,0.2257,0.8489,1.3657,0.8337
2002-03-01,100.8958,0.1181,0.6432,1.4169,1.0312
2002-04-01,100.8963,0.0005,0.3443,1.2394,1.1389
2002-05-01,100.783,-0.1133,0.0053,0.8542,1.144
2002-06-01,100.577,-0.206,-0.3188,0.3244,1.0489
2002-07-01,100.3124,-0.2646,-0.5839,-0.2396,0.8718
2002-08-01,100.0228,-0.2896,-0.7602,-0.7549,0.6108
2002-09-01,99.7249,-0.2979,-0.8521,-1.1709,0.246
2002-10-01,99.4181,-0.3068,-0.8943,-1.4782,-0.2388
2002-11-01,99.0967,-0.3214,-0.9261,-1.6863,-0.8321
2002-12-01,98.7464,-0.3503,-0.9785,-1.8306,-1.5062
2003-01-01,98.3757,-0.3707,-1.0424,-1.9367,-2.1763
2003-02-01,98.0037,-0.372,-1.0931,-2.0191,-2.774
2003-03-01,97.68,-0.3237,-1.0664,-2.0449,-3.2158
2003-04-01,97.4525,-0.2275,-0.9232,-1.9657,-3.4438
2003-05-01,97.3572,-0.0952,-0.6464,-1.7395,-3.4258
2003-06-01,97.4153,0.0581,-0.2646,-1.3311,-3.1617
2003-07-01,97.5936,0.1783,0.1412,-0.782,-2.7188
2003-08-01,97.8462,0.2525,0.4889,-0.1575,-2.1767
2003-09-01,98.1259,0.2797,0.7105,0.4459,-1.599
2003-10-01,98.3967,0.2708,0.803,0.9442,-1.0214
2003-11-01,98.6354,0.2387,0.7892,1.2781,-0.4613
2003-12-01,98.8327,0.1973,0.7069,1.4174,0.0863
2004-01-01,98.996,0.1633,0.5994,1.4024,0.6204
2004-02-01,99.1271,0.1311,0.4917,1.2809,1.1234
2004-03-01,99.235,0.1079,0.4022,1.1091,1.555
2004-04-01,99.3379,0.1029,0.3418,0.9412,1.8854
2004-05-01,99.4584,0.1205,0.3313,0.823,2.1012
