date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-04,441.9,,,,,,,100.0,-73.5072
2000-01-05,438.1,-0.8599,,,,,,99.1401,-73.735
2000-01-06,435.3,-0.6391,,,,,,98.5064,-73.9029
2000-01-07,443.9,1.9757,,,,,,100.4526,-73.3873
2000-01-10,451.95,1.8135,,,,,,102.2743,-72.9047
2000-01-11,449.4,-0.5642,1.6972,,,,,101.6972,-73.0576
2000-01-12,452.25,0.6342,3.2299,,,,,102.3422,-72.8867
2000-01-13,447.0,-1.1609,2.6878,,,,,101.1541,-73.2014
2000-01-14,441.0,-1.3423,-0.6533,,,,,99.7963,-73.5612
2000-01-18,438.7,-0.5215,-2.9317,,,,,99.2759,-73.699
2000-01-19,442.75,0.9232,-1.4797,,,,,100.1924,-73.4562
2000-01-20,451.7,2.0215,-0.1216,,,,,102.2177,-72.9197
2000-01-21,457.1,1.1955,2.2595,,,,,103.4397,-72.5959
2000-01-24,470.25,2.8768,6.6327,,,,,106.4155,-71.8076
2000-01-25,479.0,1.8607,9.1862,,,,,108.3956,-71.283
2000-01-26,472.0,-1.4614,6.6064,,,,,106.8115,-71.7026
2000-01-27,483.0,2.3305,6.9294,,,,,109.3007,-71.0432
2000-01-28,485.9,0.6004,6.3006,,,,,109.957,-70.8693
2000-01-31,484.7,-0.247,3.0728,,,,,109.6855,-70.9412
2000-02-01,492.55,1.6196,2.8288,,,,,111.4619,-70.4706
2000-02-02,502.25,1.9693,6.4089,,,,,113.6569,-69.8891
2000-02-03,514.05,2.3494,6.4286,16.3272,,,,116.3272,-69.1817
2000-02-04,530.0,3.1028,9.0759,20.9769,,,,119.9366,-68.2254
2000-02-07,540.9,2.0566,11.5948,24.2591,,,,122.4033,-67.5719
2000-02-08,579.8,7.1917,17.7139,30.615,,,,131.2062,-65.2398
2000-02-09,590.15,1.7851,17.5012,30.5786,,,,133.5483,-64.6193
2000-02-10,580.0,-1.7199,12.8295,29.061,,,,131.2514,-65.2278
2000-02-11,598.85,3.25,12.9906,32.4157,,,,135.5171,-64.0977
2000-02-14,605.5,1.1105,11.9431,35.4586,,,,137.022,-63.699
2000-02-15,658.35,8.7283,13.5478,49.2857,,,,148.9817,-60.5306
2000-02-16,711.15,8.0201,20.5033,62.1039,,,,160.9301,-57.3651
2000-02-17,705.55,-0.7875,21.6465,59.3563,,,,159.6628,-57.7008
2000-02-18,701.25,-0.6095,17.0994,55.2468,,,,158.6898,-57.9586
2000-02-22,816.8,16.4777,34.8968,78.6917,,,,184.8382,-51.0312
2000-02-23,720.0,-11.8511,9.3643,53.11,,,,162.9328,-56.8345
2000-02-24,697.4,-3.1389,-1.9335,45.595,,,,157.8185,-58.1894
2000-02-25,689.0,-1.2045,-2.3457,45.9746,,,,155.9176,-58.693
2000-02-28,721.2,4.6734,2.8449,49.3168,,,,163.2043,-56.7626
2000-02-29,712.0,-1.2757,-12.8306,46.5322,,,,161.1224,-57.3141
2000-03-01,690.9,-2.9635,-4.0417,42.5418,,,,156.3476,-58.5791
2000-03-02,665.4,-3.6908,-4.5885,35.0929,,,,150.5771,-60.1079
2000-03-03,655.0,-1.563,-4.9347,30.4131,,,,148.2236,-60.7314
2000-03-06,660.0,0.7634,-8.4859,28.3922,,,,149.3551,-60.4317
2000-03-07,665.5,0.8333,-6.5309,25.566,,,,150.5997,-60.1019
2000-03-08,704.7,5.8903,1.9974,30.2829,,,,159.4705,-57.7518
2000-03-09,694.5,-1.4474,4.3733,19.7827,,,,157.1623,-58.3633
2000-03-10,707.5,1.8719,8.0153,19.8848,,,,160.1041,-57.5839
2000-03-13,692.5,-2.1201,4.9242,19.3966,,,,156.7097,-58.4832
2000-03-14,697.5,0.722,4.8084,16.4732,,,,157.8411,-58.1835
2000-03-15,706.0,1.2186,0.1845,16.5979,,,,159.7647,-57.6739
2000-03-16,720.0,1.983,3.6717,9.3643,,,,162.9328,-56.8345
2000-03-17,718.5,-0.2083,1.5548,1.0335,,,,162.5933,-56.9245
2000-03-20,686.9,-4.398,-0.8087,-2.6433,,,,155.4424,-58.8189
2000-03-21,663.5,-3.4066,-4.8746,-5.3832,,,,150.1471,-60.2218
2000-03-22,660.55,-0.4446,-6.4377,-19.1295,,,,149.4795,-60.3987
2000-03-23,650.5,-1.5215,-9.6528,-9.6528,,,,147.2053,-61.0012
2000-03-24,618.0,-4.9962,-13.9875,-11.3851,,,,139.8506,-62.9496
2000-03-27,614.75,-0.5259,-10.5037,-10.7765,,,,139.1152,-63.1445
2000-03-28,615.55,0.1301,-7.2268,-14.6492,,,,139.2962,-63.0965
