date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-04,429.7,,,,,,,100.0,-79.7855
2000-01-05,419.9,-2.2807,,,,,,97.7193,-80.2465
2000-01-06,412.0,-1.8814,,,,,,95.8808,-80.6181
2000-01-07,414.0,0.4854,,,,,,96.3463,-80.5241
2000-01-10,415.0,0.2415,,,,,,96.579,-80.477
2000-01-11,413.0,-0.4819,-3.8864,,,,,96.1136,-80.5711
2000-01-12,417.4,1.0654,-0.5954,,,,,97.1375,-80.3641
2000-01-13,419.9,0.5989,1.9175,,,,,97.7193,-80.2465
2000-01-14,425.4,1.3098,2.7536,,,,,98.9993,-79.9878
2000-01-18,430.7,1.2459,3.7831,,,,,100.2327,-79.7384
2000-01-19,443.2,2.9023,7.3124,,,,,103.1417,-79.1504
2000-01-20,442.5,-0.1579,6.0134,,,,,102.9788,-79.1833
2000-01-21,445.5,0.678,6.0967,,,,,103.677,-79.0422
2000-01-24,455.5,2.2447,7.0757,,,,,106.0042,-78.5718
2000-01-25,461.4,1.2953,7.1279,,,,,107.3772,-78.2942
2000-01-26,447.5,-3.0126,0.9702,,,,,104.1424,-78.9481
2000-01-27,445.6,-0.4246,0.7006,,,,,103.7003,-79.0375
2000-01-28,453.8,1.8402,1.8631,,,,,105.6086,-78.6517
2000-01-31,455.0,0.2644,-0.1098,,,,,105.8878,-78.5953
2000-02-01,452.9,-0.4615,-1.8422,,,,,105.3991,-78.6941
2000-02-02,466.2,2.9366,4.1788,,,,,108.4943,-78.0684
2000-02-03,474.8,1.8447,6.553,10.4957,,,,110.4957,-77.6638
2000-02-04,479.0,0.8846,5.5531,14.0748,,,,111.4731,-77.4662
2000-02-07,474.3,-0.9812,4.2418,15.1214,,,,110.3793,-77.6874
2000-02-08,498.5,5.1023,10.0684,20.4106,,,,116.0112,-76.5489
2000-02-09,529.6,6.2387,13.5993,27.6145,,,,123.2488,-75.0859
2000-02-10,517.9,-2.2092,9.0775,25.3995,,,,120.526,-75.6363
2000-02-11,526.4,1.6412,9.8956,26.114,,,,122.5041,-75.2364
2000-02-14,517.2,-1.7477,9.0449,23.1722,,,,120.363,-75.6692
2000-02-15,530.5,2.5715,6.4193,24.7062,,,,123.4582,-75.0435
2000-02-16,542.4,2.2432,2.4169,25.9345,,,,126.2276,-74.4837
2000-02-17,529.4,-2.3968,2.2205,19.4495,,,,123.2022,-75.0953
2000-02-18,503.2,-4.949,-4.4073,13.7175,,,,117.105,-76.3278
2000-02-22,510.0,1.3513,-1.3921,14.4781,,,,118.6875,-76.0079
2000-02-23,471.9,-7.4706,-11.0462,3.6004,,,,109.8208,-77.8003
2000-02-24,468.0,-0.8264,-13.7168,1.4304,,,,108.9132,-77.9837
2000-02-25,452.1,-3.3974,-14.6014,1.0279,,,,105.2129,-78.7317
2000-02-28,465.1,2.8755,-7.5715,4.3761,,,,108.2383,-78.1201
