date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.66,,,,
2000-02-01,5.8,0.14,,,
2000-03-01,5.89,0.09,,,
2000-04-01,6.04,0.15,0.38,,
2000-05-01,6.31,0.27,0.51,,
2000-06-01,6.23,-0.08,0.34,,
2000-07-01,6.2,-0.03,0.16,0.54,
2000-08-01,6.49,0.29,0.18,0.69,
2000-09-01,6.57,0.08,0.34,0.68,
2000-10-01,6.41,-0.16,0.21,0.37,
2000-11-01,6.33,-0.08,-0.16,0.02,
2000-12-01,6.2,-0.13,-0.37,-0.03,
2001-01-01,5.91,-0.29,-0.5,-0.29,0.25
2001-02-01,5.59,-0.32,-0.74,-0.9,-0.21
2001-03-01,5.14,-0.45,-1.06,-1.43,-0.75
2001-04-01,4.86,-0.28,-1.05,-1.55,-1.18
2001-05-01,4.89,0.03,-0.7,-1.44,-1.42
2001-06-01,4.97,0.08,-0.17,-1.23,-1.26
2001-07-01,5.04,0.07,0.18,-0.87,-1.16
2001-08-01,4.95,-0.09,0.06,-0.64,-1.54
2001-09-01,4.55,-0.4,-0.42,-0.59,-2.02
2001-10-01,4.36,-0.19,-0.68,-0.5,-2.05
2001-11-01,4.28,-0.08,-0.67,-0.61,-2.05
2001-12-01,4.25,-0.03,-0.3,-0.72,-1.95
2002-01-01,4.26,0.01,-0.1,-0.78,-1.65
2002-02-01,4.31,0.05,0.03,-0.64,-1.28
2002-03-01,4.46,0.15,0.21,-0.09,-0.68
2002-04-01,4.59,0.13,0.33,0.23,-0.27
2002-05-01,4.84,0.25,0.53,0.56,-0.05
2002-06-01,5.07,0.23,0.61,0.82,0.1
2002-07-01,4.98,-0.09,0.39,0.72,-0.06
2002-08-01,4.96,-0.02,0.12,0.65,0.01
2002-09-01,4.92,-0.04,-0.15,0.46,0.37
2002-10-01,4.9,-0.02,-0.08,0.31,0.54
2002-11-01,4.84,-0.06,-0.12,0.0,0.56
2002-12-01,4.83,-0.01,-0.09,-0.24,0.58
