date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.025,,,,
2000-02-01,5.0325,0.0075,,,
2000-03-01,5.108,0.0755,,,
2000-04-01,5.35,0.242,0.325,,
2000-05-01,5.664,0.314,0.6315,,
2000-06-01,5.5525,-0.1115,0.4445,,
2000-07-01,5.6,0.0475,0.25,0.575,
2000-08-01,5.618,0.018,-0.046,0.5855,
2000-09-01,5.5725,-0.0455,0.02,0.4645,
2000-10-01,5.5975,0.025,-0.0025,0.2475,
2000-11-01,5.668,0.0705,0.05,0.004,
2000-12-01,5.52,-0.148,-0.0525,-0.0325,
2001-01-01,5.236,-0.284,-0.3615,-0.364,0.211
2001-02-01,5.0475,-0.1885,-0.6205,-0.5705,0.015
2001-03-01,4.595,-0.4525,-0.925,-0.9775,-0.513
2001-04-01,4.5025,-0.0925,-0.7335,-1.095,-0.8475
2001-05-01,4.34,-0.1625,-0.7075,-1.328,-1.324
2001-06-01,4.26,-0.08,-0.335,-1.26,-1.2925
2001-07-01,4.18,-0.08,-0.3225,-1.056,-1.42
2001-08-01,3.936,-0.244,-0.404,-1.1115,-1.682
2001-09-01,3.3325,-0.6035,-0.9275,-1.2625,-2.24
2001-10-01,2.728,-0.6045,-1.452,-1.7745,-2.8695
2001-11-01,2.1525,-0.5755,-1.7835,-2.1875,-3.5155
2001-12-01,2.0,-0.1525,-1.3325,-2.26,-3.52
2002-01-01,1.914,-0.086,-0.814,-2.266,-3.322
2002-02-01,2.015,0.101,-0.1375,-1.921,-3.0325
2002-03-01,2.155,0.14,0.155,-1.1775,-2.44
2002-04-01,2.325,0.17,0.411,-0.403,-2.1775
2002-05-01,2.514,0.189,0.499,0.3615,-1.826
2002-06-01,2.69,0.176,0.535,0.69,-1.57
2002-07-01,2.782,0.092,0.457,0.868,-1.398
2002-08-01,2.83,0.048,0.316,0.815,-1.106
2002-09-01,2.805,-0.025,0.115,0.65,-0.5275
2002-10-01,2.768,-0.037,-0.014,0.443,0.04
2002-11-01,2.7,-0.068,-0.13,0.186,0.5475
2002-12-01,2.6775,-0.0225,-0.1275,-0.0125,0.6775
2003-01-01,2.716,0.0385,-0.052,-0.066,0.802
2003-02-01,2.8125,0.0965,0.1125,-0.0175,0.7975
2003-03-01,3.0375,0.225,0.36,0.2325,0.8825
2003-04-01,3.196,0.1585,0.48,0.428,0.871
2003-05-01,3.1775,-0.0185,0.365,0.4775,0.6635
2003-06-01,3.0975,-0.08,0.06,0.42,0.4075
2003-07-01,2.912,-0.1855,-0.284,0.196,0.13
2003-08-01,2.7775,-0.1345,-0.4,-0.035,-0.0525
2003-09-01,2.6325,-0.145,-0.465,-0.405,-0.1725
2003-10-01,2.618,-0.0145,-0.294,-0.578,-0.15
2003-11-01,2.7,0.082,-0.0775,-0.4775,0.0
2003-12-01,2.624,-0.076,-0.0085,-0.4735,-0.0535
2004-01-01,2.3725,-0.2515,-0.2455,-0.5395,-0.3435
2004-02-01,2.195,-0.1775,-0.505,-0.5825,-0.6175
2004-03-01,2.038,-0.157,-0.586,-0.5945,-0.9995
2004-04-01,1.9625,-0.0755,-0.41,-0.6555,-1.2335
2004-05-01,1.97,0.0075,-0.225,-0.73,-1.2075
2004-06-01,2.008,0.038,-0.03,-0.616,-1.0895
2004-07-01,2.035,0.027,0.0725,-0.3375,-0.877
2004-08-01,2.0625,0.0275,0.0925,-0.1325,-0.715
2004-09-01,2.346,0.2835,0.338,0.308,-0.2865
2004-10-01,2.5325,0.1865,0.4975,0.57,-0.0855
2004-11-01,2.64,0.1075,0.5775,0.67,-0.06
2004-12-01,2.466,-0.174,0.12,0.458,-0.158
2005-01-01,2.455,-0.011,-0.0775,0.42,0.0825
2005-02-01,2.445,-0.01,-0.195,0.3825,0.25
2005-03-01,2.498,0.053,0.032,0.152,0.46
2005-04-01,2.47,-0.028,0.015,-0.0625,0.5075
2005-05-01,2.46,-0.01,0.015,-0.18,0.49
2005-06-01,2.448,-0.012,-0.05,-0.018,0.44
2005-07-01,2.555,0.107,0.085,0.1,0.52
2005-08-01,2.68,0.125,0.22,0.235,0.6175
2005-09-01,2.795,0.115,0.347,0.297,0.449
2005-10-01,2.98,0.185,0.425,0.51,0.4475
2005-11-01,3.206,0.226,0.526,0.746,0.566
2005-12-01,3.35,0.144,0.555,0.902,0.884
2006-01-01,3.42,0.07,0.44,0.865,0.965
2006-02-01,3.63,0.21,0.424,0.95,1.185
2006-03-01,3.76,0.13,0.41,0.965,1.262
2006-04-01,3.96,0.2,0.54,0.98,1.49
2006-05-01,4.126,0.166,0.496,0.92,1.666
2006-06-01,4.24,0.114,0.48,0.89,1.792
2006-07-01,4.2,-0.04,0.24,0.78,1.645
2006-08-01,4.132,-0.068,0.006,0.502,1.452
2006-09-01,4.15,0.018,-0.09,0.39,1.355
2006-10-01,4.1575,0.0075,-0.0425,0.1975,1.1775
2006-11-01,4.178,0.0205,0.046,0.052,0.972
2006-12-01,4.16,-0.018,0.01,-0.08,0.81
2007-01-01,4.156,-0.004,-0.0015,-0.044,0.736
2007-02-01,4.18,0.024,0.002,0.048,0.55
2007-03-01,4.1675,-0.0125,0.0075,0.0175,0.4075
2007-04-01,4.1625,-0.005,0.0065,0.005,0.2025
2007-05-01,4.19,0.0275,0.01,0.012,0.064
2007-06-01,4.36,0.17,0.1925,0.2,0.12
2007-07-01,4.4975,0.1375,0.335,0.3415,0.2975
2007-08-01,4.262,-0.2355,0.072,0.082,0.13
2007-09-01,3.9975,-0.2645,-0.3625,-0.17,-0.1525
2007-10-01,3.936,-0.0615,-0.5615,-0.2265,-0.2215
2007-11-01,3.9625,0.0265,-0.2995,-0.2275,-0.2155
2007-12-01,3.8325,-0.13,-0.165,-0.5275,-0.3275
