date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,1.7292,,,,
2000-02-01,2.238,0.5087,,,
2000-03-01,2.4307,0.1927,,,
2000-04-01,2.8121,0.3814,1.0829,,
2000-05-01,3.0104,0.1983,0.7724,,
2000-06-01,3.2029,0.1925,0.7722,,
2000-07-01,3.2905,0.0876,0.4784,1.5613,
2000-08-01,3.3085,0.018,0.2981,1.0705,
2000-09-01,3.3217,0.0132,0.1188,0.891,
2000-10-01,3.3439,0.0222,0.0534,0.5318,
2000-11-01,3.3475,0.0036,0.039,0.3371,
2000-12-01,3.2555,-0.092,-0.0662,0.0526,
2001-01-01,3.254,-0.0015,-0.0899,-0.0365,1.5247
2001-02-01,3.344,0.0901,-0.0034,0.0356,1.1061
2001-03-01,3.2632,-0.0808,0.0077,-0.0585,0.8325
2001-04-01,3.1251,-0.1381,-0.1289,-0.2188,0.313
2001-05-01,3.0529,-0.0722,-0.2911,-0.2946,0.0425
2001-06-01,3.1038,0.0509,-0.1594,-0.1517,-0.0991
2001-07-01,3.1278,0.024,0.0027,-0.1262,-0.1627
2001-08-01,3.075,-0.0528,0.0221,-0.269,-0.2335
2001-09-01,2.6683,-0.4067,-0.4355,-0.5949,-0.6534
2001-10-01,2.0692,-0.5992,-1.0587,-1.0559,-1.2747
2001-11-01,1.938,-0.1311,-1.137,-1.1149,-1.4094
2001-12-01,1.7443,-0.1938,-0.924,-1.3595,-1.5112
2002-01-01,1.6037,-0.1406,-0.4654,-1.5241,-1.6502
2002-02-01,1.5667,-0.0371,-0.3714,-1.5083,-1.7774
2002-03-01,1.6042,0.0375,-0.1401,-1.0642,-1.659
2002-04-01,1.4606,-0.1435,-0.1431,-0.6085,-1.6644
2002-05-01,1.1635,-0.2972,-0.4032,-0.7745,-1.8894
2002-06-01,1.1496,-0.0139,-0.4546,-0.5947,-1.9542
2002-07-01,1.0031,-0.1465,-0.4576,-0.6007,-2.1247
2002-08-01,0.6683,-0.3347,-0.4952,-0.8983,-2.4067
2002-09-01,0.613,-0.0553,-0.5366,-0.9912,-2.0553
2002-10-01,0.6279,0.0149,-0.3752,-0.8328,-1.4413
