date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,3.3431,,,,
2000-02-01,3.5368,0.1936,,,
2000-03-01,3.747,0.2103,,,
2000-04-01,3.9253,0.1782,0.5821,,
2000-05-01,4.362,0.4368,0.8253,,
2000-06-01,4.5017,0.1397,0.7547,,
2000-07-01,4.5829,0.0812,0.6576,1.2398,
2000-08-01,4.7771,0.1942,0.415,1.2403,
2000-09-01,4.8528,0.0757,0.3511,1.1058,
2000-10-01,5.0413,0.1885,0.4584,1.116,
2000-11-01,5.092,0.0507,0.3149,0.7299,
2000-12-01,4.9392,-0.1528,0.0863,0.4374,
2001-01-01,4.7707,-0.1684,-0.2705,0.1878,1.4276
2001-02-01,4.7558,-0.0149,-0.3362,-0.0213,1.219
2001-03-01,4.7086,-0.0472,-0.2305,-0.1442,0.9616
2001-04-01,4.682,-0.0266,-0.0887,-0.3593,0.7567
2001-05-01,4.6367,-0.0453,-0.1191,-0.4553,0.2746
2001-06-01,4.4536,-0.1831,-0.2551,-0.4856,-0.0482
2001-07-01,4.4671,0.0136,-0.2149,-0.3036,-0.1158
2001-08-01,4.3535,-0.1136,-0.2832,-0.4023,-0.4236
2001-09-01,3.9828,-0.3707,-0.4707,-0.7258,-0.87
2001-10-01,3.5999,-0.383,-0.8673,-1.0821,-1.4414
2001-11-01,3.3857,-0.2142,-0.9678,-1.251,-1.7063
2001-12-01,3.3449,-0.0408,-0.638,-1.1087,-1.5943
2002-01-01,3.3388,-0.0061,-0.2611,-1.1284,-1.432
2002-02-01,3.3571,0.0183,-0.0286,-0.9964,-1.3987
2002-03-01,3.3908,0.0337,0.0459,-0.592,-1.3178
2002-04-01,3.4069,0.0161,0.0681,-0.193,-1.2751
2002-05-01,3.4671,0.0602,0.11,0.0815,-1.1695
2002-06-01,3.464,-0.0031,0.0732,0.1191,-0.9896
2002-07-01,3.41,-0.054,0.0031,0.0712,-1.0571
2002-08-01,3.3519,-0.0581,-0.1152,-0.0052,-1.0016
2002-09-01,3.3101,-0.0418,-0.1539,-0.0807,-0.6727
2002-10-01,3.2613,-0.0489,-0.1487,-0.1456,-0.3386
