date,value,chg_1m,chg_3m,chg_6m,chg_1y
2002-04-01,0.1,,,,
2002-05-01,0.08,-0.02,,,
2002-06-01,0.09,0.01,,,
2002-07-01,0.09,0.0,-0.01,,
2002-08-01,0.07,-0.02,-0.01,,
2002-09-01,0.08,0.01,-0.01,,
2002-10-01,0.08,0.0,-0.01,-0.02,
2002-11-01,0.08,0.0,0.01,0.0,
2002-12-01,0.1,0.02,0.02,0.01,
2003-01-01,0.1,0.0,0.02,0.01,
2003-02-01,0.09,-0.01,0.01,0.02,
2003-03-01,0.08,-0.01,-0.02,0.0,
2003-04-01,0.08,0.0,-0.02,0.0,-0.02
2003-05-01,0.08,0.0,-0.01,0.0,0.0
2003-06-01,0.09,0.01,0.01,-0.01,0.0
2003-07-01,0.09,0.0,0.01,-0.01,0.0
2003-08-01,0.09,0.0,0.01,0.0,0.02
2003-09-01,0.09,0.0,0.0,0.01,0.01
2003-10-01,0.09,0.0,0.0,0.01,0.01
2003-11-01,0.08,-0.01,-0.01,0.0,0.0
2003-12-01,0.1,0.02,0.01,0.01,0.0
2004-01-01,0.09,-0.01,0.0,0.0,-0.01
2004-02-01,0.09,0.0,0.01,0.0,0.0
2004-03-01,0.08,-0.01,-0.02,-0.01,0.0
2004-04-01,0.08,0.0,-0.01,-0.01,0.0
2004-05-01,0.08,0.0,-0.01,0.0,0.0
2004-06-01,0.09,0.01,0.01,-0.01,0.0
2004-07-01,0.09,0.0,0.01,0.0,0.0
2004-08-01,0.09,0.0,0.01,0.0,0.0
2004-09-01,0.09,0.0,0.0,0.01,0.0
2004-10-01,0.09,0.0,0.0,0.01,0.0
2004-11-01,0.09,0.0,0.0,0.01,0.01
2004-12-01,0.1,0.01,0.01,0.01,0.0
2005-01-01,0.1,0.0,0.01,0.01,0.01
2005-02-01,0.1,0.0,0.01,0.01,0.01
2005-03-01,0.08,-0.02,-0.02,-0.01,0.0
2005-04-01,0.08,0.0,-0.02,-0.01,0.0
2005-05-01,0.08,0.0,-0.02,-0.01,0.0
2005-06-01,0.09,0.01,0.01,-0.01,0.0
2005-07-01,0.09,0.0,0.01,-0.01,0.0
2005-08-01,0.09,0.0,0.01,-0.01,0.0
2005-09-01,0.09,0.0,0.0,0.01,0.0
2005-10-01,0.09,0.0,0.0,0.01,0.0
2005-11-01,0.09,0.0,0.0,0.01,0.0
2005-12-01,0.1,0.01,0.01,0.01,0.0
2006-01-01,0.1036,0.0036,0.0136,0.0136,0.0036
2006-02-01,0.11,0.0064,0.02,0.02,0.01
2006-03-01,0.1255,0.0155,0.0255,0.0355,0.0455
2006-04-01,0.14,0.0145,0.0364,0.05,0.06
2006-05-01,0.27,0.13,0.16,0.18,0.19
2006-06-01,0.35,0.08,0.2245,0.25,0.26
2006-07-01,0.44,0.09,0.3,0.3364,0.35
2006-08-01,0.432,-0.008,0.162,0.322,0.342
2006-09-01,0.436,0.004,0.086,0.3105,0.346
2006-10-01,0.447,0.011,0.007,0.307,0.357
2006-11-01,0.502,0.055,0.07,0.232,0.412
2006-12-01,0.54,0.038,0.104,0.19,0.44
2007-01-01,0.54,0.0,0.093,0.1,0.4364
2007-02-01,0.66,0.12,0.158,0.228,0.55
2007-03-01,0.66,0.0,0.12,0.224,0.5345
2007-04-01,0.65,-0.01,0.11,0.203,0.51
2007-05-01,0.67,0.02,0.01,0.168,0.4
2007-06-01,0.73,0.06,0.07,0.19,0.38
2007-07-01,0.77,0.04,0.12,0.23,0.33
2007-08-01,0.84,0.07,0.17,0.18,0.408
2007-09-01,0.85,0.01,0.12,0.19,0.414
2007-10-01,0.85,0.0,0.08,0.2,0.403
2007-11-01,0.87,0.02,0.03,0.2,0.368
2007-12-01,0.86,-0.01,0.01,0.13,0.32
2008-01-01,0.85,-0.01,0.0,0.08,0.31
2008-02-01,0.85,0.0,-0.02,0.01,0.19
2008-03-01,0.84,-0.01,-0.02,-0.01,0.18
2008-04-01,0.84,0.0,-0.01,-0.01,0.19
2008-05-01,0.84,0.0,-0.01,-0.03,0.17
2008-06-01,0.86,0.02,0.02,0.0,0.13
2008-07-01,0.85,-0.01,0.01,0.0,0.08
2008-08-01,0.85,0.0,0.01,0.0,0.01
2008-09-01,0.87,0.02,0.01,0.03,0.02
2008-10-01,0.89,0.02,0.04,0.05,0.04
2008-11-01,0.88,-0.01,0.03,0.04,0.01
2008-12-01,0.74,-0.14,-0.13,-0.12,-0.12
2009-01-01,0.72,-0.02,-0.17,-0.13,-0.13
2009-02-01,0.71,-0.01,-0.17,-0.14,-0.14
2009-03-01,0.65,-0.06,-0.09,-0.22,-0.19
2009-04-01,0.6,-0.05,-0.12,-0.29,-0.24
2009-05-01,0.57,-0.03,-0.14,-0.31,-0.27
2009-06-01,0.56,-0.01,-0.09,-0.18,-0.3
2009-07-01,0.55,-0.01,-0.05,-0.17,-0.3
2009-08-01,0.54,-0.01,-0.03,-0.17,-0.31
2009-09-01,0.54,0.0,-0.02,-0.11,-0.33
2009-10-01,0.53,-0.01,-0.02,-0.07,-0.36
2009-11-01,0.51,-0.02,-0.03,-0.06,-0.37
2009-12-01,0.46,-0.05,-0.08,-0.1,-0.28
2010-01-01,0.45,-0.01,-0.08,-0.1,-0.27
2010-02-01,0.44,-0.01,-0.07,-0.1,-0.27
2010-03-01,0.43,-0.01,-0.03,-0.11,-0.22
2010-04-01,0.4,-0.03,-0.05,-0.13,-0.2
2010-05-01,0.39,-0.01,-0.05,-0.12,-0.18
2010-06-01,0.38,-0.01,-0.05,-0.08,-0.18
2010-07-01,0.37,-0.01,-0.03,-0.08,-0.18
2010-08-01,0.36,-0.01,-0.03,-0.08,-0.18
2010-09-01,0.36,0.0,-0.02,-0.07,-0.18
2010-10-01,0.34,-0.02,-0.03,-0.06,-0.19
