date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,7.28,,,,
2000-02-01,7.13,-0.15,,,
2000-03-01,7.0,-0.13,,,
2000-04-01,7.06,0.06,-0.22,,
2000-05-01,7.14,0.08,0.01,,
2000-06-01,7.17,0.03,0.17,,
2000-07-01,7.15,-0.02,0.09,-0.13,
2000-08-01,7.04,-0.11,-0.1,-0.09,
2000-09-01,7.05,0.01,-0.12,0.05,
2000-10-01,7.04,-0.01,-0.11,-0.02,
2000-11-01,6.99,-0.05,-0.05,-0.15,
2000-12-01,6.89,-0.1,-0.16,-0.28,
2001-01-01,6.43,-0.46,-0.61,-0.72,-0.85
2001-02-01,5.73,-0.7,-1.26,-1.31,-1.4
2001-03-01,5.68,-0.05,-1.21,-1.37,-1.32
2001-04-01,5.84,0.16,-0.59,-1.2,-1.22
2001-05-01,5.85,0.01,0.12,-1.14,-1.29
2001-06-01,5.65,-0.2,-0.03,-1.24,-1.52
2001-07-01,5.32,-0.33,-0.52,-1.11,-1.83
2001-08-01,4.92,-0.4,-0.93,-0.81,-2.12
2001-09-01,4.66,-0.26,-0.99,-1.02,-2.39
2001-10-01,4.36,-0.3,-0.96,-1.48,-2.68
2001-11-01,4.53,0.17,-0.39,-1.32,-2.46
2001-12-01,4.84,0.31,0.18,-0.81,-2.05
2002-01-01,4.79,-0.05,0.43,-0.53,-1.64
2002-02-01,4.54,-0.25,0.01,-0.38,-1.19
2002-03-01,4.64,0.1,-0.2,-0.02,-1.04
2002-04-01,4.79,0.15,0.0,0.43,-1.05
2002-05-01,4.81,0.02,0.27,0.28,-1.04
2002-06-01,4.85,0.04,0.21,0.01,-0.8
2002-07-01,4.91,0.06,0.12,0.12,-0.41
2002-08-01,4.8,-0.11,-0.01,0.26,-0.12
2002-09-01,4.81,0.01,-0.04,0.17,0.15
2002-10-01,4.91,0.1,0.0,0.12,0.55
2002-11-01,4.91,0.0,0.11,0.1,0.38
2002-12-01,4.9,-0.01,0.09,0.05,0.06
2003-01-01,4.7,-0.2,-0.21,-0.21,-0.09
2003-02-01,4.54,-0.16,-0.37,-0.26,0.0
2003-03-01,4.76,0.22,-0.14,-0.05,0.12
2003-04-01,4.62,-0.14,-0.08,-0.29,-0.17
2003-05-01,4.39,-0.23,-0.15,-0.52,-0.42
2003-06-01,4.28,-0.11,-0.48,-0.62,-0.57
2003-07-01,4.15,-0.13,-0.47,-0.55,-0.76
2003-08-01,3.9,-0.25,-0.49,-0.64,-0.9
2003-09-01,3.83,-0.07,-0.45,-0.93,-0.98
2003-10-01,3.93,0.1,-0.22,-0.69,-0.98
2003-11-01,4.23,0.3,0.33,-0.16,-0.68
2003-12-01,4.34,0.11,0.51,0.06,-0.56
2004-01-01,4.26,-0.08,0.33,0.11,-0.44
2004-02-01,4.08,-0.18,-0.15,0.18,-0.46
2004-03-01,3.93,-0.15,-0.41,0.1,-0.83
2004-04-01,3.91,-0.02,-0.35,-0.02,-0.71
2004-05-01,3.9,-0.01,-0.18,-0.33,-0.49
2004-06-01,3.91,0.01,-0.02,-0.43,-0.37
2004-07-01,3.91,0.0,0.0,-0.35,-0.24
2004-08-01,3.7,-0.21,-0.2,-0.38,-0.2
2004-09-01,3.52,-0.18,-0.39,-0.41,-0.31
2004-10-01,3.52,0.0,-0.39,-0.39,-0.41
2004-11-01,3.42,-0.1,-0.28,-0.48,-0.81
2004-12-01,3.39,-0.03,-0.13,-0.52,-0.95
2005-01-01,3.47,0.08,-0.05,-0.44,-0.79
2005-02-01,3.59,0.12,0.17,-0.11,-0.49
2005-03-01,3.55,-0.04,0.16,0.03,-0.38
2005-04-01,3.52,-0.03,0.05,0.0,-0.39
2005-05-01,3.51,-0.01,-0.08,0.09,-0.39
2005-06-01,3.51,0.0,-0.04,0.12,-0.4
2005-07-01,3.51,0.0,-0.01,0.04,-0.4
2005-08-01,3.5,-0.01,-0.01,-0.09,-0.2
2005-09-01,3.7,0.2,0.19,0.15,0.18
2005-10-01,3.93,0.23,0.42,0.41,0.41
2005-11-01,3.96,0.03,0.46,0.45,0.54
2005-12-01,4.04,0.08,0.34,0.53,0.65
2006-01-01,4.15,0.11,0.22,0.64,0.68
2006-02-01,4.25,0.1,0.29,0.75,0.66
2006-03-01,4.27,0.02,0.23,0.57,0.72
2006-04-01,4.33,0.06,0.18,0.4,0.81
2006-05-01,4.36,0.03,0.11,0.4,0.85
2006-06-01,4.47,0.11,0.2,0.43,0.96
2006-07-01,4.63,0.16,0.3,0.48,1.12
2006-08-01,4.68,0.05,0.32,0.43,1.18
2006-09-01,4.64,-0.04,0.17,0.37,0.94
2006-10-01,4.57,-0.07,-0.06,0.24,0.64
2006-11-01,4.6,0.03,-0.08,0.24,0.64
2006-12-01,4.76,0.16,0.12,0.29,0.72
2007-01-01,4.92,0.16,0.35,0.29,0.77
2007-02-01,4.95,0.03,0.35,0.27,0.7
2007-03-01,4.94,-0.01,0.18,0.3,0.67
2007-04-01,4.95,0.01,0.03,0.38,0.62
2007-05-01,5.04,0.09,0.09,0.44,0.68
2007-06-01,5.03,-0.01,0.09,0.27,0.56
2007-07-01,5.05,0.02,0.1,0.13,0.42
2007-08-01,5.21,0.16,0.17,0.26,0.53
2007-09-01,5.34,0.13,0.31,0.4,0.7
2007-10-01,5.34,0.0,0.29,0.39,0.77
2007-11-01,5.43,0.09,0.22,0.39,0.83
2007-12-01,5.73,0.3,0.39,0.7,0.97
2008-01-01,5.81,0.08,0.47,0.76,0.89
2008-02-01,5.28,-0.53,-0.15,0.07,0.33
2008-03-01,5.25,-0.03,-0.48,-0.09,0.31
2008-04-01,5.38,0.13,-0.43,0.04,0.43
2008-05-01,5.36,-0.02,0.08,-0.07,0.32
2008-06-01,5.36,0.0,0.11,-0.37,0.33
2008-07-01,5.52,0.16,0.14,-0.29,0.47
2008-08-01,5.77,0.25,0.41,0.49,0.56
2008-09-01,5.79,0.02,0.43,0.54,0.45
2008-10-01,6.03,0.24,0.51,0.65,0.69
2008-11-01,5.62,-0.41,-0.15,0.26,0.19
2008-12-01,4.68,-0.94,-1.11,-0.68,-1.05
2009-01-01,3.22,-1.46,-2.81,-2.3,-2.59
2009-02-01,2.7,-0.52,-2.92,-3.07,-2.58
