date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,18.69,,,,
2000-02-01,18.12,-0.57,,,
2000-03-01,15.86,-2.26,,,
2000-04-01,15.1,-0.76,-3.59,,
2000-05-01,16.77,1.67,-1.35,,
2000-06-01,17.73,0.96,1.87,,
2000-07-01,15.4,-2.33,0.3,-3.29,
2000-08-01,16.84,1.44,0.07,-1.28,
2000-09-01,17.13,0.29,-0.6,1.27,
2000-10-01,17.99,0.86,2.59,2.89,
2000-11-01,18.76,0.77,1.92,1.99,
2000-12-01,18.39,-0.37,1.26,0.66,
2001-01-01,18.86,0.47,0.87,3.46,0.17
2001-02-01,18.36,-0.5,-0.4,1.52,0.24
2001-03-01,17.22,-1.14,-1.17,0.09,1.36
2001-04-01,16.31,-0.91,-2.55,-1.68,1.21
2001-05-01,14.22,-2.09,-4.14,-4.54,-2.55
2001-06-01,11.9,-2.32,-5.32,-6.49,-5.83
2001-07-01,11.6,-0.3,-4.71,-7.26,-3.8
2001-08-01,10.22,-1.38,-4.0,-8.14,-6.62
2001-09-01,12.19,1.97,0.29,-5.03,-4.94
2001-10-01,11.16,-1.03,-0.44,-5.15,-6.83
2001-11-01,10.21,-0.95,-0.01,-4.01,-8.55
2001-12-01,8.87,-1.34,-3.32,-3.03,-9.52
2002-01-01,8.44,-0.43,-2.72,-3.16,-10.42
2002-02-01,9.06,0.62,-1.15,-1.16,-9.3
2002-03-01,8.61,-0.45,-0.26,-3.58,-8.61
2002-04-01,7.12,-1.49,-1.32,-4.04,-9.19
2002-05-01,7.63,0.51,-1.43,-2.58,-6.59
2002-06-01,8.65,1.02,0.04,-0.22,-3.25
2002-07-01,8.73,0.08,1.61,0.29,-2.87
2002-08-01,7.95,-0.78,0.32,-1.11,-2.27
2002-09-01,8.74,0.79,0.09,0.13,-3.45
2002-10-01,9.1,0.36,0.37,1.98,-2.06
2002-11-01,8.73,-0.37,0.78,1.1,-1.48
2002-12-01,8.64,-0.09,-0.1,-0.01,-0.23
2003-01-01,9.38,0.74,0.28,0.65,0.94
2003-02-01,9.85,0.47,1.12,1.9,0.79
2003-03-01,10.04,0.19,1.4,1.3,1.43
2003-04-01,8.7,-1.34,-0.68,-0.4,1.58
2003-05-01,6.74,-1.96,-3.11,-1.99,-0.89
2003-06-01,6.19,-0.55,-3.85,-2.45,-2.46
2003-07-01,5.7,-0.49,-3.0,-3.68,-3.03
2003-08-01,5.54,-0.16,-1.2,-4.31,-2.41
2003-09-01,5.5,-0.04,-0.69,-4.54,-3.24
2003-10-01,5.93,0.43,0.23,-2.77,-3.17
2003-11-01,5.83,-0.1,0.29,-0.91,-2.9
2003-12-01,6.57,0.74,1.07,0.38,-2.07
2004-01-01,5.55,-1.02,-0.38,-0.15,-3.83
2004-02-01,6.07,0.52,0.24,0.53,-3.78
2004-03-01,6.55,0.48,-0.02,1.05,-3.49
