date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,5.88,,,,
2000-02-01,5.89,0.01,,,
2000-03-01,6.0,0.11,,,
2000-04-01,6.23,0.23,0.35,,
2000-05-01,6.5,0.27,0.61,,
2000-06-01,6.72,0.22,0.72,,
2000-07-01,6.91,0.19,0.68,1.03,
2000-08-01,7.12,0.21,0.62,1.23,
2000-09-01,7.33,0.21,0.61,1.33,
2000-10-01,7.52,0.19,0.61,1.29,
2000-11-01,7.43,-0.09,0.31,0.93,
2000-12-01,7.42,-0.01,0.09,0.7,
2001-01-01,7.41,-0.01,-0.11,0.5,1.53
2001-02-01,7.32,-0.09,-0.11,0.2,1.43
2001-03-01,7.39,0.07,-0.03,0.06,1.39
2001-04-01,7.48,0.09,0.07,-0.04,1.25
2001-05-01,7.45,-0.03,0.13,0.02,0.95
2001-06-01,7.42,-0.03,0.03,0.0,0.7
2001-07-01,7.37,-0.05,-0.11,-0.04,0.46
2001-08-01,7.31,-0.06,-0.14,-0.01,0.19
2001-09-01,7.14,-0.17,-0.28,-0.25,-0.19
2001-10-01,6.94,-0.2,-0.43,-0.54,-0.58
2001-11-01,6.9,-0.04,-0.41,-0.55,-0.53
2001-12-01,6.59,-0.31,-0.55,-0.83,-0.83
2002-01-01,6.32,-0.27,-0.62,-1.05,-1.09
2002-02-01,6.57,0.25,-0.33,-0.74,-0.75
2002-03-01,6.72,0.15,0.13,-0.42,-0.67
2002-04-01,6.77,0.05,0.45,-0.17,-0.71
2002-05-01,6.9,0.13,0.33,0.0,-0.55
2002-06-01,7.12,0.22,0.4,0.53,-0.3
2002-07-01,7.25,0.13,0.48,0.93,-0.12
2002-08-01,7.26,0.01,0.36,0.69,-0.05
2002-09-01,7.15,-0.11,0.03,0.43,0.01
2002-10-01,7.12,-0.03,-0.13,0.35,0.18
2002-11-01,7.09,-0.03,-0.17,0.19,0.19
2002-12-01,6.62,-0.47,-0.53,-0.5,0.03
2003-01-01,5.99,-0.63,-1.13,-1.26,-0.33
2003-02-01,5.69,-0.3,-1.4,-1.57,-0.88
2003-03-01,5.49,-0.2,-1.13,-1.66,-1.23
2003-04-01,5.26,-0.23,-0.73,-1.86,-1.51
2003-05-01,4.92,-0.34,-0.77,-2.17,-1.98
2003-06-01,4.04,-0.88,-1.45,-2.58,-3.08
2003-07-01,3.45,-0.59,-1.81,-2.54,-3.8
2003-08-01,3.14,-0.31,-1.78,-2.55,-4.12
2003-09-01,2.81,-0.33,-1.23,-2.68,-4.34
2003-10-01,2.86,0.05,-0.59,-2.4,-4.26
2003-11-01,2.89,0.03,-0.25,-2.03,-4.2
2003-12-01,2.64,-0.25,-0.17,-1.4,-3.98
2004-01-01,2.26,-0.38,-0.6,-1.19,-3.73
