date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,3.57,,,,
2000-02-01,3.9,0.33,,,
2000-03-01,4.06,0.16,,,
2000-04-01,3.99,-0.07,0.42,,
2000-05-01,3.96,-0.03,0.06,,
2000-06-01,3.94,-0.02,-0.12,,
2000-07-01,4.03,0.09,0.04,0.46,
2000-08-01,4.0,-0.03,0.04,0.1,
2000-09-01,3.94,-0.06,0.0,-0.12,
2000-10-01,3.99,0.05,-0.04,0.0,
2000-11-01,4.0,0.01,0.0,0.04,
2000-12-01,4.07,0.07,0.13,0.13,
2001-01-01,4.07,0.0,0.08,0.04,0.5
2001-02-01,4.1,0.03,0.1,0.1,0.2
2001-03-01,4.06,-0.04,-0.01,0.12,0.0
2001-04-01,3.94,-0.12,-0.13,-0.05,-0.05
2001-05-01,4.01,0.07,-0.09,0.01,0.05
2001-06-01,4.17,0.16,0.11,0.1,0.23
2001-07-01,4.31,0.14,0.37,0.24,0.28
2001-08-01,4.28,-0.03,0.27,0.18,0.28
2001-09-01,4.01,-0.27,-0.16,-0.05,0.07
2001-10-01,3.7,-0.31,-0.61,-0.24,-0.29
2001-11-01,3.68,-0.02,-0.6,-0.33,-0.32
2001-12-01,3.71,0.03,-0.3,-0.46,-0.36
2002-01-01,3.74,0.03,0.04,-0.57,-0.33
2002-02-01,3.87,0.13,0.19,-0.41,-0.23
2002-03-01,4.09,0.22,0.38,0.08,0.03
2002-04-01,4.25,0.16,0.51,0.55,0.31
2002-05-01,4.29,0.04,0.42,0.61,0.28
2002-06-01,4.28,-0.01,0.19,0.57,0.11
2002-07-01,4.26,-0.02,0.01,0.52,-0.05
2002-08-01,4.19,-0.07,-0.1,0.32,-0.09
2002-09-01,4.17,-0.02,-0.11,0.08,0.16
2002-10-01,4.07,-0.1,-0.19,-0.18,0.37
2002-11-01,3.91,-0.16,-0.28,-0.38,0.23
2002-12-01,3.67,-0.24,-0.5,-0.61,-0.04
2003-01-01,3.65,-0.02,-0.42,-0.61,-0.09
2003-02-01,3.61,-0.04,-0.3,-0.58,-0.26
2003-03-01,3.4,-0.21,-0.27,-0.77,-0.69
2003-04-01,3.42,0.02,-0.23,-0.65,-0.83
2003-05-01,3.18,-0.24,-0.43,-0.73,-1.11
2003-06-01,2.81,-0.37,-0.59,-0.86,-1.47
2003-07-01,2.68,-0.13,-0.74,-0.97,-1.58
