date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,6.1363,,,,
2000-02-01,6.2378,0.1015,,,
2000-03-01,6.2284,-0.0094,,,
2000-04-01,6.2965,0.0681,0.1601,,
2000-05-01,6.3036,0.0071,0.0658,,
2000-06-01,6.2268,-0.0767,-0.0016,,
2000-07-01,6.1925,-0.0343,-0.104,0.0561,
2000-08-01,6.2175,0.0251,-0.086,-0.0203,
2000-09-01,6.2057,-0.0118,-0.0211,-0.0227,
2000-10-01,6.1627,-0.0429,-0.0297,-0.1337,
2000-11-01,6.0863,-0.0765,-0.1312,-0.2173,
2000-12-01,5.9554,-0.1309,-0.2503,-0.2714,
2001-01-01,5.8458,-0.1096,-0.317,-0.3467,-0.2905
2001-02-01,5.7566,-0.0892,-0.3297,-0.461,-0.4813
2001-03-01,5.5513,-0.2053,-0.4041,-0.6544,-0.6771
2001-04-01,5.4045,-0.1468,-0.4413,-0.7583,-0.892
2001-05-01,5.2486,-0.1559,-0.508,-0.8377,-1.055
2001-06-01,5.2585,0.01,-0.2927,-0.6969,-0.9683
2001-07-01,5.2544,-0.0042,-0.1501,-0.5914,-0.9381
2001-08-01,4.9966,-0.2578,-0.252,-0.76,-1.221
2001-09-01,4.7295,-0.2671,-0.5291,-0.8218,-1.4762
2001-10-01,4.4282,-0.3013,-0.8262,-0.9763,-1.7345
2001-11-01,3.9968,-0.4315,-0.9998,-1.2518,-2.0895
2001-12-01,4.0506,0.0539,-0.6789,-1.2079,-1.9048
2002-01-01,4.0468,-0.0038,-0.3814,-1.2076,-1.799
2002-02-01,4.0527,0.0059,0.0559,-0.9439,-1.7039
2002-03-01,4.1306,0.0779,0.08,-0.5989,-1.4207
2002-04-01,4.1732,0.0426,0.1264,-0.255,-1.2313
2002-05-01,4.1537,-0.0195,0.101,0.1569,-1.0949
2002-06-01,4.1776,0.0239,0.047,0.127,-1.081
2002-07-01,4.0605,-0.117,-0.1127,0.0138,-1.1938
2002-08-01,3.9865,-0.074,-0.1672,-0.0661,-1.01
2002-09-01,3.9887,0.0022,-0.1889,-0.1418,-0.7407
2002-10-01,3.964,-0.0247,-0.0965,-0.2092,-0.4642
2002-11-01,3.9714,0.0074,-0.0151,-0.1823,-0.0253
2002-12-01,4.0178,0.0463,0.029,-0.1598,-0.0328
2003-01-01,3.9826,-0.0351,0.0186,-0.0779,-0.0641
2003-02-01,3.7542,-0.2284,-0.2172,-0.2323,-0.2984
2003-03-01,3.655,-0.0992,-0.3627,-0.3337,-0.4755
2003-04-01,3.646,-0.009,-0.3366,-0.318,-0.5272
2003-05-01,3.6325,-0.0135,-0.1217,-0.3389,-0.5212
2003-06-01,3.6397,0.0071,-0.0154,-0.3781,-0.5379
2003-07-01,3.4902,-0.1494,-0.1558,-0.4924,-0.5703
2003-08-01,3.5225,0.0323,-0.11,-0.2318,-0.4641
2003-09-01,3.6967,0.1742,0.057,0.0417,-0.292
2003-10-01,3.8034,0.1067,0.3132,0.1574,-0.1606
2003-11-01,3.9804,0.177,0.4579,0.3479,0.009
2003-12-01,4.0186,0.0382,0.3219,0.379,0.0009
2004-01-01,4.0553,0.0367,0.2519,0.5651,0.0727
2004-02-01,4.1665,0.1112,0.1861,0.6441,0.4123
2004-03-01,4.2967,0.1302,0.2781,0.6,0.6417
2004-04-01,4.3947,0.098,0.3394,0.5913,0.7487
2004-05-01,4.5287,0.134,0.3622,0.5483,0.8962
2004-06-01,4.7897,0.261,0.493,0.7711,1.1501
2004-07-01,4.857,0.0673,0.4623,0.8017,1.3668
2004-08-01,4.9628,0.1058,0.4341,0.7963,1.4404
2004-09-01,4.9469,-0.0159,0.1572,0.6502,1.2502
2004-10-01,4.9007,-0.0462,0.0437,0.506,1.0973
2004-11-01,4.8836,-0.0171,-0.0793,0.3549,0.9032
2004-12-01,4.871,-0.0126,-0.0759,0.0813,0.8524
2005-01-01,4.8732,0.0021,-0.0275,0.0161,0.8178
2005-02-01,4.8907,0.0175,0.0071,-0.0721,0.7241
2005-03-01,4.9874,0.0967,0.1163,0.0405,0.6906
2005-04-01,4.9434,-0.044,0.0702,0.0427,0.5486
2005-05-01,4.8938,-0.0496,0.0031,0.0102,0.365
2005-06-01,4.8414,-0.0523,-0.1459,-0.0296,0.0517
2005-07-01,4.6579,-0.1835,-0.2854,-0.2152,-0.1991
2005-08-01,4.5946,-0.0633,-0.2991,-0.296,-0.3682
2005-09-01,4.5969,0.0022,-0.2446,-0.3905,-0.35
2005-10-01,4.587,-0.0099,-0.0709,-0.3563,-0.3137
2005-11-01,4.6185,0.0315,0.0238,-0.2753,-0.2651
2005-12-01,4.6373,0.0188,0.0405,-0.2041,-0.2337
2006-01-01,4.6037,-0.0336,0.0167,-0.0543,-0.2695
2006-02-01,4.582,-0.0217,-0.0365,-0.0127,-0.3087
2006-03-01,4.5874,0.0054,-0.0499,-0.0095,-0.3999
2006-04-01,4.6296,0.0422,0.0259,0.0426,-0.3138
2006-05-01,4.7015,0.0719,0.1195,0.083,-0.1922
2006-06-01,4.735,0.0335,0.1476,0.0977,-0.1065
2006-07-01,4.7332,-0.0018,0.1036,0.1295,0.0753
2006-08-01,4.9442,0.211,0.2428,0.3623,0.3496
2006-09-01,5.025,0.0808,0.29,0.4376,0.4281
2006-10-01,5.1318,0.1067,0.3985,0.5022,0.5447
2006-11-01,5.2254,0.0937,0.2812,0.5239,0.607
2006-12-01,5.2917,0.0662,0.2667,0.5567,0.6544
2007-01-01,5.4862,0.1946,0.3545,0.753,0.8826
2007-02-01,5.5657,0.0795,0.3403,0.6214,0.9837
2007-03-01,5.5495,-0.0162,0.2578,0.5244,0.962
2007-04-01,5.649,0.0995,0.1628,0.5172,1.0194
2007-05-01,5.7674,0.1184,0.2017,0.542,1.0659
2007-06-01,5.8802,0.1128,0.3307,0.5885,1.1452
2007-07-01,6.024,0.1438,0.375,0.5377,1.2907
2007-08-01,6.4195,0.3955,0.652,0.8538,1.4752
2007-09-01,6.6469,0.2275,0.7668,1.0975,1.6219
2007-10-01,6.2701,-0.3768,0.2462,0.6211,1.1384
2007-11-01,6.4086,0.1384,-0.0109,0.6412,1.1831
2007-12-01,6.3594,-0.0492,-0.2875,0.4792,1.0678
2008-01-01,5.6596,-0.6998,-0.6105,-0.3643,0.1734
2008-02-01,5.642,-0.0176,-0.7666,-0.7774,0.0763
2008-03-01,5.8993,0.2573,-0.4601,-0.7477,0.3498
2008-04-01,5.9188,0.0195,0.2592,-0.3513,0.2698
2008-05-01,5.8264,-0.0924,0.1844,-0.5822,0.059
2008-06-01,5.9294,0.103,0.0301,-0.43,0.0493
2008-07-01,5.8322,-0.0972,-0.0866,0.1726,-0.1918
2008-08-01,5.7662,-0.066,-0.0602,0.1242,-0.6533
2008-09-01,5.9106,0.1444,-0.0188,0.0113,-0.7363
2008-10-01,6.133,0.2224,0.3008,0.2142,-0.1371
2008-11-01,4.4468,-1.6862,-1.3194,-1.3796,-1.9617
2008-12-01,3.1725,-1.2744,-2.7381,-2.757,-3.187
2009-01-01,2.3428,-0.8297,-3.7903,-3.4894,-3.3169
