date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,10.1566,,,,
2000-02-01,9.7834,-0.3731,,,
2000-03-01,9.8454,0.0619,,,
2000-04-01,9.8823,0.0369,-0.2743,,
2000-05-01,10.2231,0.3408,0.4396,,
2000-06-01,10.2832,0.0601,0.4378,,
2000-07-01,10.2338,-0.0494,0.3516,0.0773,
2000-08-01,10.1492,-0.0846,-0.0738,0.3658,
2000-09-01,10.1608,0.0116,-0.1224,0.3154,
2000-10-01,10.1885,0.0277,-0.0454,0.3062,
2000-11-01,10.2177,0.0292,0.0685,-0.0054,
2000-12-01,10.2023,-0.0154,0.0415,-0.0809,
2001-01-01,10.1488,-0.0534,-0.0396,-0.085,-0.0077
2001-02-01,10.1196,-0.0293,-0.0981,-0.0296,0.3361
2001-03-01,10.1665,0.047,-0.0357,0.0057,0.3212
2001-04-01,10.3405,0.1739,0.1916,0.152,0.4582
2001-05-01,10.3815,0.0411,0.262,0.1638,0.1585
2001-06-01,9.9856,-0.3959,-0.1809,-0.2167,-0.2976
2001-07-01,9.5323,-0.4533,-0.8081,-0.6165,-0.7015
2001-08-01,9.3681,-0.1642,-1.0135,-0.7515,-0.7812
2001-09-01,9.2417,-0.1264,-0.7439,-0.9249,-0.9191
2001-10-01,8.867,-0.3746,-0.6653,-1.4734,-1.3214
2001-11-01,8.7588,-0.1082,-0.6092,-1.6227,-1.4588
2001-12-01,9.2048,0.4459,-0.0369,-0.7808,-0.9975
2002-01-01,9.4377,0.2329,0.5707,-0.0946,-0.7112
2002-02-01,9.4275,-0.0102,0.6687,0.0594,-0.6921
2002-03-01,9.9175,0.49,0.7127,0.6758,-0.249
2002-04-01,10.6,0.6825,1.1623,1.733,0.2595
2002-05-01,11.1565,0.5565,1.729,2.3977,0.775
2002-06-01,11.4379,0.2814,1.5204,2.2331,1.4523
2002-07-01,11.3693,-0.0687,0.7693,1.9316,1.837
2002-08-01,11.43,0.0607,0.2735,2.0025,2.0619
2002-09-01,12.1108,0.6808,0.6729,2.1933,2.8692
2002-10-01,12.6122,0.5014,1.243,2.0122,3.7452
2002-11-01,12.1692,-0.443,0.7392,1.0127,3.4104
2002-12-01,12.2665,0.0973,0.1557,0.8286,3.0617
2003-01-01,12.3446,0.0781,-0.2676,0.9754,2.9069
2003-02-01,12.6271,0.2825,0.4579,1.1971,3.1996
2003-03-01,12.7332,0.1061,0.4667,0.6224,2.8157
2003-04-01,12.7422,0.009,0.3976,0.13,2.1422
2003-05-01,12.5538,-0.1883,-0.0732,0.3846,1.3973
2003-06-01,11.2067,-1.3472,-1.5265,-1.0599,-0.2312
2003-07-01,10.8933,-0.3133,-1.8488,-1.4513,-0.4759
2003-08-01,10.2485,-0.6449,-2.3054,-2.3786,-1.1815
2003-09-01,9.4172,-0.8313,-1.7895,-3.316,-2.6936
2003-10-01,8.2241,-1.1931,-2.6693,-4.5181,-4.3881
2003-11-01,7.694,-0.5301,-2.5545,-4.8598,-4.4752
2003-12-01,7.3058,-0.3882,-2.1114,-3.9008,-4.9607
2004-01-01,7.6015,0.2957,-0.6225,-3.2918,-4.7431
2004-02-01,7.5067,-0.0949,-0.1873,-2.7418,-5.1204
2004-03-01,7.7185,0.2118,0.4126,-1.6987,-5.0147
2004-04-01,7.7695,0.0511,0.168,-0.4545,-4.9726
2004-05-01,7.7116,-0.0579,0.2049,0.0176,-4.8422
2004-06-01,7.8328,0.1212,0.1143,0.527,-3.3739
2004-07-01,7.89,0.0572,0.1205,0.2885,-3.0033
2004-08-01,7.4448,-0.4452,-0.2668,-0.0619,-2.8037
2004-09-01,7.1204,-0.3244,-0.7124,-0.5981,-2.2968
2004-10-01,7.2754,0.155,-0.6146,-0.4942,-0.9487
2004-11-01,7.2515,-0.0238,-0.1933,-0.4601,-0.4425
2004-12-01,7.2742,0.0226,0.1538,-0.5586,-0.0317
2005-01-01,7.2864,0.0122,0.011,-0.6036,-0.3151
2005-02-01,7.2275,-0.0589,-0.024,-0.2173,-0.2792
2005-03-01,7.1962,-0.0312,-0.0779,0.0758,-0.5222
2005-04-01,6.9516,-0.2447,-0.3348,-0.3238,-0.8179
2005-05-01,6.7492,-0.2024,-0.4783,-0.5023,-0.9624
2005-06-01,6.7576,0.0084,-0.4386,-0.5166,-1.0752
2005-07-01,6.7346,-0.023,-0.217,-0.5518,-1.1554
2005-08-01,6.7196,-0.015,-0.0296,-0.5079,-0.7252
2005-09-01,6.738,0.0184,-0.0196,-0.4582,-0.3824
2005-10-01,6.7935,0.0555,0.0588,-0.1581,-0.4819
2005-11-01,6.8865,0.0931,0.1669,0.1373,-0.365
2005-12-01,6.8196,-0.0669,0.0816,0.062,-0.4546
2006-01-01,6.7368,-0.0828,-0.0567,0.0022,-0.5496
2006-02-01,6.6758,-0.061,-0.2107,-0.0438,-0.5517
2006-03-01,6.5272,-0.1486,-0.2924,-0.2108,-0.6691
2006-04-01,6.6491,0.1219,-0.0877,-0.1444,-0.3025
2006-05-01,6.8035,0.1544,0.1276,-0.0831,0.0543
2006-06-01,7.1132,0.3097,0.586,0.2936,0.3556
2006-07-01,7.2777,0.1645,0.6286,0.5409,0.5431
2006-08-01,7.6873,0.4096,0.8838,1.0115,0.9677
2006-09-01,7.7504,0.0631,0.6372,1.2232,1.0124
2006-10-01,8.2215,0.4711,0.9438,1.5724,1.4281
2006-11-01,8.2308,0.0092,0.5435,1.4273,1.3442
2006-12-01,8.3926,0.1618,0.6422,1.2794,1.573
2007-01-01,8.7038,0.3112,0.4823,1.4262,1.967
2007-02-01,8.6567,-0.0472,0.4259,0.9694,1.9808
2007-03-01,8.2815,-0.3751,-0.1111,0.5311,1.7543
2007-04-01,8.28,-0.0015,-0.4238,0.0585,1.6309
2007-05-01,8.4954,0.2154,-0.1613,0.2646,1.6919
2007-06-01,9.0164,0.521,0.7349,0.6238,1.9032
2007-07-01,9.0285,0.0121,0.7485,0.3246,1.7508
2007-08-01,9.1277,0.0992,0.6323,0.471,1.4404
2007-09-01,9.3129,0.1852,0.2965,1.0314,1.5625
2007-10-01,9.7681,0.4552,0.7397,1.4881,1.5466
2007-11-01,10.2181,0.4499,1.0904,1.7227,1.9873
2007-12-01,10.4752,0.2571,1.1623,1.4588,2.0826
2008-01-01,10.4738,-0.0014,0.7057,1.4454,1.77
2008-02-01,10.3192,-0.1546,0.1011,1.1915,1.6625
2008-03-01,10.1825,-0.1367,-0.2927,0.8696,1.901
2008-04-01,10.2656,0.0831,-0.2082,0.4975,1.9856
2008-05-01,10.6032,0.3376,0.284,0.3851,2.1078
2008-06-01,11.4196,0.8164,1.2371,0.9444,2.4032
