date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,19.0,,,,
2000-02-01,19.0,0.0,,,
2000-03-01,18.5,-0.5,,,
2000-04-01,18.5,0.0,-0.5,,
2000-05-01,18.5,0.0,-0.5,,
2000-06-01,17.5,-1.0,-1.0,,
2000-07-01,16.5,-1.0,-2.0,-2.5,
2000-08-01,16.5,0.0,-2.0,-2.5,
2000-09-01,16.5,0.0,-1.0,-2.0,
2000-10-01,16.5,0.0,0.0,-2.0,
2000-11-01,16.5,0.0,0.0,-2.0,
2000-12-01,15.75,-0.75,-0.75,-1.75,
2001-01-01,15.25,-0.5,-1.25,-1.25,-3.75
2001-02-01,15.25,0.0,-1.25,-1.25,-3.75
2001-03-01,15.75,0.5,0.0,-0.75,-2.75
2001-04-01,16.25,0.5,1.0,-0.25,-2.25
2001-05-01,16.75,0.5,1.5,0.25,-1.75
2001-06-01,18.25,1.5,2.5,2.5,0.75
2001-07-01,19.0,0.75,2.75,3.75,2.5
2001-08-01,19.0,0.0,2.25,3.75,2.5
2001-09-01,19.0,0.0,0.75,3.25,2.5
2001-10-01,19.0,0.0,0.0,2.75,2.5
2001-11-01,19.0,0.0,0.0,2.25,2.5
2001-12-01,19.0,0.0,0.0,0.75,3.25
2002-01-01,19.0,0.0,0.0,0.0,3.75
2002-02-01,18.75,-0.25,-0.25,-0.25,3.5
2002-03-01,18.5,-0.25,-0.5,-0.5,2.75
2002-04-01,18.5,0.0,-0.5,-0.5,2.25
2002-05-01,18.5,0.0,-0.25,-0.5,1.75
2002-06-01,18.5,0.0,0.0,-0.5,0.25
2002-07-01,18.0,-0.5,-0.5,-1.0,-1.0
2002-08-01,18.0,0.0,-0.5,-0.75,-1.0
2002-09-01,18.0,0.0,-0.5,-0.5,-1.0
2002-10-01,21.0,3.0,3.0,2.5,2.0
2002-11-01,22.0,1.0,4.0,3.5,3.0
2002-12-01,25.0,3.0,7.0,6.5,6.0
2003-01-01,25.5,0.5,4.5,7.5,6.5
2003-02-01,26.5,1.0,4.5,8.5,7.75
2003-03-01,26.5,0.0,1.5,8.5,8.0
2003-04-01,26.5,0.0,1.0,5.5,8.0
2003-05-01,26.5,0.0,0.0,4.5,8.0
2003-06-01,26.0,-0.5,-0.5,1.0,7.5
2003-07-01,24.5,-1.5,-2.0,-1.0,6.5
2003-08-01,22.0,-2.5,-4.5,-4.5,4.0
2003-09-01,20.0,-2.0,-6.0,-6.5,2.0
2003-10-01,19.0,-1.0,-5.5,-7.5,-2.0
2003-11-01,17.5,-1.5,-4.5,-9.0,-4.5
2003-12-01,16.5,-1.0,-3.5,-9.5,-8.5
2004-01-01,16.5,0.0,-2.5,-8.0,-9.0
2004-02-01,16.5,0.0,-1.0,-5.5,-10.0
2004-03-01,16.25,-0.25,-0.25,-3.75,-10.25
2004-04-01,16.0,-0.25,-0.5,-3.0,-10.5
2004-05-01,16.0,0.0,-0.5,-1.5,-10.5
2004-06-01,16.0,0.0,-0.25,-0.5,-10.0
2004-07-01,16.0,0.0,0.0,-0.5,-8.5
2004-08-01,16.0,0.0,0.0,-0.5,-6.0
2004-09-01,16.25,0.25,0.25,0.0,-3.75
2004-10-01,16.75,0.5,0.75,0.75,-2.25
2004-11-01,17.25,0.5,1.25,1.25,-0.25
2004-12-01,17.75,0.5,1.5,1.75,1.25
2005-01-01,18.25,0.5,1.5,2.25,1.75
2005-02-01,18.75,0.5,1.5,2.75,2.25
2005-03-01,19.25,0.5,1.5,3.0,3.0
2005-04-01,19.5,0.25,1.25,2.75,3.5
2005-05-01,19.75,0.25,1.0,2.5,3.75
2005-06-01,19.75,0.0,0.5,2.0,3.75
2005-07-01,19.75,0.0,0.25,1.5,3.75
2005-08-01,19.75,0.0,0.0,1.0,3.75
2005-09-01,19.5,-0.25,-0.25,0.25,3.25
2005-10-01,19.0,-0.5,-0.75,-0.5,2.25
2005-11-01,18.5,-0.5,-1.25,-1.25,1.25
2005-12-01,18.0,-0.5,-1.5,-1.75,0.25
2006-01-01,17.25,-0.75,-1.75,-2.5,-1.0
2006-02-01,17.25,0.0,-1.25,-2.5,-1.5
2006-03-01,16.5,-0.75,-1.5,-3.0,-2.75
2006-04-01,15.75,-0.75,-1.5,-3.25,-3.75
2006-05-01,15.75,0.0,-1.5,-2.75,-4.0
2006-06-01,15.25,-0.5,-1.25,-2.75,-4.5
2006-07-01,14.75,-0.5,-1.0,-2.5,-5.0
2006-08-01,14.25,-0.5,-1.5,-3.0,-5.5
2006-09-01,14.25,0.0,-1.0,-2.25,-5.25
2006-10-01,13.75,-0.5,-1.0,-2.0,-5.25
2006-11-01,13.25,-0.5,-1.0,-2.5,-5.25
2006-12-01,13.25,0.0,-1.0,-2.0,-4.75
2007-01-01,13.0,-0.25,-0.75,-1.75,-4.25
2007-02-01,13.0,0.0,-0.25,-1.25,-4.25
2007-03-01,12.75,-0.25,-0.5,-1.5,-3.75
2007-04-01,12.5,-0.25,-0.5,-1.25,-3.25
2007-05-01,12.5,0.0,-0.5,-0.75,-3.25
2007-06-01,12.0,-0.5,-0.75,-1.25,-3.25
2007-07-01,11.5,-0.5,-1.0,-1.5,-3.25
2007-08-01,11.5,0.0,-1.0,-1.5,-2.75
2007-09-01,11.25,-0.25,-0.75,-1.5,-3.0
2007-10-01,11.25,0.0,-0.25,-1.25,-2.5
2007-11-01,11.25,0.0,-0.25,-1.25,-2.0
2007-12-01,11.25,0.0,0.0,-0.75,-2.0
2008-01-01,11.25,0.0,0.0,-0.25,-1.75
2008-02-01,11.25,0.0,0.0,-0.25,-1.75
2008-03-01,11.25,0.0,0.0,0.0,-1.5
2008-04-01,11.75,0.5,0.5,0.5,-0.75
2008-05-01,11.75,0.0,0.5,0.5,-0.75
2008-06-01,12.25,0.5,1.0,1.0,0.25
2008-07-01,13.0,0.75,1.25,1.75,1.5
2008-08-01,13.0,0.0,1.25,1.75,1.5
2008-09-01,13.75,0.75,1.5,2.5,2.5
2008-10-01,13.75,0.0,0.75,2.0,2.5
2008-11-01,13.75,0.0,0.75,2.0,2.5
2008-12-01,13.75,0.0,0.0,1.5,2.5
2009-01-01,12.75,-1.0,-1.0,-0.25,1.5
2009-02-01,12.75,0.0,-1.0,-0.25,1.5
2009-03-01,11.25,-1.5,-2.5,-2.5,0.0
2009-04-01,10.25,-1.0,-2.5,-3.5,-1.5
2009-05-01,10.25,0.0,-2.5,-3.5,-1.5
2009-06-01,9.25,-1.0,-2.0,-4.5,-3.0
2009-07-01,8.75,-0.5,-1.5,-4.0,-4.25
2009-08-01,8.75,0.0,-1.5,-4.0,-4.25
2009-09-01,8.75,0.0,-0.5,-2.5,-5.0
