date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,19.25,,,,
2000-02-01,17.38,-1.87,,,
2000-03-01,13.87,-3.51,,,
2000-04-01,14.46,0.59,-4.79,,
2000-05-01,16.23,1.77,-1.15,,
2000-06-01,18.06,1.83,4.19,,
2000-07-01,13.75,-4.31,-0.71,-5.5,
2000-08-01,15.51,1.76,-0.72,-1.87,
2000-09-01,15.89,0.38,-2.17,2.02,
2000-10-01,17.09,1.2,3.34,2.63,
2000-11-01,17.9,0.81,2.39,1.67,
2000-12-01,18.79,0.89,2.9,0.73,
2001-01-01,17.72,-1.07,0.63,3.97,-1.53
2001-02-01,16.86,-0.86,-1.04,1.35,-0.52
2001-03-01,16.32,-0.54,-2.47,0.43,2.45
2001-04-01,15.0,-1.32,-2.72,-2.09,0.54
2001-05-01,11.47,-3.53,-5.39,-6.43,-4.76
2001-06-01,10.25,-1.22,-6.07,-8.54,-7.81
2001-07-01,9.27,-0.98,-5.73,-8.45,-4.48
2001-08-01,8.94,-0.33,-2.53,-7.92,-6.57
2001-09-01,10.36,1.42,0.11,-5.96,-5.53
2001-10-01,8.08,-2.28,-1.19,-6.92,-9.01
2001-11-01,7.24,-0.84,-1.7,-4.23,-10.66
2001-12-01,8.04,0.8,-2.32,-2.21,-10.75
2002-01-01,8.08,0.04,0.0,-1.19,-9.64
2002-02-01,7.63,-0.45,0.39,-1.31,-9.23
2002-03-01,7.11,-0.52,-0.93,-3.25,-9.21
2002-04-01,5.47,-1.64,-2.61,-2.61,-9.53
2002-05-01,7.33,1.86,-0.3,0.09,-4.14
2002-06-01,8.13,0.8,1.02,0.09,-2.12
2002-07-01,5.37,-2.76,-0.1,-2.71,-3.9
2002-08-01,6.64,1.27,-0.69,-0.99,-2.3
2002-09-01,8.05,1.41,-0.08,0.94,-2.31
2002-10-01,7.72,-0.33,2.35,2.25,-0.36
2002-11-01,7.0,-0.72,0.36,-0.33,-0.24
2002-12-01,8.25,1.25,0.2,0.12,0.21
2003-01-01,9.01,0.76,1.29,3.64,0.93
2003-02-01,9.27,0.26,2.27,2.63,1.64
2003-03-01,8.92,-0.35,0.67,0.87,1.81
2003-04-01,5.85,-3.07,-3.16,-1.87,0.38
2003-05-01,4.79,-1.06,-4.48,-2.21,-2.54
2003-06-01,4.36,-0.43,-4.56,-3.89,-3.77
2003-07-01,4.07,-0.29,-1.78,-4.94,-1.3
2003-08-01,4.57,0.5,-0.22,-4.7,-2.07
2003-09-01,4.3,-0.27,-0.06,-4.62,-3.75
2003-10-01,4.73,0.43,0.66,-1.12,-2.99
2003-11-01,6.26,1.53,1.69,1.47,-0.74
2003-12-01,6.12,-0.14,1.82,1.76,-2.13
2004-01-01,5.2,-0.92,0.47,1.13,-3.81
2004-02-01,6.71,1.51,0.45,2.14,-2.56
2004-03-01,6.13,-0.58,0.01,1.83,-2.79
2004-04-01,6.26,0.13,1.06,1.53,0.41
2004-05-01,6.35,0.09,-0.36,0.09,1.56
2004-06-01,6.53,0.18,0.4,0.41,2.17
2004-07-01,6.76,0.23,0.5,1.56,2.69
2004-08-01,7.17,0.41,0.82,0.46,2.6
2004-09-01,7.62,0.45,1.09,1.49,3.32
2004-10-01,7.81,0.19,1.05,1.55,3.08
2004-11-01,8.27,0.46,1.1,1.92,2.01
2004-12-01,8.75,0.48,1.13,2.22,2.63
2005-01-01,8.82,0.07,1.01,2.06,3.62
2005-02-01,9.21,0.39,0.94,2.04,2.5
2005-03-01,9.51,0.3,0.76,1.89,3.38
