date,value,chg_1m,chg_3m,chg_6m,chg_1y
2000-01-01,11.75,,,,
2000-02-01,11.75,0.0,,,
2000-03-01,11.75,0.0,,,
2000-04-01,11.75,0.0,0.0,,
2000-05-01,11.75,0.0,0.0,,
2000-06-01,11.75,0.0,0.0,,
2000-07-01,11.75,0.0,0.0,0.0,
2000-08-01,11.75,0.0,0.0,0.0,
2000-09-01,11.75,0.0,0.0,0.0,
2000-10-01,12.0,0.25,0.25,0.25,
2000-11-01,12.0,0.0,0.25,0.25,
2000-12-01,12.0,0.0,0.25,0.25,
2001-01-01,12.0,0.0,0.0,0.25,0.25
2001-02-01,12.0,0.0,0.0,0.25,0.25
2001-03-01,12.0,0.0,0.0,0.25,0.25
2001-04-01,12.0,0.0,0.0,0.0,0.25
2001-05-01,12.0,0.0,0.0,0.0,0.25
2001-06-01,11.0,-1.0,-1.0,-1.0,-0.75
2001-07-01,11.0,0.0,-1.0,-1.0,-0.75
2001-08-01,11.0,0.0,-1.0,-1.0,-0.75
2001-09-01,9.5,-1.5,-1.5,-2.5,-2.25
2001-10-01,9.5,0.0,-1.5,-2.5,-2.5
2001-11-01,9.5,0.0,-1.5,-2.5,-2.5
2001-12-01,9.5,0.0,0.0,-1.5,-2.5
2002-01-01,10.0385,0.5385,0.5385,-0.9615,-1.9615
2002-02-01,10.5,0.4615,1.0,-0.5,-1.5
2002-03-01,11.0,0.5,1.5,1.5,-1.0
2002-04-01,11.5,0.5,1.4615,2.0,-0.5
2002-05-01,11.5,0.0,1.0,2.0,-0.5
2002-06-01,12.0417,0.5417,1.0417,2.5417,1.0417
2002-07-01,12.5,0.4583,1.0,2.4615,1.5
2002-08-01,12.5,0.0,1.0,2.0,1.5
2002-09-01,13.0455,0.5455,1.0038,2.0455,3.5455
2002-10-01,13.5,0.4545,1.0,2.0,4.0
2002-11-01,13.5,0.0,1.0,2.0,4.0
2002-12-01,13.5,0.0,0.4545,1.4583,4.0
2003-01-01,13.5,0.0,0.0,1.0,3.4615
2003-02-01,13.5,0.0,0.0,1.0,3.0
2003-03-01,13.5,0.0,0.0,0.4545,2.5
2003-04-01,13.5,0.0,0.0,0.0,2.0
2003-05-01,13.5,0.0,0.0,0.0,2.0
2003-06-01,12.6522,-0.8478,-0.8478,-0.8478,0.6105
2003-07-01,12.0,-0.6522,-1.5,-1.5,-0.5
2003-08-01,11.4615,-0.5385,-2.0385,-2.0385,-1.0385
2003-09-01,10.3333,-1.1282,-2.3188,-3.1667,-2.7121
2003-10-01,9.2778,-1.0556,-2.7222,-4.2222,-4.2222
2003-11-01,8.5,-0.7778,-2.9615,-5.0,-5.0
2003-12-01,8.2174,-0.2826,-2.1159,-4.4348,-5.2826
2004-01-01,8.0,-0.2174,-1.2778,-4.0,-5.5
2004-02-01,8.0,0.0,-0.5,-3.4615,-5.5
