date,value,chg_1m,chg_1y
2003-01-01,-7.494,,
2003-02-01,-7.6013,-0.1073,
2003-03-01,-7.4973,0.1039,
2003-04-01,-6.6198,0.8776,
2003-05-01,-6.9376,-0.3179,
2003-06-01,-7.1631,-0.2254,
2003-07-01,-3.272,3.8911,
2003-08-01,-2.9808,0.2912,
2003-09-01,-2.9918,-0.0111,
2003-10-01,-3.1464,-0.1546,
2003-11-01,-2.8811,0.2653,
2003-12-01,-2.9978,-0.1166,
2004-01-01,-2.8245,0.1732,4.6695
2004-02-01,-2.9045,-0.08,4.6967
2004-03-01,-3.1096,-0.2051,4.3877
2004-04-01,-2.3849,0.7247,4.2348
2004-05-01,-2.2298,0.1551,4.7078
2004-06-01,-2.3424,-0.1126,4.8206
2004-07-01,-2.5822,-0.2397,0.6898
2004-08-01,-2.7167,-0.1345,0.2641
2004-09-01,-2.8878,-0.1711,0.104
2004-10-01,-2.6887,0.1991,0.4577
2004-11-01,-2.6902,-0.0014,0.191
2004-12-01,-2.8583,-0.1681,0.1395
2005-01-01,-2.5325,0.3257,0.292
2005-02-01,-2.4866,0.0459,0.4179
2005-03-01,-2.2318,0.2549,0.8778
2005-04-01,-2.3609,-0.1291,0.024
2005-05-01,-2.5452,-0.1843,-0.3153
2005-06-01,-2.6924,-0.1473,-0.35
2005-07-01,-2.981,-0.2886,-0.3988
2005-08-01,-2.9525,0.0285,-0.2358
2005-09-01,-2.9849,-0.0323,-0.097
2005-10-01,-2.5894,0.3954,0.0993
2005-11-01,-2.5545,0.035,0.1357
2005-12-01,-2.6432,-0.0887,0.2151
2006-01-01,-2.3029,0.3403,0.2297
2006-02-01,-2.2344,0.0685,0.2522
2006-03-01,-2.1651,0.0693,0.0667
2006-04-01,-3.7078,-1.5428,-1.3469
2006-05-01,-3.5375,0.1703,-0.9924
2006-06-01,-3.5497,-0.0121,-0.8573
2006-07-01,-3.774,-0.2243,-0.7931
2006-08-01,-3.8348,-0.0608,-0.8823
2006-09-01,-4.0064,-0.1716,-1.0216
2006-10-01,-3.2658,0.7406,-0.6764
2006-11-01,-3.3313,-0.0655,-0.7768
2006-12-01,-3.2342,0.097,-0.591
2007-01-01,-2.1024,1.1318,0.2004
2007-02-01,-2.1708,-0.0684,0.0636
2007-03-01,-2.2432,-0.0724,-0.0782
2007-04-01,-2.8992,-0.656,0.8086
2007-05-01,-2.8881,0.0111,0.6495
2007-06-01,-2.6042,0.2839,0.9455
2007-07-01,-2.9973,-0.3931,0.7767
2007-08-01,-3.2212,-0.2239,0.6137
2007-09-01,-3.155,0.0662,0.8514
2007-10-01,-3.1508,0.0041,0.115
2007-11-01,-3.2997,-0.1489,0.0315
2007-12-01,-3.1175,0.1822,0.1167
2008-01-01,-3.9114,-0.7939,-1.809
2008-02-01,-3.6933,0.2181,-1.5225
2008-03-01,-3.9023,-0.209,-1.6591
2008-04-01,-4.7254,-0.8231,-1.8262
2008-05-01,-4.5409,0.1845,-1.6528
2008-06-01,-4.3091,0.2317,-1.705
2008-07-01,-4.7846,-0.4754,-1.7872
2008-08-01,-5.2886,-0.504,-2.0674
2008-09-01,-5.5052,-0.2166,-2.3502
2008-10-01,-5.0473,0.4579,-1.8965
2008-11-01,-5.3218,-0.2745,-2.0221
2008-12-01,-6.0468,-0.725,-2.9293
2009-01-01,-5.3817,0.6651,-1.4703
2009-02-01,-5.2144,0.1673,-1.5212
2009-03-01,-5.1397,0.0747,-1.2374
2009-04-01,-3.637,1.5027,1.0884
2009-05-01,-3.1447,0.4923,1.3962
2009-06-01,-2.5923,0.5524,1.7168
2009-07-01,-2.7013,-0.109,2.0832
2009-08-01,-2.6559,0.0454,2.6327
2009-09-01,-2.8655,-0.2096,2.6396
2009-10-01,-3.4412,-0.5757,1.6061
2009-11-01,-3.4248,0.0164,1.897
2009-12-01,-3.4184,0.0064,2.6285
2010-01-01,-4.3732,-0.9549,1.0085
2010-02-01,-4.4532,-0.08,0.7612
2010-03-01,-4.3107,0.1425,0.829
2010-04-01,-3.441,0.8697,0.196
2010-05-01,-3.756,-0.315,-0.6113
2010-06-01,-3.9085,-0.1525,-1.3162
2010-07-01,-4.1415,-0.233,-1.4402
2010-08-01,-4.3165,-0.175,-1.6606
2010-09-01,-4.284,0.0325,-1.4185
2010-10-01,-3.6692,0.6148,-0.228
2010-11-01,-3.3767,0.2925,0.0481
2010-12-01,-3.1992,0.1775,0.2192
2011-01-01,-3.3394,-0.1402,1.0339
2011-02-01,-3.2494,0.09,1.2039
2011-03-01,-3.4244,-0.175,0.8864
2011-04-01,-2.7844,0.6399,0.6566
2011-05-01,-2.9719,-0.1875,0.7841
2011-06-01,-3.1369,-0.165,0.7716
2011-07-01,-2.6391,0.4978,1.5024
2011-08-01,-3.1666,-0.5275,1.1499
2011-09-01,-3.4566,-0.29,0.8274
2011-10-01,-3.6387,-0.182,0.0305
2011-11-01,-3.9262,-0.2875,-0.5495
2011-12-01,-4.1837,-0.2575,-0.9845
2012-01-01,-4.205,-0.0213,-0.8657
2012-02-01,-4.03,0.175,-0.7807
2012-03-01,-3.85,0.18,-0.4257
2012-04-01,-4.2157,-0.3657,-1.4313
2012-05-01,-4.7957,-0.58,-1.8238
2012-06-01,-5.0782,-0.2825,-1.9413
2012-07-01,-5.6413,-0.5631,-3.0022
2012-08-01,-5.3413,0.3,-2.1747
2012-09-01,-5.4363,-0.095,-1.9797
2012-10-01,-5.1429,0.2933,-1.5043
2012-11-01,-5.0779,0.065,-1.1518
2012-12-01,-4.9379,0.14,-0.7543
2013-01-01,-4.1655,0.7724,0.0395
2013-02-01,-4.0655,0.1,-0.0355
2013-03-01,-4.0505,0.015,-0.2005
2013-04-01,-4.0619,-0.0114,0.1538
2013-05-01,-3.9829,0.079,0.8128
2013-06-01,-3.7519,0.231,1.3263
2013-07-01,-4.0,-0.2481,1.6413
2013-08-01,-3.878,0.122,1.4633
2013-09-01,-3.739,0.139,1.6973
2013-10-01,-4.1437,-0.4047,0.9992
2013-11-01,-3.9777,0.166,1.1002
2013-12-01,-3.8907,0.087,1.0472
2014-01-01,-3.0648,0.826,1.1007
2014-02-01,-3.1188,-0.054,0.9467
2014-03-01,-3.1308,-0.012,0.9197
2014-04-01,-2.727,0.4038,1.3349
2014-05-01,-2.973,-0.246,1.0099
2014-06-01,-3.041,-0.068,0.7109
2014-07-01,-3.1272,-0.0862,0.8728
2014-08-01,-3.1832,-0.056,0.6948
2014-09-01,-3.0402,0.143,0.6988
2014-10-01,-3.4696,-0.4294,0.6741
2014-11-01,-3.5196,-0.05,0.4581
2014-12-01,-3.8496,-0.33,0.0411
2015-01-01,-4.2849,-0.4353,-1.2201
2015-02-01,-4.4169,-0.132,-1.2981
2015-03-01,-4.4319,-0.015,-1.3011
2015-04-01,-4.6617,-0.2298,-1.9347
2015-05-01,-4.1897,0.472,-1.2167
2015-06-01,-4.0867,0.103,-1.0457
2015-07-01,-3.1683,0.9184,-0.0411
2015-08-01,-3.3523,-0.184,-0.1691
2015-09-01,-3.3663,-0.014,-0.3261
2015-10-01,-3.6175,-0.2511,-0.1479
2015-11-01,-3.3855,0.232,0.1341
2015-12-01,-3.4225,-0.037,0.4271
2016-01-01,-2.9561,0.4664,1.3288
2016-02-01,-3.1991,-0.243,1.2178
2016-03-01,-3.1031,0.096,1.3288
2016-04-01,-3.1301,-0.027,1.5317
2016-05-01,-3.3201,-0.19,0.8697
2016-06-01,-3.5171,-0.197,0.5697
2016-07-01,-3.2563,0.2608,-0.0879
2016-08-01,-3.3003,-0.044,0.0521
2016-09-01,-3.1883,0.112,0.1781
2016-10-01,-2.7309,0.4574,0.8866
2016-11-01,-2.4269,0.304,0.9586
2016-12-01,-2.1629,0.264,1.2596
2017-01-01,-2.1277,0.0352,0.8284
2017-02-01,-2.1007,0.027,1.0984
2017-03-01,-2.0347,0.066,1.0684
2017-04-01,-1.9756,0.0591,1.1545
2017-05-01,-1.9846,-0.009,1.3355
2017-06-01,-2.1116,-0.127,1.4055
2017-07-01,-2.0353,0.0763,1.221
2017-08-01,-2.0733,-0.038,1.227
2017-09-01,-1.9893,0.084,1.199
2017-10-01,-2.3915,-0.4022,0.3394
2017-11-01,-2.5945,-0.203,-0.1676
2017-12-01,-2.5765,0.018,-0.4136
2018-01-01,-2.6838,-0.1073,-0.5561
