date,value,chg_1m,chg_1y
2001-01-01,2.424,,
2001-02-01,2.5607,0.1367,
2001-03-01,2.8752,0.3145,
2001-04-01,2.0994,-0.7758,
2001-05-01,1.9525,-0.1469,
2001-06-01,2.3673,0.4148,
2001-07-01,3.0865,0.7192,
2001-08-01,2.7096,-0.3769,
2001-09-01,2.7012,-0.0084,
2001-10-01,3.3636,0.6624,
2001-11-01,4.556,1.1924,
2001-12-01,4.6845,0.1285,
2002-01-01,3.9937,-0.6908,1.5697
2002-02-01,3.8747,-0.119,1.314
2002-03-01,3.8132,-0.0615,0.938
2002-04-01,3.9204,0.1072,1.821
2002-05-01,4.4803,0.5599,2.5278
2002-06-01,4.2082,-0.2721,1.8409
2002-07-01,3.1563,-1.0519,0.0698
2002-08-01,2.5798,-0.5765,-0.1298
2002-09-01,2.5528,-0.027,-0.1483
2002-10-01,1.9672,-0.5856,-1.3963
2002-11-01,0.6656,-1.3016,-3.8904
2002-12-01,1.1687,0.5031,-3.5158
2003-01-01,0.4536,-0.7151,-3.5401
2003-02-01,0.3277,-0.1259,-3.547
2003-03-01,0.7504,0.4227,-3.0628
2003-04-01,2.1373,1.3869,-1.7831
2003-05-01,1.8635,-0.2739,-2.6168
2003-06-01,1.6855,-0.178,-2.5227
2003-07-01,2.5936,0.9081,-0.5627
2003-08-01,2.9198,0.3262,0.34
2003-09-01,2.5768,-0.3431,0.0239
2003-10-01,3.2344,0.6577,1.2672
2003-11-01,3.2805,0.0461,2.6149
2003-12-01,2.6519,-0.6286,1.4832
2004-01-01,3.3117,0.6598,2.8581
2004-02-01,3.7706,0.4589,3.4429
2004-03-01,3.4845,-0.2861,2.7341
2004-04-01,2.9527,-0.5318,0.8154
2004-05-01,2.334,-0.6187,0.4705
2004-06-01,2.3961,0.0622,0.7107
2004-07-01,2.4108,0.0147,-0.1828
2004-08-01,2.7845,0.3737,-0.1353
2004-09-01,2.7595,-0.025,0.1828
2004-10-01,2.2154,-0.5441,-1.019
2004-11-01,2.0599,-0.1554,-1.2205
2004-12-01,2.1887,0.1288,-0.4632
2005-01-01,2.3244,0.1357,-0.9873
2005-02-01,2.0794,-0.245,-1.6912
2005-03-01,2.0483,-0.0311,-1.4362
2005-04-01,1.7923,-0.256,-1.1604
2005-05-01,2.4548,0.6625,0.1208
2005-06-01,2.1155,-0.3392,-0.2806
2005-07-01,1.8995,-0.216,-0.5113
2005-08-01,1.3441,-0.5554,-1.4404
2005-09-01,0.6305,-0.7136,-2.129
2005-10-01,1.4805,0.85,-0.7349
2005-11-01,2.1185,0.638,0.0586
2005-12-01,1.9537,-0.1648,-0.235
2006-01-01,1.275,-0.6787,-1.0494
2006-02-01,1.994,0.719,-0.0854
2006-03-01,2.0359,0.0418,-0.0124
2006-04-01,1.9768,-0.0591,0.1845
2006-05-01,1.5879,-0.3888,-0.8668
2006-06-01,2.0092,0.4213,-0.1063
2006-07-01,2.1097,0.1005,0.2102
2006-08-01,2.1132,0.0035,0.7691
2006-09-01,3.3306,1.2174,2.7001
2006-10-01,3.0872,-0.2434,1.6067
2006-11-01,2.6068,-0.4804,0.4883
2006-12-01,2.2935,-0.3133,0.3398
2007-01-01,3.0128,0.7193,1.7377
2007-02-01,2.0805,-0.9323,0.0864
2007-03-01,1.7439,-0.3366,-0.292
2007-04-01,1.9737,0.2298,-0.0031
2007-05-01,2.1049,0.1312,0.517
2007-06-01,2.4211,0.3161,0.4119
2007-07-01,2.4002,-0.0209,0.2905
2007-08-01,2.6982,0.298,0.585
2007-09-01,1.8838,-0.8144,-1.4468
2007-10-01,1.9774,0.0936,-1.1098
2007-11-01,1.6489,-0.3285,-0.9579
2007-12-01,1.6392,-0.0097,-0.6543
2008-01-01,1.6544,0.0152,-1.3584
2008-02-01,2.0131,0.3587,-0.0673
2008-03-01,2.1589,0.1457,0.415
2008-04-01,1.9261,-0.2327,-0.0476
2008-05-01,1.3913,-0.5349,-0.7137
2008-06-01,0.6322,-0.7591,-1.7889
2008-07-01,0.3576,-0.2746,-2.0426
2008-08-01,0.1,-0.2576,-2.5982
2008-09-01,0.1451,0.0451,-1.7387
2008-10-01,1.0696,0.9246,-0.9078
2008-11-01,1.6055,0.5359,-0.0434
2008-12-01,1.785,0.1795,0.1458
2009-01-01,1.739,-0.046,0.0846
2009-02-01,1.5345,-0.2045,-0.4786
2009-03-01,1.6426,0.1081,-0.5163
2009-04-01,2.6019,0.9593,0.6757
2009-05-01,3.1147,0.5129,1.7235
2009-06-01,3.7191,0.6043,3.0869
