date,value,chg_1m,chg_1y
2001-01-01,3.3947,,
2001-02-01,2.9018,-0.493,
2001-03-01,2.792,-0.1098,
2001-04-01,2.4832,-0.3088,
2001-05-01,2.2299,-0.2533,
2001-06-01,2.5467,0.3168,
2001-07-01,2.9229,0.3762,
2001-08-01,2.726,-0.1969,
2001-09-01,2.9525,0.2265,
2001-10-01,2.737,-0.2156,
2001-11-01,2.9361,0.1992,
2001-12-01,3.1211,0.185,
2002-01-01,2.7794,-0.3417,-0.6153
2002-02-01,3.0783,0.2989,0.1765
2002-03-01,3.0897,0.0114,0.2977
2002-04-01,3.6661,0.5765,1.1829
2002-05-01,3.912,0.2459,1.6821
2002-06-01,3.8772,-0.0348,1.3305
2002-07-01,3.7284,-0.1488,0.8055
2002-08-01,3.3338,-0.3946,0.6078
2002-09-01,3.1295,-0.2043,0.177
2002-10-01,3.2068,0.0772,0.4698
2002-11-01,3.3321,0.1254,0.396
2002-12-01,3.2005,-0.1317,0.0794
2003-01-01,3.1596,-0.0409,0.3802
2003-02-01,2.7121,-0.4475,-0.3662
2003-03-01,2.8731,0.161,-0.2166
2003-04-01,3.2441,0.371,-0.4221
2003-05-01,3.2515,0.0075,-0.6605
2003-06-01,2.7147,-0.5368,-1.1625
2003-07-01,2.9591,0.2443,-0.7693
2003-08-01,3.0026,0.0435,-0.3312
2003-09-01,3.1567,0.1541,0.0272
2003-10-01,3.0926,-0.0641,-0.1141
2003-11-01,3.1072,0.0146,-0.2249
2003-12-01,3.1687,0.0615,-0.0318
2004-01-01,3.0486,-0.1201,-0.111
2004-02-01,3.3287,0.2801,0.6167
2004-03-01,2.9101,-0.4186,0.0371
2004-04-01,2.4192,-0.491,-0.8249
2004-05-01,2.1233,-0.2959,-1.1283
2004-06-01,2.525,0.4017,-0.1897
2004-07-01,2.4531,-0.0719,-0.506
2004-08-01,2.1853,-0.2678,-0.8174
2004-09-01,2.2307,0.0454,-0.9261
2004-10-01,1.9974,-0.2332,-1.0952
2004-11-01,1.8789,-0.1186,-1.2283
2004-12-01,1.3598,-0.5191,-1.8089
2005-01-01,2.1219,0.7622,-0.9267
2005-02-01,1.8829,-0.239,-1.4459
2005-03-01,1.9302,0.0473,-0.9799
2005-04-01,2.2723,0.3421,-0.1469
2005-05-01,2.0966,-0.1756,-0.0267
2005-06-01,1.8091,-0.2875,-0.7159
2005-07-01,1.6723,-0.1368,-0.7808
2005-08-01,1.7009,0.0286,-0.4844
2005-09-01,1.2037,-0.4972,-1.027
2005-10-01,1.3766,0.1729,-0.6209
2005-11-01,1.6919,0.3153,-0.187
