date,value,chg_1m,chg_1y
2001-01-01,3.7361,,
2001-02-01,3.5761,-0.1601,
2001-03-01,3.497,-0.0791,
2001-04-01,3.1794,-0.3176,
2001-05-01,2.9576,-0.2218,
2001-06-01,3.0895,0.1319,
2001-07-01,3.1337,0.0442,
2001-08-01,3.1298,-0.004,
2001-09-01,3.456,0.3263,
2001-10-01,3.0654,-0.3906,
2001-11-01,3.4309,0.3655,
2001-12-01,3.5459,0.1149,
2002-01-01,2.6901,-0.8558,-1.046
2002-02-01,2.8988,0.2087,-0.6773
2002-03-01,3.1672,0.2684,-0.3298
2002-04-01,3.26,0.0928,0.0806
2002-05-01,3.7747,0.5147,0.8171
2002-06-01,3.7046,-0.07,0.6151
2002-07-01,3.3338,-0.3709,0.2
2002-08-01,2.8208,-0.513,-0.309
2002-09-01,2.6374,-0.1834,-0.8186
2002-10-01,2.6434,0.006,-0.4221
2002-11-01,2.356,-0.2874,-1.075
2002-12-01,2.1325,-0.2234,-1.4133
2003-01-01,2.2342,0.1017,-0.4558
2003-02-01,1.4419,-0.7924,-1.4569
2003-03-01,1.584,0.1421,-1.5832
2003-04-01,2.219,0.635,-1.041
2003-05-01,2.1428,-0.0762,-1.6318
2003-06-01,1.7308,-0.412,-1.9738
2003-07-01,2.1518,0.421,-1.182
2003-08-01,2.2963,0.1445,-0.5245
2003-09-01,2.1381,-0.1582,-0.4993
2003-10-01,2.1665,0.0284,-0.4769
2003-11-01,2.1773,0.0108,-0.1787
2003-12-01,2.1558,-0.0215,0.0233
2004-01-01,2.2124,0.0566,-0.0218
2004-02-01,2.4278,0.2153,0.9859
2004-03-01,2.2837,-0.1441,0.6997
2004-04-01,2.0888,-0.1948,-0.1301
2004-05-01,1.7348,-0.354,-0.408
2004-06-01,1.9377,0.2028,0.2069
2004-07-01,1.8753,-0.0623,-0.2765
2004-08-01,1.731,-0.1443,-0.5653
2004-09-01,2.0022,0.2712,-0.1359
2004-10-01,1.844,-0.1582,-0.3225
2004-11-01,1.7859,-0.0581,-0.3914
2004-12-01,1.5665,-0.2195,-0.5893
2005-01-01,2.06,0.4936,-0.1524
2005-02-01,1.8929,-0.1672,-0.5349
2005-03-01,1.8028,-0.0901,-0.4809
2005-04-01,1.6588,-0.144,-0.4301
2005-05-01,1.8002,0.1414,0.0654
2005-06-01,1.5455,-0.2547,-0.3921
2005-07-01,1.6056,0.06,-0.2698
2005-08-01,1.4582,-0.1473,-0.2728
2005-09-01,0.9962,-0.462,-1.006
2005-10-01,1.4434,0.4472,-0.4006
2005-11-01,1.9035,0.46,0.1176
2005-12-01,1.7726,-0.1309,0.2061
2006-01-01,1.2892,-0.4834,-0.7709
2006-02-01,1.6825,0.3933,-0.2104
2006-03-01,2.2161,0.5336,0.4133
2006-04-01,2.2438,0.0277,0.585
2006-05-01,1.9313,-0.3125,0.1311
2006-06-01,2.0527,0.1214,0.5072
2006-07-01,2.0848,0.0321,0.4792
2006-08-01,2.0092,-0.0755,0.551
2006-09-01,2.4965,0.4872,1.5003
2006-10-01,2.7484,0.2519,1.3049
2006-11-01,2.3575,-0.3908,0.4541
2006-12-01,2.3339,-0.0236,0.5613
2007-01-01,2.8253,0.4914,1.5362
2007-02-01,3.0443,0.219,1.3618
2007-03-01,2.807,-0.2373,0.5909
2007-04-01,2.9594,0.1524,0.7156
2007-05-01,3.2717,0.3123,1.3404
2007-06-01,3.4257,0.154,1.373
2007-07-01,3.4755,0.0498,1.3907
2007-08-01,3.2032,-0.2723,1.194
2007-09-01,2.8436,-0.3596,0.3472
2007-10-01,2.3952,-0.4485,-0.3532
2007-11-01,1.781,-0.6142,-0.5766
2007-12-01,1.7691,-0.0119,-0.5648
2008-01-01,1.3226,-0.4465,-1.5027
2008-02-01,1.2351,-0.0875,-1.8092
2008-03-01,0.8314,-0.4037,-1.9757
2008-04-01,1.2576,0.4262,-1.7018
2008-05-01,1.0848,-0.1728,-2.1869
2008-06-01,1.1704,0.0856,-2.2553
2008-07-01,1.0791,-0.0912,-2.3963
2008-08-01,1.2398,0.1607,-1.9634
2008-09-01,1.3767,0.1369,-1.467
2008-10-01,1.5242,0.1476,-0.8709
2008-11-01,2.3554,0.8311,0.5744
2008-12-01,2.5453,0.19,0.7762
2009-01-01,2.9017,0.3563,1.5791
2009-02-01,2.7907,-0.111,1.5556
2009-03-01,3.3491,0.5584,2.5178
2009-04-01,3.5346,0.1855,2.2771
2009-05-01,4.0577,0.523,2.9729
2009-06-01,4.3876,0.3299,3.2172
2009-07-01,4.4524,0.0648,3.3732
2009-08-01,3.77,-0.6824,2.5302
2009-09-01,3.9487,0.1787,2.572
2009-10-01,3.7694,-0.1792,2.2452
2009-11-01,3.1597,-0.6097,0.8044
2009-12-01,2.5599,-0.5998,0.0146
2010-01-01,2.4163,-0.1436,-0.4853
2010-02-01,2.2134,-0.2029,-0.5772
2010-03-01,1.8482,-0.3652,-1.5009
2010-04-01,1.7154,-0.1329,-1.8193
2010-05-01,1.4274,-0.2879,-2.6302
2010-06-01,1.5634,0.136,-2.8242
2010-07-01,1.3049,-0.2585,-3.1474
2010-08-01,1.2915,-0.0134,-2.4785
2010-09-01,1.1009,-0.1907,-2.8478
2010-10-01,1.1258,0.0249,-2.6437
2010-11-01,1.4251,0.2994,-1.7346
2010-12-01,1.5875,0.1624,-0.9724
2011-01-01,1.702,0.1144,-0.7144
2011-02-01,1.9453,0.2433,-0.2682
2011-03-01,1.6194,-0.3259,-0.2289
2011-04-01,1.6138,-0.0056,-0.1016
2011-05-01,1.4759,-0.1379,0.0485
2011-06-01,1.3226,-0.1532,-0.2407
2011-07-01,1.4485,0.1258,0.1436
2011-08-01,0.7466,-0.7019,-0.5449
2011-09-01,0.4043,-0.3424,-0.6966
2011-10-01,0.6451,0.2408,-0.4806
2011-11-01,0.894,0.2489,-0.5311
2011-12-01,0.6973,-0.1968,-0.8903
2012-01-01,0.8266,0.1293,-0.8754
2012-02-01,0.7265,-0.1001,-1.2188
2012-03-01,0.6488,-0.0777,-0.9706
2012-04-01,0.9076,0.2588,-0.7062
2012-05-01,0.7716,-0.1359,-0.7042
2012-06-01,0.6454,-0.1263,-0.6773
2012-07-01,0.3404,-0.305,-1.1081
2012-08-01,0.0365,-0.3039,-0.7101
2012-09-01,0.3294,0.2929,-0.0749
2012-10-01,0.3336,0.0042,-0.3115
2012-11-01,0.7227,0.3891,-0.1713
2012-12-01,0.6677,-0.0551,-0.0296
2013-01-01,0.9967,0.329,0.1701
2013-02-01,1.2025,0.2058,0.476
2013-03-01,1.0967,-0.1058,0.4479
2013-04-01,1.1139,0.0173,0.2063
2013-05-01,1.0765,-0.0374,0.3049
2013-06-01,1.2805,0.204,0.6352
2013-07-01,1.1816,-0.099,0.8412
2013-08-01,1.4933,0.3117,1.4568
2013-09-01,1.6021,0.1088,1.2727
2013-10-01,1.8255,0.2234,1.4919
2013-11-01,1.5874,-0.2381,0.8647
2013-12-01,1.623,0.0356,0.9554
2014-01-01,1.736,0.113,0.7393
2014-02-01,1.3321,-0.4039,0.1296
2014-03-01,1.5379,0.2058,0.4413
2014-04-01,1.3021,-0.2358,0.1882
2014-05-01,1.159,-0.1432,0.0825
2014-06-01,1.231,0.072,-0.0496
2014-07-01,1.098,-0.1329,-0.0836
2014-08-01,0.9639,-0.1341,-0.5294
2014-09-01,1.0601,0.0962,-0.542
2014-10-01,0.8063,-0.2538,-1.0192
2014-11-01,0.8163,0.0099,-0.7711
2014-12-01,0.8617,0.0454,-0.7614
2015-01-01,1.0578,0.1961,-0.6782
2015-02-01,0.8654,-0.1924,-0.4667
2015-03-01,0.5737,-0.2916,-0.9642
2015-04-01,0.3549,-0.2189,-0.9473
2015-05-01,0.5867,0.2318,-0.5723
2015-06-01,0.9363,0.3496,-0.2947
2015-07-01,0.9468,0.0105,-0.1513
2015-08-01,0.9482,0.0015,-0.0156
2015-09-01,0.9751,0.0268,-0.085
2015-10-01,0.8018,-0.1733,-0.0046
2015-11-01,0.8449,0.0431,0.0286
2015-12-01,0.7525,-0.0924,-0.1091
2016-01-01,0.6228,-0.1298,-0.435
2016-02-01,0.7833,0.1606,-0.0821
2016-03-01,0.6586,-0.1247,0.0849
2016-04-01,0.6995,0.0408,0.3446
2016-05-01,0.5312,-0.1683,-0.0555
2016-06-01,0.2009,-0.3303,-0.7353
2016-07-01,-0.0469,-0.2479,-0.9937
2016-08-01,-0.0778,-0.0309,-1.026
2016-09-01,-0.2069,-0.1291,-1.182
2016-10-01,-0.033,0.1739,-0.8347
2016-11-01,0.1328,0.1658,-0.7121
2016-12-01,0.1444,0.0116,-0.6081
2017-01-01,-0.4798,-0.6243,-1.1026
2017-02-01,-0.179,0.3009,-0.9623
2017-03-01,-0.1299,0.0491,-0.7885
2017-04-01,-0.2875,-0.1577,-0.987
2017-05-01,-0.007,0.2806,-0.5382
2017-06-01,-0.0211,-0.0141,-0.222
2017-07-01,0.1189,0.14,0.1658
2017-08-01,-0.194,-0.3128,-0.1162
2017-09-01,-0.2866,-0.0927,-0.0798
2017-10-01,-0.2445,0.0422,-0.2115
2017-11-01,-0.4564,-0.2119,-0.5892
2017-12-01,-0.516,-0.0596,-0.6604
