date,value,chg_1m,chg_1y
2001-01-01,2.2182,,
2001-02-01,2.2293,0.0112,
2001-03-01,2.3626,0.1333,
2001-04-01,2.1601,-0.2026,
2001-05-01,2.4265,0.2664,
2001-06-01,2.3848,-0.0416,
2001-07-01,2.4958,0.111,
2001-08-01,2.3852,-0.1107,
2001-09-01,2.5482,0.163,
2001-10-01,2.5013,-0.0468,
2001-11-01,2.4319,-0.0694,
2001-12-01,2.6808,0.2489,
2002-01-01,2.7864,0.1056,0.5682
2002-02-01,2.8517,0.0653,0.6223
2002-03-01,2.8911,0.0394,0.5285
2002-04-01,3.0683,0.1772,0.9083
2002-05-01,3.0764,0.0081,0.6499
2002-06-01,3.1039,0.0275,0.719
2002-07-01,2.8737,-0.2301,0.3779
2002-08-01,2.4208,-0.4529,0.0357
2002-09-01,2.0389,-0.3819,-0.5093
2002-10-01,2.0961,0.0572,-0.4052
2002-11-01,1.9076,-0.1885,-0.5243
2002-12-01,1.7229,-0.1848,-0.9579
2003-01-01,1.5622,-0.1607,-1.2242
2003-02-01,1.523,-0.0392,-1.3287
2003-03-01,1.4728,-0.0502,-1.4183
2003-04-01,1.6069,0.1341,-1.4614
2003-05-01,1.337,-0.2699,-1.7393
2003-06-01,1.1262,-0.2108,-1.9776
2003-07-01,1.4407,0.3145,-1.433
2003-08-01,1.5226,0.0819,-0.8983
2003-09-01,1.5483,0.0257,-0.4906
2003-10-01,1.7903,0.2419,-0.3059
2003-11-01,2.0114,0.2211,0.1037
2003-12-01,1.9609,-0.0505,0.238
2004-01-01,2.0778,0.1169,0.5156
2004-02-01,2.025,-0.0528,0.502
2004-03-01,1.8585,-0.1665,0.3857
2004-04-01,2.0463,0.1878,0.4394
2004-05-01,2.1942,0.1479,0.8572
2004-06-01,2.1649,-0.0293,1.0387
2004-07-01,2.1467,-0.0182,0.706
2004-08-01,1.9895,-0.1572,0.467
2004-09-01,2.1301,0.1405,0.5817
2004-10-01,2.0914,-0.0387,0.3011
2004-11-01,2.1299,0.0385,0.1185
2004-12-01,1.7608,-0.3691,-0.2001
2005-01-01,1.8461,0.0853,-0.2317
2005-02-01,1.7366,-0.1094,-0.2883
2005-03-01,1.9018,0.1652,0.0433
2005-04-01,1.8029,-0.0989,-0.2434
2005-05-01,1.6265,-0.1764,-0.5677
2005-06-01,1.6422,0.0158,-0.5227
2005-07-01,1.3568,-0.2855,-0.7899
2005-08-01,1.4522,0.0954,-0.5374
2005-09-01,1.2902,-0.162,-0.8399
2005-10-01,1.208,-0.0822,-0.8834
2005-11-01,1.4205,0.2125,-0.7093
2005-12-01,1.5628,0.1422,-0.198
2006-01-01,1.3142,-0.2485,-0.5318
2006-02-01,1.5545,0.2403,-0.1821
2006-03-01,1.8659,0.3114,-0.0359
2006-04-01,2.0101,0.1443,0.2073
2006-05-01,2.08,0.0698,0.4535
2006-06-01,2.0112,-0.0687,0.369
2006-07-01,2.1104,0.0992,0.7537
2006-08-01,1.9781,-0.1323,0.5259
2006-09-01,1.9215,-0.0566,0.6313
2006-10-01,2.2731,0.3516,1.0651
2006-11-01,2.1746,-0.0985,0.7541
2006-12-01,2.1641,-0.0106,0.6013
2007-01-01,2.5494,0.3854,1.2352
2007-02-01,2.493,-0.0564,0.9385
2007-03-01,2.4708,-0.0222,0.6049
2007-04-01,2.8246,0.3538,0.8145
2007-05-01,2.9489,0.1243,0.8689
2007-06-01,3.0784,0.1295,1.0671
2007-07-01,3.1487,0.0703,1.0382
2007-08-01,2.9743,-0.1743,0.9963
2007-09-01,2.8864,-0.0879,0.965
2007-10-01,2.5187,-0.3677,0.2456
2007-11-01,2.072,-0.4467,-0.1026
2007-12-01,1.9331,-0.1389,-0.2309
2008-01-01,1.4127,-0.5204,-1.1367
2008-02-01,1.4537,0.041,-1.0393
2008-03-01,1.1,-0.3536,-1.3708
2008-04-01,1.1833,0.0833,-1.6413
