date,value,chg_1m,chg_1y
2001-01-01,1.816,,
2001-02-01,1.724,-0.0921,
2001-03-01,1.7856,0.0617,
2001-04-01,2.0329,0.2473,
2001-05-01,1.9672,-0.0657,
2001-06-01,1.8707,-0.0965,
2001-07-01,2.0259,0.1552,
2001-08-01,2.0617,0.0358,
2001-09-01,2.0654,0.0037,
2001-10-01,2.0824,0.017,
2001-11-01,2.2558,0.1734,
2001-12-01,2.4669,0.211,
2002-01-01,2.7588,0.292,0.9428
2002-02-01,3.0506,0.2918,1.3266
2002-03-01,2.662,-0.3886,0.8763
2002-04-01,2.4271,-0.2349,0.3941
2002-05-01,2.1906,-0.2365,0.2234
2002-06-01,2.0519,-0.1387,0.1812
2002-07-01,2.1259,0.074,0.1
2002-08-01,2.0823,-0.0436,0.0206
2002-09-01,1.8536,-0.2287,-0.2118
2002-10-01,2.0267,0.173,-0.0558
2002-11-01,1.3952,-0.6314,-0.8606
2002-12-01,1.2875,-0.1077,-1.1794
2003-01-01,1.2535,-0.034,-1.5053
2003-02-01,1.0379,-0.2157,-2.0127
2003-03-01,0.8287,-0.2092,-1.8333
2003-04-01,0.7674,-0.0613,-1.6597
2003-05-01,0.7851,0.0177,-1.4055
2003-06-01,0.9457,0.1605,-1.1062
2003-07-01,1.1652,0.2196,-0.9607
2003-08-01,1.7188,0.5536,-0.3635
2003-09-01,1.6286,-0.0903,-0.2251
2003-10-01,1.437,-0.1916,-0.5897
2003-11-01,1.8555,0.4185,0.4602
2003-12-01,1.748,-0.1075,0.4605
2004-01-01,1.6445,-0.1035,0.3909
2004-02-01,1.211,-0.4335,0.1731
2004-03-01,1.5228,0.3118,0.6941
2004-04-01,1.938,0.4151,1.1706
2004-05-01,2.0264,0.0884,1.2413
2004-06-01,1.807,-0.2194,0.8613
2004-07-01,1.9128,0.1058,0.7476
2004-08-01,1.7972,-0.1156,0.0784
2004-09-01,1.393,-0.4042,-0.2356
2004-10-01,0.9605,-0.4325,-0.4765
2004-11-01,0.6117,-0.3489,-1.2438
2004-12-01,1.1871,0.5755,-0.5608
2005-01-01,1.0997,-0.0874,-0.5448
2005-02-01,1.5242,0.4245,0.3132
2005-03-01,1.325,-0.1992,-0.1978
2005-04-01,1.1521,-0.1729,-0.7859
2005-05-01,1.1332,-0.0189,-0.8932
2005-06-01,1.666,0.5328,-0.141
2005-07-01,1.6098,-0.0562,-0.303
2005-08-01,1.6795,0.0697,-0.1177
2005-09-01,1.7635,0.084,0.3705
2005-10-01,2.3446,0.5811,1.3841
2005-11-01,2.4957,0.1511,1.884
2005-12-01,1.9068,-0.5888,0.7197
2006-01-01,1.6519,-0.2549,0.5522
2006-02-01,1.7033,0.0513,0.1791
2006-03-01,1.9689,0.2656,0.6439
2006-04-01,2.0608,0.092,0.9088
2006-05-01,1.7443,-0.3166,0.6111
2006-06-01,1.3752,-0.369,-0.2908
2006-07-01,1.6112,0.236,0.0014
2006-08-01,0.7216,-0.8896,-0.9578
2006-09-01,0.9991,0.2774,-0.7644
2006-10-01,1.2987,0.2996,-1.0459
2006-11-01,1.3742,0.0755,-1.1215
2006-12-01,1.3295,-0.0447,-0.5773
2007-01-01,1.705,0.3755,0.0531
2007-02-01,1.8507,0.1457,0.1475
2007-03-01,1.7342,-0.1166,-0.2347
2007-04-01,1.653,-0.0812,-0.4078
2007-05-01,1.733,0.08,-0.0113
2007-06-01,2.1122,0.3792,0.737
2007-07-01,1.809,-0.3032,0.1978
2007-08-01,1.7853,-0.0237,1.0637
2007-09-01,1.9063,0.121,0.9073
2007-10-01,1.4072,-0.4991,0.1085
2007-11-01,0.8674,-0.5398,-0.5068
2007-12-01,0.8971,0.0297,-0.4325
2008-01-01,0.6937,-0.2034,-1.0113
2008-02-01,0.373,-0.3207,-1.4777
2008-03-01,0.0871,-0.2859,-1.6471
2008-04-01,0.8655,0.7784,-0.7875
2008-05-01,0.5228,-0.3427,-1.2102
2008-06-01,-0.3906,-0.9134,-2.5028
2008-07-01,-0.7715,-0.3809,-2.5805
2008-08-01,-0.6567,0.1148,-2.442
2008-09-01,-0.6067,0.05,-2.513
2008-10-01,-0.2848,0.3218,-1.6921
2008-11-01,0.4385,0.7234,-0.4289
2008-12-01,0.7973,0.3588,-0.0997
2009-01-01,1.272,0.4747,0.5783
2009-02-01,1.3815,0.1095,1.0085
2009-03-01,1.5311,0.1496,1.444
2009-04-01,1.402,-0.1291,0.5365
2009-05-01,2.5141,1.1121,1.9913
2009-06-01,3.1102,0.5961,3.5008
2009-07-01,3.6424,0.5323,4.4139
2009-08-01,3.5635,-0.0789,4.2202
2009-09-01,3.5075,-0.056,4.1142
2009-10-01,3.9629,0.4554,4.2477
2009-11-01,3.1125,-0.8504,2.674
2009-12-01,2.9317,-0.1808,2.1344
2010-01-01,2.3508,-0.581,1.0788
2010-02-01,2.0272,-0.3235,0.6457
2010-03-01,2.1952,0.168,0.6641
2010-04-01,2.2235,0.0283,0.8215
2010-05-01,1.9877,-0.2358,-0.5264
2010-06-01,1.8122,-0.1755,-1.2979
2010-07-01,2.0194,0.2072,-1.623
2010-08-01,2.1736,0.1542,-1.3899
2010-09-01,1.8394,-0.3342,-1.6681
2010-10-01,1.1131,-0.7263,-2.8498
2010-11-01,1.4768,0.3637,-1.6357
2010-12-01,1.4495,-0.0273,-1.4823
2011-01-01,1.7399,0.2904,-0.6109
2011-02-01,1.7679,0.028,-0.2594
2011-03-01,1.7398,-0.0281,-0.4554
2011-04-01,1.6356,-0.1042,-0.5879
2011-05-01,1.5386,-0.097,-0.4491
2011-06-01,1.4001,-0.1385,-0.4121
2011-07-01,0.8631,-0.537,-1.1562
2011-08-01,0.8114,-0.0518,-1.3623
2011-09-01,0.975,0.1636,-0.8644
2011-10-01,1.2485,0.2735,0.1354
2011-11-01,1.59,0.3415,0.1132
2011-12-01,1.1826,-0.4073,-0.2668
2012-01-01,0.8531,-0.3296,-0.8868
2012-02-01,0.6442,-0.2089,-1.1237
2012-03-01,0.4375,-0.2068,-1.3023
2012-04-01,0.386,-0.0514,-1.2496
2012-05-01,0.6348,0.2488,-0.9038
2012-06-01,1.0004,0.3656,-0.3997
2012-07-01,1.3085,0.3081,0.4454
2012-08-01,1.2224,-0.0861,0.411
2012-09-01,1.0738,-0.1486,0.0988
2012-10-01,1.1819,0.1082,-0.0666
2012-11-01,0.8192,-0.3628,-0.7708
2012-12-01,0.9931,0.1739,-0.1896
2013-01-01,1.0925,0.0994,0.2394
2013-02-01,1.4082,0.3157,0.764
2013-03-01,1.4384,0.0302,1.0009
2013-04-01,1.3243,-0.1141,0.9383
2013-05-01,1.1951,-0.1292,0.5603
2013-06-01,0.6101,-0.585,-0.3903
2013-07-01,0.0461,-0.564,-1.2624
2013-08-01,-0.1404,-0.1865,-1.3627
2013-09-01,-0.3903,-0.25,-1.4641
