date,value,chg_1m,chg_1y
2001-01-01,3.6074,,
2001-02-01,3.5885,-0.0189,
2001-03-01,3.4701,-0.1184,
2001-04-01,3.4461,-0.024,
2001-05-01,3.2105,-0.2356,
2001-06-01,3.2929,0.0824,
2001-07-01,3.5666,0.2737,
2001-08-01,2.939,-0.6276,
2001-09-01,3.3616,0.4226,
2001-10-01,3.3348,-0.0268,
2001-11-01,3.4109,0.0761,
2001-12-01,3.5414,0.1306,
2002-01-01,3.1484,-0.3931,-0.459
2002-02-01,3.1612,0.0128,-0.4273
2002-03-01,3.4611,0.2999,-0.0091
2002-04-01,3.6202,0.1591,0.1741
2002-05-01,4.0673,0.4471,0.8568
2002-06-01,4.0323,-0.035,0.7394
2002-07-01,3.5262,-0.5061,-0.0404
2002-08-01,3.4091,-0.1171,0.4701
2002-09-01,3.1673,-0.2418,-0.1943
2002-10-01,3.0139,-0.1534,-0.3209
2002-11-01,3.0357,0.0218,-0.3752
2002-12-01,2.8311,-0.2046,-0.7104
2003-01-01,2.9193,0.0882,-0.2291
2003-02-01,2.7464,-0.1729,-0.4148
2003-03-01,2.7286,-0.0179,-0.7325
2003-04-01,2.879,0.1504,-0.7412
2003-05-01,2.9004,0.0214,-1.1669
2003-06-01,2.9254,0.0249,-1.107
2003-07-01,3.085,0.1597,-0.4411
2003-08-01,3.2847,0.1997,-0.1244
2003-09-01,3.3974,0.1127,0.2301
2003-10-01,3.593,0.1956,0.5792
2003-11-01,3.7509,0.1579,0.7153
2003-12-01,3.5854,-0.1656,0.7543
2004-01-01,3.3382,-0.2472,0.4189
2004-02-01,3.3601,0.0219,0.6137
2004-03-01,3.5308,0.1707,0.8022
2004-04-01,3.9153,0.3845,1.0363
2004-05-01,3.6795,-0.2358,0.7791
2004-06-01,3.6355,-0.044,0.7101
2004-07-01,3.6723,0.0368,0.5872
2004-08-01,3.5748,-0.0975,0.2901
2004-09-01,3.7421,0.1673,0.3447
2004-10-01,3.4713,-0.2708,-0.1218
2004-11-01,3.1339,-0.3374,-0.6171
2004-12-01,2.8498,-0.284,-0.7355
2005-01-01,2.8536,0.0037,-0.4846
2005-02-01,2.9045,0.0509,-0.4557
2005-03-01,2.8555,-0.049,-0.6753
2005-04-01,2.6888,-0.1667,-1.2265
2005-05-01,2.4918,-0.1971,-1.1878
2005-06-01,2.3592,-0.1326,-1.2763
2005-07-01,1.9845,-0.3747,-1.6878
2005-08-01,2.0142,0.0297,-1.5606
2005-09-01,1.6435,-0.3707,-2.0986
2005-10-01,1.9154,0.2719,-1.5559
2005-11-01,2.1418,0.2263,-0.9921
2005-12-01,2.0558,-0.086,-0.7941
2006-01-01,1.9041,-0.1517,-0.9495
2006-02-01,1.9887,0.0846,-0.9158
2006-03-01,2.2872,0.2985,-0.5683
2006-04-01,2.2421,-0.0451,-0.4467
2006-05-01,2.2559,0.0138,-0.2359
2006-06-01,2.0197,-0.2362,-0.3395
2006-07-01,2.1403,0.1206,0.1558
2006-08-01,2.0186,-0.1217,0.0044
2006-09-01,2.0491,0.0305,0.4056
2006-10-01,2.1155,0.0664,0.2001
2006-11-01,1.7952,-0.3203,-0.3466
2006-12-01,1.7552,-0.04,-0.3005
2007-01-01,2.2444,0.4892,0.3403
2007-02-01,2.1529,-0.0915,0.1642
2007-03-01,1.8343,-0.3185,-0.4529
2007-04-01,2.3245,0.4902,0.0824
2007-05-01,2.6858,0.3613,0.4299
2007-06-01,2.9781,0.2923,0.9584
2007-07-01,3.4452,0.4671,1.3049
2007-08-01,3.1939,-0.2513,1.1753
2007-09-01,3.0392,-0.1547,0.9901
2007-10-01,2.7625,-0.2767,0.647
2007-11-01,2.4149,-0.3476,0.6197
2007-12-01,2.3935,-0.0214,0.6382
2008-01-01,2.0564,-0.337,-0.188
2008-02-01,1.9535,-0.1029,-0.1994
2008-03-01,1.9088,-0.0447,0.0744
2008-04-01,1.6348,-0.274,-0.6897
2008-05-01,1.507,-0.1278,-1.1788
2008-06-01,1.4977,-0.0092,-1.4804
2008-07-01,0.8376,-0.6601,-2.6076
2008-08-01,0.2902,-0.5474,-2.9037
2008-09-01,-0.2203,-0.5106,-3.2595
2008-10-01,0.4023,0.6226,-2.3602
2008-11-01,0.4521,0.0498,-1.9628
2008-12-01,0.5469,0.0948,-1.8466
2009-01-01,0.6972,0.1504,-1.3592
2009-02-01,0.6166,-0.0806,-1.3369
2009-03-01,0.4228,-0.1938,-1.4859
2009-04-01,1.1876,0.7647,-0.4472
2009-05-01,1.53,0.3424,0.0231
2009-06-01,1.99,0.46,0.4923
2009-07-01,2.2072,0.2172,1.3696
2009-08-01,2.3365,0.1293,2.0462
2009-09-01,2.7423,0.4058,2.9626
2009-10-01,2.3099,-0.4324,1.9076
2009-11-01,2.2701,-0.0398,1.818
2009-12-01,1.8205,-0.4496,1.2736
2010-01-01,1.4621,-0.3584,0.7648
2010-02-01,1.9982,0.5361,1.3816
2010-03-01,1.686,-0.3122,1.2632
2010-04-01,1.3578,-0.3282,0.1703
2010-05-01,1.2744,-0.0835,-0.2557
2010-06-01,1.217,-0.0573,-0.773
2010-07-01,1.236,0.0189,-0.9712
2010-08-01,0.8547,-0.3812,-1.4817
2010-09-01,0.7488,-0.1059,-1.9935
2010-10-01,0.5798,-0.169,-1.7301
2010-11-01,0.7151,0.1353,-1.555
2010-12-01,0.4602,-0.2549,-1.3603
2011-01-01,0.3489,-0.1113,-1.1132
2011-02-01,0.172,-0.1769,-1.8261
2011-03-01,0.1592,-0.0129,-1.5268
2011-04-01,-0.0201,-0.1793,-1.3779
2011-05-01,-0.2683,-0.2482,-1.5426
2011-06-01,-0.2441,0.0241,-1.4612
2011-07-01,-0.5752,-0.3311,-1.8112
2011-08-01,-1.0884,-0.5132,-1.9431
2011-09-01,-2.0314,-0.943,-2.7802
2011-10-01,-1.7756,0.2558,-2.3554
2011-11-01,-1.8887,-0.1131,-2.6038
2011-12-01,-1.4159,0.4728,-1.8761
2012-01-01,-1.0486,0.3672,-1.3976
2012-02-01,-0.9228,0.1258,-1.0949
2012-03-01,-0.7008,0.2221,-0.8599
2012-04-01,-0.575,0.1257,-0.5549
2012-05-01,-0.6252,-0.0502,-0.357
2012-06-01,-0.4762,0.1491,-0.2321
2012-07-01,-0.7006,-0.2245,-0.1255
2012-08-01,-0.6694,0.0312,0.419
2012-09-01,-0.2884,0.381,1.743
2012-10-01,-0.6618,-0.3734,1.1139
2012-11-01,-0.6546,0.0071,1.2341
2012-12-01,-0.5744,0.0803,0.8415
2013-01-01,-0.3492,0.2251,0.6994
2013-02-01,-0.2379,0.1114,0.685
2013-03-01,-0.5389,-0.3011,0.1618
2013-04-01,-0.4074,0.1315,0.1676
2013-05-01,-0.4521,-0.0448,0.1731
2013-06-01,-0.2042,0.248,0.272
2013-07-01,0.0677,0.2718,0.7683
2013-08-01,0.3155,0.2478,0.9849
2013-09-01,0.4584,0.1429,0.7468
2013-10-01,0.6123,0.1539,1.274
2013-11-01,0.9041,0.2918,1.5588
2013-12-01,0.9931,0.0889,1.5674
2014-01-01,1.1574,0.1643,1.5066
2014-02-01,1.1737,0.0163,1.4115
2014-03-01,1.25,0.0763,1.7889
2014-04-01,1.109,-0.1409,1.5164
2014-05-01,1.2732,0.1642,1.7254
2014-06-01,0.9475,-0.3258,1.1516
2014-07-01,1.1016,0.1542,1.034
2014-08-01,1.0103,-0.0913,0.6949
2014-09-01,1.1748,0.1645,0.7164
2014-10-01,0.9311,-0.2437,0.3188
2014-11-01,1.0459,0.1148,0.1418
2014-12-01,1.2231,0.1771,0.23
2015-01-01,1.0824,-0.1406,-0.075
2015-02-01,1.3329,0.2505,0.1592
2015-03-01,1.492,0.1591,0.242
2015-04-01,1.4538,-0.0382,0.3447
2015-05-01,1.5223,0.0685,0.2491
2015-06-01,1.869,0.3467,0.9215
2015-07-01,1.7337,-0.1353,0.632
2015-08-01,1.5795,-0.1542,0.5692
2015-09-01,1.6814,0.1019,0.5066
2015-10-01,1.6462,-0.0352,0.7151
2015-11-01,1.5775,-0.0687,0.5316
2015-12-01,1.4229,-0.1546,0.1998
2016-01-01,1.0777,-0.3452,-0.0048
2016-02-01,0.9002,-0.1775,-0.4327
2016-03-01,0.7402,-0.16,-0.7518
2016-04-01,0.8681,0.1279,-0.5857
2016-05-01,0.8373,-0.0308,-0.685
2016-06-01,0.4114,-0.4259,-1.4576
2016-07-01,0.0569,-0.3545,-1.6768
2016-08-01,-0.1552,-0.2121,-1.7347
2016-09-01,-0.4731,-0.3179,-2.1545
2016-10-01,-0.2181,0.255,-1.8643
2016-11-01,-0.1137,0.1044,-1.6912
2016-12-01,-0.3592,-0.2455,-1.7821
