date,value,chg_1m,chg_1y
2020-01-01,-0.8398,,
2020-02-01,-0.8413,-0.0015,
2020-03-01,-0.624,0.2173,
2020-04-01,0.347,0.971,
2020-05-01,0.4718,0.1248,
2020-06-01,0.0133,-0.4585,
2020-07-01,-0.3769,-0.3902,
2020-08-01,-0.6311,-0.2542,
2020-09-01,-0.711,-0.08,
2020-10-01,-0.4404,0.2706,
2020-11-01,-0.3057,0.1346,
2020-12-01,-0.3904,-0.0847,
2021-01-01,-0.2938,0.0966,0.5459
2021-02-01,-0.4098,-0.116,0.4315
2021-03-01,-1.0578,-0.648,-0.4338
2021-04-01,-2.4931,-1.4353,-2.84
2021-05-01,-3.2983,-0.8052,-3.7701
2021-06-01,-3.7756,-0.4774,-3.789
2021-07-01,-3.9252,-0.1495,-3.5483
2021-08-01,-3.872,0.0532,-3.2409
2021-09-01,-3.9812,-0.1092,-3.2702
2021-10-01,-4.655,-0.6738,-4.2147
2021-11-01,-5.342,-0.6869,-5.0362
2021-12-01,-5.7043,-0.3624,-5.3139
2022-01-01,-5.7988,-0.0945,-5.505
2022-02-01,-6.0073,-0.2085,-5.5975
2022-03-01,-6.4422,-0.4349,-5.3844
2022-04-01,-5.4818,0.9605,-2.9887
2022-05-01,-5.6382,-0.1564,-2.3399
2022-06-01,-5.8394,-0.2012,-2.0637
2022-07-01,-5.5626,0.2768,-1.6374
2022-08-01,-5.3226,0.24,-1.4506
2022-09-01,-4.6721,0.6505,-0.6909
2022-10-01,-3.7788,0.8933,0.8762
2022-11-01,-3.2329,0.546,2.1091
2022-12-01,-2.7846,0.4483,2.9197
2023-01-01,-2.7972,-0.0126,3.0016
2023-02-01,-2.2078,0.5894,3.7995
2023-03-01,-1.2577,0.9501,5.1845
2023-04-01,-1.4901,-0.2324,3.9917
2023-05-01,-0.5619,0.9282,5.0763
2023-06-01,0.6794,1.2412,6.5187
2023-07-01,0.6123,-0.0671,6.1748
2023-08-01,0.4475,-0.1648,5.7701
2023-09-01,0.6928,0.2453,5.3649
2023-10-01,1.5487,0.8559,5.3275
2023-11-01,1.3667,-0.1821,4.5995
2023-12-01,0.7041,-0.6626,3.4887
2024-01-01,0.9717,0.2676,3.7688
2024-02-01,1.0529,0.0813,3.2607
2024-03-01,0.7232,-0.3298,1.9809
2024-04-01,1.1792,0.456,2.6693
2024-05-01,1.2357,0.0565,1.7976
2024-06-01,1.3397,0.104,0.6604
2024-07-01,1.3085,-0.0312,0.6963
2024-08-01,1.2629,-0.0457,0.8154
2024-09-01,1.2935,0.0307,0.6007
2024-10-01,1.5212,0.2276,-0.0276
2024-11-01,1.6405,0.1194,0.2739
2024-12-01,1.5193,-0.1212,0.8152
2025-01-01,1.639,0.1197,0.6674
2025-02-01,1.6484,0.0094,0.5955
2025-03-01,1.898,0.2496,1.1749
2025-04-01,1.9546,0.0566,0.7754
2025-05-01,2.0427,0.0881,0.807
2025-06-01,1.6995,-0.3432,0.3598
2025-07-01,1.6474,-0.0522,0.3389
2025-08-01,1.3214,-0.326,0.0586
2025-09-01,1.0974,-0.224,-0.1961
2025-10-01,1.0374,-0.06,-0.4837
2025-11-01,1.1017,0.0643,-0.5388
2025-12-01,1.1377,0.036,-0.3816
2026-01-01,1.3813,0.2436,-0.2577
2026-02-01,1.4654,0.0841,-0.183
2026-03-01,0.9298,-0.5356,-0.9682
2026-04-01,0.373,-0.5568,-1.5816
