date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,237541.0,,,,
2000-02-01,241541.0,,1.6839,,
2000-03-01,244533.0,,1.2387,,
2000-04-01,239552.0,,-2.0369,3.4296,
2000-05-01,241546.0,,0.8324,0.0083,
2000-06-01,243226.0,,0.6955,-2.1209,
2000-07-01,240979.0,,-0.9238,2.4042,2.9156
2000-08-01,242318.0,,0.5557,1.2846,0.6444
2000-09-01,245520.0,,1.3214,3.8263,0.8089
2000-10-01,245399.0,,-0.0493,7.5411,4.9412
2000-11-01,243846.0,,-0.6328,2.5463,1.9135
2000-12-01,243844.0,,-0.0008,-2.7027,0.5088
2001-01-01,247339.0,4.1248,1.4333,3.1999,5.3481
2001-02-01,247289.0,2.3797,-0.0202,5.7686,4.145
2001-03-01,244514.0,-0.0078,-1.1222,1.1036,-0.8178
2001-04-01,249113.0,3.9912,1.8809,2.9,3.0498
2001-05-01,250250.0,3.6035,0.4564,4.8763,5.3215
2001-06-01,248836.0,2.3065,-0.565,7.26,4.1363
2001-07-01,247336.0,2.638,-0.6028,-2.8229,-0.0024
2001-08-01,249590.0,3.001,0.9113,-1.0508,1.8696
2001-09-01,243130.0,-0.9734,-2.5882,-8.8616,-1.1288
2001-10-01,262862.0,7.1162,8.1158,27.5739,11.343
2001-11-01,254084.0,4.1986,-3.3394,7.3991,3.0876
2001-12-01,249879.0,2.4749,-1.655,11.5745,0.8401
2002-01-01,250603.0,1.3196,0.2897,-17.3898,2.6592
2002-02-01,252279.0,2.0179,0.6688,-2.8114,2.1663
2002-03-01,251542.0,2.8743,-0.2921,2.6888,7.0395
2002-04-01,254543.0,2.1797,1.193,6.4387,-6.2294
2002-05-01,252390.0,0.8551,-0.8458,0.1761,-1.329
2002-06-01,253652.0,1.9354,0.5,3.3978,3.0427
2002-07-01,257339.0,4.0443,1.4536,4.4667,5.4481
2002-08-01,259050.0,3.7902,0.6649,10.9803,5.4399
2002-09-01,254081.0,4.5042,-1.9182,0.6782,2.0289
2002-10-01,256131.0,-2.5607,0.8068,-1.8645,1.2516
2002-11-01,256350.0,0.8918,0.0855,-4.1044,3.1626
2002-12-01,259206.0,3.7326,1.1141,8.3157,4.4272
2003-01-01,261394.0,4.306,0.8441,8.4761,3.1763
2003-02-01,257531.0,2.0818,-1.4778,1.8556,-1.1693
2003-03-01,260566.0,3.5875,1.1785,2.1153,5.1698
2003-04-01,261375.0,2.684,0.3105,-0.0291,4.1367
2003-05-01,261392.0,3.5667,0.0065,6.1332,3.9724
2003-06-01,265331.0,4.6043,1.5069,7.518,4.7818
2003-07-01,267683.0,4.0196,0.8864,10.0087,4.8698
2003-08-01,270612.0,4.4632,1.0942,14.8733,10.4168
2003-09-01,270212.0,6.3488,-0.1478,7.5639,7.5409
