date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,496.42,,,,,,,100.0,-80.2083
2000-01-04,478.38,-3.634,,,,,,96.366,-80.9275
2000-01-05,478.83,0.0941,,,,,,96.4566,-80.9096
2000-01-06,475.34,-0.7289,,,,,,95.7536,-81.0487
2000-01-07,488.31,2.7286,,,,,,98.3663,-80.5316
2000-01-10,501.89,2.781,1.1019,,,,,101.1019,-79.9902
2000-01-11,492.61,-1.849,2.9746,,,,,99.2325,-80.3602
2000-01-12,490.04,-0.5217,2.3411,,,,,98.7148,-80.4626
2000-01-13,501.19,2.2753,5.4382,,,,,100.9609,-80.0181
2000-01-14,507.56,1.271,3.9422,,,,,102.2441,-79.7641
2000-01-18,513.46,1.1624,2.3053,,,,,103.4326,-79.5289
2000-01-19,520.02,1.2776,5.5642,,,,,104.754,-79.2674
2000-01-20,527.28,1.3961,7.5994,,,,,106.2165,-78.9779
2000-01-21,533.94,1.2631,6.5344,,,,,107.5581,-78.7124
2000-01-24,522.95,-2.0583,3.0322,,,,,105.3443,-79.1506
2000-01-25,521.59,-0.2601,1.5834,,,,,105.0703,-79.2048
2000-01-26,521.04,-0.1055,0.1961,,,,,104.9595,-79.2267
2000-01-27,517.02,-0.7715,-1.9458,,,,,104.1497,-79.387
2000-01-28,504.62,-2.3984,-5.4913,,,,,101.6518,-79.8814
2000-01-31,496.23,-1.6626,-5.1095,,,,,99.9617,-80.2158
2000-02-01,503.75,1.5154,-3.4203,,,,,101.4766,-79.916
2000-02-02,509.89,1.2189,-2.1399,2.7134,,,,102.7134,-79.6712
2000-02-03,521.63,2.3025,0.8916,9.0409,,,,105.0784,-79.2032
2000-02-04,525.52,0.7457,4.1417,9.7509,,,,105.862,-79.0481
2000-02-07,532.39,1.3073,7.2869,12.0019,,,,107.2459,-78.7742
2000-02-08,537.49,0.9579,6.6978,10.0715,,,,108.2732,-78.5709
2000-02-09,536.0,-0.2772,5.1207,6.7963,,,,107.9731,-78.6303
2000-02-10,542.21,1.1586,3.9453,10.0688,,,,109.224,-78.3827
2000-02-11,537.1,-0.9424,2.2035,9.6033,,,,108.1947,-78.5864
2000-02-14,539.94,0.5288,1.4181,7.7316,,,,108.7668,-78.4732
2000-02-15,540.24,0.0556,0.5116,6.4386,,,,108.8272,-78.4612
2000-02-16,547.76,1.392,2.194,6.6802,,,,110.342,-78.1614
2000-02-17,558.42,1.9461,2.9896,7.3843,,,,112.4894,-77.7364
2000-02-18,545.68,-2.2814,1.5975,3.4896,,,,109.923,-78.2443
2000-02-22,540.95,-0.8668,0.1871,1.3129,,,,108.9702,-78.4329
2000-02-23,549.91,1.6563,1.7899,5.1554,,,,110.7751,-78.0757
2000-02-24,554.04,0.751,1.1465,6.2214,,,,111.6071,-77.911
2000-02-25,556.74,0.4873,-0.3008,6.8517,,,,112.151,-77.8034
2000-02-28,557.68,0.1688,2.1991,7.8643,,,,112.3404,-77.7659
2000-02-29,577.71,3.5917,6.7955,14.4842,,,,116.3752,-76.9673
2000-03-01,588.35,1.8417,6.9902,18.564,,,,118.5186,-76.5431
2000-03-02,584.04,-0.7326,5.4148,15.9385,,,,117.6504,-76.715
2000-03-03,597.88,2.3697,7.3894,17.2567,,,,120.4383,-76.1632
2000-03-06,601.64,0.6289,7.8827,15.3385,,,,121.1958,-76.0133
2000-03-07,595.47,-1.0255,3.0742,13.3106,,,,119.9529,-76.2593
2000-03-08,594.68,-0.1327,1.0759,11.7001,,,,119.7937,-76.2908
2000-03-09,606.05,1.912,3.7686,12.7556,,,,122.0841,-75.8374
2000-03-10,603.81,-0.3696,0.9918,12.6511,,,,121.6329,-75.9268
2000-03-13,590.14,-2.264,-1.9114,8.8397,,,,118.8792,-76.4718
2000-03-14,572.99,-2.9061,-3.7752,6.6822,,,,115.4244,-77.1555
2000-03-15,558.87,-2.4643,-6.0217,3.5059,,,,112.5801,-77.7185
2000-03-16,574.24,2.7502,-5.2487,6.2935,,,,115.6762,-77.1057
2000-03-17,574.77,0.0923,-4.8095,4.931,,,,115.783,-77.0845
2000-03-20,549.2,-4.4487,-6.9373,-1.6511,,,,110.6321,-78.104
2000-03-21,552.79,0.6537,-3.5254,1.303,,,,111.3553,-77.9609
2000-03-22,571.19,3.3286,2.2044,5.5902,,,,115.0618,-77.2273
2000-03-23,573.79,0.4552,-0.0784,4.3425,,,,115.5856,-77.1236
2000-03-24,574.01,0.0383,-0.1322,3.6044,,,,115.6299,-77.1148
2000-03-27,573.65,-0.0627,4.4519,3.0373,,,,115.5574,-77.1292
2000-03-28,559.04,-2.5469,1.1306,0.2439,,,,112.6143,-77.7117
2000-03-29,543.0,-2.8692,-4.9353,-6.0082,,,,109.3832,-78.3512
2000-03-30,531.57,-2.105,-7.3581,-9.6507,,,,107.0807,-78.8069
2000-03-31,539.09,1.4147,-6.0835,-7.6964,,,,108.5955,-78.5071
2000-04-03,516.04,-4.2757,-10.0427,-13.6884,3.9523,,,103.9523,-79.426
2000-04-04,506.12,-1.9223,-9.4662,-15.8766,5.7987,,,101.954,-79.8215
2000-04-05,518.04,2.3552,-4.5967,-13.0032,8.1887,,,104.3552,-79.3463
2000-04-06,532.5,2.7913,0.175,-10.456,12.0251,,,107.268,-78.7698
2000-04-07,542.99,1.97,0.7234,-10.4051,11.1978,,,109.3812,-78.3516
2000-04-10,518.66,-4.4807,0.5077,-14.1021,3.3414,,,104.4801,-79.3216
2000-04-11,510.13,-1.6446,0.7923,-13.5578,3.5566,,,102.7618,-79.6617
2000-04-12,493.44,-3.2717,-4.7487,-13.8833,0.6938,,,99.3997,-80.3271
2000-04-13,489.22,-0.8552,-8.1277,-12.4626,-2.3883,,,98.5496,-80.4953
2000-04-14,453.72,-7.2564,-16.4404,-20.9877,-10.6076,,,91.3984,-81.9107
2000-04-17,459.26,1.221,-11.4526,-20.0967,-10.5558,,,92.5144,-81.6898
2000-04-18,486.09,5.842,-4.7125,-11.4913,-6.5248,,,97.9191,-80.6201
2000-04-19,486.23,0.0288,-1.4612,-12.0407,-7.7852,,,97.9473,-80.6145
2000-04-20,481.84,-0.9029,-1.5085,-15.6428,-9.7577,,,97.063,-80.7896
2000-04-24,468.54,-2.7602,3.2663,-18.3429,-10.4044,,,94.3838,-81.3198
2000-04-25,489.03,4.3732,6.4822,-14.8046,-6.2425,,,98.5113,-80.5029
2000-04-26,484.24,-0.9795,-0.3806,-15.5862,-7.0628,,,97.5464,-80.6939
2000-04-27,494.58,2.1353,1.7173,-11.5305,-4.3403,,,99.6293,-80.2816
2000-04-28,506.25,2.3596,5.066,-6.768,0.323,,,101.9802,-79.8164
2000-05-01,518.93,2.5047,10.7547,-2.3779,4.5745,,,104.5345,-79.3108
2000-05-02,505.35,-2.6169,3.3372,-6.2587,0.3176,,,101.7989,-79.8522
2000-05-03,495.56,-1.9373,2.3377,-3.9687,-2.8104,,,99.8268,-80.2426
2000-05-04,501.91,1.2814,1.4821,-0.8318,-3.7805,,,101.1059,-79.9894
2000-05-05,512.84,2.1777,1.3017,-1.0038,-2.4128,,,103.3077,-79.5536
2000-05-08,500.08,-2.4881,-3.6325,-6.0883,-6.0689,,,100.7373,-80.0624
2000-05-09,490.86,-1.8437,-2.8673,-9.6005,-8.6755,,,98.88,-80.4299
2000-05-10,474.28,-3.3777,-4.2941,-8.5567,-11.5149,,,95.5401,-81.091
2000-05-11,489.39,3.1859,-2.4945,-4.0656,-9.7416,,,98.5839,-80.4886
2000-05-12,490.94,0.3167,-4.2703,-0.5066,-8.5943,,,98.8961,-80.4268
2000-05-15,497.81,1.3994,-0.4539,1.7559,-7.8027,,,100.28,-80.1529
2000-05-16,505.98,1.6412,3.0803,11.5181,-6.3416,,,101.9258,-79.8271
2000-05-17,499.66,-1.2491,5.3513,8.7968,-8.7812,,,100.6527,-80.0791
2000-05-18,490.95,-1.7432,0.3188,0.9998,-12.0823,,,98.8981,-80.4264
2000-05-19,479.7,-2.2915,-2.2895,-1.343,-12.0913,,,96.6319,-80.8749
2000-05-22,471.67,-1.674,-5.251,-2.1107,-12.8071,,,95.0143,-81.195
2000-05-23,459.01,-2.6841,-9.283,-2.034,-16.53,,,92.464,-81.6998
2000-05-24,461.74,0.5948,-7.5892,-5.5804,-16.6594,,,93.014,-81.5909
2000-05-25,456.17,-1.2063,-7.0842,-5.7967,-18.0641,,,91.8919,-81.813
2000-05-26,457.37,0.2631,-4.655,-7.5236,-17.987,,,92.1337,-81.7652
2000-05-30,476.7,4.2263,1.0664,-5.837,-17.4846,,,96.0276,-80.9945
2000-05-31,476.18,-0.1091,3.7407,-8.2381,-19.0652,,,95.9228,-81.0152
2000-06-01,492.47,3.421,6.6553,-2.5487,-15.6787,,,99.2043,-80.3658
2000-06-02,513.03,4.1749,12.4647,3.5253,-14.1918,,,103.346,-79.5461
2000-06-05,513.3,0.0526,12.2286,2.2693,-14.6832,,,103.4003,-79.5353
2000-06-06,511.65,-0.3214,7.3317,-0.232,-14.0763,,,103.068,-79.6011
2000-06-07,516.54,0.9557,8.4758,3.2915,-13.1398,,,104.053,-79.4061
2000-06-08,514.54,-0.3872,4.4815,4.8242,-15.0994,,,103.6501,-79.4859
2000-06-09,523.06,1.6559,1.955,10.2851,-13.3734,,,105.3664,-79.1462
2000-06-12,508.51,-2.7817,-0.9332,3.9069,-13.8323,,,102.4354,-79.7263
2000-06-13,513.75,1.0305,0.4104,4.6462,-10.3387,,,103.491,-79.5173
2000-06-14,509.67,-0.7942,-1.33,2.3824,-8.8035,,,102.6691,-79.68
2000-06-15,512.25,0.5062,-0.4451,1.2392,-10.7951,,,103.1888,-79.5772
2000-06-16,513.74,0.2909,-1.7818,2.8179,-10.6182,,,103.489,-79.5177
2000-06-19,522.79,1.7616,2.8082,6.4854,-4.8088,,,105.312,-79.1569
2000-06-20,525.69,0.5547,2.3241,9.5872,-4.9024,,,105.8962,-79.0413
2000-06-21,527.61,0.3652,3.5199,11.86,-7.6297,,,106.283,-78.9648
2000-06-22,515.01,-2.3881,0.5388,12.2002,-10.2442,,,103.7448,-79.4671
2000-06-23,510.41,-0.8932,-0.6482,10.5406,-11.0799,,,102.8182,-79.6505
2000-06-26,516.36,1.1657,-1.2299,13.1946,-9.9869,,,104.0168,-79.4133
2000-06-27,508.08,-1.6035,-3.3499,11.0873,-9.1156,,,102.3488,-79.7434
2000-06-28,520.99,2.5409,-1.2547,9.291,-4.0534,,,104.9494,-79.2287
2000-06-29,512.58,-1.6142,-0.4718,7.6442,-3.5724,,,103.2553,-79.564
2000-06-30,517.23,0.9072,1.3362,5.0277,-4.055,,,104.192,-79.3786
2000-07-03,524.04,1.3166,1.4873,2.1461,1.5503,5.5638,,105.5638,-79.1071
2000-07-05,518.25,-1.1049,2.0017,0.9644,2.3967,8.3344,,104.3975,-79.3379
2000-07-06,523.32,0.9783,0.4472,2.2809,1.0192,9.2914,,105.4188,-79.1358
2000-07-07,528.22,0.9363,3.0512,2.2612,-0.8038,11.1247,,106.4059,-78.9404
2000-07-10,530.83,0.4941,2.6294,3.1659,-2.2394,8.7076,,106.9316,-78.8364
2000-07-11,529.74,-0.2053,1.0877,1.2771,2.1363,5.549,,106.7121,-78.8798
2000-07-12,540.25,1.984,4.2451,6.2418,5.9044,9.6709,,108.8292,-78.4608
2000-07-13,542.76,0.4646,3.7147,5.6467,9.9951,10.7583,,109.3348,-78.3607
2000-07-14,542.63,-0.024,2.728,6.4669,10.9174,8.2683,,109.3086,-78.3659
2000-07-17,545.18,0.4699,2.7033,6.4285,20.1578,7.4119,,109.8223,-78.2643
2000-07-18,536.28,-1.6325,1.2346,4.3874,16.7705,4.4444,,108.0295,-78.6191
2000-07-19,527.86,-1.5701,-2.2934,0.9698,8.5931,1.5076,,106.3333,-78.9548
2000-07-20,534.75,1.3053,-1.4758,1.7234,9.9788,1.4167,,107.7213,-78.6801
2000-07-21,522.7,-2.2534,-3.6729,-0.9306,8.48,-2.1051,,105.2939,-79.1605
2000-07-24,514.25,-1.6166,-5.6734,-0.1476,9.7558,-1.6636,,103.5917,-79.4974
2000-07-25,514.33,0.0156,-4.093,0.768,5.1735,-1.3919,,103.6078,-79.4942
2000-07-26,513.81,-0.1011,-2.6617,-0.4938,6.1065,-1.3876,,103.5031,-79.515
2000-07-27,501.61,-2.3744,-6.1973,-1.2734,1.4214,-2.9805,,101.0455,-80.0014
2000-07-28,490.22,-2.2707,-6.2139,-5.9061,-3.1664,-2.8536,,98.7511,-80.4555
2000-07-31,500.64,2.1256,-2.6466,-2.3294,-3.5246,0.8887,,100.8501,-80.04
2000-08-01,497.77,-0.5733,-3.2197,-3.7623,-1.5,-1.1871,,100.2719,-80.1545
2000-08-02,500.22,0.4922,-2.6449,-4.5455,0.9404,-1.8965,,100.7655,-80.0568
2000-08-03,499.45,-0.1539,-0.4306,-3.6276,-0.4901,-4.2521,,100.6104,-80.0875
2000-08-04,503.63,0.8369,2.7355,-3.7625,-1.7959,-4.1654,,101.4524,-79.9208
2000-08-07,509.87,1.239,1.8436,-3.4739,1.9577,-4.23,,102.7094,-79.672
2000-08-08,508.72,-0.2255,2.1998,-4.1652,3.6385,-5.3527,,102.4777,-79.7179
2000-08-09,507.5,-0.2398,1.4554,-4.1983,7.0043,-5.3172,,102.232,-79.7665
2000-08-10,501.65,-1.1527,0.4405,-7.1448,2.5052,-7.4805,,101.0535,-79.9998
2000-08-11,510.27,1.7183,1.3184,-5.9861,3.9373,-4.9953,,102.79,-79.6561
2000-08-14,514.48,0.8251,0.9041,-5.1877,3.3487,-4.7153,,103.638,-79.4882
2000-08-15,509.93,-0.8844,0.2379,-6.4658,0.7807,-5.6105,,102.7215,-79.6696
2000-08-16,512.74,0.5511,1.0325,-4.3895,2.6178,-6.3933,,103.2875,-79.5576
2000-08-17,516.46,0.7255,2.9523,-2.1597,5.1961,-7.5141,,104.0369,-79.4093
2000-08-18,515.51,-0.1839,1.0269,-3.5979,7.4651,-5.5289,,103.8455,-79.4472
2000-08-21,516.45,0.1823,0.3829,-1.1957,9.4939,-4.5291,,104.0349,-79.4097
2000-08-22,517.46,0.1956,1.4767,0.6242,12.7339,-5.901,,104.2383,-79.3694
2000-08-23,517.88,0.0812,1.0025,0.6902,12.1584,-6.5266,,104.323,-79.3527
2000-08-24,523.3,1.0466,1.3244,1.847,14.716,-6.0064,,105.4148,-79.1366
2000-08-25,525.11,0.3459,1.8622,4.6849,14.8108,-5.8403,,105.7794,-79.0644
2000-08-28,526.48,0.2609,1.9421,7.3967,10.4426,-8.8678,,106.0553,-79.0098
2000-08-29,529.63,0.5983,2.3519,5.7906,11.2247,-9.9804,,106.6899,-78.8842
2000-08-30,532.33,0.5098,2.7902,6.943,8.0939,-8.8538,,107.2338,-78.7766
2000-08-31,537.89,1.0445,2.7881,7.5307,4.8457,-10.0338,,108.3538,-78.5549
2000-09-01,541.91,0.7474,3.1993,8.5013,5.5737,-9.9279,,109.1636,-78.3946
2000-09-05,539.02,-0.5333,2.3819,7.027,5.3494,-9.4799,,108.5814,-78.5099
2000-09-06,536.32,-0.5009,1.2631,5.1876,3.8293,-9.8137,,108.0375,-78.6175
2000-09-07,542.82,1.212,1.9706,6.7031,5.4962,-10.4331,,109.3469,-78.3584
2000-09-08,535.7,-1.3117,-0.4071,5.5567,2.4166,-11.28,,107.9127,-78.6422
2000-09-11,533.62,-0.3883,-1.5298,6.373,4.938,-9.5774,,107.4937,-78.7252
2000-09-12,532.43,-0.223,-1.2226,4.3428,3.636,-7.0787,,107.2539,-78.7726
2000-09-13,534.0,0.2949,-0.4326,3.7941,4.7737,-4.4501,,107.5702,-78.71
2000-09-14,539.21,0.9757,-0.665,5.742,5.2631,-6.1002,,108.6197,-78.5023
2000-09-15,530.88,-1.5449,-0.8998,3.5379,3.3363,-7.6361,,106.9417,-78.8344
2000-09-18,516.68,-2.6748,-3.1745,0.0426,-1.1687,-5.9213,,104.0812,-79.4005
2000-09-19,523.31,1.2832,-1.7129,1.5131,-0.4527,-5.3329,,105.4168,-79.1362
2000-09-20,521.43,-0.3593,-2.3539,0.9643,-1.1713,-8.7116,,105.0381,-79.2112
2000-09-21,514.36,-1.3559,-4.6086,-0.5991,-0.1262,-10.3574,,103.6139,-79.493
2000-09-22,518.82,0.8671,-2.2717,0.1815,1.6477,-9.6148,,104.5123,-79.3152
2000-09-25,515.38,-0.663,-0.2516,-1.5135,-0.1898,-10.1578,,103.8193,-79.4524
2000-09-26,509.9,-1.0633,-2.5625,-2.8965,0.3582,-8.7901,,102.7154,-79.6708
2000-09-27,508.13,-0.3471,-2.5507,-3.4854,-2.4684,-6.4217,,102.3589,-79.7414
2000-09-28,523.74,3.072,1.8236,-1.1121,2.1772,-1.473,,105.5034,-79.1191
2000-09-29,521.37,-0.4525,0.4915,-2.0589,0.8004,-3.287,,105.026,-79.2135
2000-10-02,511.67,-1.8605,-0.7199,-4.8746,-2.3605,-0.8468,,103.072,-79.6003
2000-10-03,504.67,-1.3681,-1.0257,-6.872,-2.6204,-0.2865,,101.6619,-79.8794
2000-10-04,507.49,0.5588,-0.126,-5.8495,-3.0249,-2.0365,,102.23,-79.7669
2000-10-05,502.67,-0.9498,-4.023,-6.2742,-4.837,-5.6019,,101.259,-79.9591
2000-10-06,491.02,-2.3176,-5.8212,-9.5428,-7.4996,-9.5711,,98.9122,-80.4236
2000-10-09,489.53,-0.3034,-4.327,-8.6186,-7.5905,-5.6164,,98.6121,-80.483
2000-10-10,481.63,-1.6138,-4.5654,-9.7429,-10.8505,-5.5868,,97.0207,-80.7979
2000-10-11,474.74,-1.4306,-6.4533,-10.8352,-12.5322,-3.7897,,95.6327,-81.0726
2000-10-12,462.97,-2.4792,-7.8978,-13.3015,-14.6804,-5.3657,,93.2618,-81.5419
2000-10-13,480.39,3.7627,-2.1649,-10.9086,-11.8841,5.8781,,96.7709,-80.8474
2000-10-16,481.75,0.2831,-1.5893,-9.2544,-10.1682,4.897,,97.0448,-80.7932
2000-10-17,470.88,-2.2564,-2.232,-8.8643,-10.7945,-3.129,,94.8552,-81.2265
2000-10-18,466.21,-0.9918,-1.7968,-10.9113,-12.8172,-4.1174,,93.9144,-81.4127
2000-10-19,481.3,3.2367,3.9592,-7.6961,-7.9204,-0.1121,,96.9542,-80.8111
2000-10-20,487.45,1.2778,1.4696,-5.2317,-5.2115,4.0359,,98.1931,-80.5659
2000-10-23,489.96,0.5149,1.7042,-5.5626,-4.7382,0.1902,,98.6987,-80.4658
2000-10-24,487.87,-0.4266,3.6081,-5.3378,-5.0486,0.7496,,98.2777,-80.5492
2000-10-25,475.21,-2.595,1.9305,-6.8033,-5.2631,-3.9165,,95.7274,-81.0539
2000-10-26,479.76,0.9575,-0.32,-5.5832,-2.1337,-5.2326,,96.644,-80.8725
2000-10-27,479.85,0.0188,-1.5591,-8.3801,-4.1527,-7.5309,,96.6621,-80.8689
2000-10-30,482.72,0.5981,-1.4777,-7.4132,-3.0235,-4.4781,,97.2402,-80.7545
2000-10-31,497.68,3.0991,2.0108,-2.7342,-0.5078,0.4278,,100.2538,-80.158
2000-11-01,495.18,-0.5023,4.2024,-1.8804,-0.8549,-1.3409,,99.7502,-80.2577
2000-11-02,506.97,2.381,5.6716,-0.1025,0.6632,-1.1446,,102.1252,-79.7877
2000-11-03,507.75,0.1539,5.8143,1.0106,-0.4158,1.5338,,102.2823,-79.7566
2000-11-06,503.96,-0.7464,4.4001,2.6353,-0.9357,2.6688,,101.5189,-79.9077
2000-11-07,506.01,0.4068,1.6738,3.3665,-0.2936,6.6901,,101.9318,-79.8259
2000-11-08,500.68,-1.0533,1.1107,3.9553,-0.1934,2.3069,,100.8581,-80.0384
2000-11-09,495.33,-1.0685,-2.296,4.3371,-2.9279,0.8942,,99.7804,-80.2517
2000-11-10,480.9,-2.9132,-5.288,3.8728,-6.527,-3.3969,,96.8736,-80.827
2000-11-13,476.55,-0.9046,-5.4389,-0.7994,-6.546,-5.8164,,95.9973,-81.0005
2000-11-14,486.91,2.174,-3.7746,1.0711,-5.0376,-2.5517,,98.0843,-80.5874
2000-11-15,491.79,1.0022,-1.7756,4.4406,-4.7768,0.1711,,99.0673,-80.3929
2000-11-16,481.64,-2.0639,-2.7638,3.3097,-6.5702,0.4044,,97.0227,-80.7975
2000-11-17,482.61,0.2014,0.3556,0.2722,-6.5524,2.3194,,97.2181,-80.7589
2000-11-20,470.24,-2.5631,-1.3241,-3.5306,-9.1253,2.4466,,94.7262,-81.252
2000-11-21,466.79,-0.7337,-4.1322,-4.729,-9.8652,1.0937,,94.0313,-81.3896
2000-11-22,457.9,-1.9045,-6.8912,-6.143,-12.4976,0.3792,,92.2404,-81.744
2000-11-24,471.87,3.0509,-2.0285,-0.7028,-10.1388,3.1703,,95.0546,-81.1871
2000-11-27,471.7,-0.036,-2.2606,-1.68,-10.4049,-1.0489,,95.0203,-81.1938
2000-11-28,459.02,-2.6882,-2.386,-4.3409,-13.332,-3.6037,,92.4661,-81.6994
2000-11-29,454.6,-0.9629,-2.6115,-5.8253,-14.6018,-7.6898,,91.5757,-81.8756
2000-11-30,445.94,-1.905,-2.6119,-10.3962,-17.0946,-13.0772,,89.8312,-82.2209
2000-12-01,456.84,2.4443,-3.1852,-7.7426,-15.6982,-10.9994,,92.0269,-81.7863
2000-12-04,450.39,-1.4119,-4.5177,-11.1604,-16.4428,-11.973,,90.7276,-82.0434
