date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2018-06-19,46.2041,,,,,,,100.0,-60.2462
2018-06-20,46.7775,1.241,,,,,,101.241,-59.7529
2018-06-21,46.4908,-0.6129,,,,,,100.6205,-59.9996
2018-06-22,46.6943,0.4376,,,,,,101.0608,-59.8245
2018-06-25,45.7324,-2.0598,,,,,,98.9792,-60.6521
2018-06-26,45.8083,0.1658,-0.8567,,,,,99.1433,-60.5868
2018-06-27,45.4088,-0.8722,-2.926,,,,,98.2786,-60.9306
2018-06-28,45.8619,0.998,-1.3527,,,,,99.2594,-60.5407
2018-06-29,45.8064,-0.121,-1.9014,,,,,99.1393,-60.5884
2018-07-02,46.0931,0.6259,0.7887,,,,,99.7598,-60.3417
2018-07-03,45.529,-1.2239,-0.6097,,,,,98.5388,-60.8271
2018-07-05,46.2226,1.5235,1.7923,,,,,100.0401,-60.2303
2018-07-06,46.9532,1.5806,2.3795,,,,,101.6213,-59.6017
2018-07-09,47.2214,0.5712,3.089,,,,,102.2018,-59.371
2018-07-10,47.202,-0.0411,2.4057,,,,,102.1597,-59.3877
2018-07-11,47.1382,-0.1352,3.5344,,,,,102.0216,-59.4426
2018-07-12,47.878,1.5695,3.5814,,,,,103.6229,-58.806
2018-07-13,47.8041,-0.1545,1.8121,,,,,103.4628,-58.8697
2018-07-16,47.6653,-0.2902,0.9401,,,,,103.1625,-58.989
2018-07-17,47.6746,0.0194,1.0012,,,,,103.1826,-58.9811
2018-07-18,47.5359,-0.291,0.8437,,,,,102.8823,-59.1004
2018-07-19,47.2029,-0.7004,-1.4101,2.1617,,,,102.1617,-59.3869
2018-07-20,47.0457,-0.3331,-1.5864,0.5734,,,,101.8215,-59.5221
2018-07-23,47.2399,0.4128,-0.8925,1.6113,,,,102.2418,-59.355
2018-07-24,47.5728,0.7048,-0.2134,1.8816,,,,102.9624,-59.0686
2018-07-25,47.915,0.7193,0.7976,4.7725,,,,103.703,-58.7742
2018-07-26,46.1079,-3.7715,-2.3198,0.6541,,,,99.7918,-60.329
2018-07-27,45.2331,-1.8974,-3.853,-0.3869,,,,97.8983,-61.0817
