date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,20.351,,,,,,,100.0,-86.8016
2000-01-04,19.8892,-2.2692,,,,,,97.7308,-87.1011
2000-01-05,19.7108,-0.8971,,,,,,96.854,-87.2169
2000-01-06,19.7737,0.3195,,,,,,97.1635,-87.176
2000-01-07,20.0151,1.2208,,,,,,98.3497,-87.0195
2000-01-10,22.0618,10.2254,8.4063,,,,,108.4063,-85.6921
2000-01-11,21.474,-2.6641,7.9684,,,,,105.5183,-86.0733
2000-01-12,21.1172,-1.6618,7.1353,,,,,103.7648,-86.3047
2000-01-13,21.7469,2.9821,9.9787,,,,,106.8592,-85.8963
2000-01-14,21.558,-0.8687,7.7084,,,,,105.9309,-86.0189
2000-01-18,21.1592,-1.8501,-4.0913,,,,,103.9711,-86.2775
2000-01-19,21.6629,2.3809,0.8797,,,,,106.4466,-85.9508
2000-01-20,21.495,-0.7752,1.7893,,,,,105.6214,-86.0597
2000-01-21,21.453,-0.1953,-1.3513,,,,,105.4151,-86.0869
2000-01-24,20.8128,-2.9843,-3.4566,,,,,102.2692,-86.5021
2000-01-25,20.9597,0.706,-0.9425,,,,,102.9912,-86.4068
2000-01-26,20.8653,-0.4507,-3.6822,,,,,102.5271,-86.4681
2000-01-27,20.7393,-0.6036,-3.5156,,,,,101.9082,-86.5498
2000-01-28,20.3195,-2.0243,-5.2838,,,,,99.8452,-86.8221
2000-01-31,20.225,-0.4648,-2.824,,,,,99.3811,-86.8833
2000-02-01,20.4874,1.2973,-2.2534,,,,,100.6704,-86.7131
2000-02-02,20.9912,2.4591,0.6036,3.1459,,,,103.1459,-86.3864
2000-02-03,21.1802,0.9,2.1255,6.4908,,,,104.0743,-86.2639
2000-02-04,21.2536,0.3468,4.5971,7.8275,,,,104.4352,-86.2163
2000-02-07,20.9073,-1.6296,3.3731,5.7324,,,,102.7333,-86.4409
2000-02-08,21.1382,1.1044,3.1762,5.6109,,,,103.8679,-86.2911
2000-02-09,20.7603,-1.7875,-1.1,-5.8991,,,,102.0113,-86.5362
2000-02-10,20.5819,-0.8594,-2.8246,-4.1544,,,,101.1346,-86.6519
2000-02-11,20.5924,0.0509,-3.1111,-2.4851,,,,101.1861,-86.6451
2000-02-14,20.2145,-1.8349,-3.3133,-7.0463,,,,99.3295,-86.8901
2000-02-15,20.0571,-0.7788,-5.1142,-6.962,,,,98.556,-86.9922
2000-02-16,19.4904,-2.8257,-6.1173,-7.8869,,,,95.771,-87.3598
2000-02-17,19.4799,-0.0538,-5.3544,-10.0775,,,,95.7194,-87.3666
2000-02-18,18.9446,-2.7479,-8.002,-11.8652,,,,93.0892,-87.7137
2000-02-22,18.8081,-0.7202,-6.9574,-12.3288,,,,92.4187,-87.8022
2000-02-23,19.102,1.5625,-4.7619,-8.2199,,,,93.8628,-87.6116
2000-02-24,18.9551,-0.7692,-2.7463,-9.5643,,,,93.1408,-87.7069
2000-02-25,18.3673,-3.1008,-5.7112,-11.9718,,,,90.2527,-88.0881
2000-02-28,18.6927,1.7714,-1.3297,-9.8685,,,,91.8514,-87.8771
2000-02-29,18.9026,1.123,0.5022,-6.9731,,,,92.8829,-87.741
2000-03-01,19.06,0.8328,-0.2198,-5.7603,,,,93.6565,-87.6389
2000-03-02,18.9761,-0.4404,0.1108,-7.377,,,,93.244,-87.6933
2000-03-03,19.2385,1.3827,4.7428,-8.35,,,,94.5332,-87.5232
2000-03-06,18.8606,-1.964,0.8984,-10.9515,,,,92.6766,-87.7682
2000-03-07,18.5143,-1.8363,-2.0544,-12.8888,,,,90.9748,-87.9928
2000-03-08,18.4198,-0.5102,-3.359,-11.8975,,,,90.5106,-88.0541
2000-03-09,18.8501,2.3361,-0.6638,-10.8242,,,,92.625,-87.775
2000-03-10,18.6927,-0.8352,-2.8369,-9.9596,,,,91.8514,-87.8771
2000-03-13,18.5562,-0.7299,-1.6138,-9.8419,,,,91.181,-87.9656
2000-03-14,18.6087,0.2828,0.5102,-9.633,,,,91.4389,-87.9316
2000-03-15,18.7032,0.5076,1.5384,-7.4766,,,,91.903,-87.8703
2000-03-16,19.6688,5.1627,4.343,-1.9362,,,,96.6477,-87.2441
2000-03-17,19.6898,0.1067,5.3341,1.0231,,,,96.7509,-87.2305
2000-03-20,20.0676,1.9189,8.1448,3.0172,,,,98.6075,-86.9854
2000-03-21,20.1936,0.6276,8.5166,6.5928,,,,99.2264,-86.9037
2000-03-22,20.7079,2.5468,10.7183,10.1005,,,,101.7535,-86.5702
2000-03-23,20.7918,0.4054,5.7097,8.8461,,,,102.166,-86.5158
2000-03-24,20.9702,0.8582,6.5032,10.6312,,,,103.0428,-86.4
2000-03-27,20.8233,-0.7007,3.7657,13.3714,,,,102.3208,-86.4953
2000-03-28,20.8443,0.1008,3.2225,11.5105,,,,102.4239,-86.4817
2000-03-29,20.5294,-1.5106,-0.8617,8.6063,,,,100.8767,-86.6859
2000-03-30,20.2355,-1.4315,-2.6754,6.1675,,,,99.4327,-86.8765
2000-03-31,20.6029,1.8153,-1.7518,8.5729,,,,101.2377,-86.6383
2000-04-03,20.5924,-0.0509,-1.1089,7.0376,1.1861,,,101.1861,-86.6451
2000-04-04,20.3615,-1.1213,-2.3162,7.9577,2.3747,,,100.0516,-86.7948
2000-04-05,20.225,-0.6701,-1.4826,9.2403,2.6092,,,99.3811,-86.8833
2000-04-06,20.6134,1.9201,1.8672,11.9088,4.2463,,,101.2893,-86.6315
2000-04-07,20.6659,0.2546,0.3057,9.6326,3.2512,,,101.5472,-86.5974
2000-04-10,20.5294,-0.6602,-0.3058,9.826,-6.9457,,,100.8767,-86.6859
2000-04-11,20.7079,0.8692,1.7011,11.595,-3.5679,,,101.7535,-86.5702
2000-04-12,20.33,-1.8247,0.5189,9.2499,-3.7276,,,99.8968,-86.8152
2000-04-13,19.8157,-2.5297,-3.8697,5.9484,-8.8803,,,97.3698,-87.1488
2000-04-14,18.6192,-6.0381,-9.9035,-5.3362,-13.6319,,,91.4904,-87.9248
2000-04-17,18.7766,0.8455,-8.5378,-4.6375,-11.2599,,,92.264,-87.8227
2000-04-18,19.2909,2.739,-6.8424,-3.8703,-10.9496,,,94.7911,-87.4891
2000-04-19,19.7947,2.6116,-2.6329,-1.975,-7.9101,,,97.2667,-87.1624
2000-04-20,19.8787,0.4241,0.3178,-4.0041,-7.3385,,,97.6792,-87.1079
2000-04-24,19.5953,-1.4255,5.2424,-5.7546,-5.8497,,,96.2868,-87.2917
2000-04-25,20.0886,2.5173,6.9871,-4.2042,-4.1563,,,98.7106,-86.9718
2000-04-26,20.2985,1.0449,5.2231,-2.5202,-2.7163,,,99.7421,-86.8357
2000-04-27,20.1726,-0.6205,1.9088,-3.2226,-2.7328,,,99.1232,-86.9174
2000-04-28,20.3615,0.9365,2.4287,-0.818,0.2066,,,100.0516,-86.7948
2000-05-01,20.4245,0.3093,4.2314,0.9336,0.986,,,100.361,-86.754
