date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,18.0749,,,,,,,100.0,-88.5266
2000-01-04,17.5755,-2.7628,,,,,,97.2372,-88.8436
2000-01-05,17.4972,-0.4457,,,,,,96.8039,-88.8933
2000-01-06,17.7322,1.3431,,,,,,98.1041,-88.7441
2000-01-07,18.4078,3.81,,,,,,101.8418,-88.3153
2000-01-10,18.4078,0.0,1.8418,,,,,101.8418,-88.3153
2000-01-11,18.1728,-1.2766,3.3983,,,,,100.5417,-88.4645
2000-01-12,17.9574,-1.1853,2.6301,,,,,99.3499,-88.6012
2000-01-13,18.3001,1.9084,3.2026,,,,,101.2459,-88.3837
2000-01-14,18.1728,-0.6956,-1.2766,,,,,100.5417,-88.4645
2000-01-18,18.1532,-0.1077,-1.383,,,,,100.4333,-88.4769
2000-01-19,18.0945,-0.3236,-0.431,,,,,100.1083,-88.5142
2000-01-20,17.977,-0.6494,0.109,,,,,99.4582,-88.5888
2000-01-21,17.7518,-1.2527,-2.9963,,,,,98.2123,-88.7317
2000-01-24,17.2426,-2.8681,-5.1185,,,,,95.3954,-89.0549
2000-01-25,17.1447,-0.5678,-5.5555,,,,,94.8537,-89.1171
2000-01-26,17.2818,0.7995,-4.4913,,,,,95.6121,-89.03
2000-01-27,17.3797,0.5665,-3.3225,,,,,96.1538,-88.9679
2000-01-28,16.9195,-2.6479,-4.6884,,,,,93.6077,-89.26
2000-01-31,17.037,0.6945,-1.1925,,,,,94.2578,-89.1854
2000-02-01,16.9195,-0.6897,-1.3136,,,,,93.6077,-89.26
2000-02-02,16.9293,0.0579,-2.0397,-6.338,,,,93.662,-89.2538
2000-02-03,16.9195,-0.0579,-2.6479,-3.7326,,,,93.6077,-89.26
2000-02-04,16.988,0.4051,0.4051,-2.9099,,,,93.987,-89.2165
2000-02-07,16.6943,-1.7291,-2.0115,-5.8532,,,,92.3618,-89.403
2000-02-08,16.7628,0.4106,-0.9259,-8.9362,,,,92.741,-89.3595
2000-02-09,16.5866,-1.0514,-2.0243,-9.8937,,,,91.7659,-89.4713
