date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,7.2283,,,,,,,100.0,-84.2576
2000-01-04,7.1587,-0.9627,,,,,,99.0373,-84.4091
2000-01-05,7.4544,4.1313,,,,,,103.1288,-83.765
2000-01-06,7.6458,2.5671,,,,,,105.7762,-83.3483
2000-01-07,7.6414,-0.0569,,,,,,105.716,-83.3577
2000-01-10,7.6153,-0.3415,5.355,,,,,105.355,-83.4146
2000-01-11,7.524,-1.1994,5.1033,,,,,104.0914,-83.6135
2000-01-12,7.4153,-1.4451,-0.5252,,,,,102.5872,-83.8503
2000-01-13,7.4457,0.4106,-2.6166,,,,,103.0084,-83.784
2000-01-14,7.3935,-0.701,-3.2442,,,,,102.2864,-83.8977
2000-01-18,7.2152,-2.4118,-5.2542,,,,,99.8195,-84.286
2000-01-19,7.076,-1.9288,-5.9537,,,,,97.8941,-84.5891
2000-01-20,6.889,-2.6429,-7.0967,,,,,95.3069,-84.9964
2000-01-21,6.9195,0.4419,-7.0677,,,,,95.7281,-84.9301
2000-01-24,6.7368,-2.6398,-8.8823,,,,,93.201,-85.3279
2000-01-25,6.6107,-1.8722,-8.3785,,,,,91.4561,-85.6026
2000-01-26,6.6107,0.0,-6.5766,,,,,91.4561,-85.6026
2000-01-27,6.6455,0.5263,-3.5354,,,,,91.9374,-85.5268
2000-01-28,6.5324,-1.7016,-5.594,,,,,90.3731,-85.7731
2000-01-31,6.4933,-0.5992,-3.6152,,,,,89.8316,-85.8583
2000-02-01,6.6107,1.8084,0.0,,,,,91.4561,-85.6026
2000-02-02,6.6411,0.4606,0.4606,-8.1227,,,,91.8773,-85.5363
2000-02-03,6.528,-1.7027,-1.767,-8.8092,,,,90.3129,-85.7826
2000-02-04,6.5194,-0.1332,-0.1997,-12.5437,,,,90.1926,-85.8015
2000-02-07,6.3932,-1.9346,-1.5405,-16.3822,,,,88.4477,-86.0762
2000-02-08,6.3758,-0.2721,-3.5526,-16.5623,,,,88.207,-86.1141
2000-02-09,6.2497,-1.9782,-5.8939,-17.9326,,,,86.4621,-86.3888
2000-02-10,6.1975,-0.835,-5.0633,-17.63,,,,85.7401,-86.5024
2000-02-11,6.0453,-2.4561,-7.2715,-18.475,,,,83.6342,-86.834
2000-02-14,6.1453,1.6546,-3.8776,-17.4649,,,,85.0181,-86.6161
2000-02-15,6.4106,4.317,0.5456,-13.2941,,,,88.6883,-86.0383
2000-02-16,6.2628,-2.3066,0.2088,-13.2006,,,,86.6426,-86.3604
2000-02-17,6.2497,-0.2084,0.8421,-11.678,,,,86.4621,-86.3888
2000-02-18,6.0583,-3.0619,0.2158,-12.0581,,,,83.8147,-86.8055
2000-02-22,6.2497,3.1586,1.6985,-9.6795,,,,86.4621,-86.3888
2000-02-23,6.1801,-1.1134,-3.5956,-8.2634,,,,85.4994,-86.5403
2000-02-24,5.9583,-3.589,-4.8612,-9.8684,,,,82.4308,-87.0234
2000-02-25,5.8626,-1.6058,-6.1934,-11.3157,,,,81.1071,-87.2318
2000-02-28,5.88,0.2967,-2.9433,-11.5184,,,,81.3478,-87.1939
2000-02-29,5.8409,-0.6656,-6.5414,-10.5859,,,,80.8063,-87.2791
2000-03-01,5.78,-1.0424,-6.4743,-10.9846,,,,79.9639,-87.4117
2000-03-02,5.6539,-2.1821,-5.1095,-14.4737,,,,78.219,-87.6864
2000-03-03,5.8365,3.2307,-0.4451,-12.1153,,,,80.7461,-87.2886
2000-03-06,5.6974,-2.3845,-3.1065,-12.7249,,,,78.8207,-87.5917
2000-03-07,5.5147,-3.2061,-5.5845,-15.4103,,,,76.2936,-87.9895
2000-03-08,5.6321,2.1294,-2.5583,-11.9048,,,,77.9182,-87.7338
2000-03-09,5.6234,-0.1545,-0.5385,-11.8009,,,,77.7978,-87.7527
2000-03-10,5.6713,0.8508,-2.8316,-9.2554,,,,78.4597,-87.6485
2000-03-13,5.7582,1.5337,1.0687,-7.0878,,,,79.663,-87.4591
2000-03-14,5.6582,-1.7371,2.6025,-6.4029,,,,78.2792,-87.677
2000-03-15,5.9975,5.9954,6.4865,-2.4062,,,,82.9723,-86.9382
2000-03-16,6.3497,5.8738,12.9157,-0.9498,,,,87.846,-86.1709
2000-03-17,6.1381,-3.3328,8.2317,-1.9902,,,,84.9183,-86.6318
2000-03-20,6.2122,1.2074,7.8838,-0.5998,,,,85.9435,-86.4704
2000-03-21,6.2863,1.193,11.1008,3.7631,,,,86.9688,-86.309
2000-03-22,6.125,-2.5659,2.1272,-1.9949,,,,84.7373,-86.6603
2000-03-23,6.3125,3.0604,-0.5867,2.1418,,,,87.3306,-86.2521
2000-03-24,6.282,-0.4833,2.3437,5.4321,,,,86.9085,-86.3185
2000-03-27,6.2558,-0.4164,0.7017,6.7065,,,,86.5466,-86.3755
2000-03-28,6.1381,-1.8815,-2.3578,4.3892,,,,84.9183,-86.6318
2000-03-29,6.2645,2.0596,2.2776,7.2531,,,,86.6673,-86.3565
2000-03-30,6.4345,2.7139,1.9338,11.3244,,,,89.0194,-85.9862
2000-03-31,6.4302,-0.0677,2.3595,13.7307,,,,88.9591,-85.9957
2000-04-03,6.6394,3.2543,6.1325,13.7567,-8.1459,,,91.8541,-85.54
2000-04-04,6.5784,-0.9193,7.1733,15.4642,-8.1056,,,91.0097,-85.6729
2000-04-05,6.5261,-0.7952,4.1754,18.3401,-12.4532,,,90.286,-85.7868
2000-04-06,6.4869,-0.6013,0.813,15.176,-15.1576,,,89.7431,-85.8723
2000-04-07,6.3822,-1.6128,-0.7457,13.4938,-16.4784,,,88.2957,-86.1001
2000-04-10,6.5392,2.459,-1.5102,15.3036,-14.1314,,,90.4669,-85.7583
2000-04-11,6.6961,2.4,1.7893,16.2874,-11.0032,,,92.6381,-85.4165
2000-04-12,6.8705,2.6042,5.2772,21.425,-7.3466,,,95.0505,-85.0368
2000-04-13,6.6787,-2.7919,2.957,11.3586,-10.3017,,,92.3968,-85.4545
2000-04-14,6.3125,-5.4831,-1.093,-0.5867,-14.6215,,,87.3306,-86.2521
2000-04-17,6.3212,0.1382,-3.3333,2.9829,-12.3905,,,87.4513,-86.2331
2000-04-18,6.2035,-1.8621,-7.3568,-0.1404,-12.3309,,,85.8229,-86.4894
2000-04-19,6.125,-1.2649,-10.8503,-2.5659,-11.0901,,,84.7373,-86.6603
2000-04-20,6.2776,2.4911,-6.0052,2.4911,-9.2761,,,86.8482,-86.328
2000-04-24,6.2907,0.2083,-0.3452,-0.3452,-6.6221,,,87.0291,-86.2995
2000-04-25,6.2994,0.1386,-0.3449,0.2775,-4.7086,,,87.1497,-86.2805
2000-04-26,6.1904,-1.7301,-0.2108,-1.0453,-6.3573,,,85.642,-86.5179
2000-04-27,6.1686,-0.3521,0.7118,0.4972,-7.1755,,,85.3404,-86.5654
2000-04-28,6.2166,0.7774,-0.9722,-0.7655,-4.8346,,,86.0039,-86.4609
2000-05-01,6.2079,-0.1403,-1.3167,-3.523,-4.3953,,,85.8832,-86.4799
2000-05-02,6.3997,3.0899,1.5917,-0.4746,-3.1919,,,88.5369,-86.0622
2000-05-03,6.295,-1.6349,1.6901,-5.1872,-5.2112,,,87.0894,-86.29
2000-05-04,6.3604,1.0389,3.1096,-3.3134,-2.5675,,,87.9942,-86.1476
2000-05-05,6.3561,-0.0686,2.244,-2.6053,-2.5044,,,87.9338,-86.1571
2000-05-08,6.3212,-0.5487,1.8258,-2.5537,-1.1265,,,87.4513,-86.2331
2000-05-09,6.4345,1.7931,0.5449,0.8196,0.921,,,89.0194,-85.9862
2000-05-10,6.3561,-1.2195,0.9695,-2.8001,1.7021,,,87.9338,-86.1571
2000-05-11,6.4389,1.3032,1.2337,-3.8411,3.895,,,89.0797,-85.9767
2000-05-12,6.4607,0.3384,1.6461,-5.9645,6.8716,,,89.3812,-85.9292
2000-05-15,6.5741,1.7545,4.0,-1.5665,6.9765,,,90.9494,-85.6824
2000-05-16,6.5043,-1.061,1.084,3.0388,1.4614,,,89.9844,-85.8343
2000-05-17,6.5217,0.2681,2.6063,3.1724,4.1353,,,90.2256,-85.7963
2000-05-18,6.4694,-0.8021,0.4739,4.2867,3.5158,,,89.5019,-85.9102
2000-05-19,6.4869,0.2695,0.4049,5.9074,7.0732,,,89.7431,-85.8723
2000-05-22,6.452,-0.5376,-1.8568,2.7777,3.2367,,,89.2606,-85.9482
2000-05-23,6.3604,-1.4189,-2.2117,1.1088,2.9178,,,87.9942,-86.1476
2000-05-24,6.3343,-0.4113,-2.8743,0.5537,6.3101,,,87.6322,-86.2046
2000-05-25,6.1032,-3.6477,-5.6604,-1.4085,4.1039,,,84.4357,-86.7078
2000-05-26,6.0073,-1.5714,-7.3924,-2.6149,2.1649,,,83.1089,-86.9167
2000-05-30,6.0727,1.0885,-5.8784,-2.3142,3.9691,,,84.0136,-86.7742
2000-05-31,6.0204,-0.8614,-5.3462,-3.0197,4.1592,,,83.2898,-86.8882
2000-06-01,6.0378,0.2897,-4.68,-5.654,6.7913,,,83.5311,-86.8502
2000-06-02,6.1381,1.6607,0.5715,-2.493,5.167,,,84.9183,-86.6318
2000-06-05,6.0858,-0.8524,1.3062,-4.3181,6.8177,,,84.1945,-86.7458
2000-06-06,6.0945,0.1433,0.3589,-4.1152,10.514,,,84.3151,-86.7268
2000-06-07,5.9637,-2.1459,-0.9413,-5.6552,5.8877,,,82.5058,-87.0116
2000-06-08,5.955,-0.1461,-1.3718,-7.4525,5.8966,,,82.3852,-87.0306
2000-06-09,5.9463,-0.1464,-3.125,-6.4471,4.8495,,,82.2646,-87.0496
2000-06-12,5.9812,0.5864,-1.7192,-7.1091,3.8712,,,82.747,-86.9736
2000-06-13,5.8112,-2.8425,-4.6495,-10.0539,2.7028,,,80.3949,-87.3439
