date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2015-10-08,21.0441,,,,,,,100.0,-47.5345
2015-10-09,21.0093,-0.1655,,,,,,99.8345,-47.6213
2015-10-12,21.1416,0.63,,,,,,100.4634,-47.2914
2015-10-13,21.0093,-0.626,,,,,,99.8345,-47.6213
2015-10-14,21.0093,0.0,,,,,,99.8345,-47.6213
2015-10-15,20.9466,-0.2984,-0.4634,,,,,99.5366,-47.7776
2015-10-16,21.3451,1.9022,1.5982,,,,,101.43,-46.7842
2015-10-19,21.5944,1.1683,2.1417,,,,,102.615,-46.1625
2015-10-20,21.6153,0.0968,2.8846,,,,,102.7143,-46.1104
2015-10-21,21.6328,0.0806,2.9675,,,,,102.7971,-46.067
2015-10-22,21.9065,1.2655,4.5826,,,,,104.098,-45.3845
2015-10-23,21.6432,-1.202,1.3968,,,,,102.8467,-46.0409
2015-10-26,21.6711,0.1287,0.3548,,,,,102.9791,-45.9715
2015-10-27,21.6766,0.0257,0.2836,,,,,103.0056,-45.9576
2015-10-28,21.5979,-0.3631,-0.161,,,,,102.6316,-46.1538
2015-10-29,21.6961,0.4547,-0.9603,,,,,103.0983,-45.909
2015-10-30,21.5596,-0.6293,-0.3863,,,,,102.4495,-46.2494
2015-11-02,21.5596,0.0,-0.5143,,,,,102.4495,-46.2494
2015-11-03,21.8382,1.2924,0.7455,,,,,103.7736,-45.5547
2015-11-04,21.7477,-0.4146,0.6934,,,,,103.3433,-45.7804
2015-11-05,21.6641,-0.3844,-0.1477,,,,,102.946,-45.9888
2015-11-06,20.863,-3.6978,-3.231,-0.8607,,,,99.1393,-47.986
2015-11-09,20.6958,-0.8013,-4.0064,-1.492,,,,98.3449,-48.4028
2015-11-10,20.9187,1.0771,-4.2105,-1.0543,,,,99.4042,-47.8471
2015-11-11,20.9912,0.3463,-3.4785,-0.0862,,,,99.7484,-47.6665
2015-11-12,20.863,-0.6106,-3.6978,-0.6963,,,,99.1393,-47.986
2015-11-13,20.5913,-1.3022,-1.3022,-1.696,,,,97.8484,-48.6633
2015-11-16,20.5704,-0.1015,-0.6058,-3.629,,,,97.7491,-48.7154
2015-11-17,20.8909,1.5577,-0.1332,-3.258,,,,99.2718,-47.9166
2015-11-18,21.1382,1.1837,0.7002,-2.2076,,,,100.4469,-47.3
2015-11-19,21.2531,0.5438,1.8698,-1.7549,,,,100.9931,-47.0135
2015-11-20,21.4272,0.8194,4.0595,-2.1878,,,,101.8206,-46.5793
2015-11-23,21.5387,0.5202,4.7071,-0.4828,,,,102.3502,-46.3014
2015-11-24,21.2113,-1.5201,1.5338,-2.1215,,,,100.7944,-47.1177
2015-11-25,21.2113,0.0,0.3461,-2.1467,,,,100.7944,-47.1177
2015-11-27,21.3715,0.7553,0.5572,-1.0482,,,,101.5558,-46.7182
2015-11-30,21.4203,0.2282,-0.0325,-1.2714,,,,101.7875,-46.5967
2015-12-01,21.7749,1.6553,1.0963,0.9984,,,,103.4724,-45.7127
2015-12-02,21.3297,-2.0442,0.5582,-1.0662,,,,101.3571,-46.8225
2015-12-03,20.9048,-1.9921,-1.445,-4.2743,,,,99.338,-47.8818
2015-12-04,21.3297,2.0326,-0.1956,-1.9219,,,,101.3571,-46.8225
2015-12-07,21.3297,0.0,-0.4228,-1.5434,,,,101.3571,-46.8225
2015-12-08,21.3994,0.3266,-1.7243,2.571,,,,101.6882,-46.6488
2015-12-09,21.281,-0.5534,-0.2286,2.8273,,,,101.1254,-46.944
2015-12-10,21.1068,-0.8183,0.9663,0.8991,,,,100.2979,-47.3782
2015-12-11,20.994,-0.5346,-1.5741,0.0132,,,,99.7617,-47.6595
2015-12-14,21.0588,0.3086,-1.2704,0.9382,,,,100.0695,-47.498
2015-12-15,21.3019,1.1545,-0.4557,3.4506,,,,101.2248,-46.8919
2015-12-16,21.685,1.7985,1.8985,5.4182,,,,103.0453,-45.9367
2015-12-17,21.6571,-0.1285,2.6073,3.6679,,,,102.9129,-46.0062
2015-12-18,21.3754,-1.3008,1.8169,1.1224,,,,101.5742,-46.7086
2015-12-21,21.4106,0.1647,1.6709,0.7412,,,,101.7416,-46.6208
2015-12-22,21.6078,0.9211,1.4363,0.8428,,,,102.6787,-46.1291
2015-12-23,21.8191,0.9778,0.6185,1.3018,,,,103.6827,-45.6024
2015-12-24,21.8402,0.0968,0.8455,2.9651,,,,103.7831,-45.5497
2015-12-28,21.7818,-0.2676,1.9011,2.6895,,,,103.5053,-45.6954
2015-12-29,22.1431,1.6587,3.421,3.6103,,,,105.2222,-44.7946
2015-12-30,22.1431,0.0,2.4772,3.3744,,,,105.2222,-44.7946
2015-12-31,21.9628,-0.8142,0.6585,0.8631,,,,104.3654,-45.2441
2016-01-04,21.4529,-2.3217,-1.7736,0.5774,,,,101.9424,-46.5154
2016-01-05,22.103,3.0302,1.4744,5.7314,,,,105.0314,-44.8947
2016-01-06,21.8896,-0.9655,-1.145,2.6246,,,,104.0174,-45.4267
2016-01-07,21.4881,-1.834,-2.958,0.7425,,,,102.1097,-46.4276
2016-01-08,21.2064,-1.311,-3.4441,-0.9019,0.771,,,100.771,-47.13
2016-01-11,21.3332,0.5978,-0.5581,0.2452,1.5415,,,101.3734,-46.8139
2016-01-12,21.1007,-1.0895,-4.5343,-0.0288,-0.1935,,,100.269,-47.3934
2016-01-13,20.8824,-1.0347,-4.6011,-0.5314,-0.604,,,99.2315,-47.9377
2016-01-14,20.9528,0.3373,-2.491,-0.5029,-0.2687,,,99.5662,-47.7621
2016-01-15,20.6007,-1.6807,-2.8562,-3.2917,-1.6514,,,97.8928,-48.64
2016-01-19,20.7415,0.6838,-2.7732,-4.3507,-2.8274,,,98.5621,-48.2889
2016-01-20,20.1852,-2.6825,-4.3391,-6.7967,-6.5261,,,95.9182,-49.676
2016-01-21,20.3401,0.7676,-2.597,-4.8435,-5.8997,,,96.6545,-49.2897
2016-01-22,20.7627,2.0776,-0.9076,-3.0263,-4.0221,,,98.6625,-48.2362
2016-01-25,20.7627,0.0,0.7863,-3.9114,-5.2215,,,98.6625,-48.2362
2016-01-26,20.9472,0.8888,0.9915,-3.9961,-3.2158,,,99.5394,-47.7761
2016-01-27,20.7627,-0.8809,2.8611,-4.9339,-4.1917,,,98.6625,-48.2362
2016-01-28,20.5373,-1.0855,0.9695,-5.7134,-5.2561,,,97.5916,-48.7981
2016-01-29,20.5584,0.1029,-0.9837,-7.1565,-4.8129,,,97.692,-48.7454
2016-02-01,20.9951,2.124,1.1194,-5.1845,-3.2312,,,99.767,-47.6567
2016-02-02,20.7275,-1.2747,-1.049,-5.6247,-3.8597,,,98.4952,-48.324
2016-02-03,20.7486,0.1019,-0.0678,-3.283,-3.7617,,,98.5956,-48.2713
2016-02-04,20.8732,0.6008,1.6358,-5.5635,-4.4188,,,99.188,-47.9605
2016-02-05,20.4936,-1.8187,-0.3152,-6.3771,-5.7664,,,97.3841,-48.9069
2016-02-08,19.4076,-5.2993,-7.5612,-9.6821,-10.4158,,,92.2234,-51.6145
2016-02-09,19.2555,-0.7839,-7.1016,-9.1996,-7.7052,,,91.5005,-51.9938
2016-02-10,19.664,2.1214,-5.2275,-7.8244,-4.9859,,,93.4416,-50.9754
2016-02-11,19.171,-2.5071,-8.1553,-9.1455,-8.3551,,,91.0989,-52.2045
2016-02-12,19.3611,0.9919,-5.5262,-7.285,-7.7655,,,92.0025,-51.7304
2016-02-16,19.3611,0.0,-0.2395,-7.5966,-7.1988,,,92.0025,-51.7304
2016-02-17,19.9668,3.1284,3.6942,-3.0769,-3.0329,,,94.8807,-50.2204
