date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,5375.1099,,,,,,,100.0,-93.6903
2000-01-04,5491.0098,2.1562,,,,,,102.1562,-93.5543
2000-01-05,5357.0,-2.4405,,,,,,99.6631,-93.7116
2000-01-06,5421.5298,1.2046,,,,,,100.8636,-93.6359
2000-01-07,5414.48,-0.13,,,,,,100.7325,-93.6441
2000-01-10,5518.3901,1.9191,2.6656,,,,,102.6656,-93.5221
2000-01-11,5296.2998,-4.0245,-3.546,,,,,98.5338,-93.7829
2000-01-12,5491.2002,3.6799,2.5051,,,,,102.1598,-93.5541
2000-01-13,5444.8198,-0.8446,0.4296,,,,,101.2969,-93.6085
2000-01-14,5471.27,0.4858,1.0489,,,,,101.789,-93.5775
2000-01-17,5404.0698,-1.2282,-2.0716,,,,,100.5388,-93.6563
2000-01-18,5464.5098,1.1184,3.176,,,,,101.6632,-93.5854
2000-01-19,5478.2402,0.2513,-0.236,,,,,101.9187,-93.5693
2000-01-20,5355.7998,-2.235,-1.6349,,,,,99.6408,-93.713
2000-01-21,5423.0498,1.2556,-0.8813,,,,,100.8919,-93.6341
2000-01-24,5458.0601,0.6456,0.9991,,,,,101.5432,-93.593
2000-01-25,5367.79,-1.6539,-1.77,,,,,99.8638,-93.6989
2000-01-26,5367.79,0.0,-2.0162,,,,,99.8638,-93.6989
2000-01-27,5369.1001,0.0244,0.2483,,,,,99.8882,-93.6974
2000-01-28,5335.7998,-0.6202,-1.6089,,,,,99.2687,-93.7365
2000-01-31,5205.29,-2.4459,-4.6311,,,,,96.8406,-93.8897
2000-02-01,5215.54,0.1969,-2.8364,-2.9687,,,,97.0313,-93.8777
2000-02-02,5304.9199,1.7137,-1.1712,-3.389,,,,98.6942,-93.7727
2000-02-03,5340.1899,0.6649,-0.5385,-0.3138,,,,99.3503,-93.7313
2000-02-04,5313.5898,-0.4981,-0.4162,-1.9909,,,,98.8555,-93.7626
2000-02-07,5474.0,3.0189,5.1622,1.0993,,,,101.8398,-93.5743
2000-02-08,5610.5601,2.4947,7.5739,1.6702,,,,104.3804,-93.414
2000-02-09,5649.1001,0.6869,6.4879,6.6613,,,,105.0974,-93.3687
2000-02-10,5789.04,2.4772,8.4051,5.4239,,,,107.7009,-93.2044
2000-02-11,5933.5601,2.4964,11.6676,8.9762,,,,110.3896,-93.0348
2000-02-14,5924.3101,-0.1559,8.2263,8.2803,,,,110.2175,-93.0457
2000-02-15,5803.1899,-2.0445,3.4333,7.3855,,,,107.9641,-93.1878
2000-02-16,5725.5,-1.3387,1.3524,4.7761,,,,106.5188,-93.279
2000-02-17,5835.1499,1.9151,0.7965,6.515,,,,108.5587,-93.1503
2000-02-18,5721.6499,-1.9451,-3.5714,6.8309,,,,106.4471,-93.2835
2000-02-21,5874.8901,2.6783,-0.8342,8.3318,,,,109.298,-93.1037
2000-02-22,5883.3301,0.1437,1.381,7.7916,,,,109.4551,-93.0938
2000-02-23,5642.46,-4.0941,-1.4504,5.117,,,,104.9739,-93.3765
2000-02-24,5810.1699,2.9723,-0.4281,8.2414,,,,108.094,-93.1796
2000-02-25,5623.0801,-3.22,-1.7228,4.7304,,,,104.6133,-93.3993
2000-02-28,5740.6899,2.0916,-2.2843,7.5882,,,,106.8014,-93.2612
2000-02-29,5447.4702,-5.1077,-7.4084,4.6526,,,,101.3462,-93.6054
2000-03-01,5642.1201,3.5732,-0.006,8.179,,,,104.9675,-93.3769
2000-03-02,5528.3101,-2.0172,-4.8511,4.211,,,,102.8502,-93.5105
2000-03-03,5378.27,-2.714,-4.3537,0.7131,,,,100.0588,-93.6866
2000-03-06,5520.6899,2.6481,-3.8323,3.8976,,,,102.7084,-93.5194
2000-03-07,5589.8501,1.2527,2.6137,2.1164,,,,103.9951,-93.4383
2000-03-08,5511.4199,-1.4031,-2.3165,-1.767,,,,102.5359,-93.5303
2000-03-09,5328.79,-3.3137,-3.6091,-5.6701,,,,99.1383,-93.7447
2000-03-10,5301.7798,-0.5069,-1.4222,-8.4169,,,,98.6357,-93.7764
2000-03-13,5129.2202,-3.2547,-7.091,-13.5558,,,,95.4254,-93.979
2000-03-14,5175.71,0.9064,-7.4088,-12.6361,,,,96.2903,-93.9244
2000-03-15,5249.7598,1.4307,-4.7476,-9.5367,,,,97.668,-93.8375
2000-03-16,5102.4102,-2.8068,-4.2482,-10.8827,,,,94.9266,-94.0105
2000-03-21,5133.2402,0.6042,-3.1789,-12.029,,,,95.5002,-93.9743
2000-03-22,5201.8701,1.337,1.4164,-9.0844,,,,96.777,-93.8937
2000-03-23,5115.02,-1.6696,-1.1726,-12.9342,,,,95.1612,-93.9957
2000-03-24,5141.4199,0.5161,-2.0637,-12.6104,,,,95.6524,-93.9647
2000-03-27,5146.2998,0.0949,0.8602,-8.7933,,,,95.7432,-93.9589
