date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-04,1406.371,,,,,,,100.0,-65.0454
2000-01-05,1409.682,0.2354,,,,,,100.2354,-64.9631
2000-01-06,1463.942,3.8491,,,,,,104.0936,-63.6145
2000-01-07,1516.604,3.5973,,,,,,107.8381,-62.3056
2000-01-10,1545.1121,1.8797,,,,,,109.8652,-61.597
2000-01-11,1479.781,-4.2282,5.2198,,,,,105.2198,-63.2208
2000-01-12,1438.02,-2.8221,2.0102,,,,,102.2504,-64.2587
2000-01-13,1424.442,-0.9442,-2.6982,,,,,101.2849,-64.5962
2000-01-14,1408.848,-1.0947,-7.1051,,,,,100.1761,-64.9838
2000-01-17,1433.33,1.7377,-7.2346,,,,,101.9169,-64.3753
2000-01-18,1426.623,-0.4679,-3.5923,,,,,101.44,-64.542
2000-01-19,1440.724,0.9884,0.188,,,,,102.4427,-64.1915
2000-01-20,1466.863,1.8143,2.9781,,,,,104.3013,-63.5419
2000-01-21,1465.085,-0.1212,3.9917,,,,,104.1749,-63.5861
2000-01-24,1477.344,0.8367,3.0708,,,,,105.0465,-63.2814
2000-01-25,1476.506,-0.0567,3.4966,,,,,104.9869,-63.3022
2000-01-26,1481.1169,0.3123,2.8037,,,,,105.3148,-63.1876
2000-01-27,1506.767,1.7318,2.7204,,,,,107.1387,-62.5501
2000-01-28,1534.9969,1.8735,4.7719,,,,,109.1459,-61.8484
2000-02-14,1673.943,9.0519,13.3076,,,,,119.0257,-58.395
2000-02-15,1670.67,-0.1955,13.1502,,,,,118.793,-58.4763
2000-02-16,1693.109,1.3431,14.313,20.3885,,,,120.3885,-57.9186
2000-02-17,1640.649,-3.0984,8.8854,16.3843,,,,116.6583,-59.2225
2000-02-18,1668.0909,1.6726,8.6706,13.9452,,,,118.6096,-58.5404
2000-02-21,1677.136,0.5422,0.1907,10.585,,,,119.2527,-58.3156
2000-02-22,1632.2939,-2.6737,-2.297,5.6424,,,,116.0643,-59.4302
2000-02-23,1594.9301,-2.289,-5.7987,7.7815,,,,113.4075,-60.3588
2000-02-24,1634.309,2.469,-0.3864,13.6499,,,,116.2075,-59.3801
2000-02-25,1631.576,-0.1672,-2.189,14.5414,,,,116.0132,-59.448
2000-02-28,1704.855,4.4913,1.6528,21.0106,,,,121.2237,-57.6267
2000-02-29,1714.578,0.5703,5.041,19.622,,,,121.9151,-57.385
2000-03-01,1704.855,-0.5671,6.8921,19.5028,,,,121.2237,-57.6267
2000-03-02,1713.014,0.4786,4.8158,18.8995,,,,121.8039,-57.4239
2000-03-03,1738.021,1.4598,6.5241,18.4856,,,,123.582,-56.8024
2000-03-06,1681.085,-3.2759,-1.3943,14.7432,,,,119.5335,-58.2175
2000-03-07,1694.798,0.8157,-1.1536,14.7193,,,,120.5086,-57.8767
2000-03-08,1726.033,1.843,1.2422,16.8998,,,,122.7296,-57.1003
2000-03-09,1732.3459,0.3658,1.1285,16.9621,,,,123.1784,-56.9434
2000-03-10,1705.049,-1.5757,-1.8971,13.1594,,,,121.2375,-57.6219
2000-03-13,1728.887,1.3981,2.8435,12.6313,,,,122.9325,-57.0294
2000-03-14,1685.347,-2.5184,-0.5576,0.6813,,,,119.8366,-58.1115
2000-03-15,1681.4709,-0.23,-2.5818,0.6465,,,,119.561,-58.2079
2000-03-16,1607.527,-4.3976,-7.2052,-5.0547,,,,114.3032,-60.0457
2000-03-17,1658.601,3.1772,-2.7241,1.0942,,,,117.9348,-58.7763
2000-03-20,1699.248,2.4507,-1.7143,1.8678,,,,120.825,-57.766
2000-03-21,1710.324,0.6518,1.482,1.9788,,,,121.6126,-57.4908
