date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-04,7268.1001,,,,,,,100.0,-45.1353
2000-01-05,7181.2998,-1.1943,,,,,,98.8057,-45.7905
2000-01-06,7280.6001,1.3828,,,,,,100.172,-45.041
2000-01-07,7448.0,2.2993,,,,,,102.4752,-43.7773
2000-01-10,7452.7998,0.0644,,,,,,102.5412,-43.7411
2000-01-11,7420.1001,-0.4388,2.0913,,,,,102.0913,-43.9879
2000-01-12,7440.2002,0.2709,3.6052,,,,,102.3679,-43.8362
2000-01-13,7436.8999,-0.0444,2.1468,,,,,102.3225,-43.8611
2000-01-14,7513.8999,1.0354,0.8848,,,,,103.3819,-43.2799
2000-01-17,7507.0,-0.0918,0.7272,,,,,103.287,-43.3319
2000-01-18,7404.7998,-1.3614,-0.2062,,,,,101.8808,-44.1034
2000-01-19,7336.7998,-0.9183,-1.3898,,,,,100.9452,-44.6167
2000-01-20,7251.2002,-1.1667,-2.497,,,,,99.7675,-45.2629
2000-01-21,7236.0,-0.2096,-3.6985,,,,,99.5583,-45.3776
2000-01-24,7127.8999,-1.4939,-5.05,,,,,98.071,-46.1936
2000-01-25,6954.7998,-2.4285,-6.0771,,,,,95.6894,-47.5003
2000-01-26,6963.6001,0.1265,-5.0867,,,,,95.8105,-47.4339
2000-01-27,7113.3999,2.1512,-1.9004,,,,,97.8715,-46.3031
2000-01-28,7029.6001,-1.1781,-2.8524,,,,,96.7185,-46.9357
2000-01-31,6894.7002,-1.919,-3.2716,,,,,94.8625,-47.954
2000-02-01,7025.2002,1.8928,1.0123,,,,,96.658,-46.9689
2000-02-02,7097.3999,1.0277,1.9214,-2.3486,,,,97.6514,-46.4239
2000-02-03,7182.8999,1.2047,0.977,0.0223,,,,98.8278,-45.7785
2000-02-04,7148.7002,-0.4761,1.6943,-1.8117,,,,98.3572,-46.0366
2000-02-07,7131.2998,-0.2434,3.4316,-4.2522,,,,98.1178,-46.168
2000-02-08,7130.8999,-0.0056,1.5046,-4.3192,,,,98.1123,-46.171
2000-02-09,7031.7002,-1.3911,-0.9257,-5.2344,,,,96.7474,-46.9198
2000-02-10,6998.0,-0.4793,-2.5742,-5.9434,,,,96.2838,-47.1742
2000-02-11,6973.3999,-0.3515,-2.4522,-6.2324,,,,95.9453,-47.3599
2000-02-14,6921.7002,-0.7414,-2.9392,-7.8814,,,,95.234,-47.7502
2000-02-15,6806.3999,-1.6658,-4.5506,-9.3326,,,,93.6476,-48.6206
2000-02-16,6933.2998,1.8644,-1.3994,-6.3675,,,,95.3936,-47.6626
2000-02-17,7029.3999,1.3861,0.4487,-4.1898,,,,96.7158,-46.9372
2000-02-18,7047.0,0.2504,1.0554,-2.8161,,,,96.9579,-46.8043
2000-02-21,6962.7002,-1.1963,0.5923,-3.7769,,,,95.7981,-47.4407
2000-02-22,7037.5,1.0743,3.3953,-1.2683,,,,96.8272,-46.876
2000-02-23,7091.7002,0.7702,2.2846,1.9684,,,,97.573,-46.4669
2000-02-24,7043.7998,-0.6754,0.2049,1.1517,,,,96.9139,-46.8285
2000-02-25,6989.1001,-0.7766,-0.8216,-1.7474,,,,96.1613,-47.2414
2000-02-28,6917.7998,-1.0202,-0.6449,-1.5904,,,,95.1803,-47.7796
2000-02-29,6910.1001,-0.1113,-1.8103,0.2234,,,,95.0744,-47.8378
2000-03-01,6959.1001,0.7091,-1.8698,-0.9409,,,,95.7485,-47.4679
2000-03-02,7052.3999,1.3407,0.1221,-0.634,,,,97.0322,-46.7636
2000-03-03,7025.2998,-0.3843,0.5179,-2.1941,,,,96.6594,-46.9681
2000-03-06,7087.7002,0.8882,2.456,-0.8533,,,,97.5179,-46.4971
2000-03-07,7050.2002,-0.5291,2.0275,-1.1372,,,,97.002,-46.7802
2000-03-08,6945.5,-1.4851,-0.1954,-2.6,,,,95.5614,-47.5705
2000-03-09,6902.0,-0.6263,-2.1326,-1.8445,,,,94.9629,-47.8989
2000-03-10,6907.8999,0.0855,-1.6711,-1.2875,,,,95.0441,-47.8544
2000-03-13,6781.3999,-1.8312,-4.3216,-2.7533,,,,93.3036,-48.8093
2000-03-14,6838.2002,0.8376,-3.007,-1.2064,,,,94.0851,-48.3805
2000-03-15,6856.2998,0.2647,-1.2843,0.7331,,,,94.3341,-48.2439
2000-03-16,7131.5,4.0138,3.3251,2.8587,,,,98.1206,-46.1665
2000-03-17,7100.6001,-0.4333,2.7896,1.0129,,,,97.6954,-46.3997
2000-03-20,7166.8999,0.9337,5.6847,1.7014,,,,98.6076,-45.8992
2000-03-21,7266.2998,1.3869,6.2604,4.3604,,,,99.9752,-45.1489
2000-03-22,7388.2002,1.6776,7.7578,4.9833,,,,101.6524,-44.2287
2000-03-23,7360.2002,-0.379,3.2069,3.7861,,,,101.2672,-44.4401
2000-03-24,7440.3999,1.0896,4.7855,5.6305,,,,102.3706,-43.8347
2000-03-27,7366.0,-0.9999,2.7781,5.3927,,,,101.347,-44.3963
2000-03-28,7372.1001,0.0828,1.456,6.5671,,,,101.4309,-44.3503
2000-03-29,7401.5,0.3988,0.18,7.1113,,,,101.8354,-44.1283
2000-03-30,7382.7998,-0.2527,0.3071,6.0884,,,,101.5781,-44.2695
2000-03-31,7428.1001,0.6136,-0.1653,5.3273,2.2014,,,102.2014,-43.9275
2000-04-03,7522.7998,1.2749,2.1287,7.0815,4.7554,,,103.5044,-43.2127
2000-04-04,7606.3999,1.1113,3.1782,7.3183,4.4749,,,104.6546,-42.5816
2000-04-05,7490.3999,-1.525,1.2011,6.2438,0.5693,,,103.0586,-43.4572
2000-04-06,7476.1001,-0.1909,1.2638,7.6395,0.3126,,,102.8618,-43.5652
2000-04-07,7450.7998,-0.3384,0.3056,7.9513,0.4137,,,102.5137,-43.7562
2000-04-10,7410.7002,-0.5382,-1.4901,7.2786,-0.3965,,,101.962,-44.0589
2000-04-11,7471.5,0.8204,-1.7735,10.1764,0.4652,,,102.7985,-43.5999
2000-04-12,7550.6001,1.0587,0.8037,10.4179,0.4884,,,103.8868,-43.0028
2000-04-13,7581.2998,0.4066,1.4071,10.5742,0.9897,,,104.3092,-42.7711
