date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-09-15,493.75,,,,,,,100.0,-52.0398
2000-09-18,484.0,-1.9747,,,,,,98.0253,-52.9869
2000-09-19,484.25,0.0517,,,,,,98.0759,-52.9626
2000-09-20,483.25,-0.2065,,,,,,97.8734,-53.0597
2000-09-21,486.5,0.6725,,,,,,98.5316,-52.7441
2000-09-22,491.0,0.925,-0.557,,,,,99.443,-52.3069
2000-09-25,496.5,1.1202,2.5826,,,,,100.557,-51.7727
2000-09-26,496.5,0.0,2.5297,,,,,100.557,-51.7727
2000-09-27,492.5,-0.8056,1.9141,,,,,99.7468,-52.1612
2000-09-28,497.0,0.9137,2.1583,,,,,100.6582,-51.7241
2000-09-29,499.0,0.4024,1.6293,,,,,101.0633,-51.5299
2000-10-02,488.5,-2.1042,-1.6113,,,,,98.9367,-52.5498
2000-10-03,488.5,0.0,-1.6113,,,,,98.9367,-52.5498
2000-10-04,489.0,0.1024,-0.7107,,,,,99.038,-52.5012
2000-10-05,485.75,-0.6646,-2.2636,,,,,98.3797,-52.8169
2000-10-06,486.0,0.0515,-2.6052,,,,,98.4304,-52.7926
2000-10-09,484.5,-0.3086,-0.8188,,,,,98.1266,-52.9383
2000-10-10,483.0,-0.3096,-1.1259,,,,,97.8228,-53.084
2000-10-11,485.0,0.4141,-0.818,,,,,98.2278,-52.8898
2000-10-12,478.0,-1.4433,-1.5955,,,,,96.8101,-53.5697
2000-10-13,473.25,-0.9937,-2.6235,,,,,95.8481,-54.0311
2000-10-16,465.0,-1.7433,-4.0248,-5.8228,,,,94.1772,-54.8324
2000-10-17,467.75,0.5914,-3.1573,-3.3574,,,,94.7342,-54.5653
2000-10-18,468.0,0.0534,-3.5052,-3.3557,,,,94.7848,-54.541
2000-10-19,468.0,0.0,-2.0921,-3.1557,,,,94.7848,-54.541
2000-10-20,473.25,1.1218,0.0,-2.7235,,,,95.8481,-54.0311
2000-10-23,468.5,-1.0037,0.7527,-4.5825,,,,94.8861,-54.4925
2000-10-24,463.5,-1.0672,-0.9086,-6.6465,,,,93.8734,-54.9781
2000-10-25,467.25,0.8091,-0.1603,-5.8912,,,,94.6329,-54.6139
2000-10-26,467.0,-0.0535,-0.2137,-5.1777,,,,94.5823,-54.6382
2000-10-27,461.0,-1.2848,-2.5885,-7.2435,,,,93.3671,-55.221
2000-10-30,457.75,-0.705,-2.2946,-8.2665,,,,92.7089,-55.5367
2000-10-31,455.25,-0.5461,-1.7799,-6.8066,,,,92.2025,-55.7795
2000-11-01,462.75,1.6474,-0.9631,-5.2712,,,,93.7215,-55.051
2000-11-02,468.25,1.1885,0.2677,-4.2434,,,,94.8354,-54.5168
2000-11-03,473.5,1.1212,2.7115,-2.5219,,,,95.8987,-54.0068
2000-11-06,475.0,0.3168,3.7684,-2.2634,,,,96.2025,-53.8611
2000-11-07,473.5,-0.3158,4.0088,-2.2704,,,,95.8987,-54.0068
2000-11-08,475.5,0.4224,2.7553,-1.5528,,,,96.3038,-53.8125
2000-11-09,474.0,-0.3155,1.228,-2.268,,,,96.0,-53.9582
2000-11-10,467.25,-1.4241,-1.32,-2.249,,,,94.6329,-54.6139
2000-11-13,462.5,-1.0166,-2.6316,-2.2715,,,,93.6709,-55.0753
2000-11-14,472.0,2.0541,-0.3168,1.5054,,,,95.5949,-54.1525
2000-11-15,478.5,1.3771,0.6309,2.2982,,,,96.9114,-53.5211
2000-11-16,481.0,0.5225,1.4768,2.7778,,,,97.4177,-53.2783
2000-11-17,479.0,-0.4158,2.5147,2.3504,,,,97.0127,-53.4726
2000-11-20,490.75,2.453,6.1081,3.6978,,,,99.3924,-52.3312
2000-11-21,491.25,0.1019,4.0784,4.8559,,,,99.4937,-52.2827
2000-11-22,491.0,-0.0509,2.6123,5.9331,,,,99.443,-52.3069
2000-11-24,495.25,0.8656,2.9626,5.9925,,,,100.3038,-51.8941
2000-11-27,507.5,2.4735,5.9499,8.6724,,,,102.7848,-50.7042
2000-11-28,497.0,-2.069,1.2736,7.8091,,,,100.6582,-51.7241
2000-11-29,505.5,1.7103,2.9008,10.4315,,,,102.3797,-50.8985
2000-11-30,502.0,-0.6924,2.2403,10.2691,,,,101.6709,-51.2385
2000-12-01,506.75,0.9462,2.3221,9.5084,,,,102.6329,-50.7771
2000-12-04,505.25,-0.296,-0.4433,7.9018,,,,102.3291,-50.9228
2000-12-05,502.0,-0.6432,1.006,6.019,,,,101.6709,-51.2385
2000-12-06,499.75,-0.4482,-1.1375,5.2105,,,,101.2152,-51.457
2000-12-07,509.75,2.001,1.5438,7.6558,,,,103.2405,-50.4857
2000-12-08,500.0,-1.9127,-1.332,5.1525,,,,101.2658,-51.4327
2000-12-11,509.0,1.8,0.7422,7.384,,,,103.0886,-50.5585
2000-12-12,512.0,0.5894,1.992,9.5773,,,,103.6962,-50.2671
2000-12-13,506.0,-1.1719,1.2506,9.4054,,,,102.481,-50.8499
2000-12-14,508.75,0.5435,-0.1962,7.786,3.038,,,103.038,-50.5828
2000-12-15,505.0,-0.7371,1.0,5.5381,4.3388,,,102.2785,-50.9471
2000-12-18,513.0,1.5842,0.7859,6.6528,5.937,,,103.8987,-50.17
2000-12-19,508.0,-0.9747,-0.7812,6.0543,5.1216,,,102.8861,-50.6557
2000-12-20,512.0,0.7874,1.1858,4.3301,5.2415,,,103.6962,-50.2671
2000-12-21,507.25,-0.9277,-0.2948,3.257,3.3096,,,102.7342,-50.7285
2000-12-22,511.0,0.7393,1.1881,4.0733,2.9204,,,103.4937,-50.3643
2000-12-26,505.25,-1.1252,-1.5107,2.0192,1.7623,,,102.3291,-50.9228
2000-12-27,501.75,-0.6927,-1.2303,-1.133,1.8782,,,101.6203,-51.2627
2000-12-28,499.0,-0.5481,-2.5391,0.4024,0.4024,,,101.0633,-51.5299
2000-12-29,499.0,0.0,-1.6264,-1.2859,0.0,,,101.0633,-51.5299
2001-01-02,500.0,0.2004,-2.1526,-0.3984,2.3541,,,101.2658,-51.4327
2001-01-03,493.75,-1.25,-2.2761,-2.5654,1.0747,,,100.0,-52.0398
2001-01-04,499.5,1.1646,-0.4484,-1.1381,2.1472,,,101.1646,-51.4813
2001-01-05,493.75,-1.1512,-1.0521,-1.6434,1.6469,,,100.0,-52.0398
2001-01-08,488.0,-1.1646,-2.2044,-2.3512,0.4115,,,98.8354,-52.5983
2001-01-09,491.0,0.6148,-1.8,-3.6783,1.3416,,,99.443,-52.3069
2001-01-10,490.5,-0.1018,-0.6582,-1.9,1.5528,,,99.3418,-52.3555
2001-01-11,482.0,-1.7329,-3.5035,-5.3045,-0.6186,,,97.6203,-53.1812
2001-01-12,479.25,-0.5705,-2.9367,-6.3965,0.2615,,,97.0633,-53.4483
2001-01-16,481.0,0.3652,-1.4344,-4.9407,1.6376,,,97.4177,-53.2783
2001-01-17,477.0,-0.8316,-2.8513,-6.2408,2.5806,,,96.6076,-53.6668
2001-01-18,473.5,-0.7338,-3.4659,-6.2376,1.2293,,,95.8987,-54.0068
2001-01-19,476.0,0.528,-1.2448,-7.2125,1.7094,,,96.4051,-53.764
2001-01-22,469.5,-1.3655,-2.0344,-7.5787,0.3205,,,95.0886,-54.3953
2001-01-23,477.5,1.7039,-0.7277,-6.7383,0.898,,,96.7089,-53.6183
2001-01-24,468.0,-1.9895,-1.8868,-7.7378,-0.1067,,,94.7848,-54.541
2001-01-25,469.0,0.2137,-0.9504,-8.2192,1.1866,,,94.9873,-54.4439
2001-01-26,467.0,-0.4264,-1.8908,-7.5705,-0.0535,,,94.5823,-54.6382
2001-01-29,459.75,-1.5525,-2.0767,-8.3707,-1.5525,,,93.1139,-55.3424
2001-01-30,461.25,0.3263,-3.4031,-7.5651,0.0542,,,93.4177,-55.1967
2001-01-31,459.75,-0.3252,-1.7628,-7.8657,0.4369,,,93.1139,-55.3424
2001-02-01,458.25,-0.3263,-2.2921,-8.35,0.659,,,92.8101,-55.4881
2001-02-02,463.0,1.0366,-0.8565,-6.2278,0.054,,,93.7722,-55.0267
2001-02-05,468.0,1.0799,1.7945,-6.3063,-0.0534,,,94.7848,-54.541
2001-02-06,461.0,-1.4957,-0.0542,-6.6329,-2.6399,,,93.3671,-55.221
2001-02-07,465.25,0.9219,1.1963,-4.6619,-2.0526,,,94.2278,-54.8082
2001-02-08,463.0,-0.4836,1.0366,-5.7026,-2.2175,,,93.7722,-55.0267
2001-02-09,453.0,-2.1598,-2.1598,-7.6453,-4.7319,,,91.7468,-55.9981
2001-02-12,456.5,0.7726,-2.4573,-5.2905,-3.692,,,92.4557,-55.6581
2001-02-13,450.0,-1.4239,-2.3861,-6.1033,-3.6918,,,91.1392,-56.2895
2001-02-14,451.25,0.2778,-3.0091,-6.185,-2.4324,,,91.3924,-56.168
2001-02-15,453.25,0.4432,-2.1058,-4.979,-3.9725,,,91.7975,-55.9738
2001-02-16,451.75,-0.3309,-0.2759,-4.5935,-5.5904,,,91.4937,-56.1195
2001-02-20,458.5,1.4942,0.4381,-3.6765,-4.6778,,,92.8608,-55.4638
2001-02-21,454.0,-0.9815,0.8889,-3.3014,-5.2192,,,91.9494,-55.9009
2001-02-22,459.0,1.1013,1.7175,-3.8743,-6.4697,,,92.962,-55.4153
2001-02-23,448.0,-2.3965,-1.1583,-4.2735,-8.8041,,,90.7342,-56.4837
2001-02-26,447.75,-0.0558,-0.8854,-4.5309,-8.8086,,,90.6835,-56.508
2001-02-27,450.5,0.6142,-1.7448,-3.5332,-9.0358,,,91.2405,-56.2409
2001-02-28,454.75,0.9434,0.1652,-1.0875,-10.3941,,,92.1013,-55.8281
2001-03-01,453.75,-0.2199,-1.1438,-1.626,-8.7022,,,91.8987,-55.9252
2001-03-02,460.0,1.3774,2.6786,0.0544,-9.001,,,93.1646,-55.3181
2001-03-05,456.5,-0.7609,1.9542,-0.3819,-9.0637,,,92.4557,-55.6581
2001-03-06,456.5,0.0,1.3319,-1.4039,-9.9161,,,92.4557,-55.6581
2001-03-07,463.0,1.4239,1.8142,-1.0684,-8.3622,,,93.7722,-55.0267
2001-03-08,458.5,-0.9719,1.0468,-0.5423,-8.6653,,,92.8608,-55.4638
2001-03-09,456.75,-0.3817,-0.7065,-1.827,-8.6043,,,92.5063,-55.6338
2001-03-12,455.0,-0.3831,-0.3286,-1.7279,-10.7406,,,92.1519,-55.8038
2001-03-13,459.0,0.8791,0.5476,1.3245,-8.2,,,92.962,-55.4153
2001-03-14,442.0,-3.7037,-4.5356,-3.1763,-13.1631,,,89.519,-57.0665
2001-03-15,444.5,0.5656,-3.0534,-1.2222,-13.1836,,,90.0253,-56.8237
2001-03-16,447.0,0.5624,-2.1346,-0.9418,-11.6601,,,90.5316,-56.5809
2001-03-19,444.25,-0.6152,-2.3626,-1.9857,-12.6781,-10.0253,,89.9747,-56.848
2001-03-20,445.75,0.3376,-2.8867,-1.3282,-11.7327,-7.9029,,90.2785,-56.7023
2001-03-21,445.5,-0.0561,0.7919,-2.8353,-13.1579,-8.0021,,90.2278,-56.7266
2001-03-22,438.5,-1.5713,-1.3498,-3.4141,-13.6811,-9.2602,,88.8101,-57.4065
2001-03-23,435.5,-0.6842,-2.5727,-5.1198,-14.9414,-10.483,,88.2025,-57.6979
2001-03-26,439.75,0.9759,-1.0129,-1.8415,-13.307,-10.4379,,89.0633,-57.2851
2001-03-27,441.0,0.2843,-1.0656,-1.5075,-13.6986,-11.1782,,89.3165,-57.1637
2001-03-28,444.0,0.6803,-0.3367,-1.4428,-12.1227,-10.574,,89.9241,-56.8723
2001-03-29,441.5,-0.5631,0.6842,-2.9137,-12.008,-10.3553,,89.4177,-57.1151
2001-03-30,436.0,-1.2458,0.1148,-3.9118,-12.6253,-12.2736,,88.3038,-57.6493
2001-04-02,431.75,-0.9748,-1.8192,-6.1413,-13.477,-13.477,,87.443,-58.0622
2001-04-03,430.0,-0.4053,-2.4943,-5.805,-14.0,-11.9754,,87.0886,-58.2322
2001-04-04,430.0,0.0,-3.1532,-5.805,-12.9114,-11.9754,,87.0886,-58.2322
2001-04-05,439.0,2.093,-0.5663,-5.1836,-12.1121,-10.2249,,88.9114,-57.3579
