date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,1455.22,,,,,,,100.0,-78.7821
2000-01-04,1399.42,-3.8345,,,,,,96.1655,-79.5957
2000-01-05,1402.11,0.1922,,,,,,96.3504,-79.5565
2000-01-06,1403.45,0.0956,,,,,,96.4425,-79.537
2000-01-07,1441.47,2.709,,,,,,99.0551,-78.9826
2000-01-10,1457.6,1.119,0.1635,,,,,100.1635,-78.7474
2000-01-11,1438.5601,-1.3063,2.7969,,,,,98.8552,-79.0251
2000-01-12,1432.25,-0.4386,2.1496,,,,,98.4215,-79.1171
2000-01-13,1449.6801,1.217,3.294,,,,,99.6193,-78.8629
2000-01-14,1465.15,1.0671,1.6428,,,,,100.6824,-78.6374
2000-01-18,1455.14,-0.6832,-0.1688,,,,,99.9945,-78.7833
2000-01-19,1455.9,0.0522,1.2054,,,,,100.0467,-78.7722
2000-01-20,1445.5699,-0.7095,0.93,,,,,99.3369,-78.9229
2000-01-21,1441.36,-0.2912,-0.5739,,,,,99.0476,-78.9842
2000-01-24,1401.53,-2.7634,-4.3422,,,,,96.3105,-79.565
2000-01-25,1410.03,0.6065,-3.1,,,,,96.8946,-79.441
2000-01-26,1404.09,-0.4213,-3.5586,,,,,96.4864,-79.5277
2000-01-27,1398.5601,-0.3938,-3.252,,,,,96.1064,-79.6083
2000-01-28,1360.16,-2.7457,-5.6336,,,,,93.4677,-80.1682
2000-01-31,1394.46,2.5218,-0.5045,,,,,95.8247,-79.6681
2000-02-01,1409.28,1.0628,-0.0532,,,,,96.8431,-79.452
2000-02-02,1409.12,-0.0114,0.3582,-3.1679,,,,96.8321,-79.4543
2000-02-03,1424.97,1.1248,1.8884,1.8258,,,,97.9213,-79.2232
2000-02-04,1424.37,-0.0421,4.7208,1.5876,,,,97.88,-79.232
2000-02-07,1424.24,-0.0091,2.1356,1.4814,,,,97.8711,-79.2339
2000-02-08,1441.72,1.2273,2.3019,0.0173,,,,99.0723,-78.979
2000-02-09,1411.71,-2.0815,0.1838,-3.1483,,,,97.0101,-79.4165
2000-02-10,1416.83,0.3627,-0.5712,-1.5105,,,,97.3619,-79.3419
2000-02-11,1387.12,-2.0969,-2.6152,-3.151,,,,95.3203,-79.7751
2000-02-14,1389.9399,0.2033,-2.4083,-4.1209,,,,95.5141,-79.734
2000-02-15,1402.05,0.8713,-2.7516,-4.3067,,,,96.3463,-79.5574
2000-02-16,1387.67,-1.0256,-1.7029,-4.6367,,,,95.3581,-79.7671
2000-02-17,1388.26,0.0425,-2.0165,-4.6459,,,,95.3986,-79.7585
2000-02-18,1346.09,-3.0376,-2.9579,-6.8817,,,,92.5008,-80.3733
2000-02-22,1352.17,0.4517,-2.7174,-6.1879,,,,92.9186,-80.2847
2000-02-23,1360.6899,0.6301,-2.95,-2.914,,,,93.5041,-80.1604
2000-02-24,1353.4301,-0.5335,-2.4674,-4.0141,,,,93.0052,-80.2663
