date,value,chg_1m,chg_1y
2000-01-01,25.35,,
2000-02-01,28.64,3.3,
2000-03-01,28.7,0.05,
2000-04-01,29.54,0.85,
2000-05-01,30.88,1.34,
2000-06-01,33.46,2.58,
2000-07-01,33.38,-0.08,
2000-08-01,34.96,1.58,
2000-09-01,36.57,1.61,
2000-10-01,37.49,0.92,
2000-11-01,37.04,-0.45,
2000-12-01,38.55,1.51,
2001-01-01,36.08,-2.47,10.73
2001-02-01,37.85,1.77,9.21
2001-03-01,41.03,3.18,12.33
2001-04-01,37.71,-3.32,8.17
2001-05-01,33.02,-4.69,2.14
2001-06-01,32.9,-0.12,-0.56
2001-07-01,33.01,0.11,-0.37
2001-08-01,32.81,-0.2,-2.15
2001-09-01,32.2,-0.61,-4.37
2001-10-01,28.74,-3.46,-8.74
2001-11-01,29.93,1.18,-7.11
2001-12-01,23.81,-6.12,-14.74
2002-01-01,21.73,-2.08,-14.35
2002-02-01,23.15,1.42,-14.7
2002-03-01,21.1,-2.05,-19.93
2002-04-01,21.78,0.68,-15.93
2002-05-01,20.93,-0.85,-12.09
2002-06-01,22.45,1.52,-10.45
2002-07-01,22.06,-0.39,-10.95
2002-08-01,21.35,-0.72,-11.46
2002-09-01,21.08,-0.27,-11.12
2002-10-01,19.51,-1.57,-9.23
2002-11-01,15.94,-3.57,-13.99
2002-12-01,12.04,-3.89,-11.77
2003-01-01,10.4,-1.64,-11.33
2003-02-01,15.7,5.3,-7.45
2003-03-01,14.95,-0.75,-6.15
2003-04-01,13.9,-1.05,-7.88
2003-05-01,13.18,-0.72,-7.75
2003-06-01,12.03,-1.14,-10.42
2003-07-01,8.64,-3.39,-13.42
2003-08-01,9.4,0.76,-11.95
2003-09-01,7.86,-1.54,-13.21
2003-10-01,8.57,0.71,-10.94
2003-11-01,7.6,-0.97,-8.34
2003-12-01,8.39,0.79,-3.65
2004-01-01,8.6,0.21,-1.8
2004-02-01,15.2,6.6,-0.5
2004-03-01,15.75,0.55,0.8
2004-04-01,16.3,0.55,2.4
2004-05-01,14.47,-1.83,1.29
2004-06-01,14.43,-0.04,2.39
2004-07-01,10.62,-3.81,1.98
2004-08-01,9.85,-0.76,0.45
2004-09-01,9.06,-0.79,1.2
2004-10-01,8.12,-0.94,-0.45
2004-11-01,7.45,-0.67,-0.15
2004-12-01,7.95,0.49,-0.45
2005-01-01,2.52,-5.42,-6.08
2005-02-01,2.2,-0.32,-13.0
2005-03-01,6.38,4.18,-9.37
2005-04-01,11.76,5.38,-4.54
2005-05-01,13.09,1.33,-1.38
2005-06-01,13.86,0.77,-0.56
2005-07-01,9.13,-4.74,-1.49
2005-08-01,8.04,-1.09,-1.82
2005-09-01,7.73,-0.31,-1.34
2005-10-01,6.04,-1.68,-2.08
2005-11-01,4.48,-1.56,-2.97
2005-12-01,5.24,0.76,-2.71
2006-01-01,5.06,-0.17,2.54
2006-02-01,6.55,1.49,4.35
2006-03-01,6.46,-0.09,0.08
2006-04-01,6.1,-0.36,-5.66
2006-05-01,6.43,0.33,-6.66
2006-06-01,5.55,-0.87,-8.31
2006-07-01,3.2,-2.35,-5.93
