date,value,chg_1m,chg_1y
2000-01-01,21.8,,
2000-02-01,22.29,0.5,
2000-03-01,21.71,-0.58,
2000-04-01,22.66,0.95,
2000-05-01,24.84,2.19,
2000-06-01,26.36,1.52,
2000-07-01,26.8,0.44,
2000-08-01,29.02,2.22,
2000-09-01,29.58,0.57,
2000-10-01,28.75,-0.83,
2000-11-01,29.2,0.45,
2000-12-01,31.29,2.09,
2001-01-01,27.37,-3.92,5.58
2001-02-01,33.92,6.55,11.63
2001-03-01,37.32,3.39,15.61
2001-04-01,35.16,-2.16,12.51
2001-05-01,31.64,-3.53,6.8
2001-06-01,32.66,1.02,6.3
2001-07-01,33.2,0.54,6.4
2001-08-01,33.19,-0.01,4.17
2001-09-01,32.54,-0.64,2.96
2001-10-01,30.94,-1.61,2.19
2001-11-01,31.3,0.36,2.1
2001-12-01,23.19,-8.11,-8.11
2002-01-01,18.26,-4.93,-9.11
2002-02-01,18.69,0.44,-15.23
2002-03-01,17.53,-1.16,-19.79
2002-04-01,18.04,0.51,-17.12
2002-05-01,19.37,1.33,-12.27
2002-06-01,21.36,1.99,-11.3
2002-07-01,20.16,-1.2,-13.04
2002-08-01,18.82,-1.34,-14.37
2002-09-01,19.07,0.25,-13.47
2002-10-01,16.11,-2.96,-14.83
2002-11-01,12.47,-3.64,-18.83
2002-12-01,9.0,-3.47,-14.19
2003-01-01,5.94,-3.06,-12.32
2003-02-01,5.57,-0.37,-13.12
2003-03-01,3.48,-2.1,-14.05
2003-04-01,4.14,0.66,-13.9
2003-05-01,6.14,2.0,-13.23
2003-06-01,7.15,1.0,-14.21
2003-07-01,5.86,-1.29,-14.3
2003-08-01,6.14,0.28,-12.68
2003-09-01,3.76,-2.37,-15.31
2003-10-01,4.73,0.97,-11.37
2003-11-01,4.54,-0.2,-7.93
2003-12-01,4.83,0.29,-4.17
2004-01-01,2.06,-2.76,-3.88
2004-02-01,3.81,1.75,-1.76
2004-03-01,9.82,6.01,6.35
2004-04-01,10.2,0.38,6.06
2004-05-01,8.1,-2.1,1.96
2004-06-01,7.75,-0.36,0.6
2004-07-01,4.47,-3.28,-1.39
2004-08-01,7.06,2.6,0.93
2004-09-01,6.61,-0.45,2.85
2004-10-01,7.07,0.46,2.33
2004-11-01,7.04,-0.03,2.51
2004-12-01,6.38,-0.66,1.56
2005-01-01,2.62,-3.76,0.56
2005-02-01,3.66,1.05,-0.15
2005-03-01,3.72,0.06,-6.1
2005-04-01,4.69,0.97,-5.51
2005-05-01,5.56,0.87,-2.55
2005-06-01,5.9,0.35,-1.84
2005-07-01,1.38,-4.53,-3.09
2005-08-01,-0.13,-1.51,-7.2
2005-09-01,2.06,2.2,-4.55
2005-10-01,3.4,1.33,-3.67
2005-11-01,2.84,-0.55,-4.2
2005-12-01,3.1,0.25,-3.29
2006-01-01,0.92,-2.17,-1.7
2006-02-01,1.04,0.12,-2.63
2006-03-01,1.15,0.11,-2.57
2006-04-01,2.39,1.24,-2.3
2006-05-01,2.36,-0.03,-3.2
2006-06-01,2.77,0.41,-3.13
2006-07-01,1.39,-1.38,0.01
2006-08-01,0.87,-0.53,1.0
2006-09-01,0.95,0.08,-1.12
2006-10-01,2.52,1.57,-0.88
2006-11-01,3.29,0.77,0.45
2006-12-01,4.57,1.28,1.48
2007-01-01,5.56,0.99,4.64
2007-02-01,6.18,0.62,5.14
2007-03-01,6.78,0.6,5.63
2007-04-01,5.66,-1.11,3.27
2007-05-01,5.72,0.06,3.36
2007-06-01,5.98,0.26,3.21
2007-07-01,9.12,3.14,7.73
2007-08-01,10.16,1.04,9.3
2007-09-01,12.8,2.64,11.85
2007-10-01,9.57,-3.23,7.06
2007-11-01,15.88,6.3,12.59
2007-12-01,14.18,-1.69,9.61
2008-01-01,15.5,1.32,9.94
2008-02-01,19.12,3.62,12.94
2008-03-01,31.82,12.69,25.04
2008-04-01,27.03,-4.79,21.36
2008-05-01,22.02,-5.0,16.3
2008-06-01,27.11,5.09,21.13
2008-07-01,30.74,3.63,21.62
2008-08-01,35.67,4.93,25.51
2008-09-01,47.42,11.75,34.62
2008-10-01,58.25,10.83,48.68
2008-11-01,59.03,0.78,43.15
2008-12-01,81.03,22.0,66.85
2009-01-01,107.49,26.46,91.99
2009-02-01,110.61,3.12,91.48
2009-03-01,103.92,-6.68,72.11
2009-04-01,87.28,-16.65,60.25
2009-05-01,68.32,-18.95,46.3
2009-06-01,76.14,7.82,49.03
2009-07-01,67.41,-8.73,36.67
2009-08-01,47.31,-20.1,11.64
2009-09-01,54.0,6.69,6.58
2009-10-01,56.2,2.2,-2.05
2009-11-01,57.24,1.04,-1.79
2009-12-01,66.57,9.33,-14.46
2010-01-01,73.11,6.55,-34.37
2010-02-01,80.81,7.7,-29.8
2010-03-01,72.83,-7.98,-31.09
2010-04-01,83.69,10.86,-3.58
2010-05-01,134.99,51.29,66.66
2010-06-01,201.23,66.25,125.09
2010-07-01,181.72,-19.51,114.31
2010-08-01,168.72,-13.0,121.4
2010-09-01,179.42,10.7,125.41
2010-10-01,169.08,-10.34,112.88
2010-11-01,215.32,46.24,158.08
2010-12-01,245.96,30.64,179.39
