date,value,chg_1m,chg_1y
2000-01-01,12.87,,
2000-02-01,12.07,-0.79,
2000-03-01,11.61,-0.47,
2000-04-01,12.74,1.14,
2000-05-01,12.32,-0.42,
2000-06-01,13.86,1.54,
2000-07-01,14.57,0.71,
2000-08-01,15.73,1.16,
2000-09-01,16.23,0.5,
2000-10-01,15.18,-1.05,
2000-11-01,13.59,-1.59,
2000-12-01,15.61,2.02,
2001-01-01,14.55,-1.06,1.68
2001-02-01,16.1,1.55,4.03
2001-03-01,17.28,1.18,5.67
2001-04-01,18.47,1.19,5.73
2001-05-01,16.64,-1.83,4.32
2001-06-01,15.2,-1.44,1.34
2001-07-01,13.36,-1.84,-1.21
2001-08-01,13.04,-0.32,-2.69
2001-09-01,13.5,0.46,-2.73
2001-10-01,14.64,1.14,-0.53
2001-11-01,16.32,1.67,2.73
2001-12-01,16.45,0.13,0.84
2002-01-01,8.62,-7.83,-5.93
2002-02-01,8.26,-0.36,-7.84
2002-03-01,10.01,1.75,-7.27
2002-04-01,9.0,-1.01,-9.47
2002-05-01,8.98,-0.02,-7.66
2002-06-01,9.56,0.58,-5.64
2002-07-01,8.64,-0.92,-4.72
2002-08-01,8.45,-0.2,-4.59
2002-09-01,10.2,1.75,-3.3
2002-10-01,12.61,2.41,-2.03
2002-11-01,10.03,-2.58,-6.29
2002-12-01,6.52,-3.5,-9.93
2003-01-01,4.35,-2.17,-4.27
2003-02-01,5.88,1.53,-2.38
2003-03-01,11.99,6.11,1.98
2003-04-01,7.9,-4.09,-1.1
2003-05-01,9.07,1.17,0.09
2003-06-01,8.27,-0.79,-1.29
2003-07-01,3.91,-4.36,-4.73
2003-08-01,3.4,-0.51,-5.05
2003-09-01,3.55,0.15,-6.64
2003-10-01,7.08,3.53,-5.53
2003-11-01,7.0,-0.08,-3.03
2003-12-01,4.67,-2.33,-1.85
2004-01-01,2.78,-1.89,-1.57
2004-02-01,2.9,0.12,-2.98
2004-03-01,7.45,4.55,-4.54
2004-04-01,10.16,2.71,2.26
2004-05-01,9.22,-0.94,0.15
2004-06-01,7.67,-1.55,-0.61
2004-07-01,3.36,-4.31,-0.55
2004-08-01,2.81,-0.54,-0.59
2004-09-01,7.16,4.35,3.61
2004-10-01,7.76,0.6,0.68
2004-11-01,7.26,-0.5,0.26
2004-12-01,6.37,-0.9,1.69
2005-01-01,0.88,-5.48,-1.9
2005-02-01,5.47,4.59,2.57
2005-03-01,5.0,-0.47,-2.45
2005-04-01,5.68,0.68,-4.48
2005-05-01,6.89,1.21,-2.33
2005-06-01,7.23,0.34,-0.43
2005-07-01,6.73,-0.51,3.37
2005-08-01,6.27,-0.46,3.45
2005-09-01,6.4,0.13,-0.77
2005-10-01,5.86,-0.53,-1.9
2005-11-01,4.33,-1.53,-2.93
2005-12-01,3.27,-1.06,-3.1
2006-01-01,2.51,-0.75,1.63
2006-02-01,3.65,1.14,-1.82
2006-03-01,5.13,1.48,0.13
2006-04-01,5.78,0.65,0.1
2006-05-01,4.08,-1.7,-2.81
2006-06-01,4.83,0.76,-2.4
2006-07-01,1.1,-3.73,-5.63
2006-08-01,0.87,-0.23,-5.4
2006-09-01,0.85,-0.02,-5.55
2006-10-01,2.33,1.48,-3.54
2006-11-01,2.54,0.21,-1.79
2006-12-01,5.68,3.14,2.41
2007-01-01,5.43,-0.25,2.91
2007-02-01,4.45,-0.98,0.8
2007-03-01,5.86,1.41,0.73
2007-04-01,6.19,0.33,0.41
2007-05-01,6.35,0.16,2.27
2007-06-01,5.87,-0.47,1.04
2007-07-01,7.66,1.79,6.56
2007-08-01,8.71,1.05,7.84
2007-09-01,13.55,4.84,12.7
2007-10-01,11.48,-2.07,9.15
2007-11-01,13.88,2.4,11.34
2007-12-01,14.93,1.05,9.25
2008-01-01,11.37,-3.56,5.94
2008-02-01,12.91,1.55,8.46
2008-03-01,21.14,8.23,15.28
2008-04-01,23.78,2.64,17.59
2008-05-01,20.48,-3.3,14.13
2008-06-01,22.13,1.65,16.26
2008-07-01,20.24,-1.9,12.58
2008-08-01,19.61,-0.62,10.9
2008-09-01,26.19,6.58,12.64
2008-10-01,30.55,4.36,19.07
2008-11-01,42.39,11.84,28.51
2008-12-01,49.71,7.32,34.78
2009-01-01,53.78,4.07,42.42
2009-02-01,53.16,-0.62,40.25
2009-03-01,63.13,9.97,41.98
2009-04-01,53.05,-10.08,29.27
2009-05-01,43.03,-10.02,22.55
2009-06-01,42.44,-0.59,20.3
2009-07-01,38.93,-3.51,18.69
2009-08-01,28.34,-10.59,8.72
2009-09-01,32.25,3.92,6.06
2009-10-01,34.67,2.42,4.12
2009-11-01,33.97,-0.71,-8.42
2009-12-01,33.59,-0.38,-16.12
2010-01-01,26.07,-7.52,-27.71
2010-02-01,32.41,6.34,-20.75
2010-03-01,33.59,1.18,-29.53
2010-04-01,33.47,-0.12,-19.58
2010-05-01,34.23,0.76,-8.8
2010-06-01,52.82,18.59,10.39
2010-07-01,36.5,-16.32,-2.43
2010-08-01,33.1,-3.4,4.76
2010-09-01,36.47,3.37,4.22
2010-10-01,37.5,1.02,2.83
2010-11-01,46.38,8.88,12.41
2010-12-01,43.18,-3.19,9.59
2011-01-01,42.69,-0.49,16.62
2011-02-01,40.39,-2.3,7.98
