date,value,chg_1m,chg_1y
2000-01-01,106.05,,
2000-02-01,98.14,-7.9,
2000-03-01,90.7,-7.45,
2000-04-01,88.44,-2.25,
2000-05-01,84.18,-4.26,
2000-06-01,86.86,2.68,
2000-07-01,81.38,-5.48,
2000-08-01,82.96,1.58,
2000-09-01,78.67,-4.29,
2000-10-01,76.29,-2.38,
2000-11-01,71.64,-4.65,
2000-12-01,64.95,-6.69,
2001-01-01,54.68,-10.27,-51.37
2001-02-01,57.25,2.57,-40.89
2001-03-01,61.23,3.98,-29.47
2001-04-01,56.21,-5.02,-32.23
2001-05-01,49.32,-6.89,-34.86
2001-06-01,48.0,-1.32,-38.86
2001-07-01,50.41,2.41,-30.97
2001-08-01,50.61,0.2,-32.35
2001-09-01,49.7,-0.91,-28.97
2001-10-01,47.04,-2.66,-29.24
2001-11-01,45.23,-1.82,-26.41
2001-12-01,39.41,-5.82,-25.54
2002-01-01,36.73,-2.68,-17.95
2002-02-01,39.05,2.32,-18.2
2002-03-01,34.9,-4.15,-26.33
2002-04-01,35.48,0.58,-20.73
2002-05-01,35.23,-0.25,-14.09
2002-06-01,34.25,-0.98,-13.75
2002-07-01,34.26,0.01,-16.15
2002-08-01,36.05,1.78,-14.56
2002-09-01,34.48,-1.57,-15.22
2002-10-01,32.61,-1.87,-14.43
2002-11-01,28.24,-4.37,-16.99
2002-12-01,24.44,-3.79,-14.97
2003-01-01,25.0,0.56,-11.73
2003-02-01,28.5,3.5,-10.55
2003-03-01,25.95,-2.55,-8.95
2003-04-01,23.3,-2.65,-12.18
2003-05-01,20.48,-2.82,-14.75
2003-06-01,19.33,-1.14,-14.92
2003-07-01,14.74,-4.59,-19.52
2003-08-01,16.0,1.26,-20.05
2003-09-01,14.86,-1.14,-19.61
2003-10-01,15.87,1.01,-16.74
2003-11-01,15.7,-0.17,-12.54
2003-12-01,15.89,0.19,-8.55
2004-01-01,19.9,4.01,-5.1
2004-02-01,24.0,4.1,-4.5
2004-03-01,25.65,1.65,-0.3
2004-04-01,25.3,-0.35,2.0
2004-05-01,23.67,-1.63,3.19
2004-06-01,23.73,0.06,4.39
2004-07-01,20.32,-3.41,5.58
2004-08-01,19.95,-0.36,3.95
2004-09-01,20.36,0.41,5.5
2004-10-01,21.52,1.16,5.65
2004-11-01,18.95,-2.57,3.25
2004-12-01,19.05,0.09,3.15
2005-01-01,12.52,-6.52,-7.38
2005-02-01,14.6,2.08,-9.4
2005-03-01,22.38,7.78,-3.27
2005-04-01,27.76,5.38,2.46
2005-05-01,29.59,1.83,5.92
2005-06-01,31.36,1.77,7.64
2005-07-01,25.43,-5.94,5.11
2005-08-01,23.74,-1.69,3.78
2005-09-01,23.23,-0.51,2.86
2005-10-01,21.14,-2.08,-0.38
2005-11-01,22.18,1.04,3.23
2005-12-01,23.24,1.06,4.19
2006-01-01,27.86,4.63,15.34
2006-02-01,29.75,1.89,15.15
2006-03-01,31.26,1.51,8.88
2006-04-01,33.5,2.24,5.74
2006-05-01,33.73,0.23,4.14
2006-06-01,34.95,1.23,3.59
2006-07-01,32.0,-2.95,6.57
2006-08-01,30.61,-1.39,6.87
2006-09-01,30.62,0.01,7.39
2006-10-01,29.23,-1.39,8.08
2006-11-01,26.59,-2.64,4.41
2006-12-01,26.95,0.36,3.71
2007-01-01,26.32,-0.63,-1.55
2007-02-01,25.1,-1.22,-4.65
2007-03-01,25.91,0.81,-5.35
2007-04-01,24.79,-1.12,-8.71
2007-05-01,23.1,-1.69,-10.63
2007-06-01,23.95,0.86,-11.0
2007-07-01,28.5,4.55,-3.5
2007-08-01,32.35,3.85,1.74
2007-09-01,33.4,1.05,2.78
2007-10-01,29.74,-3.66,0.51
2007-11-01,34.09,4.35,7.5
2007-12-01,32.41,-1.68,5.46
2008-01-01,37.23,4.82,10.91
2008-02-01,40.71,3.49,15.61
2008-03-01,62.05,21.34,36.14
2008-04-01,50.0,-12.05,25.21
2008-05-01,53.81,3.81,30.71
2008-06-01,64.95,11.14,41.0
2008-07-01,65.96,1.0,37.46
2008-08-01,66.76,0.81,34.41
2008-09-01,78.59,11.83,45.19
2008-10-01,104.65,26.06,74.91
2008-11-01,153.35,48.7,119.26
2008-12-01,203.21,49.86,170.8
2009-01-01,252.9,49.69,215.68
2009-02-01,257.25,4.35,216.54
2009-03-01,285.05,27.8,222.99
2009-04-01,236.7,-48.35,186.7
2009-05-01,184.9,-51.8,131.09
2009-06-01,185.64,0.74,120.68
2009-07-01,155.22,-30.42,89.26
2009-08-01,121.48,-33.74,54.71
2009-09-01,129.68,8.21,51.09
2009-10-01,136.09,6.41,31.44
2009-11-01,162.29,26.19,8.94
2009-12-01,235.15,72.86,31.94
2010-01-01,276.25,41.1,23.35
2010-02-01,329.0,52.75,71.75
2010-03-01,313.78,-15.22,28.74
2010-04-01,476.55,162.77,239.85
2010-05-01,523.57,47.02,338.67
2010-06-01,655.68,132.11,470.05
2010-07-01,772.41,116.73,617.19
2010-08-01,835.0,62.59,713.52
2010-09-01,903.95,68.95,774.27
2010-10-01,722.43,-181.53,586.34
2010-11-01,898.73,176.3,736.44
2010-12-01,909.52,10.8,674.37
2011-01-01,871.33,-38.19,595.08
2011-02-01,820.1,-51.23,491.1
2011-03-01,922.83,102.73,609.04
2011-04-01,1051.95,129.12,575.4
2011-05-01,1287.91,235.96,764.34
2011-06-01,1379.91,92.0,724.23
2011-07-01,1340.62,-39.29,568.21
2011-08-01,1368.65,28.03,533.65
2011-09-01,1595.09,226.44,691.14
2011-10-01,1603.76,8.67,881.33
2011-11-01,1604.59,0.83,705.86
2011-12-01,1921.24,316.65,1011.71
2012-01-01,2408.91,487.67,1537.58
2012-02-01,2738.81,329.9,1918.71
2012-03-01,1722.95,-1015.85,800.13
2012-04-01,1985.58,262.62,933.63
2012-05-01,2556.32,570.74,1268.41
2012-06-01,2651.95,95.63,1272.04
2012-07-01,2457.77,-194.18,1117.15
2012-08-01,2299.83,-157.95,931.17
2012-09-01,1941.95,-357.88,346.86
2012-10-01,1649.3,-292.65,45.54
