date,value,chg_1m,chg_1y
2000-01-01,20.84,,
2000-02-01,21.78,0.94,
2000-03-01,24.38,2.6,
2000-04-01,24.01,-0.37,
2000-05-01,28.65,4.64,
2000-06-01,31.83,3.17,
2000-07-01,32.51,0.68,
2000-08-01,35.22,2.71,
2000-09-01,36.9,1.67,
2000-10-01,37.13,0.23,
2000-11-01,39.45,2.32,
2000-12-01,40.76,1.31,
2001-01-01,37.99,-2.76,17.15
2001-02-01,40.62,2.63,18.84
2001-03-01,46.28,5.66,21.89
2001-04-01,45.44,-0.84,21.43
2001-05-01,40.19,-5.25,11.53
2001-06-01,39.9,-0.29,8.07
2001-07-01,40.03,0.13,7.52
2001-08-01,39.06,-0.97,3.84
2001-09-01,38.3,-0.76,1.4
2001-10-01,36.44,-1.86,-0.69
2001-11-01,35.26,-1.18,-4.19
2001-12-01,31.13,-4.14,-9.63
2002-01-01,27.97,-3.16,-10.03
2002-02-01,28.0,0.03,-12.62
2002-03-01,24.97,-3.03,-21.31
2002-04-01,24.87,-0.09,-20.57
2002-05-01,23.83,-1.05,-16.36
2002-06-01,23.78,-0.04,-16.12
2002-07-01,24.19,0.41,-15.84
2002-08-01,23.89,-0.31,-15.18
2002-09-01,23.32,-0.57,-14.98
2002-10-01,29.31,5.99,-7.12
2002-11-01,25.78,-3.54,-9.48
2002-12-01,21.27,-4.51,-9.86
2003-01-01,19.55,-1.72,-8.42
2003-02-01,20.18,0.63,-7.82
2003-03-01,18.41,-1.77,-6.55
2003-04-01,16.49,-1.93,-8.38
2003-05-01,21.99,5.5,-1.83
2003-06-01,20.54,-1.45,-3.24
2003-07-01,15.94,-4.6,-8.25
2003-08-01,16.34,0.39,-7.55
2003-09-01,14.31,-2.03,-9.01
2003-10-01,16.09,1.78,-13.22
2003-11-01,15.84,-0.25,-9.94
2003-12-01,16.77,0.94,-4.49
2004-01-01,14.56,-2.21,-4.99
2004-02-01,23.28,8.72,3.1
2004-03-01,25.53,2.24,7.11
2004-04-01,25.39,-0.14,8.9
2004-05-01,23.97,-1.42,1.98
2004-06-01,23.12,-0.85,2.58
2004-07-01,20.31,-2.81,4.37
2004-08-01,19.67,-0.64,3.33
2004-09-01,23.44,3.78,9.13
2004-10-01,23.41,-0.03,7.32
2004-11-01,21.93,-1.48,6.1
2004-12-01,21.21,-0.72,4.44
2005-01-01,14.67,-6.55,0.11
2005-02-01,13.44,-1.23,-9.85
2005-03-01,14.11,0.67,-11.42
2005-04-01,17.09,2.98,-8.3
2005-05-01,24.85,7.77,0.88
2005-06-01,27.87,3.01,4.75
2005-07-01,23.27,-4.6,2.96
2005-08-01,21.64,-1.63,1.97
2005-09-01,21.93,0.29,-1.51
2005-10-01,20.59,-1.34,-2.83
2005-11-01,20.7,0.11,-1.24
2005-12-01,21.56,0.86,0.34
2006-01-01,22.22,0.66,7.55
2006-02-01,22.48,0.27,9.05
2006-03-01,28.54,6.06,14.44
2006-04-01,32.68,4.14,15.6
2006-05-01,32.2,-0.49,7.34
2006-06-01,33.43,1.23,5.56
2006-07-01,29.65,-3.78,6.38
2006-08-01,28.68,-0.97,7.04
2006-09-01,28.2,-0.48,6.27
2006-10-01,28.22,0.02,7.64
2006-11-01,25.6,-2.62,4.9
