date,value,chg_1m,chg_1y
2000-01-01,27.05,,
2000-02-01,27.14,0.1,
2000-03-01,27.7,0.55,
2000-04-01,29.44,1.75,
2000-05-01,30.18,0.74,
2000-06-01,34.86,4.68,
2000-07-01,34.38,-0.48,
2000-08-01,35.96,1.58,
2000-09-01,36.67,0.71,
2000-10-01,37.29,0.62,
2000-11-01,37.64,0.35,
2000-12-01,38.95,1.31,
2001-01-01,35.68,-3.27,8.63
2001-02-01,36.25,0.57,9.11
2001-03-01,42.23,5.98,14.53
2001-04-01,44.21,1.98,14.77
2001-05-01,37.32,-6.89,7.14
2001-06-01,38.0,0.68,3.14
2001-07-01,37.41,-0.59,3.03
2001-08-01,36.61,-0.8,0.65
2001-09-01,35.7,-0.91,-0.97
2001-10-01,32.04,-3.66,-5.24
2001-11-01,31.23,-0.82,-6.41
2001-12-01,27.41,-3.82,-11.54
2002-01-01,21.73,-5.68,-13.95
2002-02-01,23.05,1.32,-13.2
2002-03-01,22.9,-0.15,-19.33
2002-04-01,23.48,0.58,-20.73
2002-05-01,23.23,-0.25,-14.09
2002-06-01,24.25,1.02,-13.75
2002-07-01,25.26,1.01,-12.15
2002-08-01,26.05,0.78,-10.56
2002-09-01,24.48,-1.57,-11.22
2002-10-01,23.61,-0.87,-8.43
2002-11-01,17.24,-6.37,-13.99
2002-12-01,11.44,-5.79,-15.97
2003-01-01,9.0,-2.44,-12.73
2003-02-01,8.5,-0.5,-14.55
2003-03-01,7.95,-0.55,-14.95
2003-04-01,3.3,-4.65,-20.18
2003-05-01,9.48,6.18,-13.75
2003-06-01,15.33,5.86,-8.92
2003-07-01,12.74,-2.59,-12.52
2003-08-01,13.0,0.26,-13.05
2003-09-01,11.86,-1.14,-12.61
2003-10-01,13.87,2.01,-9.74
2003-11-01,12.7,-1.17,-4.54
2003-12-01,10.89,-1.81,-0.55
2004-01-01,7.9,-2.99,-1.1
2004-02-01,8.0,0.1,-0.5
2004-03-01,8.65,0.65,0.7
2004-04-01,15.3,6.65,12.0
2004-05-01,16.67,1.37,7.19
2004-06-01,15.73,-0.94,0.39
2004-07-01,11.32,-4.41,-1.42
2004-08-01,9.95,-1.36,-3.05
2004-09-01,10.36,0.41,-1.5
2004-10-01,9.52,-0.84,-4.35
2004-11-01,7.95,-1.57,-4.75
2004-12-01,6.05,-1.91,-4.85
2005-01-01,-0.48,-6.52,-8.38
2005-02-01,0.6,1.08,-7.4
2005-03-01,0.38,-0.22,-8.27
2005-04-01,1.76,1.38,-13.54
2005-05-01,4.59,2.83,-12.08
2005-06-01,6.36,1.77,-9.36
2005-07-01,14.43,8.06,3.11
2005-08-01,15.74,1.31,5.78
2005-09-01,16.23,0.49,5.86
2005-10-01,15.14,-1.08,5.62
2005-11-01,13.18,-1.96,5.23
2005-12-01,12.24,-0.94,6.19
2006-01-01,12.86,0.63,13.34
2006-02-01,12.75,-0.11,12.15
2006-03-01,13.26,0.51,12.88
2006-04-01,13.5,0.24,11.74
2006-05-01,10.73,-2.77,6.14
2006-06-01,13.95,3.23,7.59
2006-07-01,13.0,-0.95,-1.43
2006-08-01,17.61,4.61,1.87
2006-09-01,17.62,0.01,1.39
2006-10-01,19.23,1.61,4.08
2006-11-01,17.59,-1.64,4.41
2006-12-01,18.95,1.36,6.71
2007-01-01,16.32,-2.63,3.45
2007-02-01,14.1,-2.22,1.35
2007-03-01,15.91,1.81,2.65
2007-04-01,14.79,-1.12,1.29
2007-05-01,16.1,1.31,5.37
