date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,2582.9399,,,,,,,100.0,-44.5259
2000-01-04,2530.1499,-2.0438,,,,,,97.9562,-45.6597
2000-01-05,2391.03,-5.4985,,,,,,92.5701,-48.6476
2000-01-06,2359.21,-1.3308,,,,,,91.3382,-49.331
2000-01-07,2406.04,1.985,,,,,,93.1512,-48.3252
2000-01-10,2433.6799,1.1488,-5.7787,,,,,94.2213,-47.7316
2000-01-11,2409.7,-0.9853,-4.7606,,,,,93.2929,-48.2466
2000-01-12,2427.5601,0.7412,1.5278,,,,,93.9844,-47.863
2000-01-13,2394.3201,-1.3693,1.4882,,,,,92.6975,-48.5769
2000-01-14,2392.53,-0.0748,-0.5615,,,,,92.6282,-48.6154
2000-01-17,2342.04,-2.1103,-3.7655,,,,,90.6734,-49.6998
2000-01-18,2319.77,-0.9509,-3.732,,,,,89.8112,-50.178
2000-01-19,2254.8701,-2.7977,-7.1137,,,,,87.2986,-51.5719
2000-01-20,2315.53,2.6902,-3.2907,,,,,89.6471,-50.2691
2000-01-21,2278.48,-1.6001,-4.7669,,,,,88.2127,-51.0648
2000-01-24,2264.6399,-0.6074,-3.3048,,,,,87.6768,-51.3621
2000-01-25,2238.8301,-1.1397,-3.4891,,,,,86.6776,-51.9164
2000-01-26,2259.5,0.9232,0.2053,,,,,87.4778,-51.4725
2000-01-27,2305.72,2.0456,-0.4237,,,,,89.2673,-50.4798
2000-01-28,2284.9099,-0.9025,0.2822,,,,,88.4616,-50.9267
2000-01-31,2230.28,-2.3909,-1.5172,,,,,86.3466,-52.1
2000-02-01,2230.3899,0.0049,-0.377,-13.6492,,,,86.3508,-52.0977
2000-02-02,2271.3999,1.8387,0.5267,-10.2267,,,,87.9385,-51.2169
2000-02-03,2249.3301,-0.9716,-2.4457,-5.9263,,,,87.0841,-51.6909
2000-02-04,2258.9099,0.4259,-1.1379,-4.2514,,,,87.455,-51.4851
2000-02-08,2245.8,-0.5804,0.6959,-6.6599,,,,86.9474,-51.7667
2000-02-09,2227.3201,-0.8229,-0.1376,-8.4793,,,,86.232,-52.1636
2000-02-10,2225.3,-0.0907,-2.0296,-7.6524,,,,86.1538,-52.207
2000-02-11,2234.9199,0.4323,-0.6406,-7.9355,,,,86.5262,-52.0004
2000-02-14,2236.1599,0.0555,-1.0071,-6.6056,,,,86.5742,-51.9737
2000-02-15,2199.3601,-1.6457,-2.0679,-8.0739,,,,85.1495,-52.7641
2000-02-16,2212.3201,0.5893,-0.6735,-5.5388,,,,85.6512,-52.4858
2000-02-17,2230.05,0.8014,0.2135,-3.8676,,,,86.3377,-52.105
2000-02-18,2177.3601,-2.3627,-2.5755,-3.4374,,,,84.2977,-53.2366
2000-02-21,2115.8501,-2.825,-5.3802,-8.6235,,,,81.9163,-54.5577
2000-02-22,2106.6201,-0.4362,-4.2167,-7.5427,,,,81.559,-54.7559
2000-02-23,2137.7,1.4753,-3.3729,-5.6053,,,,82.7623,-54.0884
2000-02-24,2123.6699,-0.6563,-4.7703,-5.1438,,,,82.2191,-54.3897
2000-02-25,2140.3999,0.7878,-1.6975,-5.2711,,,,82.8668,-54.0304
2000-02-28,2118.6499,-1.0162,0.1323,-8.1133,,,,82.0247,-54.4975
2000-02-29,2120.5,0.0873,0.6589,-7.1955,,,,82.0964,-54.4578
2000-03-01,2114.05,-0.3042,-1.1063,-5.2115,,,,81.8467,-54.5963
2000-03-02,2110.1699,-0.1835,-0.6357,-5.3901,,,,81.6964,-54.6797
2000-03-03,2117.03,0.3251,-1.0918,-6.7962,,,,81.962,-54.5323
2000-03-06,2119.97,0.1389,0.0623,-5.7511,,,,82.0759,-54.4692
2000-03-07,2091.3101,-1.3519,-1.3766,-7.4195,,,,80.9663,-55.0847
2000-03-08,2072.5801,-0.8956,-1.9616,-7.7131,,,,80.2411,-55.487
2000-03-09,2082.29,0.4685,-1.3212,-6.5114,,,,80.6171,-55.2784
2000-03-10,2096.24,0.6699,-0.982,-5.7997,,,,81.1571,-54.9788
2000-03-13,2042.66,-2.556,-3.6467,-8.6025,,,,79.0828,-56.1296
2000-03-14,2053.47,0.5292,-1.8094,-8.1698,,,,79.5013,-55.8974
2000-03-15,2022.11,-1.5272,-2.4351,-8.0592,,,,78.2871,-56.5709
2000-03-17,2094.47,3.5784,0.5849,-5.327,,,,81.0886,-55.0168
2000-03-20,2077.1001,-0.8293,-0.9131,-6.8586,,,,80.4161,-55.3899
2000-03-21,2118.54,1.9951,3.7148,-2.7014,,,,82.0205,-54.4999
2000-03-22,2133.6399,0.7127,3.9041,0.8408,,,,82.6051,-54.1756
2000-03-23,2126.8501,-0.3182,5.1797,0.9603,,,,82.3422,-54.3214
2000-03-24,2146.2,0.9098,2.4698,0.3976,,,,83.0914,-53.9058
2000-03-27,2217.0701,3.3021,6.7387,4.3981,,,,85.8351,-52.3837
2000-03-28,2207.6299,-0.4258,4.2052,3.141,,,,85.4697,-52.5865
2000-03-29,2181.46,-1.1854,2.2412,2.9646,,,,84.4565,-53.1485
2000-03-30,2116.8101,-2.9636,-0.4721,-0.174,,,,81.9535,-54.537
2000-03-31,2132.5901,0.7455,-0.6341,0.877,,,,82.5644,-54.1981
2000-04-03,2071.6799,-2.8562,-6.5578,-1.824,-19.7937,,,80.2063,-55.5063
2000-04-04,2058.54,-0.6343,-6.7534,-2.7628,-18.6396,,,79.6976,-55.7885
2000-04-05,2055.3,-0.1574,-5.7833,-3.0505,-14.0412,,,79.5721,-55.8581
2000-04-06,2111.51,2.7349,-0.2504,0.9659,-10.4993,,,81.7483,-54.6509
2000-04-07,2150.51,1.847,0.8403,3.76,-10.6204,,,83.2582,-53.8133
2000-04-10,2126.9299,-1.0965,2.6669,2.1438,-12.6044,,,82.3453,-54.3197
2000-04-11,2131.3799,0.2092,3.5384,1.6763,-11.55,,,82.5176,-54.2241
2000-04-12,2135.3899,0.1881,3.8967,4.5397,-12.0355,,,82.6728,-54.138
2000-04-13,2163.8999,1.3351,2.4812,5.3777,-9.6236,,,83.7766,-53.5257
2000-04-14,2189.76,1.1951,1.8251,8.2908,-8.4751,,,84.7778,-52.9703
2000-04-17,1999.39,-8.6936,-5.9964,-4.5396,-14.6304,,,77.4075,-57.0589
2000-04-18,2007.17,0.3891,-5.8277,-3.3667,-13.4755,,,77.7087,-56.8918
2000-04-19,2058.9099,2.5778,-3.5815,-2.8147,-8.6905,,,79.7119,-55.7806
