date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-03-01,5.08,,,,,,,100.0,-65.2055
2000-03-02,4.96,-2.3622,,,,,,97.6378,-66.0274
2000-03-03,5.05,1.8145,,,,,,99.4095,-65.411
2000-03-06,5.04,-0.198,,,,,,99.2126,-65.4795
2000-03-07,5.07,0.5952,,,,,,99.8032,-65.274
2000-03-08,5.12,0.9862,0.7874,,,,,100.7874,-64.9315
2000-03-09,5.16,0.7812,4.0323,,,,,101.5748,-64.6575
2000-03-10,5.22,1.1628,3.3663,,,,,102.7559,-64.2466
2000-03-13,5.42,3.8314,7.5397,,,,,106.6929,-62.8767
2000-03-14,5.28,-2.583,4.142,,,,,103.937,-63.8356
2000-03-15,5.25,-0.5682,2.5391,,,,,103.3465,-64.0411
2000-03-16,5.34,1.7143,3.4884,,,,,105.1181,-63.4247
2000-03-17,5.27,-1.3109,0.9579,,,,,103.7402,-63.9041
2000-03-20,5.13,-2.6565,-5.3506,,,,,100.9843,-64.863
2000-03-21,5.2,1.3645,-1.5152,,,,,102.3622,-64.3836
2000-03-22,5.25,0.9615,0.0,,,,,103.3465,-64.0411
2000-03-23,5.45,3.8095,2.0599,,,,,107.2835,-62.6712
2000-03-24,5.38,-1.2844,2.0873,,,,,105.9055,-63.1507
2000-03-27,5.47,1.6729,6.6277,,,,,107.6772,-62.5342
2000-03-28,5.41,-1.0969,4.0385,,,,,106.4961,-62.9452
2000-03-29,5.42,0.1848,3.2381,,,,,106.6929,-62.8767
2000-03-30,5.55,2.3985,1.8349,9.252,,,,109.252,-61.9863
2000-03-31,5.9,6.3063,9.6654,18.9516,,,,116.1417,-59.589
2000-04-03,5.91,0.1695,8.0439,17.0297,,,,116.3386,-59.5206
2000-04-04,5.81,-1.692,7.3937,15.2778,,,,114.3701,-60.2055
2000-04-05,6.02,3.6145,11.0701,18.7377,,,,118.5039,-58.7671
2000-04-06,5.96,-0.9967,7.3874,16.4063,,,,117.3228,-59.1781
2000-04-07,5.89,-1.1745,-0.1695,14.1473,,,,115.9449,-59.6575
2000-04-10,5.86,-0.5093,-0.846,12.2605,,,,115.3543,-59.863
2000-04-11,5.97,1.8771,2.7539,10.1476,,,,117.5197,-59.1096
2000-04-12,6.03,1.005,0.1661,14.2045,,,,118.7008,-58.6986
2000-04-13,6.16,2.1559,3.3557,17.3333,,,,121.2598,-57.8082
2000-04-14,6.23,1.1364,5.7725,16.6667,,,,122.6378,-57.3288
2000-04-17,6.45,3.5313,10.0683,22.3909,,,,126.9685,-55.8219
2000-04-18,6.35,-1.5504,6.3652,23.7817,,,,125.0,-56.5069
2000-04-19,6.41,0.9449,6.3018,23.2692,,,,126.1811,-56.0959
2000-04-20,6.44,0.468,4.5455,22.6667,,,,126.7717,-55.8904
2000-04-24,6.37,-1.087,2.2472,16.8807,,,,125.3937,-56.3699
2000-04-25,6.36,-0.157,-1.3953,18.2156,,,,125.1969,-56.4384
2000-04-26,6.27,-1.4151,-1.2598,14.6252,,,,123.4252,-57.0548
2000-04-27,6.18,-1.4354,-3.5881,14.2329,,,,121.6535,-57.6712
2000-04-28,5.16,-16.5049,-19.8758,-4.7971,,,,101.5748,-64.6575
2000-05-01,6.53,26.5504,2.5118,17.6577,,,,128.5433,-55.274
2000-05-02,6.4,-1.9908,0.6289,8.4746,,,,125.9843,-56.1644
2000-05-03,6.4,0.0,2.0734,8.291,,,,125.9843,-56.1644
2000-05-04,6.53,2.0313,5.6634,12.3924,,,,128.5433,-55.274
2000-05-05,6.59,0.9188,27.7132,9.4684,,,,129.7244,-54.863
2000-05-08,6.45,-2.1244,-1.2251,8.2215,,,,126.9685,-55.8219
2000-05-09,6.5,0.7752,1.5625,10.3565,,,,127.9528,-55.4795
2000-05-10,6.5,0.0,1.5625,10.9215,,,,127.9528,-55.4795
2000-05-11,6.63,2.0,1.5314,11.0553,,,,130.5118,-54.589
2000-05-12,6.78,2.2624,2.8832,12.4378,,,,133.4646,-53.5616
2000-05-15,6.95,2.5074,7.7519,12.8247,,,,136.811,-52.3973
2000-05-16,7.13,2.5899,9.6923,14.4462,,,,140.3543,-51.1644
2000-05-17,7.06,-0.9818,8.6154,9.4574,,,,138.9764,-51.6438
2000-05-18,7.07,0.1416,6.6365,11.3386,,,,139.1732,-51.5753
2000-05-19,7.21,1.9802,6.3422,12.4805,,,,141.9291,-50.6164
2000-05-22,7.42,2.9126,6.7626,15.2174,,,,146.063,-49.1781
2000-05-23,7.45,0.4043,4.4881,16.9545,,,,146.6535,-48.9726
2000-05-24,7.56,1.4765,7.0822,18.8679,,,,148.8189,-48.2192
2000-05-25,7.76,2.6455,9.7595,23.764,,,,152.7559,-46.8493
2000-05-26,7.81,0.6443,8.3218,26.3754,,,,153.7402,-46.5069
2000-05-30,7.7,-1.4085,3.7736,49.2248,,,,151.5748,-47.2603
2000-05-31,7.55,-1.948,1.3423,15.6202,48.6221,,,148.6221,-48.2877
2000-06-01,7.79,3.1788,3.0423,21.7187,57.0564,,,153.3465,-46.6438
2000-06-02,8.14,4.4929,4.8969,27.1875,61.1881,,,160.2362,-44.2466
2000-06-05,8.0,-1.7199,2.4328,22.5115,58.7302,,,157.4803,-45.2055
2000-06-06,8.15,1.875,5.8442,23.6722,60.7495,,,160.4331,-44.1781
